Original,Translate,Translate_GPT_1
I’ son segnior assa’ forte a servire;,Je suis un gentleman très exigeant à servir.,Je suis un gentleman très exigeant à faire plaisir.
"Ma chi mi serve, per cierto ti dico,","Mais en vérité, je vous le dis: Celui qui me sert,",Je te dis qui j'ai besoin ?
"Ch’ala mia grazia non può già fallire,","Il ne manquera jamais de gagner ma faveur,",Il ne manquera jamais de gagner ma reconnaissance.
"E di buona speranza i’ ’l mi notrico,",et je le nourrirai d'une bonne espérance,et je le nourrirai d'optimisme
Infin ch’i’ gli fornischa su’ disire».,Jusqu'à ce que j'aie accompli ton souhait.,jusqu'à ce que j'ai satisfait son désir.
Con una chiave d’oro mi fermò il core,"Avec une clé d'or, l'amour a fermé mon cœur,","Avec une clé d'or, l'amour a scellé mon cœur,"
"L’Amor,    quando così m’ebe parlato,","L'amour, après m'avoir parlé,","L'amour, après m'avoir exposé,"
"Ma prima mente l’à nett’e parato,",mais d'abord il a purifié et préparé,"Tout d'abord, il a purgé et préparé."
Sì c’ogni’altro pensier n’à pinto fore.,pour qu'il repousse toute autre pensée.,afin qu'il exorcise toute autre pensée.
"E’ po’ mi disse: «I’ sì son tu’ signiore,","Puis il me dit: Comme je suis ton Seigneur,",Puis il me dit: Comme je suis ton Souverain.
E tu sì sè di me fedel giurato.,Et tu es un fidèle juré pour moi.,Vous êtes un témoin loyal pour moi.
Or guarda che ’l tu’ cuor    non sia ’mpacciato,Maintenant assurez-vous que votre cœur n'est pas occupé.,Assurez-vous que votre cœur n'est pas occupé.
Se non di fino e di leal amore.,avec n'importe quoi d'autre que de l'amour noble et vrai.,avec une passion loin d'être noble et sincère.
E pensa di portar in pacienza,Et n'oubliez pas d'être patient,N'oubliez pas d'être patient.
"La pena, che per me avra’ a sofrire,","la douleur que tu souffriras à cause de moi,",le châtiment que tu souffriras à cause de moi.
"Inanzi ch’io ti doni mia sentenza,",Avant que je vous donne mon verdict.,Avant que je vous donne ma sentence.
Ché molte volte ti parrà morire:,Que plusieurs fois tu penses que tu vas mourir :,Que vous rêvez souvent d'extinction.
"Un’ora gioia avrai, altra, doglienza.","Une heure, tu seras heureuse, une autre triste,","Dans un moment, tu seras heureux, dans une autre mélancolie."
Ma po’ i’ dono argomento di guerire».,Mais je te donne un remède pour guérir.,"Cependant, alors je vous offre un remède pour guérir."
Con grande umilitate e pacienza,Avec beaucoup d'humilité et de patience,Avec une grande humilité et persévérance
"Promisi a Amor a sofferir sua pena,",J'ai promis à l'amour que je souffrirais sa douleur,J'ai promis à l'amour que je partagerais son tourment
"E c’ognie membro, ch’i’ avea, e vena","et que tous mes membres, que j'ai,","et que tous mes membres, que j'ai et que j'ai"
Disposat’era a farli sua voglienza;,Ils étaient prêts à faire sa volonté.,Ils étaient prêts à accomplir son désir.
E solo a lui servire la mia credenza,Et seulement il aura besoin de ma foi,Seulement à lui ma foi sera consacrée.
"È ferma, né di ciò mai nonn-alena,",et ne cessera jamais de le faire:,Et il n'arrêtera jamais de faire ça.
"Insin ched i’ avrò spirito o lena,",Tant que je vis et que je respire,Tant que j'existe et que je respire.
I’ non farò da•cciò giama’ partenza.,Je ne m'écarterai jamais de cette promesse.,Je ne suis jamais en désaccord avec cette déclaration.
"E quelli allor mi disse: «Amico meo,","Et ils me dirent: Mon ami,","Il m'a dit : ""Mon camarade,"
I’ ò da•tte miglior pegnio che charte.,Votre promesse vaut mieux que n'importe quelle promesse écrite :,Votre symbole est supérieur à toute garantie écrite.
"Fa che m’adori, ched i’ son tu’ Deo,",Fais-moi adorer parce que je suis ton dieu.,Laissez-vous m'adorer parce que je suis votre divin.
"Ed ogn’altra credenza    metti a parte,","et de mettre de côté toute autre foi,","Oubliez, abandonnez, toutes les autres croyances."
"Né non creder né Lucha, né Matteo,","ne croyez pas Luc ou Matthieu,",Ne fais pas confiance à Luc ou à Matthieu.
"Né Marco, né Giovanni». Allor si parte.","Pas à Mark, pas à John, puis il part.","Ni à Marc, ni à Jean, et puis il s'est séparé."
"Partes’Amor, su’ ale battendo,",L'amour commence par un clin d'œil.,L'amour commence par un clin d'œil.
"E ’n poca d’or sì forte isvanoio,",et en un instant disparut si vite,et en un instant il a disparu rapidement
"Ched i’  no ’l vidi poi, né no•ll’udio,",que je n'ai jamais vu ni entendu parler de lui;,"Je ne l'ai plus vu, et je ne l'ai pas entendu."
E•llui e ’l su’ soccorso ancor atendo.,"Et pourtant, je l'attends toujours, lui et son aide.","Cependant, je l'attends toujours, lui et son aide."
Allor mi venni forte ristrignendo,Puis je me suis rapprochée.,"Plus tard, je me suis rapprochée."
"Verso del Fior, che•ssì forte m’ulio,",à la Fleur dont l'odeur m'a ensorcelé,À la Fleur dont l'arôme m'enchantait
"E per chu’ feci homagio a questo Dio,",et pour qui j'ai rendu hommage à ce dieu.,et pour qui je donne de la dévotion à ce dieu.
"E dissi: «Chi mi tien, ched i’  no ’l prendo?»","J'ai dit : ""Qui m'empêche de le déchirer ?""",J'ai demandé: Qui m'interdit de le déchirer?
"Sì ch’i’ verso del Fior tesi la mano,","Et j'étendis ma main vers la Fleur,",Il prosterne donc sa main vers la Fleur.
"Credendolo  aver colto chitamente,",Je pensais pouvoir m'en occuper librement.,Je pensais pouvoir m'en occuper facilement.
Ed i’  vidi venir un gran villano,Et j'ai vu venir un grand homme impoli.,J'ai vu venir un homme impoli et impressionnant.
Con una maza. E’ disse: «Or ti ste’ a mente,"avec un bâton dans la main, disant, ""Maintenant garde à l'esprit.""","Avec un bâton dans la main, disant: Souvenez-vous maintenant."
"Ch’i’  son lo Schifo, e sì son ortolano","que je suis la Résistance, et que je suis le gardien","Je suis l'Adversaire, et je garde la souveraineté."
D’esto giardin. I’  ti  farò dolente».,de ce jardin. Je l'ai fait souffrir.,de ce parc. J'ai causé sa souffrance.
Molto vilmente mi buttò di fora,"Très grossièrement, il m'a jeté dehors.","Avec une grande grossièreté, il m'a virée."
"Lo Schifo, crudo, fello e oltragioso,","la résistance cruelle, vicieuse et violente,","La résistance impitoyable, diabolique et brutale."
"Sì ch’e’ del Fior non cred’esser gioioso,","pour que je ne sois pas content de la Fleur,",Pour que je ne sois pas satisfait de la Fleur.
Se Pietate e Francheza no•ll’acora.,A moins que la miséricorde et l'honnêteté ne partent avec lui.,A moins que la compassion et l'honnêteté ne s'en aillent avec lui.
"Ma prima, credo, converà ch’eo mora,","Mais avant que ça arrive, je crois que je vais mourir.","Avant que ça arrive, je crois que je vais mourir."
Perché ’l me’ cor stà tanto doglioso,parce que mon cœur est dans tellement de douleur,Puisque mon cœur est dans tant de souffrances.
"Di quel villan,  che stava là nascoso,",à cause de cet homme ringard qui se cachait là-bas,A cause de cet homme ringard qui se cachait là-bas.
Di chu’ non mi prendea guardia quell’ora.,et contre laquelle je n'ai pris aucune précaution à ce moment crucial.,et contre laquelle je n'ai pris aucune mesure de sécurité à ce moment décisif.
Or m’à messo in pensero e in dottanza,"Maintenant, cela m'a fait m'inquiéter et avoir peur,","Maintenant, cela m'a alarmé et effrayé."
"Di ciò, ched i’ credea aver per ciertano,",pour ce que je pensais que j'avais pour sûr,Pour ce que je pensais savoir.
Sì c’or me ne par essere in bilanza.,"Maintenant, on dirait qu'il est en danger.",Maintenant je pense qu'il est en danger.
"E tutto ciò m’à fatto quello strano,",Et tout ça m'a fait ce sauvage !,Et tout ça a fait de moi ce barbare !
"Ma di lui mi richiamo a Pietanza,","Mais j'en appellerai à la miséricorde sur lui,",Je ferai appel à la compassion sur lui.
Che vengha a•llui collo spunton in mano.,afin qu'il puisse l'affronter avec la lance dans sa main.,afin qu'il puisse l'affronter avec son épée dans sa main.
"Se mastro Arghùs, che fecie la nave,","Si Maître Argus, qui a construit le navire","Si Maître Argus, qui a construit le navire"
"In che Giasòn  andò per lo tosone,","que Jason cherchait la Flea d'or,",que Jason cherchait le bijou d'or
"E fecie a conto regole, e ragione,",et qui a inventé les règles et la logique pour le calcul,et qu'ils ont élaboré les règles et le caractère raisonnable du calcul
"E le diecie figure, com’on save,","et les dix signes numériques, comme chacun le sait,","Et les dix symboles numériques, comme tout le monde le sait, sont"
"Vivesse,  gli sarebe forte e grave","S'il était vivant, ce serait difficile pour lui.","S'il était vivant, ce serait dur pour lui."
"Multiplicar ben ognie mia quistione,",pour calculer tous les problèmes,"Explorez, calculez, toutes les questions."
"C’Amor mi move sanza mesprigione,","L'amour me donne, sans erreur.","L'amour me donne, sans erreur."
"E di ciascuna porta esso la chiave,","Et pourtant, pour chaque porte en dehors de la clé,","Cependant, pour chaque entrée, il y a sa clé."
Ed àllemi nel cor fermate e messe,Et elle les a mis dans mon coeur,Elle les a impressionnés dans mon âme.
"Con quella chiavicella, ch’i’ v’ò detto,",avec cette clé que je t'ai dit,avec cette clé que je t'ai montrée
Per ben tenermi tutte sue promesse.,de tenir toutes ses promesses à moi.,pour remplir tous ses engagements avec moi.
"Perch’io a•ssue merzé tuttor mi metto,",C'est pourquoi je suis toujours prêt à faire ses offres.,C'est pourquoi je suis toujours prêt à exécuter ses commandes;
"Ma ben vore’ che, quando gli piaciesse,","Cependant, je voudrais pour lui - quand il veut -","Cependant, je le souhaite - chaque fois qu'il désire -"
"E’ m’allegiasse il mal, che•ssì m’à stretto.",pour soulager la douleur qui m'a pris.,Pour atténuer les tourments qui m'ont attaqué.
"Dogliendomi in pensando del villano,","Malheureusement, penser à la sauvage",Pensant à contrecœur à l'état sauvage
"Che•ssì vilmente dal Fior m’à lungiato,","qui m'a sauvagement chassé de la Fleur,","qui m'a si farouchement chassé de la Fleur,"
"Ed i’ mi riguardai dal dritto lato,",J'ai regardé sur mon côté droit.,J'ai examiné mon côté droit
"E sì vid’i’ Ragion, col viso piano,","Et j'ai vu la raison, que, avec un visage tranquille,","J'ai vu la logique, qui, avec une expression sereine,"
"Venir verso di me, e per la mano",Il vient vers moi. Il m'a attrapé par la main.,"Il s'approche de moi, il m'a attrapé par la main."
Mi prese e disse: «Tu•ssè sì smagrato!,"Il m'a pris et m'a dit : ""Tu es devenu si subtil !","Il m'a attrapé et m'a dit : ""Tu es devenu si maigre !"""
I’ credo che•ttu à’ troppo pensato,Je pense que vous avez trop réfléchi.,Je pense que tu as trop médité.
"A que’, che•tti farà gittar in vano,",À propos de ce qui vous fait travailler en vain:,Par rapport à ce qui te rend inutile.
"Ciò è Amor, a chui dat’ài fidanza.","Cette personne est l'Amour, à qui vous avez donné fidélité.","Cette personne est l'Affetto, à qui vous avez donné de la loyauté."
"Ma•sse m’avessi avuto al tu’ consiglio,","Mais si j'avais écouté mon conseil,","Si j'avais suivi ma suggestion,"
"Tu non saresti gito co•llui a danza,",Tu n'aurais pas dansé avec lui.,Tu n'aurais pas été avec lui danser.
"Ché sie ciertano,   a chu’ e’ dà di piglio,",Parce que tu peux être sûr de ce qu'il prend,Parce que tu peux être sûr de ce qu'il dit
"Egli ’l tiene in tormento e malenanza,","Il est tenu dans le tourment et la douleur,",Il se garde dans le tourment et la souffrance.
Sì che su’ viso non è ’n mai vermiglio».,pour que son visage ne soit jamais rouge.,afin que son visage ne soit jamais rubis.
Udendo che Ragion mi gastigava,J'ai l'impression que cette raison me grondait.,Écouter cette logique me grondait
"Perch’i’ al Die d’Amor era ’nservito,","pour mon attachement au Dieu d'Amour,","Pour ma dévotion au Dieu des Slices,"
"Di ched i’ era forte inpalidito,","pour laquelle j'étais devenu si pâle,","pour laquelle j'étais devenu si pâle,"
"E sol perch’io a•llui troppo pensava,","Et juste parce que j'ai trop pensé à lui,",Juste parce que j'ai trop pensé à lui.
"I’ le dissi: «Ragion, e’ no•mi grava","Je lui ai dit, ""Je suis désolé, la douleur qu'elle ressent n'est pas lourde.""","Je lui ai dit : ""Ray, le châtiment qu'il cause n'est pas pesant."""
"Su’ mal, ch’i’ ne sarò tosto guerito,","sur moi, car je guérirai bientôt,","à propos de moi, car je vais vite récupérer."
Ché questo mio signior lo m’à gradito».,parce que mon seigneur m'a promis,Parce que ce souverain m'en a assuré.
"E ch’era folle se più ne parlava,",Et cette raison était folle s'il n'arrêtait pas d'en parler.,Et cette motivation était folle si elle n'arrêtait pas de se disputer à ce sujet.
"«Chéd i’ son fermo pur di far su’ grado,","Parce que je suis prêt à lui faire plaisir,",Parce que je suis juste prêt à le satisfaire.
Perciò ch’e’ mi promise fermamente,depuis qu'il m'a fait de solides promesses,Depuis qu'il m'a donné des garanties concrètes
"Ched e’ mi metterebe in alto grado,","ça me mettrait en haut,",ça me placerait dans une position élevée.
Sed i’ ’l servisse bene e lealmente».,si je l'ai bien servi et fidèlement.,si je l'ai bien servi et loyalement.
"Perché di lei i’ non pregiava  un dado,","Donc, je ne me souciais pas du tout d'elle,","Donc, je ne me souciais pas du tout d'elle."
Né su’ consiglio i’ non teneva a mente.,"Je ne m'en suis pas souvenu, et je n'ai pas suivi ton conseil.",Je ne m'en souvenais pas et n'obéis pas à votre suggestion.
"Ragion si parte, udendomi parlare.","Après m'avoir écouté parler, la raison s'en va,","Après m'avoir écouté parler, la raison s'en va,"
E’ me fu ricordato ch’i’ avea,et je me suis souvenu que j'avais,J'ai réalisé que j'avais
"Un grande Amico, lo qual mi solea","un ami loyal, qui me réconfortait d'habitude","Un allié loyal, qui me console d'habitude."
"In ognie mio sconforto confortare,",Chaque fois que je me sentais mal à l'aise.,à chaque fois que je m'inquiétais
"Sì ch’i’ no ’l misi guari a ritrovare,",Je l'ai trouvé assez vite.,Je l'ai trouvé assez vite.
E disigli com’e’ si contenea,et lui a dit comment il s'était comporté,"Et il lui dit comment il se comportait: il agissait, il opérait."
"Lo Schifo ver’ di me, e ch’e’ parea","la résistance à moi, et cela semblait","La résistance contre moi, et cela est apparu"
Ch’al tutto mi volesse guereggiare.,Il ne voulait rien de mieux que de me combattre.,"Tout ce qu'il voulait, c'était me combattre."
"E que’ mi disse: «Amico, sta sicuro,","Et il m'a dit : ""Ne t'inquiète pas,","Et il me dit: Camarade, ne crains point;"
Ché quello Schifo si à senpre in usanza,car c'est la Résistance aux Clostrides sur mesure,car c'est la Résistance aux Clostridae
Ch’a cominciar   si mostra acierbo e duro.,être amer et dur au début.,Soyez amer et rigide au début.
Ritorna a•llui e non abie dottanza,Retourne le voir et n'aie pas peur.,Retourne vers lui et n'aie pas peur.
"Con umiltà tosto l’avra’ maturo,","en faisant preuve d'humilité, vous l'adoucirez bientôt,","En faisant preuve d'humilité, vous l'adoucirez rapidement."
Già tanto non par   fel né san’ pietanza».,Peu importe à quel point cela peut sembler cruel et impitoyable.,Peu importe à quel point cela peut sembler brutal et implacable.
Tutto pien d’umiltà verso ’l giardino,"Plein de douceur, je me suis tourné vers le jardin.","Pleine de douceur, je me suis tournée vers le jardin."
"Torna’mi, con’ Amico avea parlato,","Tout comme l'ami a dit que je devrais,","Comme Friend l'avait suggéré que je devrais,"
"Ed i’ guardai, e sì ebi avisato",Et j'ai regardé et vu,Examen et examen
"Lo Schifo, con un gran baston di pino,","Résistance, avec un grand club de pins,","Résistance, avec une énorme association composée de pins."
"Ch’andava riturando ognie camino,","qui a bloqué chaque passage,",Ce qui a entravé tous les progrès.
Che dentro a forza non vi fosse ’ntrato.,Donc je n'ai pas pu entrer.,Donc je n'ai pas pu y accéder.
"Sì ch’io mi trassi a lui, e salutato",Alors je l'ai approché et je l'ai salué.,"De cette façon, je l'ai approché et je l'ai salué cordialement."
"Umile mente l’ebi a capo chino,","Doucement avec la tête pliée,",doucement avec la tête baissée.
"E sì gli dissi: «Schifo, agie merzede","Et il lui dit: Résistance, aie pitié.","Et il lui dit: Tenacie, aie pitié."
"Di me, se ’nverso te feci alcun fallo,","sur moi, si je t'ai fait du mal,",Si je t'ai causé de la douleur.
"Chéd i’ sì son venuto a pura fede,",parce que je suis venu de bonne foi,Parce que je suis venu en bonne volonté.
"A tua merzede,   e presto d’amendarlo».","de demander ta miséricorde, et je suis prêt à me venger.","implorez votre clémence, et je suis prêt à faire pénitence."
"Que’ mi riguarda, e tuttor si provede","Il me regarde et, comme il le fait, il essaie de déterminer","Il me regarde et, comme il le fait, il essaie d'établir"
Ched i’ non dica ciò per inghanarlo.,Si je le dis pour le tromper.,Si je le dis pour le tromper.
Sì com’i’ stava in far mia pregheria,Pendant que je suppliais pour mon cas,Comme je suppliais pour mon destin
"A quel fellon, ch’è sì pien d’arditeza,","à la cruelle qui est si imprudente,",À celui qui est si imprudent.
"Lo Dio d’Amor sì vi mandò Francheza,",Dieu d'Amour a envoyé la sincérité et avec Sa Miséricorde,L'affetto divin a envoyé la sincérité et avec sa compassion.
"Co•llei Pietà, per sua anbascieria.",en mission spéciale à cet endroit.,dans un exploit extraordinaire dans ce domaine.
"Francheza   cominciò la dicieria,","La sincérité a commencé son discours,",Votre franchise a inauguré votre discours.
"E disse: «Schifo, tu•ffai straneza","Disons, Résistance, vous êtes plus impoli.","Vous vous opposez, vous êtes plus pointu."
"A quel valletto, ch’è pien di largheza,",à ce jeune vassal si généreux,A ce jeune serviteur magnanime.
"E prode, e franco, sanza villania.","et vaillant et courageux, et certainement pas vulgaire.","Audacieux, sans peur, et certainement pas gênant."
Lo Dio d’Amor ti manda ch’e’ ti piaccia,Le Dieu de l'Amour veut que vous sachiez,La Tranche Divine veut que vous sachiez
"Che•ttu non sie sì strano al su’ sergiente,","afin de ne pas être si impoli envers son serviteur,","Pour ne pas être si impoli envers son serviteur,"
"Ché gran peccato fa, chi lui inpaccia;","Car celui qui le gêne commet un grand péché,",parce que celui qui l'empêche commet une faute grave.
Ma sòffera ch’e’ vada arditamente,Mais laisse-le partir librement.,Mais laisse-le partir librement.
"Per lo giardino, e no ’l metter in chaccia,","Dans le jardin, ne le chassez pas.","Dans le jardin, ne l'expulsez pas."
"E guardi il Fior, che•ssì gli par aolente».",et qu'il regarde la fleur qui lui semble si parfumée.,et lui permet d'observer la fleur qui semble si parfumée.
"Pietà cominciò poi su’ parlamento,",La Miséricorde a alors commencé son discours,La Miséricorde a alors commencé son discours
"Con lagrime bagniando il su’ visagio,",avec des larmes qui baignent son visage,avec des larmes qui humidifient son visage
"Diciendo: «Schifo, tu faresti oltragio","En disant: Résistance, tu seras outragé.","Face à vous, vous seriez offensé."
Di non far grazia al meo domandamento.,Si je n'ai pas accepté ma demande.,Si je n'accepte pas mon plaidoyer.
Pregar ti fo che•tti si’a piacimento,Je t'en supplie de trouver.,Je vous supplie de le découvrir.
"Ch’a quel valletto, ch’è•ssì buon e saggio,","ne pas être si cruel envers ce jeune vassal,",ne pas être si impitoyable envers ce jeune serviteur.
"Tu non sie verso lui così salvaggio,",Tu n'es pas si méchant avec lui.,Tu n'es pas si mal envers lui.
Ché sai ch’e’ non à mal intendimento.,Parce que tu sais qu'il ne veut rien dire.,Parce que tu sais qu'il n'a pas d'intentions malveillantes.
"Or avén detto tutto nostr’affare,","Maintenant, nous vous avons dit nos préoccupations,","Maintenant, nous avons exposé nos inquiétudes,"
"E la cagion, per che no’ siàn venute.",et la raison pour laquelle nous sommes venus:,et la raison pour laquelle nous sommes ici:
Molt’è crudel chi per noi non vuol fare!,C'est lui qui ne fera pas ce que nous demandons!,C'est cruellement indifférent celui qui ne fera pas ce que nous demandons!
Ancor ti manda molte di salute,Il envoie toujours beaucoup de salutations.,Il vous envoie toujours ses salutations les plus cordiales.
"Il lasso, chu’ ti piaque abandonare.",Le pauvre type que tu aimais partir.,Le malheureux que tu aimais partir.
Fa che nostre preghiere gli sian valute!».,Que nos prières l'aident!,Que nos supplications l'aident !
"Lo Schifo disse: «Giente messagiere,","La résistance a dit: ""Nobles messagers,","""La résistance a proclamé: ""Ambassadrices importants, """
Egli è ben dritto ch’a vostra domanda,J'ai le droit d'accéder à votre demande.,J'ai raison de répondre à votre question.
"I’ faccia grazia, e ragion lo comanda,","et le faire avec des remerciements, la raison le commande,","Et faites-le poliment, la logique l'exige."
"Ché voi non siete orgolliose né fiere,","Car vous n'êtes ni vaniteux ni orgueilleux,",Parce que vous n'êtes ni présomptueux ni arrogant.
Ma siete molto nobili parliere.,Mais vous êtes des locuteurs très nobles.,Mais vous êtes des orateurs très illustres.
"Vengha il valetto, e vada, a sua comanda,","Le jeune homme peut venir et aller à volonté,",Le jeune homme peut arriver et partir à sa guise.
"Ma non ched egli al Fior   sua mano ispanda,","mais tant qu'il n'essaie pas de toucher la Fleur,","Cependant, tant que vous n'essayez pas de manipuler la Fleur."
"Ch’a•cciò no•gli varrian vostre preghiere,",parce que tes prières ne l'aideront pas.,Parce que tes supplications ne l'aideront pas.
"Perciò che•lla figluola Cortesia,","C'est pour ça que la fille de Lady Courtesy,","C'est pourquoi la progéniture de Lady Courtesy,"
"Bellacoglienza, ch’è dama del Fiore,","Belle réception, qui est responsable de la Fleur,","Accepté, qui est responsable de la Fleur."
Sì ’l mi porebe a gran ricredentia.,Je pensais à mes manières.,Je pensais que mes manières étaient courtoises.
Ma fate che•lla Dama al Die d’Amore,Mais faites de la dame du Dieu d'Amour,Faites de la Dame du Dieu de la Tranche
Faccia a Bellacoglienza pregheria,Faire un appel à Bellaccoglieza,"Faites un appel à la magnificence, à la splendeur et à l'aventure."
"Di lui, e che•lle schaldi un poco il core».",afin que son cœur puisse être un peu réchauffé.,afin que son cœur soit un peu rafraîchi.
"Quand’i’ vidi lo Schifo sì adolzito,","Quand j'ai vu comment la Résistance était adoucie,","Quand j'ai vu comment la Résistance était adoucie,"
"Che solev’esser più amar che fele,",qui était généralement plus amer que le fiel,qui était généralement plus amer que le poison
"Ed i’ ’l trova’ vie più dolcie che mele,","mais que j'ai trouvé beaucoup plus doux que le miel,",mais que j'ai trouvé plus délicieux que le miel.
Sapiate ch’i’ mi tenni per guerito.,Tu devrais savoir que je pensais être guérie.,Tu devrais savoir que je me suis considéré désinfecté.
Nel giardin me n’andai molto gichito,Je suis allé dans le jardin très soumis,Je suis allé dans le jardin très humble.
"Per dotta di misfar a quel crudele,","de peur d'offenser cette cruelle,",Craignant d'avoir frappé ce méchant.
E gli giurai a le sante,Et je lui ai juré sur les saints.,et je lui ai promis solennellement
Ch’e’ per me non sarebe mai marrito.,"que, il ne serait jamais affligé.",qu'il ne souffrirait jamais d'anxiété.
Allor mi disse: «I’ vo’ ben che•ttu venghi,"Puis il m'a dit : ""Je veux vraiment que tu viennes.""","Puis il me dit : ""Je veux que tu viennes."""
"Dentr’al giardin[o], sì com’e’ ti piace,","à l'intérieur du jardin, parce que ça te plaît,","à l'intérieur du jardin, parce que tu l'aimais bien."
Ma’ che lungi dal Fior le tue man tenghi.,Tant que vous gardez vos mains loin de la Fleur.,Tant que vous vous abstenez de toucher la Fleur.
Le buone donne fatt’ànno far pacie,Les bonnes femmes ont établi la paix,Les femmes aimables ont établi la tranquillité.
"Tra me e te: or fa che•lla mantenghi,",entre toi et moi: maintenant assurez-vous de garder,Toi et moi: maintenant assurez-vous de préserver
Sì che verso di me non sie fallacie».,pour que je ne trahisse pas ma confiance.,Pour que je ne brise pas ma loyauté.
"Venusso, ch’è socorso degli amanti,","Vénus, qui vient à la rescousse des amants,","Vénus, qui vient en aide aux amants,"
"Ven’ a Bellacoglienza col brandone,","venant de la réception de Bell avec une lampe de poche,",Il est venu de la réception de Bell avec une lanterne.
"E’ si rechava,   a guisa di penone,",tenir comme une lance,tenir comme une lance
