Filename,Original,Translate
fiore_4.csv,Ché molte volte ti parrà morire:,Per molte volte pensate di morire:
fiore_4.csv,"Un’ora gioia avrai, altra, doglienza.","un'ora sarai felice, un'altra triste,"
fiore_4.csv,Ma po’ i’ dono argomento di guerire».,ma poi I.V.A.D. vi dà un rimedio per ottenere bene.
fiore_5.csv,Con grande umilitate e pacienza,Con molta umiltà e pazienza promisi Amore
fiore_5.csv,"Promisi a Amor a sofferir sua pena,",che avrei sofferto il suo dolore
fiore_5.csv,"E c’ognie membro, ch’i’ avea, e vena",e che ogni mio arto e vena
fiore_5.csv,Disposat’era a farli sua voglienza;,erano pronti a fare la sua volontà.
fiore_5.csv,E solo a lui servire la mia credenza,E la mia mente è destinata a servire lui e lui solo
fiore_5.csv,"È ferma, né di ciò mai nonn-alena,",e non cesserà mai di farlo:
fiore_5.csv,"Insin ched i’ avrò spirito o lena,",Finche' vivro' e respirero'...
fiore_5.csv,I’ non farò da•cciò giama’ partenza.,Non mi allontanerò mai da questa promessa.
fiore_5.csv,"E quelli allor mi disse: «Amico meo,",E poi l'amore mi disse:
fiore_5.csv,I’ ò da•tte miglior pegnio che charte.,il tuo pegno è migliore di qualsiasi promessa scritta:
fiore_5.csv,"Fa che m’adori, ched i’ son tu’ Deo,","adorami, perché io sono il tuo dio;"
fiore_5.csv,"Ed ogn’altra credenza    metti a parte,",e mettere da parte ogni altra fede:
fiore_5.csv,"Né non creder né Lucha, né Matteo,","non credere a Luca o a Matteo,"
fiore_5.csv,"Né Marco, né Giovanni». Allor si parte.",Mark o John... e poi se ne va.
fiore_6.csv,"Partes’Amor, [le] su’ ale battendo,","L'amore parte con un battito di ali,"
fiore_6.csv,"E ’n poca d’or sì forte isvanoio,",e in un attimo scomparve così rapidamente
fiore_6.csv,"Ched i’  no ’l vidi poi, né no•ll’udio,",che non l'ho più visto né sentito;
fiore_6.csv,E•llui e ’l su’ soccorso ancor atendo.,eppure aspetto ancora lui e la sua assistenza.
fiore_6.csv,Allor mi venni forte ristrignendo,Poi mi sono avvicinato sempre di più.
fiore_6.csv,"Verso del Fior, che•ssì forte m’ulio,",al Fiore il cui profumo mi stregò
fiore_6.csv,"E per chu’ feci homagio a questo Dio,",e per i quali avevo promesso la mia fedeltà a questo dio.
fiore_6.csv,"E dissi: «Chi mi tien, ched i’  no ’l prendo?»",Ho detto: Chi mi impedisce di strapparlo?
fiore_6.csv,"Sì ch’i’ verso del Fior tesi la mano,","E così stesi la mano verso il Fiore,"
fiore_6.csv,"Credendolo  aver colto chitamente,",Pensavo che avrei potuto cavarmela liberamente.
fiore_6.csv,Ed i’  vidi venir un gran villano,Ma ho visto un uomo grosso e scortese che si avvicinava.
fiore_6.csv,Con una maza. E’ disse: «Or ti ste’ a mente,"con bastone in mano, dicendo: Ora tenere a mente"
fiore_6.csv,"Ch’i’  son lo Schifo, e sì son ortolano","che io sono la Resistenza, e che sono il custode"
fiore_6.csv,D’esto giardin. I’  ti  farò dolente».,di questo giardino. L'ho fatto soffrire.
fiore_7.csv,Molto vilmente mi buttò di fora,"Con molta scortesia mi ha buttato fuori,"
fiore_7.csv,"Lo Schifo, crudo, fello e oltragioso,","quella crudele, viziosa e violenta Resistenza,"
fiore_7.csv,"Sì ch’e’ del Fior non cred’esser gioioso,","in modo che penso che non avrò piacere con il Fiore,"
fiore_7.csv,Se Pietate e Francheza no•ll’acora.,A meno che la Misericordia e la Sincerita' non se ne vadano con lui.
fiore_7.csv,"Ma prima, credo, converà ch’eo mora,","Ma prima che accada, penso che moriro'."
fiore_7.csv,Perché ’l me’ cor [i]stà tanto doglioso,dal momento che il mio cuore è in così tanto dolore
fiore_7.csv,"Di quel villan,  che stava là nascoso,","a causa di quell'uomo sdolcinato, che si nascondeva lì"
fiore_7.csv,Di chu’ non mi prendea guardia quell’ora.,e contro i quali non ho preso alcuna precauzione in quel momento cruciale.
fiore_7.csv,Or m’à messo in pensero e in dottanza,"Ora questo mi ha fatto preoccupare e temere,"
fiore_7.csv,"Di ciò, ched i’ credea aver per ciertano,",per quello che pensavo di avere per certo
fiore_7.csv,Sì c’or me ne par essere in bilanza.,Ora mi sembra che sia a rischio.
fiore_7.csv,"E tutto ciò m’à fatto quello strano,",E tutto questo mi ha fatto quel selvaggio!
fiore_7.csv,"Ma di lui mi richiamo a Pietanza,","Ma farò appello a Misericordia su di lui,"
fiore_7.csv,Che vengha a•llui collo spunton in mano.,perché possa affrontarlo con la lancia in mano.
fiore_8.csv,"Se mastro Arghùs, che fecie la nave,","Se il Maestro Argus, che ha costruito la nave"
fiore_8.csv,"In che Giasòn  andò per lo tosone,","che Jason cercava il Pulce d'Oro,"
fiore_8.csv,"E fecie a conto regole, e ragione,",e che hanno inventato le regole e la logica per il calcolo
fiore_8.csv,"E le diecie figure, com’on save,","e i dieci segni numerici, come tutti sanno,"
fiore_8.csv,"Vivesse,  gli sarebe forte e grave","se fosse vivo, sarebbe difficile per lui"
fiore_8.csv,"Multiplicar ben ognie mia quistione,",per calcolare tutti i problemi
fiore_8.csv,"C’Amor mi move sanza mesprigione,","che l'Amore mi dà, senza errori."
fiore_8.csv,"E di ciascuna porta esso la chiave,","Eppure, per ogni porta l'amore ha la chiave,"
fiore_8.csv,Ed àllemi nel cor fermate e messe,e con questa piccola chiave che vi ho appena accennato
fiore_8.csv,"Con quella chiavicella, ch’i’ v’ò detto,",Li ha messi e chiusi nel mio cuore
fiore_8.csv,Per ben tenermi tutte sue promesse.,per mantenere tutte le sue promesse a me.
fiore_8.csv,"Perch’io a•ssue merzé tuttor mi metto,",Per questo sono sempre pronto a fare i suoi ordini;
fiore_8.csv,"Ma ben vore’ che, quando gli piaciesse,","Tuttavia, vorrei per lui - ogni volta che vuole -"
fiore_8.csv,"E’ m’allegiasse il mal, che•ssì m’à stretto.",per alleviare il dolore che mi ha conquistato.
fiore_9.csv,"Dogliendomi in pensando del villano,",Pensando tristemente a quella selvaggia...
fiore_9.csv,"Che•ssì vilmente dal Fior m’à lungiato,","che così selvaggiamente mi inseguì dal Fiore,"
fiore_9.csv,"Ed i’ mi riguardai dal dritto lato,",Guardai sul mio lato destro e vidi
fiore_9.csv,"E sì vid’i’ Ragion, col viso piano,","Ragione, che, con il volto tranquillo,"
fiore_9.csv,"Venir verso di me, e per la mano",Viene verso di me. Mi ha preso per il
fiore_9.csv,Mi prese e disse: «Tu•ssè sì smagrato!,"mano e disse: ""Sei diventato così sottile!"
fiore_9.csv,I’ credo che•ttu à’ troppo pensato,Credo che tu abbia pensato troppo.
fiore_9.csv,"A que’, che•tti farà gittar in vano,",a proposito di quello che ti fa lavorare invano:
fiore_9.csv,"Ciò è Amor, a chui dat’ài fidanza.","quella persona è l'Amore, al quale tu hai dato fedeltà."
fiore_9.csv,"Ma•sse m’avessi avuto al tu’ consiglio,","Ma se avessi ascoltato il mio consiglio,"
fiore_9.csv,"Tu non saresti gito co•llui a danza,",Non saresti andato con lui a ballare.
fiore_9.csv,"Ché sie ciertano,   a chu’ e’ dà di piglio,",Perché puoi essere sicuro che quello che lui afferra
fiore_9.csv,"Egli ’l tiene in tormento e malenanza,","Egli si tiene nel tormento e nel dolore,"
fiore_9.csv,Sì che su’ viso non è ’n mai vermiglio».,tale che il suo volto non sarà mai rosso.
fiore_10.csv,Udendo che Ragion mi gastigava,Sentire che la ragione mi stava rimproverando
fiore_10.csv,"Perch’i’ al Die d’Amor era ’nservito,","per la mia schiavitù al Dio dell'Amore,"
fiore_10.csv,"Di ched i’ era forte inpalidito,","per cui ero diventato così pallido,"
fiore_10.csv,"E sol perch’io a•llui troppo pensava,","e solo perche' ho pensato troppo a lui,"
fiore_10.csv,"I’ le dissi: «Ragion, e’ no•mi grava","Le dissi: ""Motivo, il dolore che infligge non pesa."""
fiore_10.csv,"Su’ mal, ch’i’ ne sarò tosto guerito,","su di me, perché presto guarirò,"
fiore_10.csv,Ché questo mio signior lo m’à gradito».,perché questo mio signore me l'ha promesso
fiore_10.csv,"E ch’era folle se più ne parlava,",- e quella ragione era folle se continuava a parlarne.
fiore_10.csv,"«Chéd i’ son fermo pur di far su’ grado,","Perche' io sono disposto solo a compiacerlo,"
fiore_10.csv,Perciò ch’e’ mi promise fermamente,da quando mi ha dato promesse solide
fiore_10.csv,"Ched e’ mi metterebe in alto grado,","che mi avrebbe messo in un posto alto,"
fiore_10.csv,Sed i’ ’l servisse bene e lealmente».,se lo servissi bene e fedelmente.
fiore_10.csv,"Perché di lei i’ non pregiava  un dado,","Quindi, non mi importava affatto di lei,"
fiore_10.csv,Né su’ consiglio i’ non teneva a mente.,né mi sono ricordato né ho seguito il suo consiglio.
fiore_11.csv,"Ragion si parte, udendomi parlare.","Dopo avermi ascoltato parlare, la ragione se ne va,"
fiore_11.csv,E’ me fu ricordato ch’i’ avea,e mi sono ricordato che avevo
fiore_11.csv,"Un grande Amico, lo qual mi solea","un amico leale, che di solito mi confortava"
fiore_11.csv,"In ognie mio sconforto confortare,",ogni volta che provavo disagio.
fiore_11.csv,"Sì ch’i’ no ’l misi guari a ritrovare,",L'ho trovato piuttosto in fretta.
fiore_11.csv,E disigli com’e’ si contenea,e gli disse come si comportava la Resistenza
fiore_11.csv,"Lo Schifo ver’ di me, e ch’e’ parea","verso di me, e che sembrava"
fiore_11.csv,Ch’al tutto mi volesse guereggiare.,Non voleva niente di meglio che combattere con me.
fiore_11.csv,"E que’ mi disse: «Amico, sta sicuro,","E quello mi disse: Amico, non preoccuparti,"
fiore_11.csv,Ché quello Schifo si à senpre in usanza,per esso è Resistenza Clostridi personalizzato
fiore_11.csv,Ch’a cominciar   si mostra acierbo e duro.,per essere amaro e duro all'inizio.
fiore_11.csv,Ritorna a•llui e non abie dottanza,Tornate da lui e non abbiate paura:
fiore_11.csv,"Con umiltà tosto l’avra’ maturo,","mostrando umiltà, lo ammorbidirai presto,"
fiore_11.csv,Già tanto non par   fel né san’ pietanza».,non importa quanto crudele e spietato possa sembrare.
fiore_12.csv,Tutto pien d’umiltà verso ’l giardino,Pieno di mansuetudine mi voltai indietro
fiore_12.csv,"Torna’mi, con’ Amico avea parlato,","verso il giardino, come l'Amico aveva detto che avrei dovuto,"
fiore_12.csv,"Ed i’ guardai, e sì ebi avisato",e guardai e vidi
fiore_12.csv,"Lo Schifo, con un gran baston di pino,","Resistenza, con un grande club fatto di pino,"
fiore_12.csv,"Ch’andava riturando ognie camino,","che bloccava ogni passaggio,"
fiore_12.csv,Che dentro a forza non vi fosse ’ntrato.,in modo che non potessi entrare.
fiore_12.csv,"Sì ch’io mi trassi a lui, e salutato","Così, mi avvicinai e lo salutai"
fiore_12.csv,"Umile mente l’ebi a capo chino,","mansuetamente con la testa piegata,"
fiore_12.csv,"E sì gli dissi: «Schifo, agie merzede","e gli disse: Resistenza, abbi pietà"
fiore_12.csv,"Di me, se ’nverso te feci alcun fallo,","su di me, se ti ho fatto del male,"
fiore_12.csv,"Chéd i’ sì son venuto a pura fede,",perché sono venuto in buona fede
fiore_12.csv,"A tua merzede,   e presto d’amendarlo».","per chiedere la vostra misericordia, e sono pronto a fare ammenda."
fiore_12.csv,"Que’ mi riguarda, e tuttor si provede","Mi fissa e, come fa, cerca di determinare"
fiore_12.csv,Ched i’ non dica ciò per inghanarlo.,se lo dico per ingannarlo.
fiore_13.csv,Sì com’i’ stava in far mia pregheria,Mentre supplicavo il mio caso
fiore_13.csv,"A quel fellon, ch’è sì pien d’arditeza,","a quel crudele che è così avventato,"
fiore_13.csv,"Lo Dio d’Amor sì vi man[dò] Francheza,",il Dio dell'Amore ha mandato sincerità e con la sua Misericordia
fiore_13.csv,"Co•llei Pietà, per sua anbascieria.",in una missione speciale in quel posto.
fiore_13.csv,"Francheza   cominciò la dicieria,","La sincerità ha iniziato il suo discorso,"
fiore_13.csv,"E disse: «Schifo, tu•ffai straneza","dicendo: Resistenza, sei più scortese"
fiore_13.csv,"A quel valletto, ch’è pien di largheza,",a quel giovane vassallo così generoso
fiore_13.csv,"E prode, e franco, sanza villania.","e valoroso e coraggioso, e certamente non volgare."
fiore_13.csv,Lo Dio d’Amor ti manda ch’e’ ti piaccia,Il Dio dell'Amore vuole farti sapere
fiore_13.csv,"Che•ttu non sie sì strano al su’ sergiente,","per non essere così scortese con il suo servo,"
fiore_13.csv,"Ché gran peccato fa, chi lui inpaccia;","perché chi lo ostacola commette un grande peccato,"
fiore_13.csv,Ma sòffera ch’e’ vada arditamente,ma lascialo andare liberamente
fiore_13.csv,"Per lo giardino, e no ’l metter in chaccia,",nel giardino Don't cacciarlo fuori! -
fiore_13.csv,"E guardi il Fior, che•ssì gli par aolente».",e lo lasci guardare il fiore che gli sembra così fragrante.
fiore_14.csv,"Pietà cominciò poi su’ parlamento,",Misericordia poi ha iniziato il suo discorso
fiore_14.csv,"Con lagrime bagniando il su’ visagio,","con lacrime che le scendono in faccia,"
fiore_14.csv,"Diciendo: «Schifo, tu faresti oltragio","dicendo: Resistenza, si sarebbe commettere un grande reato"
fiore_14.csv,Di non far grazia al meo domandamento.,se non accettassi la mia richiesta.
fiore_14.csv,Pregar ti fo che•tti si’a piacimento,Ti supplico che tu possa trovarlo nel tuo cuore.
fiore_14.csv,"Ch’a quel valletto, ch’è•ssì buon e saggio,","di non essere così crudele verso quel giovane vassallo,"
fiore_14.csv,"Tu non sie verso lui così salvaggio,","che è così buono e saggio,"
fiore_14.csv,Ché sai ch’e’ non à mal intendimento.,Perche' sai che non ha cattive intenzioni.
fiore_14.csv,"Or avén detto tutto nostr’affare,","Ora, vi abbiamo detto le nostre preoccupazioni,"
fiore_14.csv,"E la cagion, per che no’ siàn venute.",e il motivo per cui siamo venuti:
fiore_14.csv,Molt’è crudel chi per noi non vuol fare!,crudele è colui che non farà quello che chiediamo!
fiore_14.csv,Ancor ti manda molte di salute,Il povero compagno che hai diletto nell'abbandonare
fiore_14.csv,"Il lasso, chu’ ti piaque abandonare.",vi manda molti saluti:
fiore_14.csv,Fa che nostre preghiere gli sian valute!».,che le nostre preghiere lo aiutino in questo tempo di bisogno!
fiore_15.csv,"Lo Schifo disse: «Giente messagiere,","La resistenza rispose: ""Messaggeri nobili,"
fiore_15.csv,Egli è ben dritto ch’a vostra domanda,È giusto che io acceda alla sua richiesta.
fiore_15.csv,"I’ faccia grazia, e ragion lo comanda,","e la ragione lo ordina,"
fiore_15.csv,"Ché voi non siete orgolliose né fiere,","perché non siete né vani né orgogliosi,"
fiore_15.csv,Ma siete molto nobili parliere.,Ma voi siete degli oratori molto nobili.
fiore_15.csv,"Vengha il valetto, e vada, a sua comanda,","Il giovane può venire e andare a volontà,"
fiore_15.csv,"Ma non ched egli al Fior   sua mano ispanda,","ma a condizione che non cerchi di toccare il Fiore,"
fiore_15.csv,"Ch’a•cciò no•gli varrian vostre preghiere,",perché le tue preghiere non lo aiuteranno affatto in questo.
fiore_15.csv,"Perciò che•lla figluola Cortesia,","Per questo la figlia di Lady Courtesy,"
fiore_15.csv,"Bellacoglienza, ch’è dama del Fiore,","Fair Welcome, che è responsabile del Fiore,"
fiore_15.csv,Sì ’l mi porebe a gran ricredentia.,Pensavo che le mie buone maniere fossero maleducate.
fiore_15.csv,Ma fate che•lla Dama al Die d’Amore,Ma la madre del Dio dell'Amore
fiore_15.csv,Faccia a Bellacoglienza pregheria,"fare un appello a Fair Welcome per suo conto,"
fiore_15.csv,"Di lui, e che•lle schaldi un poco il core».",in modo che il suo cuore può essere riscaldato un po '.
fiore_16.csv,"Quand’i’ vidi lo Schifo sì adolzito,","Quando ho visto come la Resistenza era mollificata,"
fiore_16.csv,"Che solev’esser più amar che fele,",che di solito era più amaro di Gallo
fiore_16.csv,"Ed i’ ’l trova’ vie più dolcie che mele,","ma che ho trovato molto più dolce del miele,"
fiore_16.csv,Sapiate ch’i’ mi tenni per guerito.,Dovresti sapere che mi consideravo guarita.
fiore_16.csv,Nel giardin me n’andai molto gichito,Sono passato nel giardino in stato molto sottomesso
fiore_16.csv,"Per dotta di misfar a quel crudele,","per paura di offendere quel crudele,"
fiore_16.csv,E gli giurai a le sante,e gli ho giurato sui santi Vangeli
fiore_16.csv,Ch’e’ per me non sarebe mai marrito.,"che, a causa mia, non sarebbe mai stato angosciato."
fiore_16.csv,Allor mi disse: «I’ vo’ ben che•ttu venghi,"Poi mi disse: ""Voglio davvero che tu venga."""
fiore_16.csv,"Dentr’al giardin[o], sì com’e’ ti piace,","all'interno del giardino, siccome lo trovate piacevole,"
fiore_16.csv,Ma’ che lungi dal Fior le tue man tenghi.,a patto che tu tenga le mani lontane dal Fiore.
fiore_16.csv,Le buone donne fatt’ànno far pacie,Le buone donne hanno stabilito la pace
fiore_16.csv,"Tra me e te: or fa che•lla mantenghi,","tra me e te: ora assicurati di tenerlo,"
fiore_16.csv,Sì che verso di me non sie fallacie».,in modo da non tradire la mia fiducia.
fiore_17.csv,"Venusso, ch’è socorso degli amanti,","Venere, che viene in aiuto degli innamorati,"
fiore_17.csv,"Ven’ a Bellacoglienza col brandone,","è venuto a Fair Benvenuto con una torcia,"
fiore_17.csv,"E’ si rechava,   a guisa di penone,",che teneva come una lancia
fiore_17.csv,Per avanpar chiunque l’è davanti.,per dare fuoco a tutti quelli che incontra.
fiore_17.csv,"A voler racontar de’ suo’ senbianti,",Se si dovesse descrivere il suo aspetto
fiore_17.csv,"E de la sua tranobile fazone,","e la sua nobile disposizione,"
fiore_17.csv,Sarebe assai vie più lungo sermone,ci vorrebbe molto più tempo per dirlo
fiore_17.csv,Ch’a sermonar la vita a tutti i santi.,che raccontare la vita di tutti i Santi.
fiore_17.csv,Quando Bellacoglienza sentì ’l caldo,Quando Fair Welcome sentito il caldo
fiore_17.csv,"Di quel brandon,   che così l’avanpava,","di quella fiaccola che la faceva ardere,"
fiore_17.csv,Sì tosto fu ’l su’ cuor col mio saldo.,subito il suo cuore si unì al mio;
fiore_17.csv,"E Venusso, ch’a•cciò la confortava,","e Venere, che la esortava a questo,"
fiore_17.csv,"Si trasse verso lei col viso baldo,",spostato vicino a lei con un look potente
fiore_17.csv,Diciendo che ve•me troppo fallava:,e le disse che era molto in colpa per me.
fiore_18.csv,"«Tu falli tropo verso quell’Amante,»",Venere ha detto: Stai commettendo un grosso errore
fiore_18.csv,"Disse Venus[so] «che cotanto t’ama,",con quell'amante che ti ama tanto;
fiore_18.csv,"Néd i’ non so al mondo sì gran dama,",Non conosco nessuna grande signora al mondo
fiore_18.csv,"Che di lui dovess’eser rifusante,",che lo rifiuterebbe:
fiore_18.csv,"Ch’egli è giovane, bello e avenante,","perché è giovane, bello e affascinante,"
fiore_18.csv,"Cortese, franco e pro, di buona fama:","cortese, leale, audace e ben rispettato."
fiore_18.csv,"Promettili un basciar, e a•tte ’l chiama,","Promettigli un bacio e chiamalo da te,"
fiore_18.csv,Ch’e’ non à huon nel mondo più cielante».,perché nessuno al mondo è più discreto di lui.
fiore_18.csv,Bellacoglienza disse: «I’ vo’ che vegnia,Benvenuto giusto ha detto: Voglio che venga
fiore_18.csv,"E basci il Fior, che tanto gli è piacie[re],","e bacia il Fiore che ama così tanto,"
fiore_18.csv,"Ma ched e’ sagiamente si contegnia,",a condizione che si comporti saggiamente;
fiore_18.csv,"Che siate cierto, ch’e’ no•m’è spiaciere».",per voi dovrebbe sapere che questo non mi dispiace.
fiore_18.csv,«Or gli ne manda alcuna buona ’nsegna»,"Venere allora disse: ""Ora mandalo"
fiore_18.csv,"Disse Venùs, «e fagliele a sapere».",un buon segno e fargli sapere questo.
fiore_19.csv,Per Bel-Senbiante e per Dolze-Riguardo,Per mezzo di un'apparenza equa e di una dolce brillantezza
fiore_19.csv,Mi mandò la piaciente ch’i’ andasse,quella bella mi ha informato che dovrei entrare
fiore_19.csv,"Nel su’ giardin, e ch’io il Fior basciase,","il suo giardino e baciare il Fiore,"
fiore_19.csv,"Né non portasse   già lancia né dardo,","ma per non portare né lance né frecce,"
fiore_19.csv,Ché lo Schifo era fatto sì codardo,perché la Resistenza era diventata così codarda
fiore_19.csv,Ch’e’ [non] mi bisogniava ch’i ’l dottasse.,non c'era bisogno che io lo temessi;
fiore_19.csv,"Ma tuttor non volea ched i’ v’entrasse,",ma comunque non voleva che entrassi lì
fiore_19.csv,"Sed e’ non fosse nocte ben a tardo,",A meno che non fosse molto tardi di notte.
fiore_19.csv,Perciò che Chastità e Gielosia,Da castità e gelosia
fiore_19.csv,Sì ànno messo Paura e Vergognia,"hanno affidato a Fear e Modesty la sua guardia,"
fiore_19.csv,"In le’ guardar, che non faccia follia,",Lasciate che la speranza che lei non faccia nulla di stupido.
fiore_19.csv,"Ed un villan, che truov’ognie menzognia,","Inoltre, la sorveglia male cortesemente,"
fiore_19.csv,"La guarda, il qual fu nato in Normandia:","che inventa un branco di menzogne,"
fiore_19.csv,"Malabocha, «Que’ c’ognie mal sanpogna».","quello nato in Normandia, che è la fonte di ogni male."
fiore_20.csv,"Udendo quella nobile novella,",Sentire quella nobile storia
fiore_20.csv,"Che que’ gienti messagi m’aportaro,","mi sono stati portati da quei messaggeri cortesi,"
fiore_20.csv,Sì forte mente il cuor   mi confortaro,Ho provato tanta consolazione nel mio cuore.
fiore_20.csv,Che di gioia perde’ quasi la favella.,che per gioia ho quasi perso il potere della parola.
fiore_20.csv,"Nel giardin me n’anda’ tutto ’n gonella,","Nel giardino sono entrato nella mia gonella,"
fiore_20.csv,"Sanz’armadura, com’e’ comandaro,","senza armi, come avevano comandato."
fiore_20.csv,E sì trovai quella col viso chiaro.,"Lì ho trovato quello con la faccia risplendente,"
fiore_20.csv,"Bellacoglienza tosto a•ssé m’apella,","Benvenuto giusto, che mi ha chiamato subito a lei"
fiore_20.csv,"E disse: «Vien avanti e bascia ’l Fiore,","e disse: ""Passa avanti e bacia il Fiore;"
fiore_20.csv,"Ma guarda di far cosa che mi spiaccia,","ma non fare nulla che mi dispiaccia,"
fiore_20.csv,Ché•ttu ne perderesti ognie mio amore».,perché perderesti tutto il mio amore.
fiore_20.csv,"Sì ch’i’ alor feci croce de le braccia,","Così incrociai le braccia,"
fiore_20.csv,E sì ’l basciai co•molto gran tremore.,"e baciò il Fiore con grande tremore,"
fiore_20.csv,Sì forte ridottava suo minaccia.,così spaventoso ero io delle sue parole minacciose.
fiore_21.csv,Del molto olor ch’al cor m’entrò basciando,Della grande fragranza che è entrata nel mio cuore
fiore_21.csv,"Quel pretioso Fior, che tanto aulia,","quando ho baciato il fiore prezioso e profumato,"
fiore_21.csv,Contar né dir per me non si poria.,Non sono in grado di parlare o dire;
fiore_21.csv,Ma dirò come ’l mar s’andò   turbando,ma dirò come il mare è diventato tempestoso
