,Paradiso,Parafrasi
22," così de l’atto suo, per li occhi infuso ne l’imagine mia, il mio si fece, e fissi li occhi al sole oltre nostr’ uso","così dal suo atteggiamento infuso nella mia facoltà immaginativa nacque il mio, e fissai il sole al di là delle normali capacità umane"
23," Molto è licito là, che qui non lece a le nostre virtù, mercé del loco fatto per proprio de l’umana spece","Là nell'Eden sono permesse molte cose che non lo sono sulla Terra, grazie a quel luogo creato come proprio della specie umana"
24," Io nol soffersi molto, né sì poco, ch’io nol vedessi sfavillar dintorno, com’ ferro che bogliente esce del foco","Io non potei fissare il sole a lungo, ma neppure così poco da non vederlo sfavillare tutt'intorno, come un ferro incandescente appena uscito dal fuoco"
25," e di sùbito parve giorno a giorno essere aggiunto, come quei che puote avesse il ciel d’un altro sole addorno","e subito sembrò che al giorno ne fosse stato aggiunto un altro, come se Dio avesse adornato il cielo di un secondo sole"
26, Beatrice tutta ne l’etterne rote fissa con li occhi stava,Beatrice teneva lo sguardo fisso sulle ruote celesti
27," e io in lei le luci fissi, di là sù rimote"," e io fissai a mia volta lo sguardo su di lei, distogliendolo dal cielo"
28," Nel suo aspetto tal dentro mi fei, qual si fé Glauco nel gustar de l’erba che ’l fé consorto in mar de li altri dèi","Nel guardarla divenni dentro tale quale diventò Glauco quando mangiò l'erba, che lo trasformò in una divinità marina"
29, Trasumanar significar per verba non si poria,Elevarsi al di là dei limiti umani non si potrebbe spiegare a parole
30, però l’essemplo basti a cui esperïenza grazia serba, perciò basti l'esempio mitologico a coloro ai quali la grazia divina riserva l'esperienza diretta
31," S’i’ era sol di me quel che creasti novellamente, amor che ’l ciel governi, tu ’l sai, che col tuo lume mi levasti","Se io ero solo ciò che tu, amore che governi il Cielo, creasti per ultima , lo sai tu che mi sollevasti con la tua luce"
32," Quando la rota che tu sempiterni desiderato, ","Quando il movimento rotatorio dei Cieli, che tu rendi eterno col desiderio delle ruote celesti di avvicinarsi a te, "
33," a sé mi fece atteso con l’armonia che temperi e discerni, ","attirò la mia attenzione con l'armonia che tu regoli e stabilisci, "
34," parvemi tanto allor del cielo acceso de la fiamma del sol, che pioggia o fiume lago non fece alcun tanto disteso",il cielo mi sembrò a tal punto acceso dalla luce del sole che la pioggia o un fiume non crearono mai un lago tanto ampio
35, La novità del suono e ’l grande lume di lor cagion m’accesero un disio mai non sentito di cotanto acume,"La novità del suono e la luce intensa accesero in me il desiderio di conoscerne la causa, così acuto come non lo sentii mai"
36," Ond’ ella, che vedea me sì com’ io, a quïetarmi l’animo commosso, pria ch’io a dimandar, la bocca aprio e cominciò","Allora Lei, che leggeva nella mia mente come me stesso, prima che le chiedessi qualcosa aprì la bocca per placare il mio animo turbato e disse"
37," «Tu stesso ti fai grosso col falso imaginar, sì che non vedi ciò che vedresti se l’avessi scosso"," «Tu stesso ti rendi incapace di comprendere con una falsa immaginazione, così che non vedi ciò che vedresti se te fossi liberato"
38," Tu non se’ in terra, sì come tu credi","Tu non sei in Terra, così come credi"
39," ma folgore, fuggendo il proprio sito, non corse come tu ch’ad esso riedi»"," ma un fulmine, lasciando la sua sede naturale , non corse così velocemente come tu che torni al luogo che ti è proprio »"
40," S’io fui del primo dubbio disvestito per le sorrise parolette brevi, dentro ad un nuovo più fu’ inretito e dissi","Se io fui liberato dal primo dubbio grazie a quelle brevi e sorridenti parole, fui colto da un altro dubbio, e dissi"
41, «Già contento requïevi di grande ammirazion, «Ora la mia grande meraviglia si è placata
42, ma ora ammiro com’ io trascenda questi corpi levi», ma adesso mi stupisco di come io possa salire oltre questi corpi leggeri »
43," Ond’ ella, appresso d’un pïo sospiro, li occhi drizzò ver’ me con quel sembiante che madre fa sovra figlio deliro, e cominciò","Allora lei, dopo un sospiro devoto, mi guardò con l'aspetto di una madre che si rivolge al figlio che dice sciocchezze, e iniziò"
44," «Le cose tutte quante hanno ordine tra loro, e questo è forma che l’universo a Dio fa simigliante"," «Tutte le cose create sono ordinate fra loro, e questa è la forma che rende l'Universo simile a Dio"
45," Qui veggion l’alte creature l’orma de l’etterno valore, il qual è fine al quale è fatta la toccata norma","In questo ordine le creature razionali  vedono l'impronta della virtù divina, che è il fine ultimo di tutto l'ordine medesimo"
46," Ne l’ordine ch’io dico sono accline tutte nature, per diverse sorti, più al principio loro e men vicine","In quest'ordine che dico tutte le nature ricevono la loro inclinazione, in modi diversi, più o meno vicine al loro principio creatore "
47," onde si muovono a diversi porti per lo gran mar de l’essere, e ciascuna con istinto a lei dato che la porti","per cui tendono a diversi obiettivi nell'ampiezza dell'Universo, e ciascuna è spinta da un istinto dato ad essa"
48, Questi ne porta il foco inver’ la luna,Questo istinto porta il fuoco verso la luna
49, questi ne’ cor mortali è permotore,esso muove i cuori degli esseri irrazionali 
50, questi la terra in sé stringe e aduna,esso stringe e rende coesa la terra
51," né pur le creature che son fore d’intelligenza quest’ arco saetta, ma quelle c’hanno intelletto e amore","quest'istinto fa muovere non solo le creature prive di intelligenza, ma anche quelle dotate di anima razionale"
52," La provedenza, che cotanto assetta, del suo lume fa ’l ciel sempre quïeto nel qual si volge quel c’ha maggior fretta","La Provvidenza, che stabilisce tutto questo, fa sempre quieto con la sua luce il Cielo  nel quale ruota quello più veloce "
53," e ora lì, come a sito decreto, cen porta la virtù di quella corda che ciò che scocca drizza in segno lieto","e ci porta lì, come a un sito stabilito, la forza di quell'istinto naturale che indirizza a buon fine ogni essere che muove"
54," Vero è che, come forma non s’accorda molte fïate a l’intenzion de l’arte, perch’ a risponder la materia è sorda, ","È pur vero che, come la forma molte volte non corrisponde all'intenzione dell'artista, perché la materia non risponde come dovrebbe, "
55," così da questo corso si diparte talor la creatura, c’ha podere di piegar, così pinta, in altra parte","così talvolta la creatura razionale si allontana da questo corso, avendo il potere  di piegare in altra direzione, pur così ben indirizzata"
56," e sì come veder si può cadere foco di nube, sì l’impeto primo l’atterra torto da falso piacere","e come si può vedere un fulmine che cade da una nuvola, così l'istinto naturale può far tendere l'uomo verso il basso, attirato dal falso piacere dei beni terreni"
57," Non dei più ammirar, se bene stimo, lo tuo salir, se non come d’un rivo se d’alto monte scende giuso ad imo","Non devi più stupirti, se giudico correttamente, per il fatto che tu sali, se non come di un fiume che scorre dalla montagna a valle"
58," Maraviglia sarebbe in te se, privo d’impedimento, giù ti fossi assiso, com’ a terra quïete in foco vivo»","Ci sarebbe da stupirsi se tu, privo di impedimenti, fossi rimasto a terra, proprio come un fuoco che rimanesse quieto e non salisse verso l'alto»"
59, Quinci rivolse inver’ lo cielo il viso," Dopo le sue parole, Beatrice rivolse lo sguardo al Cielo"
61," O voi che siete in piccioletta barca, desiderosi d’ascoltar, seguiti dietro al mio legno che cantando varca, ","O voi lettori che siete in una piccola barca , desiderosi di ascoltare, che seguite dietro la mia nave che cantando solca il mare, "
62, tornate a riveder li vostri liti,tornate alle coste da cui siete partiti
63," non vi mettete in pelago, ché forse, perdendo me, rimarreste smarriti"," non vi inoltrate in mare aperto, poiché forse, perdendo la mia scia, vi perdereste"
64, L’acqua ch’io prendo già mai non si corse,L'acqua che io percorro non fu mai attraversata da nessuno
65," Minerva spira, e conducemi Appollo, e nove Muse mi dimostran l’Orse"," Minerva soffia i venti, e Apollo regge il timone, e le nove Muse mi indicano la giusta rotta"
66," Voialtri pochi che drizzaste il collo per tempo al pan de li angeli, del quale vivesi qui ma non sen vien satollo, ","Voi pochi, che vi siete nutriti per tempo del pane degli angeli  di cui qui sulla Terra si vive ma non ci si sazia mai, "
67," metter potete ben per l’alto sale vostro navigio, servando mio solco dinanzi a l’acqua che ritorna equale","voi vi potete inoltrare in alto mare con la vostra barca, seguendo la mia scia davanti all'acqua che ritorna uguale "
68," Que’ glorïosi che passaro al Colco non s’ammiraron come voi farete, quando Iasón vider fatto bifolco","Quei gloriosi  che giunsero nella Colchide, quando videro Giasone diventato contadino, non si meravigliarono tanto quanto farete voi"
69, La concreata e perpetüa sete del deïforme regno cen portava veloci quasi come ’l ciel vedete,"L'innata e continua sete del regno simile a Dio  ci portava in alto, veloci quasi come il movimento dei Cieli"
70," Beatrice in suso, e io in lei guardava",Beatrice guardava in alto e io in lei
71," e forse in tanto in quanto un quadrel posa e vola e da la noce si dischiava, "," e forse nello stesso breve tempo in cui una freccia viene scagliata dalla corda, vola e giunge al bersaglio, "
72, giunto mi vidi ove mirabil cosa mi torse il viso a sé, io arrivai dove uno spettacolo meraviglioso attirò il mio sguardo
73," e però quella cui non potea mia cura essere ascosa, volta ver’ me, sì lieta come bella, ","e perciò colei  alla quale nessun mio pensiero poteva essere nascosto, rivolta a me, tanto lieta quanto era bella,"
74," «Drizza la mente in Dio grata», mi disse, «che n’ha congiunti con la prima stella»"," «Rivolgi la tua mente ed esprimi gratitudine a Dio», mi disse, «che ci ha portati nella prima stella »"
75," Parev’ a me che nube ne coprisse lucida, spessa, solida e pulita, quasi adamante che lo sol ferisse","Mi sembrava che ci coprisse una nube luminosa, spessa, solida e tersa, simile a un diamante illuminato dal sole"
76," Per entro sé l’etterna margarita ne ricevette, com’ acqua recepe raggio di luce permanendo unita","La gemma eterna ci accolse dentro di sé, come l'acqua riceve il raggio di sole rimanendo unita"
77," S’io era corpo, e qui non si concepe com’ una dimensione altra patio, ","Se io avevo un corpo solido, e qui non si capisce come una dimensione poté sopportare l'altra, "
78," ch’esser convien se corpo in corpo repe, ","ciò che deve per forza succedere se un corpo penetra in un altro corpo, "
79, accender ne dovria più il disio di veder quella essenza in che si vede come nostra natura e Dio s’unio,ci dovrebbe accendere ancor più il desiderio di vedere quell'essenza  in cui si vede il mistero dell'incarnazione del divino
80," Lì si vedrà ciò che tenem per fede, non dimostrato, ma fia per sé noto a guisa del ver primo che l’uom crede","Lì, vedremo ciò che crediamo per mezzo della fede, non dimostrato razionalmente, ma reso noto come le verità a cui l'uomo crede"
81, Io rispuosi,Io risposi
82," «Madonna, sì devoto com’ esser posso più, ringrazio lui lo qual dal mortal mondo m’ha remoto"," «Mia signora, tanto devoto quanto non si può essere di più, io ringrazio Dio che mi ha separato dal mondo mortale"
83, Ma ditemi,Ma ditemi
84," che son li segni bui di questo corpo, che là giuso in terra fan di Cain favoleggiare altrui?»"," che cosa sono i segni oscuri  di questa stella, che laggiù in Terra inducono alcuni a favoleggiare di Caino?»"
85," Ella sorrise alquanto, e poi «S’elli erra l’oppinïon», mi disse, "," Lei sorrise un poco, e poi «Se l'opinione degli uomini è in errore», mi disse"
86," «d’i mortali dove chiave di senso non diserra, certo non ti dovrien punger li strali d’ammirazione omai, "," in quella materia in cui i sensi non forniscono spiegazioni adeguate, certo non ti dovresti stupire ormai, "
87, poi dietro ai sensi vedi che la ragione ha corte l’ali, poiché vedi che la ragione non può sempre andare dietro ai sensi
88, Ma dimmi quel che tu da te ne pensi»,Ma dimmi la tua opinione in merito»
89, E io, E io
90, «Ciò che n’appar qua sù diverso credo che fanno i corpi rari e densi», «Credo che le differenze di luminosità degli astri siano causate dalla differente densità del corpo stellare»
91, Ed ella,E lei
92," «Certo assai vedrai sommerso nel falso il creder tuo, se bene ascolti l’argomentar ch’io li farò avverso"," «Certo vedrai che il tuo pensiero è totalmente erroneo, se ascolti con attenzione le argomentazioni con cui io lo confuterò"
93," La spera ottava vi dimostra molti lumi, li quali e nel quale e nel quanto notar si posson di diversi volti","L'ottavo Cielo vi mostra molte stelle, le quali appaiono diverse per quantità e qualità"
94," Se raro e denso ciò facesser tanto, una sola virtù sarebbe in tutti, più e men distributa e altrettanto","Se ciò fosse causato solo dalla differente densità, allora in tutti sarebbe presente la medesima virtù, distribuita in misura maggiore, minore o uguale"
95," Virtù diverse esser convegnon frutti di princìpi formali, e quei, for ch’uno, seguiterieno a tua ragion distrutti","Invece è necessario che virtù diverse siano il prodotto di differenti principi formali, i quali secondo il tuo ragionamento sarebbero ridotti a uno solo "
96," Ancor, se raro fosse di quel bruno cagion che tu dimandi, o d’oltre in parte fora di sua materia sì digiuno esto pianeto, ","Inoltre, se la ragione che tu cerchi della diversa luminosità fosse la minore densità, allora questo pianeta  sarebbe privo di massa da una parte all'altra, "
97," o, sì come comparte lo grasso e ’l magro un corpo, così questo nel suo volume cangerebbe carte","oppure, come un corpo distribuisce in modo ineguale il grasso e il magro, così la Luna avrebbe differenza di massa al suo interno"
98," Se ’l primo fosse, fora manifesto ne l’eclissi del sol, per trasparere lo lume come in altro raro ingesto","Se fosse vera la prima ipotesi, ciò si vedrebbe durante le eclissi di sole, perché la luce solare trasparirebbe come fa quando è immessa in un altro corpo diafano"
99, Questo non è,Questo non succede
100, però è da vedere de l’altro, dunque resta da verificare l'altra ipotesi
101," e s’elli avvien ch’io l’altro cassi, falsificato fia lo tuo parere"," e se io confuterò anche quella, allora la tua opinione si dimostrerà falsa"
102," S’elli è che questo raro non trapassi, esser conviene un termine da onde lo suo contrario più passar non lassi","Se la Luna è rarefatta, non però da parte a parte, bisogna che ci sia un punto al di là del quale ci sia la massa solida"
103, e indi l’altrui raggio si rifonde così come color torna per vetro lo qual di retro a sé piombo nasconde,e da lì il raggio del sole si riflette proprio come la luce è riflessa da uno specchio 
104," Or dirai tu ch’el si dimostra tetro ivi lo raggio più che in altre parti, per esser lì refratto più a retro","Ora tu dirai che il raggio in quel punto più rarefatto è meno luminoso, poiché è riflesso più in profondità"
105," Da questa instanza può deliberarti esperïenza, se già mai la provi, ch’esser suol fonte ai rivi di vostr’ arti","Da questa obiezione può liberarti l'esperienza, se tu vorrai farla, la quale suole essere principio di tutta la vostra conoscenza"
106, Tre specchi prenderai,Prenderai tre specchi
107," e i due rimovi da te d’un modo, e l’altro, più rimosso, tr’ambo li primi li occhi tuoi ritrovi"," e ne porrai due a eguale distanza da te, e il terzo più lontano e posto al centro degli altri due"
108," Rivolto ad essi, fa che dopo il dosso ti stea un lume che i tre specchi accenda e torni a te da tutti ripercosso","Rivolto verso di essi, fa' in modo che dietro le spalle ti stia un lume che si rifletta in ugual modo nei tre specchi e che tu possa vederlo in tutti e tre"
109," Ben che nel quanto tanto non si stenda la vista più lontana, lì vedrai come convien ch’igualmente risplenda","Anche se lo specchio più lontano riflette il lume con minor dimensione, vedrai che in esso la luce splende con l'identica luminosità degli altri due"
110," Or, come ai colpi de li caldi rai de la neve riman nudo il suggetto e dal colore e dal freddo primai, ","Ora, come ai caldi raggi del sole la neve si scioglie e si trasforma in acqua, priva del colore e del freddo della neve stessa, "
111," così rimaso te ne l’intelletto voglio informar di luce sì vivace, che ti tremolerà nel suo aspetto","così io voglio dare nuova forma al tuo intelletto che è spoglio dell'errore, illuminandoti con una luce così intensa che nel suo aspetto ti sembrerà tremolante come quella di una stella"
112, Dentro dal ciel de la divina pace si gira un corpo ne la cui virtute l’esser di tutto suo contento giace,Nel Cielo della pace divina  ne ruota un altro  nella cui virtù giace l'essenza di ogni suo contenuto 
113," Lo ciel seguente, c’ha tante vedute, quell’ esser parte per diverse essenze, da lui distratte e da lui contenute","Il Cielo successivo , che ha tante stelle, divide quell'essenza fra tutti gli astri, distinti da esso e in esso racchiusi"
114, Li altri giron per varie differenze le distinzion che dentro da sé hanno dispongono a lor fini e lor semenze,"Gli altri Cieli dispongono le distinte virtù che hanno in se stessi in modi diversi, al fine di riversare sulla Terra le loro influenze e i fini voluti"
115," Questi organi del mondo così vanno, come tu vedi omai, di grado in grado, che di sù prendono e di sotto fanno","Questi organi dell'Universo procedono così come hai capito di Cielo in Cielo, in modo tale che ricevono un influsso dall'alto e lo riverberano verso il basso"
116," Riguarda bene omai sì com’ io vado per questo loco al vero che disiri, sì che poi sappi sol tener lo guado","Guarda bene il modo in cui io procedo verso la verità che desideri, così che poi saprai giungere da solo alla conclusione"
117," Lo moto e la virtù d’i santi giri, come dal fabbro l’arte del martello, da’ beati motor convien che spiri","Il movimento e la virtù delle ruote celesti devono procedere dalle intelligenze angeliche, come l'arte del martello deriva dal fabbro"
118," e ’l ciel cui tanti lumi fanno bello, de la mente profonda che lui volve prende l’image e fassene suggello",e il Cielo adornato da tante stelle  prende l'impronta di cui si fa sigillo dalla mente profonda  che lo fa ruotare
119," E come l’alma dentro a vostra polve per differenti membra e conformate a diverse potenze si risolve, ","E come l'anima umana dentro il vostro corpo mette in atto diverse potenze attraverso membra differenti e diversamente formate, "
120," così l’intelligenza sua bontate multiplicata per le stelle spiega, girando sé sovra sua unitate","così l'intelligenza angelica dispiega la sua bontà moltiplicata per le varie stelle, ruotando pur restando unita"
121," Virtù diversa fa diversa lega col prezïoso corpo ch’ella avviva, nel qual, sì come vita in voi, si lega","La virtù così diversificata si lega in modo diverso col prezioso corpo stellare a cui dà vita, nel quale si lega proprio come la vita in voi"
122," Per la natura lieta onde deriva, la virtù mista per lo corpo luce come letizia per pupilla viva","Poiché la virtù compenetrata nell'astro deriva da una natura gioiosa , essa risplende nel corpo stellare come la gioia brilla nella pupilla dell'occhio"
123," Da essa vien ciò che da luce a luce par differente, non da denso e raro","Da questo deriva il fatto che la luminosità degli astri è differente, non dalla diversa densità"
124," essa è formal principio che produce, conforme a sua bontà, lo turbo e ’l chiaro»"," essa  è il principio formale che produce, in modo conforme alla sua bontà, l'opacità e il chiarore»"
126," Quel sol che pria d’amor mi scaldò ’l petto, di bella verità m’avea scoverto, provando e riprovando, il dolce aspetto","Quel sole  che prima mi scaldò il petto di amore, mi aveva svelato il dolce aspetto della verità con argomentazioni a favore e contrarie"
127," e io, per confessar corretto e certo me stesso, tanto quanto si convenne leva’ il capo a proferer più erto","e io, per confessare che avevo corretto il mio errore ed ero sicuro di aver capito, alzai la testa più diritta quanto era necessario a parlare"
128," ma visione apparve che ritenne a sé me tanto stretto, per vedersi, che di mia confession non mi sovvenne","ma mi apparve una visione che attirò a sé il mio sguardo così strettamente, per guardarla, che non mi ricordai più della mia confessione"
129," Quali per vetri trasparenti e tersi, o ver per acque nitide e tranquille, non sì profonde che i fondi sien persi, ","Proprio come attraverso vetri trasparenti e chiari, oppure attraverso acque nitide e non turbate , "
130," tornan d’i nostri visi le postille debili sì, che perla in bianca fronte non vien men forte a le nostre pupille","tornano i riflessi dei nostri volti così evanescenti che una perla su una fronte bianca non colpisce meno debolmente i nostri occhi, "
131, tali vid’ io più facce a parlar pronte,così io vidi più facce di beati pronti a parlare
132, per ch’io dentro a l’error contrario corsi a quel ch’accese amor tra l’omo e ’l fonte,allora io incorsi nell'errore opposto a quello che accese amore tra Narciso e la sua immagine specchiata nell'acqua
133," Sùbito sì com’ io di lor m’accorsi, quelle stimando specchiati sembianti, per veder di cui fosser, li occhi torsi","Non appena mi accorsi degli spiriti, ritenendo che fossero immagini riflesse, mi voltai indietro per vedere di chi fossero"
134," e nulla vidi, e ritorsili avanti dritti nel lume de la dolce guida, che, sorridendo, ardea ne li occhi santi","e non vidi nulla, e tornai a guardare avanti negli occhi della mia dolce guida, che, sorridendo, ardeva nel suo sguardo pieno di santità"
135," «Non ti maravigliar perch’ io sorrida», mi disse, ","«Non ti stupire se io sorrido del tuo pensiero infantile», mi disse, "
136," «appresso il tuo püeril coto, poi sopra ’l vero ancor lo piè non fida, ma te rivolve, come suole, a vòto","dal momento che il tuo intelletto non è ancora sicuro dietro la verità, ma ti fa girare a vuoto come solitamente accade in questi casi"
137," vere sustanze son ciò che tu vedi, qui rilegate per manco di voto","ciò che tu vedi sono creature reali, relegate qui per inadempienza di voto"
138, Però parla con esse e odi e credi,Dunque parla con esse e credi a tutto quello che sentirai
139, ché la verace luce che le appaga da sé non lascia lor torcer li piedi»," infatti, la luce verace  che le rende felici non permette loro di allontanarsi dalla verità»"
140," E io a l’ombra che parea più vaga di ragionar, drizza’mi, e cominciai, quasi com’ uom cui troppa voglia smaga","E io mi rivolsi all'anima che sembrava più desiderosa di parlare, e cominciai, quasi come un uomo indebolito dall'eccessivo desiderio"
141," «O ben creato spirito, che a’ rai di vita etterna la dolcezza senti che, non gustata, non s’intende mai, ","«O spirito ben nato, che ai raggi della vita eterna senti una dolcezza incomprensibile se non è provata, "
142, grazïoso mi fia se mi contenti del nome tuo e de la vostra sorte»,mi sarà gradito se mi dirai il tuo nome e la vostra condizione»
143," Ond’ ella, pronta e con occhi ridenti","Allora lei, pronta e con occhi sorridenti"
144," «La nostra carità non serra porte a giusta voglia, se non come quella che vuol simile a sé tutta sua corte"," «La nostra carità non chiude la porta a un giusto desiderio, proprio come quella di Dio che vuole simile a sé tutto il Paradiso"
145, I’ fui nel mondo vergine sorella,Nel mondo io fui una suora
146," e se la mente tua ben sé riguarda, non mi ti celerà l’esser più bella, "," e se tu rifletti attentamente, il fatto che io sia più bella non ti nasconderà la mia identità, "
147," ma riconoscerai ch’i’ son Piccarda, che, posta qui con questi altri beati, beata sono in la spera più tarda"," ma mi riconoscerai come Piccarda Donati, che, posta qui con questi altri beati, sono nel Cielo più lento "
148," Li nostri affetti, che solo infiammati son nel piacer de lo Spirito Santo, letizian del suo ordine formati","I nostri sentimenti, che sono infiammati solo dal piacere dello Spirito Santo, gioiscono nell'adeguarsi al suo ordine"
149," E questa sorte che par giù cotanto, però n’è data, perché fuor negletti li nostri voti, e vòti in alcun canto»","E questa nostra condizione, che sembra tanto bassa, ci è stata data perché i nostri voti furono inadempiuti e trascurati in alcuni aspetti»"
150, Ond’ io a lei,Allora io le dissi
151, «Ne’ mirabili aspetti vostri risplende non so che divino che vi trasmuta da’ primi concetti, «Nel vostro meraviglioso aspetto risplende qualcosa di divino che vi rende diversi da come eravate in vita
152, però non fui a rimembrar festino,per questo non fui rapido nel ricordare
153," ma or m’aiuta ciò che tu mi dici, sì che raffigurar m’è più latino"," ma ora quello che mi dici mi aiuta, così che mi è più semplice raffigurarmi il tuo volto"
154, Ma dimmi,Ma dimmi
155," voi che siete qui felici, disiderate voi più alto loco per più vedere e per più farvi amici?»","voi che siete qui felici, desiderate essere in un luogo più alto per vedere Dio più da vicino ed essere in maggior comunione con Lui?»"
156, Con quelle altr’ ombre pria sorrise un poco,Con le altre anime dapprima sorrise un poco
157," da indi mi rispuose tanto lieta, ch’arder parea d’amor nel primo foco",poi mi rispose tanto lieta che sembrava ardere nell'amore dello Spirito Santo
158," «Frate, la nostra volontà quïeta virtù di carità, che fa volerne sol quel ch’avemo, e d’altro non ci asseta","«Fratello, la virtù di carità placa la nostra volontà, e ci induce a volere solo ciò che abbiamo e non ci fa desiderare altro"
159," Se disïassimo esser più superne, foran discordi li nostri disiri dal voler di colui che qui ne cerne","Se desiderassimo essere più in alto, i nostri desideri sarebbero discordi dalla volontà di Colui  che ci colloca qui"
160," che vedrai non capere in questi giri, s’essere in carità è qui necesse, e se la sua natura ben rimiri","e vedrai che questo non è possibile in questi Cieli, se qui è necessario essere in carità e se osservi bene la natura della carità stessa"
161," Anzi è formale ad esto beato esse tenersi dentro a la divina voglia, per ch’una fansi nostre voglie stesse","Anzi, alla nostra condizione di beati è essenziale conformarsi alla volontà divina, per cui tutti i nostri desideri diventano uno solo"
162," sì che, come noi sem di soglia in soglia per questo regno, a tutto il regno piace com’ a lo re che ’n suo voler ne ’nvoglia","cosicché a tutto il regno piace il modo in cui siamo disposti di Cielo in Cielo, e piace al re  che ci invoglia a uniformarci alla sua volontà"
163, E ’n la sua volontade è nostra pace,E nella sua volontà è la nostra pace
164, ell’ è quel mare al qual tutto si move ciò ch’ella crïa o che natura face»,essa è quel mare verso il quale si muove tutto ciò che essa crea o che la natura produce»
165," Chiaro mi fu allor come ogne dove in cielo è paradiso, etsi la grazia del sommo ben d’un modo non vi piove","Allora mi fu chiaro che ogni punto del Cielo è Paradiso, anche se la grazia del sommo bene  non vi viene irraggiata in un solo modo"
166," Ma sì com’ elli avvien, s’un cibo sazia e d’un altro rimane ancor la gola, ","Ma come accade quando un cibo sazia e di un altro rimane ancora il desiderio, "
167," che quel si chere e di quel si ringrazia, così fec’ io con atto e con parola, ","allorché si chiede di questo e si ringrazia di quello, così feci io negli atti e nelle parole "
168, per apprender da lei qual fu la tela onde non trasse infino a co la spuola,per sapere da lei quale fu la tela di cui non trasse la spola fino alla fine 
169," «Perfetta vita e alto merto inciela donna più sù», mi disse, ","«Una vita perfetta e un alto merito collocano in un Cielo più alto una donna», mi disse, "
170," «a la cui norma nel vostro mondo giù si veste e vela, ","secondo la cui regola sulla Terra ci si veste e si prende il velo, "
