Original,Translate_de_1
" vidi presso di me un veglio solo, degno di tanta reverenza in vista, che più non dee a padre alcun figliuolo","Und ich sah neben mir einen alten, einsamen Mann, der ihn ansah und ihn so sehr inspirierte, wie es ein Sohn seinem Vater schuldig war."
" Lunga la barba e di pel bianco mista portava, a’ suoi capelli simigliante, de’ quai cadeva al petto doppia lista","Und er trug einen langen Bart und schwarze und weiße Haare wie sein Haar, von denen zwei lange Zöpfe auf seine Brust fielen."
" Li raggi de le quattro luci sante fregiavan sì la sua faccia di lume, ch’i’ ’l vedea come ’l sol fosse davante","Und das Licht der vier heiligen Sterne erleuchtete sein Angesicht, daß ich ihn sah, als hätte er die Sonne vor sich."
" «Chi siete voi che contro al cieco fiume fuggita avete la pregione etterna?», ","Wer seid ihr, der auf dem Weg zum unterirdischen Fluß aus dem ewigen Gefängnis geflohen ist?"
" diss’ el, movendo quelle oneste piume",Und er sprach zu uns und bewegte diesen würdigen Bart.
" «Chi v’ha guidati, o che vi fu lucerna, uscendo fuor de la profonda notte che sempre nera fa la valle inferna? ","Wer hat euch geführt und was hat euch der Weg gezeigt, als ihr aus der tiefen Nacht herauskamt, die den Höllenbruch immer dunkel macht?"
 Son le leggi d’abisso così rotte? ,Sind die Gesetze des Abgrundes so wertlos?
" o è mutato in ciel novo consiglio, che, dannati, venite a le mie grotte?»","Oder ist im Himmel ein neues Gesetz erlassen worden, nach dem ihr, verdammt, zu den Felsen kommt, die ich bewahre?"
" Lo duca mio allor mi diè di piglio, e con parole e con mani e con cenni reverenti mi fé le gambe e ’l ciglio","Da ergriff mich mein Meister, und mit den Worten, mit den Händen und mit den Gesten verführte er mich, mich niederzuknien und niederzublicken."
 Poscia rispuose lui,Dann antwortete er ihm.
 «Da me non venni,Ich bin nicht aus eigener Initiative hergekommen.
" donna scese del ciel, per li cui prieghi de la mia compagnia costui sovvenni","Da kam eine Frau aus dem Himmel, um deren Gebete ich ihm half mit meiner Hilfe."
" Ma da ch’è tuo voler che più si spieghi di nostra condizion com’ ell’ è vera, esser non puote il mio che a te si nieghi","Aber da Ihr Wunsch darin besteht, dass wir Ihnen unseren Zustand näher erklären, ist es nicht möglich, dass mein Wunsch von Ihrem"
 Questi non vide mai l’ultima sera,Er ist nie gestorben.
" ma per la sua follia le fu sì presso, che molto poco tempo a volger era","Aber wegen seiner Sünde war er so nahe daran, daß es nicht lange dauern würde."
" Sì com’ io dissi, fui mandato ad esso per lui campare","Wie ich dir gesagt habe, wurde ich gesandt, um ihm zu helfen."
 e non lì era altra via che questa per la quale i’ mi son messo,"Und es gab keinen anderen Weg als diesen, auf den ich mich mit ihm hingezogen habe."
 Mostrata ho lui tutta la gente ria,Ich habe ihm alle verdammten gezeigt.
 e ora intendo mostrar quelli spirti che purgan sé sotto la tua balìa,"Jetzt will ich ihm zeigen, welche Seelen sich in deiner Obhut reinigen."
" Com’ io l’ho tratto, saria lungo a dirti","Es wäre lang, dir zu erklären, wie ich ihn hierher gebracht habe."
 de l’alto scende virtù che m’aiuta conducerlo a vederti e a udirti,"Aus dem Himmel kommt eine Tugend, die mir hilft, sie hierher zu bringen, um dich zu sehen und zu hören"
 Or ti piaccia gradir la sua venuta,"Jetzt bitte ich dich, ihr Kommen zu begrüßen."
" libertà va cercando, ch’è sì cara, come sa chi per lei vita rifiuta","geht nach der Freiheit, die sehr kostbar ist, wie er weiß, wer in seinem Namen sein Leben aufgibt"
" Tu ’l sai, ché non ti fu per lei amara in Utica la morte, ove lasciasti la vesta ch’al gran dì sarà sì chiara","Du weißt es wohl; denn du warst in der Freiheit dem Tod gegenüber Utica gegenüber, wo du den Leib ließst, den der Tag des Gerichts leuchten wird."
" Non son li editti etterni per noi guasti, ché questi vive e Minòs me non lega","Die ewigen Edikte sind nicht von uns zerbrochen, denn Dante ist am Leben, und Minos hat keine Macht über mich."
" ma son del cerchio ove son li occhi casti di Marzia tua, che ’n vista ancor ti priega, o santo petto, che per tua la tegni","Denn ich komme aus dem Kreis, wo die reinen Augen deines Weibes Marsja sind, daß du sie siehst, daß sie dich begehre, o heilige Brust."
 per lo suo amore adunque a noi ti piega,"im Namen seiner Liebe, so beuge dich zu uns"
 Lasciane andar per li tuoi sette regni,Lassen Sie uns durch die sieben Rahmen des Fegefeuers gehen
" grazie riporterò di te a lei, se d’esser mentovato là giù degni»","Ich will dir danken vor ihr, wenn du akzeptierst, daß du daselbst erwähnt wirst."
" «Marzïa piacque tanto a li occhi miei mentre ch’i’ fu’ di là», ","So lange ich am Leben war, war Marsija so geliebt in meinen Augen."
" diss’ elli allora, ",Da sagte er:
" «che quante grazie volse da me, fei",daß ich alle seine Begierden erhörte
" Or che di là dal mal fiume dimora, più muover non mi può, per quella legge che fatta fu quando me n’usci’ fora","Nun, da er jenseits des Höllenstroms wohnt, kann er mich nicht mehr bewegen nach dem Gesetz, das da ward, da ich herauskam."
" Ma se donna del ciel ti move e regge, come tu di’, non c’è mestier lusinghe","Wenn aber eine selige Frau, wie du sagst, deine Schritte bewegt, so sollen sie nicht schmeicheln."
 bastisi ben che per lei mi richegge,"ist genug, mich in seinem Namen zu beten"
" Va dunque, e fa che tu costui ricinghe d’un giunco schietto e che li lavi ’l viso, sì ch’ogne sucidume quindi stinghe","Geh hin und gürte seine Hüften mit einem glatten Bein und wusch sein Angesicht, daß er alles Schmutze von ihm wegnehme."
" ché non si converria, l’occhio sorpriso d’alcuna nebbia, andar dinanzi al primo ministro, ch’è di quei di paradiso","Denn es wäre nicht angebracht, vor dem Premierminister des Paradieses mit einem Auge zu erscheinen, das durch einen Nebel verhüllt ist."
" Questa isoletta intorno ad imo ad imo, là giù colà dove la batte l’onda, porta di giunchi sovra ’l molle limo","Diese kleine Insel, in ihren unteren Teilen, wo sie von den Wellen geschlagen wird, ist voll von Sicheln auf dem weichen Schlamm"
" null’ altra pianta che facesse fronda o indurasse, vi puote aver vita, però ch’a le percosse non seconda","Keine andere Pflanze, die Schwalben oder einen starren Stamm hat, kann darin wachsen; denn sie würde sich nicht verbiegen vor den Wellen."
 Poscia non sia di qua vostra reddita,Dann seid ihr nicht auf dieser Seite.
" lo sol vi mosterrà, che surge omai, prendere il monte a più lieve salita»","Die Sonne, die jetzt aufgeht, zeigt Ihnen die Richtung, wo Sie einen einfachen Zugang zum Berg finden"
 Così sparì,Also verschwand er.
" e io sù mi levai sanza parlare, e tutto mi ritrassi al duca mio, e li occhi a lui drizzai","Und ich stand auf, ohne zu reden, und zog mich zu meinem Führer und wandte meinen Blick auf ihn."
 El cominciò,Er begann
" «Figliuol, segui i miei passi","Mein Sohn, folge meinen Schritten."
" volgianci in dietro, ché di qua dichina questa pianura a’ suoi termini bassi»","Gehen wir zurück, denn von hier geht die Ebene sanft zum tiefsten Punkt zurück."
" L’alba vinceva l’ora mattutina che fuggia innanzi, sì che di lontano conobbi il tremolar de la marina","Das Licht der Morgendämmerung besiegte die letzte Stunde der Nacht, die vor ihr floh, und ich sah von ferne das Erdbeben der Meeresoberfläche."
" Noi andavam per lo solingo piano com’ om che torna a la perduta strada, che ’nfino ad essa li pare ire in vano","Wir gingen hinauf in die einsame Ebene, wie jemand, der den verlorenen Weg wiederfindet und bis dahin glaubte, umsonst zu gehen."
" Quando noi fummo là ’ve la rugiada pugna col sole, per essere in parte dove, ad orezza, poco si dirada, ","Als wir dort waren, wo der Tau mit der Sonne kämpft; denn er ist da, wo Schatten ist, und verdunstet wenig,"
 ambo le mani in su l’erbetta sparte soavemente ’l mio maestro pose,"Und mein Meister legte beide Hände auf die Herbe, mit offenen Palmen."
" ond’ io, che fui accorto di sua arte, porsi ver’ lui le guance lagrimose","Dann habe ich verstanden, was er tun wollte, seine Wangen noch schmutzigen Weinens auf ihn zu legen."
 ivi mi fece tutto discoverto quel color che l’inferno mi nascose,"er entdeckte mir die Farbe des Gesichts, das die Hölle versteckt hatte"
" Venimmo poi in sul lito diserto, che mai non vide navicar sue acque omo, che di tornar sia poscia esperto","Und da wir in die Wüste kamen, sah er niemanden segeln, der wieder umkehren konnte."
 Quivi mi cinse sì com’ altrui piacque,"Hier hat Virgil mich gegürtet, wie Cato zu ihm gesagt hat."
 oh maraviglia,Was für ein Wunder.
" ché qual elli scelse l’umile pianta, cotal si rinacque subitamente là onde l’avelse","Denn nachdem er die demütige Pflanze, die er erwählt hatte, zerrissen hatte, kam sie sogleich wieder, wie sie an derselben Stelle war."
 Già era ’l sole a l’orizzonte giunto lo cui meridïan cerchio coverchia Ierusalèm col suo più alto punto,"Die Sonne war bereits an den Horizont gekommen, dessen Meridian Jerusalem mit seinem höchsten Punkt überragt"
" e la notte, che opposita a lui cerchia, uscia di Gange fuor con le Bilance, che le caggion di man quando soverchia","Und die Nacht, die sich gegen die Sonne drehte, kam aus dem Ganges in Verbindung mit der Waage, und es ist nicht so, wenn seine Länge die des Tages übersteigt."
" sì che le bianche e le vermiglie guance, là dov’ i’ era, de la bella Aurora per troppa etate divenivan rance","So wurden die weißen und roten Wangen der schönen Aurora, da ich war, orange im Laufe der Zeit."
" Noi eravam lunghesso mare ancora, come gente che pensa a suo cammino, che va col cuore e col corpo dimora","Wir waren noch auf dem Lido, wie jemand, der den Weg denkt, den er tun soll, und er ist bereit zu begehren, aber zögert mit dem Leibe."
" Ed ecco, qual, sorpreso dal mattino, per li grossi vapor Marte rosseggia giù nel ponente sovra ’l suol marino, ","Und siehe da, wenn der Mars vom Morgen verschwommen ist, strahlt er von dicken Dämpfen nach Westen auf der Meeresoberfläche,"
" cotal m’apparve, s’io ancor lo veggia, un lume per lo mar venir sì ratto, che ’l muover suo nessun volar pareggia","so erschien mir ein Licht, das aus dem Meer kam, so schnell, daß kein Vogel sich so schnell bewegte."
" Dal qual com’ io un poco ebbi ritratto l’occhio per domandar lo duca mio, rividil più lucente e maggior fatto","Als ich den Blick von ihr ablenkte, um meinen Meister zu fragen, sah ich ihn heller und größer."
" Poi d’ogne lato ad esso m’appario un non sapeva che bianco, e di sotto a poco a poco un altro a lui uscìo","Und es schien mir an jeder Seite von ihr, daß ich einen unabsehbaren Weißen sah, und nach und nach erschien unter ihm ein anderer."
" Lo mio maestro ancor non facea motto, mentre che i primi bianchi apparver ali","Und mein Lehrer sprach nichts, bis der erste weißliche Flügel erschien."
" allor che ben conobbe il galeotto, gridò","Und da er den Knöchel kannte, schrie er mich."
" «Fa, fa che le ginocchia cali","Auf, auf, faltet die Knie"
 Ecco l’angel di Dio,Hier ist der Engel Gottes
 piega le mani,Hände vereinen
 omai vedrai di sì fatti officiali,Jetzt wirst du solche Minister sehen.
" Vedi che sdegna li argomenti umani, sì che remo non vuol, né altro velo che l’ali sue, tra liti sì lontani","Sieh, wie er menschliche Werkzeuge ablehnt, so daß er nicht will, daß er rudere, noch ein anderes Segel, das nicht seine Flügel ist, wenn auch an so weit entfernten Orten."
" Vedi come l’ha dritte verso ’l cielo, trattando l’aere con l’etterne penne, che non si mutan come mortal pelo»","Sieh, wie er sie direkt zum Himmel hält, indem er die Luft mit ewigen Federn spaltet, die nicht wie sterbliche Federn fallen."
" Poi, come più e più verso noi venne l’uccel divino, più chiaro appariva","Und als der göttliche Vogel zu uns kam, erschien er deutlicher."
" per che l’occhio da presso nol sostenne, ma chinail giuso","Da hielten meine Augen ihren Blick nicht nah, sondern ich ward gezwungen, sie nach unten zu beugten."
" e quei sen venne a riva con un vasello snelletto e leggero, tanto che l’acqua nulla ne ’nghiottiva","Und er kam ans Ufer mit einem kleinen, schmalen Boot, so daß er nicht ins Wasser fiel."
" Da poppa stava il celestial nocchiero, tal che faria beato pur descripto","Der göttliche Herrscher stand am Heck, und er war so selig, daß er ihn allein beschreiben würde."
 e più di cento spirti entro sediero,Und im Boot saßen mehr als hundert Geister.
 ‘In exitu Isräel de Aegypto’ cantavan tutti insieme ad una voce con quanto di quel salmo è poscia scripto,"Alle sangen mit einer Stimme den Psalm bei der Flucht Israels aus Ägypten, auch mit den folgenden Versen:"
 Poi fece il segno lor di santa croce,Und er machte ihnen das Zeichen des Kreuzes.
 ond’ ei si gittar tutti in su la piaggia,Und sie fielen alle auf den Strand.
" ed el sen gì, come venne, veloce","und er ging, so schnell, wie er gekommen war"
" La turba che rimase lì, selvaggia parea del loco, rimirando intorno come colui che nove cose assaggia","Die Gruppe der Seelen, die dort blieb, schien von dem Ort unerfahren zu sein, und sah sich um wie der, der neue Dinge experimentiert."
" Da tutte parti saettava il giorno lo sol, ch’avea con le saette conte di mezzo ’l ciel cacciato Capricorno, ","Die Sonne sättete den Tag von allen Seiten und warf den Steinbock mit den unfehlbaren Pfeilen vom Mittelpunkt des Himmels,"
" quando la nova gente alzò la fronte ver’ noi, dicendo a noi",als die Neuankömmlinge zu uns kamen und uns sagten:
" «Se voi sapete, mostratene la via di gire al monte»","Wenn ihr es wißt, dann zeigt uns den Weg zum Berg."
 E Virgilio rispuose,Und Virgil antwortete ihm.
 «Voi credete forse che siamo esperti d’esto loco,"Sie glauben vielleicht, dass wir hier erfahren sind."
 ma noi siam peregrin come voi siete,Aber wir sind Fremdlinge wie ihr.
" Dianzi venimmo, innanzi a voi un poco, per altra via, che fu sì aspra e forte, che lo salire omai ne parrà gioco»","Wir sind gerade erst angekommen, kurz vor euch, durch eine andere Straße, die so schwer war, dass der Aufstieg des Berges im Vergleich zu uns wie ein Scherz aussehen wird."
" L’anime, che si fuor di me accorte, per lo spirare, ch’i’ era ancor vivo, maravigliando diventaro smorte","Die Seelen, die erkannt hatten, daß ich am Leben war, als sie mich atmen sahen, verblassen vor Erstaunen."
" E come a messagger che porta ulivo tragge la gente per udir novelle, e di calcar nessun si mostra schivo, ","Und wie die Leute um den Boten strömen, der Nachrichten des Friedens bringt, und niemand erweist sich als zornig, sich einzumischen,"
" così al viso mio s’affisar quelle anime fortunate tutte quante, quasi oblïando d’ire a farsi belle","Und die glücklichen Seelen nahmen sich alle um mein Angesicht her und vergaßen, daß sie hingingen und sich reinigten."
" Io vidi una di lor trarresi avante per abbracciarmi con sì grande affetto, che mosse me a far lo somigliante","Und ich sah eine von ihnen treten, um mich zu umarmen, mit so großer Zuneigung, daß sie mich bewogen, dasselbe zu tun."
" Ohi ombre vane, fuor che ne l’aspetto","Oh, keine Schatten, außer im Aussehen."
" tre volte dietro a lei le mani avvinsi, e tante mi tornai con esse al petto","dreimal versuchte ich, sie mit den Händen zu umarmen, und ich fand sie leer in meiner Brust."
" Di maraviglia, credo, mi dipinsi","Ich glaube, ich bin sehr überrascht."
" per che l’ombra sorrise e si ritrasse, e io, seguendo lei, oltre mi pinsi","Da lächelte der Schatten und zog sich auseinander, und ich folgte ihr nach und stieß mich ein wenig weiter."
 Soavemente disse ch’io posasse,"Sanft sagte er mir, ich solle aufhören."
" allor conobbi chi era, e pregai che, per parlarmi, un poco s’arrestasse","Da erkannte ich ihn und bat ihn, ein wenig zu bleiben und mit mir zu reden."
 Rispuosemi,Er antwortete mir.
" «Così com’ io t’amai nel mortal corpo, così t’amo sciolta","Wie ich dich im sterblichen Leibe geliebt habe, so liebe ich dich jetzt, da ich eine Seele bin."
 però m’arresto,"Deswegen halte ich an,"
 ma tu perché vai?»,Aber warum bist du hier?
" «Casella mio, per tornar altra volta là dov’ io son, fo io questo vïaggio», diss’ io","Ich mache diese Reise, um wieder hierher zu kommen, wo ich mich befinde, sagte ich"
 «ma a te com’ è tanta ora tolta?»,Aber warum kommst du erst jetzt hierher?
 Ed elli a me,Und er zu mir
" «Nessun m’è fatto oltraggio, se quei che leva quando e cui li piace, più volte m’ha negato esto passaggio","""Es ist mir kein Unrecht getan worden, wenn der Engel, der wann und wen er will, mich immer wieder verleugnet hat, mich hierher zu bringen."
 ché di giusto voler lo suo si face,Denn sein Wille ist nach dem göttlichen Willen.
" veramente da tre mesi elli ha tolto chi ha voluto intrar, con tutta pace","Aber drei Monate lang hat er alle, die hinaufziehen wollten, auf das Schiff aufgenommen, ohne sich dagegen zu wehren."
" Ond’ io, ch’era ora a la marina vòlto dove l’acqua di Tevero s’insala, benignamente fu’ da lui ricolto","Und ich, der ich ans Meer ging, wo der Tiber hinführte, wurde von ihm wohlgefällig aufgenommen."
" A quella foce ha elli or dritta l’ala, però che sempre quivi si ricoglie qual verso Acheronte non si cala»","Jetzt hat er den Flügel in Richtung der Mündung gerichtet, denn jede Seele, die nicht zur Hölle bestimmt ist, sammelt sich dort immer wieder."
 E io,Und ich
" «Se nuova legge non ti toglie memoria o uso a l’amoroso canto che mi solea quetar tutte mie doglie, ","Wenn dir ein neues Gesetz nicht das Gedächtnis oder die Gewohnheit des liebevollen Gesangs wegnimmt, der all meine Wünsche besänftigt hat,"
" di ciò ti piaccia consolare alquanto l’anima mia, che, con la sua persona venendo qui, è affannata tanto»","mit ihm bitte trösten Sie ein wenig meine Seele, die herkommen mit dem physischen Körper ist so müde"
" ‘Amor che ne la mente mi ragiona’ cominciò elli allor sì dolcemente, che la dolcezza ancor dentro mi suona","Da fing er an zu singen Amor, daß mein Sinn so sanft ist, daß die Süße des Gesangs noch in mir hallt."
" Lo mio maestro e io e quella gente ch’eran con lui parevan sì contenti, come a nessun toccasse altro la mente","Mein Meister und ich und jene Seelen, die mit ihm waren, schienen so zufrieden zu sein, als ob unser Verstand von keinem Gedanken berührt würde."
 Noi eravam tutti fissi e attenti a le sue note,"Wir waren alle an den Notizen interessiert,"
 ed ecco il veglio onesto gridando,"und siehe, da kam der würdige alte Mann, der schrie."
" «Che è ciò, spiriti lenti? ","Was bedeutet das, langsame Geister?"
" qual negligenza, quale stare è questo? ","Welche Nachlässigkeit, welche Verzögerung ist das?"
 Correte al monte a spogliarvi lo scoglio ch’esser non lascia a voi Dio manifesto»,"Lauft zum Berg und erhebet euch die Schale, die euch nicht erlaubt, Gott zu sehen"
" Come quando, cogliendo biado o loglio, li colombi adunati a la pastura, queti, sanza mostrar l’usato orgoglio, ","Wie wenn die Tauben, erwischt Bada oder Lob, versammelt zum Essen, ruhig und ohne den üblichen Stolz,"
" se cosa appare ond’ elli abbian paura, subitamente lasciano star l’esca, perch’ assaliti son da maggior cura","wenn etwas erscheint, das sie ängstlich macht, lassen sie sofort ihr Essen, weil sie von größerer Sorge angegriffen werden."
" così vid’ io quella masnada fresca lasciar lo canto, e fuggir ver’ la costa, com’ om che va, né sa dove rïesca","Also sah ich diese Seelen, sobald ihr gekommen seid, den Gesang zu verlassen und zum Berg zu laufen wie jemand, der ohne genaues Ziel geht."
 né la nostra partita fu men tosta,Und unser Entrinnen war nicht weniger übereilt.
" Avvegna che la subitana fuga dispergesse color per la campagna, ","Obwohl die plötzliche Flucht die Seelen am Strand zerstreut hatte,"
" rivolti al monte ove ragion ne fruga, i’ mi ristrinsi a la fida compagna","zu dem Berge, wo uns die göttliche Gerechtigkeit quält, und ich hielt mich fest an meine treue Führung."
 e come sare’ io sanza lui corso? chi m’avria tratto su per la montagna? El mi parea da sé stesso rimorso,Und wie würde ich ohne ihn gehen? Wer würde mich auf den Berg steigen lassen?
" o dignitosa coscïenza e netta, come t’è picciol fallo amaro morso","oder ein reines, würdiges Gewissen, welches bittere Qual in dir den geringsten Fehler verursacht"
" Quando li piedi suoi lasciar la fretta, che l’onestade ad ogn’ atto dismaga, ","Als seine Füße die Eile hinterließen, die die Dekoration bei jeder Handlung herabsetzte,"
" la mente mia, che prima era ristretta, ","Mein Verstand, der zuerst auf einen einzigen Gedanken fixiert war,"
" lo ’ntento rallargò, sì come vaga, e diedi ’l viso mio incontr’ al poggio che ’nverso ’l ciel più alto si dislaga","Da sie sich ausbreitete, wie sie willens ward, etwas anderes zu sehen, schaute ich auf den Berg, der aufgeht in den Himmel, der höher ist denn jeder andere."
" Lo sol, che dietro fiammeggiava roggio, rotto m’era dinanzi a la figura, ch’avëa in me de’ suoi raggi l’appoggio","Die Sonne, die hinter meinem Rücken rot schien, wurde vor mir von meinem Leibe unterbrochen, der seinen Strahlen im Wege stand."
" Io mi volsi dallato con paura d’essere abbandonato, quand’ io vidi solo dinanzi a me la terra oscura","Und ich wandte mich zur Seite und fürchtete mich, verlassen zu werden, da ich sah, daß der Schatten allein vor mir war."
 e ’l mio conforto,und mein Trost
" «Perché pur diffidi?», a dir mi cominciò tutto rivolto","Wieso mißtraust du mir immer wieder? Er fing an, mir mit großer Aufmerksamkeit zu sagen."
 «non credi tu me teco e ch’io ti guidi? Vespero è già colà dov’ è sepolto lo corpo dentro al quale io facea ombra,"Glaubst du nicht, daß ich bei dir bin und dich führe? Es ist schon Abend, da der Leib begraben ist, in dem ich Schatten gemacht habe?"
" Napoli l’ha, e da Brandizio è tolto",ist in Neapel und wurde dort von Brindisi übertragen
" Ora, se innanzi a me nulla s’aombra, non ti maravigliar più che d’i cieli che l’uno a l’altro raggio non ingombra","Wenn ich nun nicht einen Schatten vor mir zünde, so verwundere dich nicht mehr darüber, daß der Himmel nicht den Übergang des Lichts von einem zu einem anderen verhindere."
" A sofferir tormenti, caldi e geli simili corpi la Virtù dispone che, come fa, non vuol ch’a noi si sveli","Der göttliche Wille bewirkt, dass Körper wie diese körperliche Qualen, Hitze und Frost leiden, und will nicht, dass wir wissen, wie das möglich ist"
 Matto è chi spera che nostra ragione possa trascorrer la infinita via che tiene una sustanza in tre persone,"Es ist verrückt, wer hofft, dass unsere Vernunft den unendlichen Weg gehen kann, der eine Substanz in drei Personen hält."
" State contenti, umana gente, al quia","Seid geduldig, Männer, von diesem"
" ché, se potuto aveste veder tutto, mestier non era parturir Maria","Denn wenn ihr alles gesehen hättet, hätte Maria nicht Jesus gebären müssen."
" e disïar vedeste sanza frutto tai che sarebbe lor disio quetato, ch’etternalmente è dato lor per lutto","Und ihr habt gesehen, daß die Philosophen vergeblich so tief waren, daß sie, wenn es möglich wäre, ihre Begierde stillen würden, die aber ihre ewige Strafe ist."
 io dico d’Aristotile e di Plato e di molt’ altri»,"Ich rede von Aristoteles, Plato und vielen anderen."
" e qui chinò la fronte, e più non disse, e rimase turbato","Und dann neigte er seine Stirn, ohne daß er sonst noch etwas hinzufügte, und machte sich unruhig."
 Noi divenimmo intanto a piè del monte,Wir waren am Fuße des Berges.
" quivi trovammo la roccia sì erta, che ’ndarno vi sarien le gambe pronte","Hier fanden wir die Felswand so steil, dass wir umsonst versuchten, sie mit unseren Beinen zu klettern."
" Tra Lerice e Turbìa la più diserta, la più rotta ruina è una scala, verso di quella, agevole e aperta",Der zerklüfteteste Fels in Ligurien im Vergleich zu dem ist eine Treppe leicht zugänglich
" «Or chi sa da qual man la costa cala», ","Jetzt frage ich mich, wo die Wand weniger steil ist."
" disse ’l maestro mio fermando ’l passo, ",Sagte mein Meister und stoppte den Schritt
 «sì che possa salir chi va sanz’ ala?»,"Damit diejenigen, die nicht mit Flügeln ausgestattet sind, aufsteigen können?"
" E mentre ch’e’ tenendo ’l viso basso essaminava del cammin la mente, e io mirava suso intorno al sasso, ","Und als er seinen Blick auf den Boden hielt, dachte er über den Weg nach, den er gehen sollte, und ich schaute nach oben um den Felsen,"
" da man sinistra m’apparì una gente d’anime, che movieno i piè ver’ noi, e non pareva, sì venïan lente","Und ich sah von links eine Gruppe von Seelen kommen, die zu uns gingen, und es schien nicht so sehr, daß sie langsam vorangingen."
" «Leva», diss’ io, «maestro, li occhi tuoi","Ich sprach: Meister, erhebe deinen Blick"
" ecco di qua chi ne darà consiglio, se tu da te medesmo aver nol puoi»","Das ist der, der uns Anweisungen geben wird, wenn du sie nicht von dir selbst finden kannst."
" Guardò allora, e con libero piglio rispuose","Und er sah zu, und mit heiterem Aussehen antwortete er."
" «Andiamo in là, ch’ei vegnon piano",Und laßt uns hinübergehen; denn sie werden uns nachsichtig sein.
" e tu ferma la spene, dolce figlio»","und du wirst deine Hoffnung stärken, süßer Sohn."
" Ancora era quel popol di lontano, i’ dico dopo i nostri mille passi, quanto un buon gittator trarria con mano, ","Nachdem wir tausend Schritte zurückgelegt hatten, entfernte diese Schar immer noch den Raum, den ein guter Werfer bedecken würde, indem er einen Stein mit seiner Hand schleuderte,"
" quando si strinser tutti ai duri massi de l’alta ripa, e stetter fermi e stretti com’ a guardar, chi va dubbiando, stassi","da sie alle an der felsigen Wand des Berges hingen und standen da, wie er stand und sah, wer hingeht, und es zweifelte."
" «O ben finiti, o già spiriti eletti», Virgilio incominciò, ","Virgilio fing an, tote Geister in der Gnade Gottes und erwählt zum Heil,"
" «per quella pace ch’i’ credo che per voi tutti s’aspetti, ditene dove la montagna giace, sì che possibil sia l’andare in suso","im Namen des Friedens, auf den ihr alle gehofft habt, sagt uns, wo der Berg weniger steil ist, so daß es möglich ist, hinaufzuziehen."
 ché perder tempo a chi più sa più spiace»,"Denn je mehr jemand weiß, desto mehr ärgert er sich, sich zu versöhnen."
" Come le pecorelle escon del chiuso a una, a due, a tre, e l’altre stanno timidette atterrando l’occhio e ’l muso","Wie die Schafe aus dem Schafhaufen herauskommen, zu einer, zu zwei, zu drei, und die andern zurückfallen und ihre Schnauze und ihr Auge nach unten halten."
" e ciò che fa la prima, e l’altre fanno, addossandosi a lei, s’ella s’arresta, semplici e quete, e lo ’mperché non sanno","und was die erste tut, das tun auch die anderen, daß sie sich ihr anhängen, wenn sie stillsteht, leicht und sanft, und wissen nicht, warum"
" sì vid’ io muovere a venir la testa di quella mandra fortunata allotta, pudica in faccia e ne l’andare onesta","Also sah ich den Kopf jener Schar glücklicher Seelen zu uns ziehen, die in ihrer Gestalt stinken und in ihren Bewegungen würdig sind."
