id,Original,Translate
18," o è mutato in ciel novo consiglio, che, dannati, venite a le mie grotte?»","Un decreto celeste è stato emanato secondo il quale voi, condannati, sarete portati alle rocce che io custodisco?"
19," Lo duca mio allor mi diè di piglio, e con parole e con mani e con cenni reverenti mi fé le gambe e ’l ciglio","Allora il mio maestro mi prese, e con le parole, le mani e i movimenti mi spronò ad inginocchiarmi e a guardare in basso."
20," Poscia rispuose lui",Gli rispose in seguito.
21," «Da me non venni",»Non mi sono presentato spontaneamente qui.
22," donna scese del ciel, per li cui prieghi de la mia compagnia costui sovvenni","Una donna discese dal Cielo, e io fornii le mie cure per rispondere alle sue suppliche."
23," Ma da ch’è tuo voler che più si spieghi di nostra condizion com’ ell’ è vera, esser non puote il mio che a te si nieghi","In considerazione del tuo desiderio di essere informato più dettagliatamente circa la nostra situazione, non c'è ragione perché il mio desiderio sia diverso dal tuo."
24," Questi non vide mai l’ultima sera",Questo non ha mai cessato di esistere.
25," ma per la sua follia le fu sì presso, che molto poco tempo a volger era",Era talmente vicino al peccato che non ci sarebbe voluto molto tempo.
26," Sì com’ io dissi, fui mandato ad esso per lui campare","Come ti avevo anticipato, fui mandato ad aiutarlo."
27," e non lì era altra via che questa per la quale i’ mi son messo","e non c'era altro percorso da seguire, se non questo che abbiamo intrapreso insieme."
28," Mostrata ho lui tutta la gente ria",Ho fatto vedere a lui tutti coloro che erano condannati.
29," e ora intendo mostrar quelli spirti che purgan sé sotto la tua balìa",ora voglio far sì che possa vedere quelle anime che crescono spiritualmente grazie alla tua guida.
30," Com’ io l’ho tratto, saria lungo a dirti",Avrebbe richiesto un certo tempo spiegarti per come l'ho portato fin qui.
31," de l’alto scende virtù che m’aiuta conducerlo a vederti e a udirti","Da lassù una presenza benefica mi guida affinché io possa ritrovarmi qui, a sfiorare le tue labbra e ascoltare la tua voce."
32," Or ti piaccia gradir la sua venuta",Ti prego di darle il benvenuto al suo arrivo.
33," libertà va cercando, ch’è sì cara, come sa chi per lei vita rifiuta",sta sacrificando la propria vita per raggiungere la preziosa libertà
34," Tu ’l sai, ché non ti fu per lei amara in Utica la morte, ove lasciasti la vesta ch’al gran dì sarà sì chiara","Tu sai che hai dato la tua vita per ottenere la libertà ad Utica, e che un giorno il tuo corpo rivivrà in tutta la sua gloria."
35," Non son li editti etterni per noi guasti, ché questi vive e Minòs me non lega","Noi non infrangiamo le eterne ordinanze, poiché Dante è ancora vivo ed io sono libera dal dominio di Minosse."
36," ma son del cerchio ove son li occhi casti di Marzia tua, che ’n vista ancor ti priega, o santo petto, che per tua la tegni","Marzia, che sembra pregarti di continuare ad amarla attraverso i suoi occhi puri, proviene dal Cerchio, oh cuore generoso."
37," per lo suo amore adunque a noi ti piega","in virtù del suo amore, perciò, piegati a noi"
38," Lasciane andar per li tuoi sette regni",Ci permetta di intraprendere un viaggio attraverso i Sette Gradini del Purgatorio.
39," grazie riporterò di te a lei, se d’esser mentovato là giù degni»",Io ti sarò grato se acconsentirai ad essere citato là sotto.
40," «Marzïa piacque tanto a li occhi miei mentre ch’i’ fu’ di là», ","»Quel che io potetti vedere durante la mia esistenza, Marzia fu una fonte di piacere per i miei occhi."
41," diss’ elli allora, ",Lui pronunciò poi le sue parole.
42," «che quante grazie volse da me, fei",che ottenga tutto ciò che desidera
43," Or che di là dal mal fiume dimora, più muover non mi può, per quella legge che fatta fu quando me n’usci’ fora","Non può più toccare i miei sentimenti, in virtù di quella regola che fu stabilita al momento della mia partenza dall'altra parte dell'inferno fluviale."
44," Ma se donna del ciel ti move e regge, come tu di’, non c’è mestier lusinghe","Se una donna fortunata guida i tuoi passi, non c'è bisogno di adulazioni."
45," bastisi ben che per lei mi richegge",Si prega in mio nome.
46," Va dunque, e fa che tu costui ricinghe d’un giunco schietto e che li lavi ’l viso, sì ch’ogne sucidume quindi stinghe","Vai, avvolgi questa persona con un robusto giunco e detergi la sua faccia da ogni sporcizia."
47," ché non si converria, l’occhio sorpriso d’alcuna nebbia, andar dinanzi al primo ministro, ch’è di quei di paradiso",Non sarebbe consigliabile presentarsi al primo ministro di Paradiso con una certa confusione nella mente.
48," Questa isoletta intorno ad imo ad imo, là giù colà dove la batte l’onda, porta di giunchi sovra ’l molle limo","Questo minuscolo istmo, in cui le onde infrangono forza la loro schiuma salata e biscia, è punteggiato di giunchi sullo scivoloso fango."
49," null’ altra pianta che facesse fronda o indurasse, vi puote aver vita, però ch’a le percosse non seconda","Non vi può crescere nessuna pianta con fronde o tronco rigido, poiché non sarebbe in grado di resistere alle forze del mare."
50," Poscia non sia di qua vostra reddita",Poi non tornate da questa parte.
51," lo sol vi mosterrà, che surge omai, prendere il monte a più lieve salita»","Con l'albeggiare, il sole vi darà una chiara indicazione su come trovare il percorso più facile per raggiungere la montagna."
52," Così sparì",Egli svanì in modo improvviso.
53," e io sù mi levai sanza parlare, e tutto mi ritrassi al duca mio, e li occhi a lui drizzai","Senza una parola, mi alzai e andai da mio maestro con lo sguardo rivolto verso di lui."
54," El cominciò",Lui si mise
55," «Figliuol, segui i miei passi","Figliolo, prendi esempio dai miei insegnamenti.»"
56," volgianci in dietro, ché di qua dichina questa pianura a’ suoi termini bassi»","Ritorniamo nella direzione opposta, poiché la pianura in questa zona scende dolcemente al punto più basso."
57," L’alba vinceva l’ora mattutina che fuggia innanzi, sì che di lontano conobbi il tremolar de la marina","Il sorgere del sole aveva trionfato sull'oscurità della notte, la quale fuggiva alla sua presenza e io potevo ammirare, da lontano il moto ritmico della superficie del mare."
58," Noi andavam per lo solingo piano com’ om che torna a la perduta strada, che ’nfino ad essa li pare ire in vano","Noi camminavamo attraverso la pianura desolata, come qualcuno che ritrova finalmente una strada nota dopo aver temuto di non arrivare mai a destinazione."
59," Quando noi fummo là ’ve la rugiada pugna col sole, per essere in parte dove, ad orezza, poco si dirada, ","Quando arrivammo alla zona dove la rugiada duellava con il sole, poiché era là dove c'era una presenza di ombra e poca evaporazione."
60," ambo le mani in su l’erbetta sparte soavemente ’l mio maestro pose","il mio maestro appoggiò le mani sull'erba, a braccia spalancate"
61," ond’ io, che fui accorto di sua arte, porsi ver’ lui le guance lagrimose","Allora io, che avevo intuito cosa lui volesse fare, alzai il mio viso rigato di lacrime verso di lui."
62," ivi mi fece tutto discoverto quel color che l’inferno mi nascose",lui mi mostrò il colore del volto che l'Inferno aveva celato.
63," Venimmo poi in sul lito diserto, che mai non vide navicar sue acque omo, che di tornar sia poscia esperto","Giungemmo alla spiaggia deserta, mai alcun navigatore era riuscito a tornare indietro una volta vi sbarcato."
64," Quivi mi cinse sì com’ altrui piacque","Come Catone aveva raccomandato, Virgilio mi cinse"
65," oh maraviglia",quale stupore!
66," ché qual elli scelse l’umile pianta, cotal si rinacque subitamente là onde l’avelse","Egli, dopo aver reciso la semplice piantina prescelta, vide quest'ultima ricrescere istantaneamente al punto di partenza come fosse tornata alla sua originaria forma."
67," Già era ’l sole a l’orizzonte giunto lo cui meridïan cerchio coverchia Ierusalèm col suo più alto punto","Il sole si levava all'orizzonte, al di sopra del punto più alto della linea meridiana che sovrasta Gerusalemme."
68," e la notte, che opposita a lui cerchia, uscia di Gange fuor con le Bilance, che le caggion di man quando soverchia","Mentre di solito la notte non è più lunga del giorno, la posizione opposta al sole vide sortire il Gange dalla Bilancia nelle ore della sera."
69," sì che le bianche e le vermiglie guance, là dov’ i’ era, de la bella Aurora per troppa etate divenivan rance","Le guance di Aurora, una visione di bianco e rosso dove mi trovavo, venivano tinte d'arancio col passare del tempo."
70," Noi eravam lunghesso mare ancora, come gente che pensa a suo cammino, che va col cuore e col corpo dimora","Noi ci trovavamo ancora sulla spiaggia, come qualcuno che considera la strada da percorrere, desideroso ma esitante nell'agire."
71," Ed ecco, qual, sorpreso dal mattino, per li grossi vapor Marte rosseggia giù nel ponente sovra ’l suol marino, ","Come una tarda mattina, con il cielo riempito da spesse nubi e Marte che sfuma dal rosso al bianco mentre affonda lentamente verso l'orizzonte occidentale illuminando la superficie del mare."
72," cotal m’apparve, s’io ancor lo veggia, un lume per lo mar venir sì ratto, che ’l muover suo nessun volar pareggia","Così vidi una luce che sfrecciava dal mare, più veloce di qualsiasi uccello volante."
73," Dal qual com’ io un poco ebbi ritratto l’occhio per domandar lo duca mio, rividil più lucente e maggior fatto","Quando chiesi al mio maestro qualcosa, guardai di nuovo e vidi che era più luminosa e grande."
74," Poi d’ogne lato ad esso m’appario un non sapeva che bianco, e di sotto a poco a poco un altro a lui uscìo","Mentre guardavo, una bianca luminosità indefinita si diffuse ai lati della scena, seguita da un'altra che gradualmente apparve sotto di essa."
75," Lo mio maestro ancor non facea motto, mentre che i primi bianchi apparver ali",Il mio maestro rimase in silenzio fino a quando non si rivelò che il primo tocco di bianco erano delle ali.
76," allor che ben conobbe il galeotto, gridò","Quando incontrò quel marinaio, mi chiamò"
77," «Fa, fa che le ginocchia cali","Piega le ginocchia, vai"
78," Ecco l’angel di Dio",Ecco l'inviato divino.
79," piega le mani",prendi le mani l'una nell'altra
80," omai vedrai di sì fatti officiali",Non ci saranno più ministri del genere.
81," Vedi che sdegna li argomenti umani, sì che remo non vuol, né altro velo che l’ali sue, tra liti sì lontani","Guarda come rifiuta gli strumenti costruiti dall'uomo, non volendo usare remi o altra vela che non siano le sue ali, anche quando è in luoghi così distanti."
82," Vedi come l’ha dritte verso ’l cielo, trattando l’aere con l’etterne penne, che non si mutan come mortal pelo»","Guarda come si libra nel cielo, fendendo l'aria con le sue piume che non svaniscono come quelle degli esseri umani."
83," Poi, come più e più verso noi venne l’uccel divino, più chiaro appariva","Mentre l'uccello divino si avvicinava a noi, la nostra visione di esso divenne più nitida."
84," per che l’occhio da presso nol sostenne, ma chinail giuso","I miei occhi non erano abbastanza forti da sopportare lo sguardo diretto, così fui costretto a guardare verso il basso."
85," e quei sen venne a riva con un vasello snelletto e leggero, tanto che l’acqua nulla ne ’nghiottiva","Lui arrivò a riva con una piccola e leggera barca, talmente tanto che non toccava nemmeno l'acqua."
86," Da poppa stava il celestial nocchiero, tal che faria beato pur descripto","Il divino timoniere era alla postazione di guida in poppa, ed era tale che una sola descrizione di lui porterebbe la felicità."
87," e più di cento spirti entro sediero",Più di cento spiriti erano seduti nella barca.
88," ‘In exitu Isräel de Aegypto’ cantavan tutti insieme ad una voce con quanto di quel salmo è poscia scripto","Tutti cantavano all'unisono il Salmo riguardante la fuga di Israele dall'Egitto, inclusi i versetti successivi."
89," Poi fece il segno lor di santa croce",Poi fece il segno della croce sante.
90," ond’ ei si gittar tutti in su la piaggia",Tutti si precipitarono sulla spiaggia.
91," ed el sen gì, come venne, veloce",Rimosse rapidamente quanto erano stati veloci i suoi passi ad arrivare.
92," La turba che rimase lì, selvaggia parea del loco, rimirando intorno come colui che nove cose assaggia","Il gruppo di anime che erano stati raccolti lì sembrava nuovo dell'area, guardandosi intorno come chi stava sperimentando qualcosa di fresco."
93," Da tutte parti saettava il giorno lo sol, ch’avea con le saette conte di mezzo ’l ciel cacciato Capricorno, ","Il sole illuminava ogni parte del giorno, dopo aver cacciato il Capricorno con le sue frecce infallibili dalla posizione centrale dell'universo celeste."
94," quando la nova gente alzò la fronte ver’ noi, dicendo a noi","Quando i nuovi arrivati ci chiesero aiuto, dicendo a noi"
95," «Se voi sapete, mostratene la via di gire al monte»",Mostraci come raggiungere il monte se voi conoscete il percorso.
96," E Virgilio rispuose",Virgilio gli diede una risposta.
97," «Voi credete forse che siamo esperti d’esto loco",»Potrebbe essere che voi pensiate che siamo degli esperti di questa zona.
98," ma noi siam peregrin come voi siete",Siamo estranei allo stesso modo di voi.
99," Dianzi venimmo, innanzi a voi un poco, per altra via, che fu sì aspra e forte, che lo salire omai ne parrà gioco»",Siamo arrivati immediatamente prima di voi per un sentiero così difficile da rendere l'ascensione del monte un gioco da ragazzi.
100," L’anime, che si fuor di me accorte, per lo spirare, ch’i’ era ancor vivo, maravigliando diventaro smorte","Le anime, scoprendo che io ero ancora in vita osservandomi respirare, si raggelarono dallo stupore."
101," E come a messagger che porta ulivo tragge la gente per udir novelle, e di calcar nessun si mostra schivo, ","La folla si stringe intorno al messaggero che porta notizie di pace, e tutti accorrono volentieri."
102," così al viso mio s’affisar quelle anime fortunate tutte quante, quasi oblïando d’ire a farsi belle","Le anime fortunate, come se avessero dimenticato il bisogno di purificazione, si raccolsero intorno al mio viso."
103," Io vidi una di lor trarresi avante per abbracciarmi con sì grande affetto, che mosse me a far lo somigliante","Quando una di loro si fece avanti per abbracciarmi con tanto calore, sentii il bisogno di ricambiare il gesto."
104," Ohi ombre vane, fuor che ne l’aspetto",",Oh, ombre evanescenti, a parte la forma esteriore."
105," tre volte dietro a lei le mani avvinsi, e tante mi tornai con esse al petto","tre volte provai ad abbracciarla con le mani, ma ritrovavo sempre le mie braccia vuote al petto"
106," Di maraviglia, credo, mi dipinsi",Mi sono stupito moltissimo
107," per che l’ombra sorrise e si ritrasse, e io, seguendo lei, oltre mi pinsi","L'ombra sorrideva, poi si è allontanata ed io dietro di essa mi sono spinto un poco più in là."
108," Soavemente disse ch’io posasse",Mi ordinò gentilmente di fermarmi
109," allor conobbi chi era, e pregai che, per parlarmi, un poco s’arrestasse",allora lo riconobbi e gli chiesi di indugiare con me per un po'
110," Rispuosemi",Rispose a me
111," «Così com’ io t’amai nel mortal corpo, così t’amo sciolta","»Amore mio, come ho amato la tua essenza fisica, allo stesso modo nutro un profondo affetto per te nella mia forma spirituale."
112," però m’arresto",per questa ragione mi interrompo.
113," ma tu perché vai?»",Per quale ragione sei presente qui?
114," «Casella mio, per tornar altra volta là dov’ io son, fo io questo vïaggio», diss’ io"," ""Mi dirigo verso questo viaggio per tornare nella mia destinazione originale""."
115," «ma a te com’ è tanta ora tolta?»",Perché sei arrivato così tardi?
116," Ed elli a me",Io a lui
117," «Nessun m’è fatto oltraggio, se quei che leva quando e cui li piace, più volte m’ha negato esto passaggio","»Nessun affronto mi è stato inflitto, sebbene l'angelo, che fa ciò che desidera in maniera arbitraria, mi abbia ostacolato più volte nel raggiungere questo posto."
118," ché di giusto voler lo suo si face",il suo desiderio corrisponde a quello che è stato stabilito da Dio.
119," veramente da tre mesi elli ha tolto chi ha voluto intrar, con tutta pace","Da tre mesi, lo ha permesso a chiunque desiderasse salire sulla barca, senza opporsi."
120," Ond’ io, ch’era ora a la marina vòlto dove l’acqua di Tevero s’insala, benignamente fu’ da lui ricolto","Allora io, guardando verso l'oceano dove si getta il Tevere, fui gentilmente accolta da lui."
121," A quella foce ha elli or dritta l’ala, però che sempre quivi si ricoglie qual verso Acheronte non si cala»","Si alzò con l'ala in direzione della foce, poiché ogni anima che non è destinata alla damnazione tende sempre a raggiungere quel luogo."
122," E io"," sono d'accordoSono in linea con te"
123," «Se nuova legge non ti toglie memoria o uso a l’amoroso canto che mi solea quetar tutte mie doglie, ","«Se una legge non ha la capacità di eliminare il mio ricordo o l'amore per cantare, che solitamente placava tutti i miei bisogni»"
124," di ciò ti piaccia consolare alquanto l’anima mia, che, con la sua persona venendo qui, è affannata tanto»","Ti prego di alleviare un po' la mia sofferenza, poiché l'anima è stanca dal lungo viaggio effettuato con il corpo fisico."
125," ‘Amor che ne la mente mi ragiona’ cominciò elli allor sì dolcemente, che la dolcezza ancor dentro mi suona","Allora egli iniziò a cantare ""Amor che ne la mente mi ragiona"" così soavemente, tanto da lasciare un'eco di quella melodia ancora dentro di me."
126," Lo mio maestro e io e quella gente ch’eran con lui parevan sì contenti, come a nessun toccasse altro la mente","Il mio maestro ed io, insieme alle anime che erano con lui, sembravamo così felici, come se nessun pensiero avesse turbato la nostra mente."
127," Noi eravam tutti fissi e attenti a le sue note",Tutti noi stavamo ascoltando attentamente la musica.
128," ed ecco il veglio onesto gridando",ecco che giunse il maestoso anziano che stava urlando
129," «Che è ciò, spiriti lenti? ","»Che cosa sta cercando di dire, spiriti lenti?"
130," qual negligenza, quale stare è questo? ",In che modo può essere descritta questa negligenza e inerzia?
131," Correte al monte a spogliarvi lo scoglio ch’esser non lascia a voi Dio manifesto»",Corsa al monte per diventare trasparenti che non ti impedirà di vedere Dio.
132," Come quando, cogliendo biado o loglio, li colombi adunati a la pastura, queti, sanza mostrar l’usato orgoglio, ","Con tranquillità, come se l'azione fosse una routine, i colombi si riunivano per mangiare sia biada che loglio senza ostentare alcuna vanteria."
133," se cosa appare ond’ elli abbian paura, subitamente lasciano star l’esca, perch’ assaliti son da maggior cura","Se qualcosa li mette in allarme, non fanno più attenzione al cibo perché la paura è ormai diventata dominante."
134," così vid’ io quella masnada fresca lasciar lo canto, e fuggir ver’ la costa, com’ om che va, né sa dove rïesca","Mentre osservavo, vidi quelle anime appena giunte allontanarsi dalle loro canzoni, e dirigersi verso la montagna come se non avessero una destinazione specifica."
135," né la nostra partita fu men tosta",e la nostra fuga fu altrettanto frettolosa
136," Avvegna che la subitana fuga dispergesse color per la campagna, ","Nonostante la disperata fuga avesse costretto le anime ad allontanarsi rapidamente sulla spiaggia,"
137," rivolti al monte ove ragion ne fruga, i’ mi ristrinsi a la fida compagna","verso la vetta dove il giudizio divino ci preoccupa, mi aggrappai alla mia guida attendibile."
138," e come sare’ io sanza lui corso? chi m’avria tratto su per la montagna? El mi parea da sé stesso rimorso","Sente rimorso, ma come avrei potuto salire su per la montagna senza di lui? Chi mi avrebbe aiutato?"
139," o dignitosa coscïenza e netta, come t’è picciol fallo amaro morso","Oh, coscienza rispettabile e immacolata, con quale amarezza ti punisce anche il più piccolo errore."
140," Quando li piedi suoi lasciar la fretta, che l’onestade ad ogn’ atto dismaga, ","Quando i suoi passi si allontanarono dalla frenesia che riduce l'eleganza ad ogni azione,"
141," la mente mia, che prima era ristretta, ","La mia mente, che in precedenza focalizzata su un solo concetto, ora è libera di vagare."
142," lo ’ntento rallargò, sì come vaga, e diedi ’l viso mio incontr’ al poggio che ’nverso ’l ciel più alto si dislaga","Si apri come un velo, e io mi girai verso la montagna che svettava più in alto di ogni altro verso il cielo."
143," Lo sol, che dietro fiammeggiava roggio, rotto m’era dinanzi a la figura, ch’avëa in me de’ suoi raggi l’appoggio","Il mio corpo, che si frapponeva tra me e il sole rosso-arancione splendente alle mie spalle, bloccava i raggi prima di raggiungermi."
144," Io mi volsi dallato con paura d’essere abbandonato, quand’ io vidi solo dinanzi a me la terra oscura","Con timore di essere abbandonato, mi girai su un fianco, constatando l'ombra solitaria davanti a me."
145," e ’l mio conforto",la mia consolazione
146," «Perché pur diffidi?», a dir mi cominciò tutto rivolto","""Perché non ti fidi?"", mi chiese con molta attenzione."
147," «non credi tu me teco e ch’io ti guidi? Vespero è già colà dov’ è sepolto lo corpo dentro al quale io facea ombra","È già sera là dove riposano i resti di quel corpo le cui ombre io proiettavo; non pensi che sia qui per te, come una guida?"
148," Napoli l’ha, e da Brandizio è tolto",Viene da Brindisi e si trova a Napoli.
149," Ora, se innanzi a me nulla s’aombra, non ti maravigliar più che d’i cieli che l’uno a l’altro raggio non ingombra","Se le mie spalle non creano un'ombra davanti a me, allora non ci sarà più nulla che possa impedire al sole di raggiungere ogni angolo del cielo."
150," A sofferir tormenti, caldi e geli simili corpi la Virtù dispone che, come fa, non vuol ch’a noi si sveli","In obbedienza alla volontà divina, gli esseri corporei sono sottoposti a tormentosi caldi e freddi e noi non siamo in grado di comprendere come possa essere reso possibile."
151," Matto è chi spera che nostra ragione possa trascorrer la infinita via che tiene una sustanza in tre persone",Coloro che credono che la nostra logica sia in grado di attraversare l'infinita strada che unisce una sola essenza divisa in tre persone sono considerati pazzi.
152," State contenti, umana gente, al quia","Accettate, uomini, questo"
153," ché, se potuto aveste veder tutto, mestier non era parturir Maria","Se aveste potuto osservare tutto, Maria non sarebbe stata costretta a dare alla luce Gesù."
154," e disïar vedeste sanza frutto tai che sarebbe lor disio quetato, ch’etternalmente è dato lor per lutto","Filosofi tanto profondi da sembrare in grado di appagare il loro desiderio se possibile, ma che alla fine hanno visto fallire i propri ideali nonostante diligentemente abbiano cercato di realizzarli, rappresentano la loro pena eterna."
155," io dico d’Aristotile e di Plato e di molt’ altri»","Sto facendo riferimento ad Aristotele, Platone e a diversi altri personaggi."
156," e qui chinò la fronte, e più non disse, e rimase turbato","A quel punto, abbassò la testa in silenzio, turbato; non aggiungendo altro."
157," Noi divenimmo intanto a piè del monte"," Noi ci eravamo fermati ai piedi del monte."
158," quivi trovammo la roccia sì erta, che ’ndarno vi sarien le gambe pronte",la parete rocciosa era talmente ripida che avremmo potuto solo sognare di scalarla con le nostre gambe
159," Tra Lerice e Turbìa la più diserta, la più rotta ruina è una scala, verso di quella, agevole e aperta","Rispetto a quella, la roccia più scoscesa e impervia in Liguria è un gioco da ragazzi."
160," «Or chi sa da qual man la costa cala», ",Chissà quale parte della parete è meno inclinata adesso.
161," disse ’l maestro mio fermando ’l passo, ",Il mio maestro interruppe il suo passo e parlò
162," «sì che possa salir chi va sanz’ ala?»",Come può ascendere chi non è dotato di ali?
163," E mentre ch’e’ tenendo ’l viso basso essaminava del cammin la mente, e io mirava suso intorno al sasso, ","Mentre lui si soffermava a riflettere con lo sguardo basso, su quale strada prendere, io scrutavo il panorama circostante, al di sopra della roccia."
164," da man sinistra m’apparì una gente d’anime, che movieno i piè ver’ noi, e non pareva, sì venïan lente","Da una direzione a sinistra, ho scorto un gruppo di persone che si avvicinavano verso di noi dolcemente ed in modo lento."
165," «Leva», diss’ io, «maestro, li occhi tuoi","Io gridai «Maestro, alzati e guarda"
166," ecco di qua chi ne darà consiglio, se tu da te medesmo aver nol puoi»","Chi ti guiderà, qualora tu non fossi in grado di trovare da solo le risposte?"
167," Guardò allora, e con libero piglio rispuose","Lui poi si girò, con un'espressione serena, e rispose."
168," «Andiamo in là, ch’ei vegnon piano",»Cerchiamo di allontanarci poiché stanno avanzando lentamente verso di noi.
169," e tu ferma la spene, dolce figlio»","rincuora la tua speranza, gentile figlio"
170," Ancora era quel popol di lontano, i’ dico dopo i nostri mille passi, quanto un buon gittator trarria con mano, ","Dopo aver fatto mille passi, era ancora così lontano da noi che un bravo lanciatore non sarebbe riuscito ad arrivarci con un sasso scagliato dalla mano."
171," quando si strinser tutti ai duri massi de l’alta ripa, e stetter fermi e stretti com’ a guardar, chi va dubbiando, stassi","Essi si accalcarono contro la roccia della montagna, in una sorta di trepidante attesa come se fossero indecisi su cosa fare."
172," «O ben finiti, o già spiriti eletti», Virgilio incominciò, ",Virgilio iniziò «O spiriti divini selezionati dalla grazia di Dio per la salvezza.
173," «per quella pace ch’i’ credo che per voi tutti s’aspetti, ditene dove la montagna giace, sì che possibil sia l’andare in suso","Indicaci la strada più dolce in questa ricerca di pace, così che possiamo intraprendere l'ascesa."
174," ché perder tempo a chi più sa più spiace»","Più si conosce, maggiormente ci si sente in colpa per non andare avanti."
175," Come le pecorelle escon del chiuso a una, a due, a tre, e l’altre stanno timidette atterrando l’occhio e ’l muso","Come le pecorelle escono dall'ovile, una dopo l'altra, mentre quelle rimanenti indietro sono timorose e abbassano lo sguardo."
176," e ciò che fa la prima, e l’altre fanno, addossandosi a lei, s’ella s’arresta, semplici e quete, e lo ’mperché non sanno"," della sua inerziaSe la prima s'arrestasse, tranquille e passive, le altre si aggrapperebbero a lei senza neanche sapere il perché."
177," sì vid’ io muovere a venir la testa di quella mandra fortunata allotta, pudica in faccia e ne l’andare onesta","Con gli occhi vidi avvicinarsi alla nostra posizione il capo di quel gruppo fortunato di persone, che aveva un'aria pudica ed era mosso da grande dignità."
178," Come color dinanzi vider rotta la luce in terra dal mio destro canto, sì che l’ombra era da me a la grotta, ","Quando hanno visto che il mio profilo si proiettava sulla parete rocciosa a destra,"
179," restaro, e trasser sé in dietro alquanto, e tutti li altri che venieno appresso, non sappiendo ’l perché, fenno altrettanto","Si fermarono, prendendo una certa distanza tra loro e gli spiriti che seguivano, senza sapere il perché."
180," «Sanza vostra domanda io vi confesso che questo è corpo uman che voi vedete",»Vi assicuro senza che ve lo chiediate che questo corpo è fatto di carne e ossa.
181," per che ’l lume del sole in terra è fesso",L'ombra del sole impedisce l'arrivo della luminosità
182," Non vi maravigliate, ma credete che non sanza virtù che da ciel vegna cerchi di soverchiar questa parete»","Non siate stupiti, ma considerate che Dante non può scalare questa parete senza la guida di un'energia divina."
183," Così ’l maestro",Il maestro così affermò
184," e quella gente degna «Tornate», disse, «intrate innanzi dunque», coi dossi de le man faccendo insegna","E quelle anime degne esortarono «Ritornate indietro», accompagnando il loro consiglio con un cenno delle mani."
