,Paradiso,Parafrasi
52,"ne l’imagine mia, il mio si fece,","io conformai il mio, e fissai lo sguardo al sole più a"
53,e fissi li occhi al sole oltre nostr’ uso.,lungo di quanto siamo abituati .
54,"Molto è licito là, che qui non lece",In quel luogo sono possibili  alle nostre capacità 
55,"a le nostre virtù, mercé del loco","molte più cose che qui ,"
56,fatto per proprio de l’umana spece.,in grazia del luogo creato appositamente per la razza umana. 
57,"Io nol soffersi molto, né sì poco,","Io non ressi a lungo , ma neppure così poco "
58,"ch’io nol vedessi sfavillar dintorno,","da non veder risplendere tutto lo spazio intorno, come quando il"
59,com’ ferro che bogliente esce del foco;,ferro esce incandescente  dal fuoco; e
60,e di sùbito parve giorno a giorno,improvvisamente sembrò raddoppiarsi la luce del
61,"essere aggiunto, come quei che puote","giorno, come se Dio onnipotente "
62,avesse il ciel d’un altro sole addorno.,avesse adornato il cielo di un secondo sole.
63,Beatrice tutta ne l’etterne rote,Beatrice era con lo sguardo completamente
64,fissa con li occhi stava; e io in lei,assorto  negli eterni cieli ruotanti ;
65,"le luci fissi, di là sù rimote.","e io, distolto  lo sguardo dal sole, fissai in lei i miei occhi. "
66,"Nel suo aspetto tal dentro mi fei,",E nel guardarla  mi sentii nel mio intimo 
67,qual si fé Glauco nel gustar de l’erba,diventare come Glauco quando gustò quell’erba 
68,che ’l fé consorto in mar de li altri dèi.,che lo rese fratello  delle altre divinità del mare.
69,Trasumanar significar per verba,Non si può  spiegare a parole  il trasumanare; 
70,non si poria; però l’essemplo basti,quindi  sia sufficiente l’esempio  a colui al quale
71,a cui esperïenza grazia serba.,la Grazia di Dio riserva l’esperienza diretta. 
72,S’i’ era sol di me quel che creasti,"Dio d’amore che reggi l’universo, tu solo sai se io in quel"
73,"novellamente, amor che ’l ciel governi,","momento fossi solo quella parte di me che avevi creato per ultima, "
74,"tu ’l sai, che col tuo lume mi levasti.",tu che con la tua grazia  mi sollevasti .
75,Quando la rota che tu sempiterni,Quando il moto celeste  che tu rendi eterno con il desiderio di te 
76,"desiderato, a sé mi fece atteso",attirò la mia attenzione  con la sua armonia 
77,"con l’armonia che temperi e discerni,","che tu regoli e moduli , mi sembrò "
78,parvemi tanto allor del cielo acceso,che la luce del sole avesse infiammato 
79,"de la fiamma del sol, che pioggia o fiume","uno spazio di cielo tanto esteso,"
80,lago non fece alcun tanto disteso.,che mai una pioggia o un fiume formarono un lago così grande.
81,La novità del suono e ’l grande lume,L’insolita dolcezza della musica e la grandiosità della luce
82,di lor cagion m’accesero un disio,"accesero in me un desiderio, mai sentito così forte ,"
83,mai non sentito di cotanto acume.,di conoscere la loro origine .
84,"Ond’ ella, che vedea me sì com’ io,","Pertanto Beatrice, che vedeva in me come io stesso, "
85,"a quïetarmi l’animo commosso,","per tranquillizzare la mia anima turbata , "
86,"pria ch’io a dimandar, la bocca aprio","aprì la bocca prima ancora che lo facessi io per domandare,"
87,e cominciò: «Tu stesso ti fai grosso,e iniziò : «Tu da solo ti rendi ignorante  con le tue errate
88,"col falso imaginar, sì che non vedi","supposizioni , così che non ti accorgi di ciò "
89,ciò che vedresti se l’avessi scosso.,che potresti vedere se le avessi rimosse.
90,"Tu non se’ in terra, sì come tu credi;","Non sei più in terra, come credi; ma un fulmine,"
91,"ma folgore, fuggendo il proprio sito,","allontanandosi dal suo luogo d’origine, non fu mai"
92,non corse come tu ch’ad esso riedi».,"veloce come te, che stai tornando al tuo»."
93,S’io fui del primo dubbio disvestito,Se venni liberato  da quel primo
94,"per le sorrise parolette brevi,","interrogativo grazie a queste poche sorridenti parole, "
95,dentro ad un nuovo più fu’ inretito,fui ancor più impigliato  in un secondo
96,e dissi: «Già contento requïevi,"dubbio, e dissi: «Già sono acquetato e soddisfatto  "
97,di grande ammirazion; ma ora ammiro,riguardo al primo grande stupore ; 
98,com’ io trascenda questi corpi levi».,ma ora mi stupisce il fatto che io possa salire  attraverso l’aria ».
99,"Ond’ ella, appresso d’un pïo sospiro,","Ed ella, dopo aver sospirato con paziente pietà , "
100,li occhi drizzò ver’ me con quel sembiante,rivolse verso di me lo sguardo con l’atteggiamento 
101,"che madre fa sovra figlio deliro,","di una madre verso il figlio che delira , "
102,e cominciò: «Le cose tutte quante,e cominciò : «Tutte le creature
103,"hanno ordine tra loro, e questo è forma","sono in un rapporto ordinato fra di loro, e questa è"
104,che l’universo a Dio fa simigliante.,l’essenza  che rende l’universo simile a Dio.
105,Qui veggion l’alte creature l’orma,In questo ordine  le creature superiori 
106,"de l’etterno valore, il qual è fine","vedono il segno  della virtù divina, la quale"
107,al quale è fatta la toccata norma.,è il fine per cui l’ordine qui dichiarato  è stato creato.
108,Ne l’ordine ch’io dico sono accline,A questa ordinata struttura di cui ho parlato tendono  
109,"tutte nature, per diverse sorti,","tutte le cose, ognuna nella propria particolare condizione , "
110,più al principio loro e men vicine;,più o meno vicine alla loro origine; e da qui  
111,onde si muovono a diversi porti,si dirigono alle loro singole mete attraverso
112,"per lo gran mar de l’essere, e ciascuna","il grande mare dell’esistenza, e ogni essere ha in"
113,con istinto a lei dato che la porti.,sé un istinto a lui assegnato affinché lo guidi.
114,Questi ne porta il foco inver’ la luna;,È questo istinto che dirige il fuoco verso il
115,questi ne’ cor mortali è permotore;,"cielo della Luna, lo stimolo vitale  negli"
116,questi la terra in sé stringe e aduna;,"esseri mortali, il principio che compatta e unisce"
117,né pur le creature che son fore, la terra; e questo istinto dirige
118,"d’intelligenza quest’ arco saetta,"," non solo le creature irrazionali,"
119,ma quelle c’hanno intelletto e amore.,ma anche quelle che possiedono ragione e volontà.
120,"La provedenza, che cotanto assetta,","La Provvidenza divina, che preordina tanta perfezione, "
121,del suo lume fa ’l ciel sempre quïeto,"appaga costantemente  con la sua luce quel cielo ,"
122,nel qual si volge quel c’ha maggior fretta;,dentro al quale gira il cielo più veloce;
123,"e ora lì, come a sito decreto,","e adesso è lì, luogo a noi stabilito , "
124,cen porta la virtù di quella corda,che ci sta portando  la forza di quell’arco  
125,che ciò che scocca drizza in segno lieto.,che dirige sempre a un fine felice tutto ciò che lancia.
126,"Vero è che, come forma non s’accorda","È però vero che, come molte volte  l’opera  "
127,"molte fïate a l’intenzion de l’arte,","non rispecchia  l’intento dell’artista, "
128,"perch’ a risponder la materia è sorda,","perché la materia grezza non sa  corrispondere a esso, "
129,così da questo corso si diparte,"così dalla strada naturale  a volte la creatura si allontana , "
130,"talor la creatura, c’ha podere",che pur dotata di questo istinto  ha la capacità 
131,"di piegar, così pinta, in altra parte;",di deviare in altre direzioni ; 
132,e sì come veder si può cadere,"e come è possibile vedere scendere da una nuvola il fulmine, "
133,"foco di nube, sì l’impeto primo",così la primitiva inclinazione porta verso terra 
134,l’atterra torto da falso piacere.,l’uomo deviato  da piaceri effimeri.
135,"Non dei più ammirar, se bene stimo,","E dunque, se penso giusto, non devi più"
136,"lo tuo salir, se non come d’un rivo","stupirti del tuo salire, se non come di un fiume che"
137,se d’alto monte scende giuso ad imo.,dall’alto di un monte scende in giù verso il basso . 
138,"Maraviglia sarebbe in te se, privo","Sarebbe invece motivo di meraviglia se,"
139,"d’impedimento, giù ti fossi assiso,","libero da ogni ostacolo, tu fossi rimasto giù, come"
140,com’ a terra quïete in foco vivo».,in un fuoco vivace il rimanere fermo in terra ».
141,Quinci rivolse inver’ lo cielo il viso.,Poi volse nuovamente lo sguardo  verso il cielo.
142,"O voi che siete in piccioletta barca,","O voi lettori, che per desiderio di sapere avete"
143,"desiderosi d’ascoltar, seguiti",seguito  sulle piccole imbarcazioni
144,"dietro al mio legno che cantando varca,"," la mia nave , che va oltre"
145,tornate a riveder li vostri liti:," col suo canto, ritornate a rivedere i vostri lidi:"
146,"non vi mettete in pelago, ché forse,","non intraprendete viaggi in mare aperto ,"
147,"perdendo me, rimarreste smarriti.","poiché forse, se perdeste la mia traccia, vi smarrireste. "
148,L’acqua ch’io prendo già mai non si corse;,Le acque in cui mi inoltro non furono percorse
149,"Minerva spira, e conducemi Appollo,","mai prima; mi sospinge Minerva, mi guida Apollo,"
150,e nove Muse mi dimostran l’Orse.,e le nove Muse mi indicano la stella polare .
151,Voialtri pochi che drizzaste il collo,Voi pochi che fin dalla giovane età  alzaste la mente  
152,"per tempo al pan de li angeli, del quale","alle cose divine , delle quali qui  ci si nutre,"
153,"vivesi qui ma non sen vien satollo,","ma non si può mai essere sazi , potete tranquillamente  "
154,metter potete ben per l’alto sale,"spingere la vostra nave verso l’alto mare , "
155,"vostro navigio, servando mio solco",seguendo  la mia scia davanti 
156,dinanzi a l’acqua che ritorna equale.,al punto in cui l’acqua ritorna indistinta. 
157,Que’ glorïosi che passaro al Colco,"I valorosi eroi che giunsero in Colchide, quando videro Giasone"
158,"non s’ammiraron come voi farete,","ridotto a contadino , non si meravigliarono,"
159,quando Iasón vider fatto bifolco.,quanto invece accadrà a voi.
160,La concreata e perpetüa sete,"L’innato e continuo desiderio del regno divino , "
161,del deïforme regno cen portava,ci traeva in alto a una velocità quasi 
162,veloci quasi come ’l ciel vedete.,pari a quella con cui si vede girare il cielo. 
163,"Beatrice in suso, e io in lei guardava;","Beatrice volgeva lo sguardo in alto, il mio era rivolto in lei;"
164,e forse in tanto in quanto un quadrel posa,e in un tempo pari forse a quello in cui un dardo 
165,"e vola e da la noce si dischiava,",giunge al bersaglio  e vola e si stacca  
166,giunto mi vidi ove mirabil cosa,"dall’osso della balestra , mi accorsi "
167,mi torse il viso a sé; e però quella,di essere giunto dove un fatto meraviglioso attrasse i miei occhi ; 
168,"cui non potea mia cura essere ascosa,",e perciò colei alla quale nessuna mia preoccupazione 
169,"volta ver’ me, sì lieta come bella,","poteva essere nascosta, rivolta verso di me, tanto gioiosa"
170,"«Drizza la mente in Dio grata», mi disse,","quanto bella, mi disse: «Alza con gratitudine il tuo pensiero  "
171,«che n’ha congiunti con la prima stella».,"a Dio, che ci ha fatto giungere  al primo cielo»."
172,Parev’ a me che nube ne coprisse,Mi sembrava che fossimo avvolti da una nuvola 
173,"lucida, spessa, solida e pulita,","luminosa, densa, compatta e senza macchie , "
174,quasi adamante che lo sol ferisse.,come un diamante che il sole colpisca.
175,Per entro sé l’etterna margarita,L’incorruttibile perla  ci accolse in sé 
176,"ne ricevette, com’ acqua recepe","come l’acqua, che riceve  "
177,raggio di luce permanendo unita.,un raggio di sole senza dividersi.
178,"S’io era corpo, e qui non si concepe","Il fatto che  io fossi con il corpo, e sulla terra  è inconcepibile  "
179,"com’ una dimensione altra patio,","come un corpo   possa sopportare  la compresenza di un altro corpo, "
180,"ch’esser convien se corpo in corpo repe,","cosa necessaria quando un corpo penetra  in un altro, "
181,accender ne dovria più il disio,dovrebbe accendere ancora più il desiderio di vedere
182,di veder quella essenza in che si vede,l’Essere  nel quale si manifesta il modo in cui
183,come nostra natura e Dio s’unio.,si unirono la natura umana e quella divina. 
184,"Lì si vedrà ciò che tenem per fede,",In cielo  vedremo direttamente ciò che in terra crediamo
185,"non dimostrato, ma fia per sé noto","per fede, e non con ragionamenti, ma sarà evidente"
186,a guisa del ver primo che l’uom crede.,"di per sé , come le verità elementari  che l’uomo concepisce."
187,"Io rispuosi: «Madonna, sì devoto","Io risposi: «O mia signora, con la più grande"
188,"com’ esser posso più, ringrazio lui","devozione di cui sono capace, rivolgo il mio ringraziamento a Dio, "
189,lo qual dal mortal mondo m’ha remoto.,che mi ha allontanato  dal mondo terreno. 
190,Ma ditemi: che son li segni bui,Ma ditemi: che cosa sono le macchie scure  
191,"di questo corpo, che là giuso in terra","di questo pianeta , che laggiù in terra inducono la gente "
192,fan di Cain favoleggiare altrui?».,a raccontare la favola di Caino?».
193,"Ella sorrise alquanto, e poi «S’elli erra","Ella sorrise un po’, poi disse: «Se le convezioni degli uomini"
194,"l’oppinïon», mi disse, «d’i mortali",sono errate quando la spiegazione sensibile 
195,"dove chiave di senso non diserra,","non riesce ad aprire  la porta della verità, "
196,certo non ti dovrien punger li strali,"certamente ormai tu non dovresti essere colpito da stupore , "
197,"d’ammirazione omai, poi dietro ai sensi",dato che hai visto come la ragione ha poche capacità di volare 
198,vedi che la ragione ha corte l’ali.,seguendo i sensi. 
199,Ma dimmi quel che tu da te ne pensi».,"Dimmi invece che cosa tu, per tuo conto , pensi di questo». "
200,E io: «Ciò che n’appar qua sù diverso,"E io: «Ciò che quassù ci appare diverso, penso sia dovuto alla rarità "
201,credo che fanno i corpi rari e densi».,e alla densità dei corpi».
202,Ed ella: «Certo assai vedrai sommerso,"Ed ella: «Certo capirai quanto la tua opinione sia erronea ,"
203,"nel falso il creder tuo, se bene ascolti",se presterai attenzione al ragionamento  
204,l’argomentar ch’io li farò avverso.,che io gli contrapporrò .
205,La spera ottava vi dimostra molti,"L’ottavo cielo offre alla vostra vista  molte stelle, "
206,"lumi, li quali e nel quale e nel quanto",le quali si possono distinguere  nel loro 
207,notar si posson di diversi volti.,diverso aspetto per qualità e quantità .
208,"Se raro e denso ciò facesser tanto,","Se a determinare ciò fosse solo  la rarità e la densità, "
209,"una sola virtù sarebbe in tutti,","ci sarebbe un’unica virtù attiva in tutti , "
210,più e men distributa e altrettanto.,distribuita in maggiore minore o ugual misura.
211,Virtù diverse esser convegnon frutti,"La molteplicità delle virtù deve esser frutto di principi essenziali, "
212,"di princìpi formali, e quei, for ch’uno,","ma questi, tranne uno, risulterebbero tutti eliminati ,"
213,seguiterieno a tua ragion distrutti.,secondo il tuo ragionamento .
214,"Ancor, se raro fosse di quel bruno","Procedendo , se la rarefazione  fosse "
215,"cagion che tu dimandi, o d’oltre in parte","la causa di quelle macchie scure di cui mi hai chiesto, "
216,fora di sua materia sì digiuno,o questo pianeta sarebbe così scarso  
217,"esto pianeto, o, sì come comparte","della sua materia da parte a parte , o, come il corpo"
218,"lo grasso e ’l magro un corpo, così questo","distribuisce le parti grasse e magre, così questo pianeta  "
219,nel suo volume cangerebbe carte.,nel suo spessore   alternerebbe gli strati .
220,"Se ’l primo fosse, fora manifesto","Nel primo caso, sarebbe evidente  durante l’eclisse di sole,"
221,"ne l’eclissi del sol, per trasparere",perché la luce trapasserebbe come attraverso 
222,lo lume come in altro raro ingesto.,qualsiasi altro corpo rado  interposto . 
223,Questo non è: però è da vedere,Ciò non avviene: quindi dobbiamo considerare il secondo caso; 
224,"de l’altro; e s’elli avvien ch’io l’altro cassi,","e se succede che io vanifichi  anche questo,"
225,falsificato fia lo tuo parere.,la tua opinione sarà dimostrata falsa.
226,"S’elli è che questo raro non trapassi,","Se accade che la parte rara non passi da parte a parte, "
227,esser conviene un termine da onde,è necessario che ci sia un punto   dal quale 
228,lo suo contrario più passar non lassi;,la densità  non la lascia più passare;
229,e indi l’altrui raggio si rifonde,"e da quel punto anche il raggio esterno  viene riflesso ,"
230,così come color torna per vetro,come un colore che viene rimandato da un vetro
231,lo qual di retro a sé piombo nasconde.,che nasconde sulla faccia posteriore  uno strato di piombo.
232,Or dirai tu ch’el si dimostra tetro,Tu potresti affermare che in quel punto  
233,"ivi lo raggio più che in altre parti,","la luce si vede più scura  che negli altri, "
234,per esser lì refratto più a retro.,perché viene riflessa da più indietro. 
235,Da questa instanza può deliberarti,"Ma da tale obiezione  ti libererà,"
236,"esperïenza, se già mai la provi,","se vorrai una volta provarla, un’esperienza concreta, "
237,ch’esser suol fonte ai rivi di vostr’ arti.,che è solita essere l’origine delle arti umane.
238,Tre specchi prenderai; e i due rimovi,"Prendi tre specchi; due allontanali da te ugualmente, "
239,"da te d’un modo, e l’altro, più rimosso,",l’altro incontri i tuoi occhi da più lontano  e in mezzo ai primi due. 
240,tr’ambo li primi li occhi tuoi ritrovi.,"Con lo sguardo a essi, poni  dietro la tua schiena  "
241,"Rivolto ad essi, fa che dopo il dosso",una luce che illumini i tre specchi e 
242,ti stea un lume che i tre specchi accenda,ritorni a te riflessa  da tutti. 
243,e torni a te da tutti ripercosso.,"Lì, anche se l’immagine  più lontana"
244,Ben che nel quanto tanto non si stenda,"non raggiungerà la stessa quantità di grandezza,"
245,"la vista più lontana, lì vedrai",ti accorgerai di come essa risplenda della stessa
246,come convien ch’igualmente risplenda.,qualità e colore .
247,"Or, come ai colpi de li caldi rai","Adesso, come sotto i caldi raggi "
248,de la neve riman nudo il suggetto,la materia prima  della neve resta privata
249,"e dal colore e dal freddo primai,","tanto del colore quanto del freddo precedenti , "
250,così rimaso te ne l’intelletto,"così io intendo ricolmare  te, rimasto tale nella mente, "
251,"voglio informar di luce sì vivace,","di una chiarezza e verità  così intensa, "
252,che ti tremolerà nel suo aspetto.,che nel manifestarsi  scintillerà alla tua vista.
253,Dentro dal ciel de la divina pace,Nel cielo della pace di Dio 
254,si gira un corpo ne la cui virtute,ruota una sfera  nella cui potenza
255,l’esser di tutto suo contento giace.,risiede  la vita di tutto ciò che vi è contenuto .
256,"Lo ciel seguente, c’ha tante vedute,","Il cielo successivo, in cui vi sono tante"
257,"quell’ esser parte per diverse essenze,","stelle visibili , divide  quell’unico"
258,da lui distratte e da lui contenute.,principio nei diversi corpi da lui distinti  e in esso contenuti.
259,Li altri giron per varie differenze,Gli altri cieli ruotanti  in diverso modo organizzano  
260,le distinzion che dentro da sé hanno,"le distinte virtù  che hanno in sé, perché conseguano"
261,dispongono a lor fini e lor semenze.,i loro fini e attuino i loro influssi . 
262,"Questi organi del mondo così vanno,","Queste parti vitali dell’universo procedono in tal modo,"
263,"come tu vedi omai, di grado in grado,","come ormai comprendi, di gradino in gradino, "
264,che di sù prendono e di sotto fanno.,che prendono dal cielo superiore e agiscono su quello inferiore.
265,Riguarda bene omai sì com’ io vado,Segui ora attentamente in che modo io giungo
266,"per questo loco al vero che disiri,",attraverso questo ragionamento  alla verità 
267,sì che poi sappi sol tener lo guado.,"che desideri, cosicché poi tu possa da solo trovare il giusto cammino ."
268,"Lo moto e la virtù d’i santi giri,",Il movimento e la potenza delle beate sfere
269,"come dal fabbro l’arte del martello,",procedono di necessità  dalle intelligenze
270,da’ beati motor convien che spiri;,"motrici angeliche , come l’opera del"
271,"e ’l ciel cui tanti lumi fanno bello,",martello dal fabbro; e il cielo che si adorna di tante
272,de la mente profonda che lui volve,stelle assume l’impronta dell’alta intelligenza che
273,prende l’image e fassene suggello.,gli imprime il movimento  e se ne fa a sua volta sigillo.
274,E come l’alma dentro a vostra polve,E come l’anima nel corpo umano  
275,per differenti membra e conformate,nei vari organi adattati
276,"a diverse potenze si risolve,","alle varie facoltà si diffonde,"
277,così l’intelligenza sua bontate,così l’intelligenza angelica dispiega 
278,"multiplicata per le stelle spiega,","la sua virtù differenziata  attraverso le stelle,"
279,girando sé sovra sua unitate.,ruotando nella sua unicità.
280,Virtù diversa fa diversa lega,Virtù diversa produce diverso effetto 
281,"col prezïoso corpo ch’ella avviva,","in unione con la preziosa materia  cui dà vita , "
282,"nel qual, sì come vita in voi, si lega.",nel quale si unisce come lo spirito vitale in voi. 
283,"Per la natura lieta onde deriva,","A causa della letizia generale da cui si origina,"
284,la virtù mista per lo corpo luce,la potenza risplende attraverso il corpo
285,come letizia per pupilla viva.,"al quale si è congiunta , come la gioia nell’occhio umano."
286,Da essa vien ciò che da luce a luce,"Da questo deriva la differenza tra le varie luci celesti, "
287,"par differente, non da denso e raro;",non dalla densità o rarità; e questo è il principio essenziale  
288,"essa è formal principio che produce,","che determina il colore scuro  e quello luminoso, "
289,"conforme a sua bontà, lo turbo e ’l chiaro».",a seconda della sua intensità ».
290,"Quel sol che pria d’amor mi scaldò ’l petto,",Beatrice  che per prima  accese
291,"di bella verità m’avea scoverto,","l’amore nel mio cuore, mi aveva rivelato il dolce"
292,"provando e riprovando, il dolce aspetto;","aspetto della bella verità, dimostrando e confutando ;"
293,"e io, per confessar corretto e certo","e io, per dichiararmi corretto dell’errore "
294,"me stesso, tanto quanto si convenne","e convinto della verità , nel rispetto della convenienza "
295,leva’ il capo a proferer più erto;,alzai il capo più alto  per parlare ; 
296,ma visïone apparve che ritenne,ma mi apparve una visione che mi tenne 
297,"a sé me tanto stretto, per vedersi,","così legato a sé solo al vedersi, "
298,che di mia confession non mi sovvenne.,che mi dimenticai della mia dichiarazione .
299,"Quali per vetri trasparenti e tersi,","Come attraverso vetri trasparenti e puliti, ovvero "
300,"o ver per acque nitide e tranquille,","in sorgenti limpide e quiete, non tanto profonde"
301,"non sì profonde che i fondi sien persi,","che i fondali diventino invisibili , i lineamenti"
302,tornan d’i nostri visi le postille, dei nostri volti si riflettono  tenui
303,"debili sì, che perla in bianca fronte",al punto che  una perla su di una fronte
304,non vien men forte a le nostre pupille;,"bianca non giunge meno evidente ai nostri occhi,"
305,tali vid’ io più facce a parlar pronte;,così io vidi alcuni volti disposti a parlare; per questo
306,per ch’io dentro a l’error contrario corsi,caddi nell’equivoco opposto 
307,a quel ch’accese amor tra l’omo e ’l fonte.,a quello che fece nascere l’amore tra Narciso  e la fonte.
308,"Sùbito sì com’ io di lor m’accorsi,","Non appena io mi accorsi di esse, giudicandole"
309,"quelle stimando specchiati sembianti,","immagini riflesse , volsi"
310,"per veder di cui fosser, li occhi torsi;","gli occhi per vedere chi fossero; ma non vidi nulla,"
311,"e nulla vidi, e ritorsili avanti","e li rigirai davanti a me, rivolti al viso luminoso della"
312,"dritti nel lume de la dolce guida,","mia dolce guida, la quale già sorrideva"
313,"che, sorridendo, ardea ne li occhi santi.",risplendendo negli occhi santi.
314,"«Non ti maravigliar perch’ io sorrida»,",Mi disse: «Non stupirti del mio sorriso per il
315,"mi disse, «appresso il tuo püeril coto,","tuo pensiero  infantile, poiché esso non poggia "
316,"poi sopra ’l vero ancor lo piè non fida,","ancora con sicurezza il piede sulla verità, ma ti"
317,"ma te rivolve, come suole, a vòto:","fa rigirare a vuoto, come avviene di solito; quelli che"
318,"vere sustanze son ciò che tu vedi,","tu vedi sono esseri reali , confinati"
319,qui rilegate per manco di voto.,in questo luogo  per aver mancato ai
320,Però parla con esse e odi e credi;,"voti. Perciò discorri, ascolta e credi a loro, giacché"
321,ché la verace luce che le appaga,la verità divina  che li rende completamente
322,da sé non lascia lor torcer li piedi».,felici  non permette loro di allontanarsi da essa».
323,E io a l’ombra che parea più vaga,Io mi rivolsi  all’anima  che
324,"di ragionar, drizza’mi, e cominciai,","sembrava più desiderosa di parlare, e iniziai a dire,"
325,quasi com’ uom cui troppa voglia smaga:,come una persona a cui  un desiderio troppo
326,"«O ben creato spirito, che a’ rai",intenso toglie lucidità : «O spirito nato alla
327,di vita etterna la dolcezza senti,"beatitudine , che, irradiato dalla Grazia"
328,"che, non gustata, non s’intende mai,","divina, ne senti quella dolcezza che non può essere"
329,grazïoso mi fia se mi contenti,"compresa se non la si gusta, mi sarebbe gradito"
330,del nome tuo e de la vostra sorte».,se tu mi soddisfacessi del tuo nome e della vostra condizione». 
331,"Ond’ ella, pronta e con occhi ridenti:","Allora quell’anima, subito  e con occhi gioiosi "
332,«La nostra carità non serra porte,disse: «Il nostro sentimento di carità non chiude le porte 
333,"a giusta voglia, se non come quella","a un buon desiderio, non altrimenti dalla carità di Dio "
334,che vuol simile a sé tutta sua corte.,che rende tutto il suo regno  simile a lui.
335,I’ fui nel mondo vergine sorella;,Io sulla terra fui monaca 
336,"e se la mente tua ben sé riguarda,","e se bene ricerchi nella tua memoria , non"
337,"non mi ti celerà l’esser più bella,","mi nasconderà a te il fatto che ora io sia più bella,"
338,"ma riconoscerai ch’i’ son Piccarda,","ma riconoscerai in me Piccarda che, qui assegnata "
339,"che, posta qui con questi altri beati,","insieme con queste altre anime beate,"
340,beata sono in la spera più tarda.,sono beata nel cielo che gira più lentamente .
