Original,Translate_es_1
" E sì come secondo raggio suole uscir del primo e risalire in suso, pur come pelegrin che tornar vuole, ","Y como el rayo reflejado suele alejarse del rayo de incidencia y subir hacia arriba con el mismo ángulo, como un peregrino que quiere volver a su patria,"
" così de l’atto suo, per li occhi infuso ne l’imagine mia, il mio si fece, e fissi li occhi al sole oltre nostr’ uso","Así que de su actitud infundida en mi habilidad imaginaria nació el mío, y miré el sol más allá de las capacidades humanas normales"
" Molto è licito là, che qui non lece a le nostre virtù, mercé del loco fatto per proprio de l’umana spece","Allí en el Edén se permiten muchas cosas que no lo son en la Tierra, gracias a ese lugar creado como propio de la especie humana"
" Io nol soffersi molto, né sì poco, ch’io nol vedessi sfavillar dintorno, com’ ferro che bogliente esce del foco","Yo no pude mirar el sol por mucho tiempo, pero ni siquiera tan poco como para verlo brillar alrededor, como un hierro brillante que acababa de salir del fuego"
" e di sùbito parve giorno a giorno essere aggiunto, come quei che puote avesse il ciel d’un altro sole addorno","Y parecía que al día se había añadido otro, como si Dios hubiera adornado el cielo de un segundo sol"
 Beatrice tutta ne l’etterne rote fissa con li occhi stava,Beatrice tenía la mirada fija en las ruedas celestiales
" e io in lei le luci fissi, di là sù rimote","Y miré hacia ella, y lo aparté del cielo"
" Nel suo aspetto tal dentro mi fei, qual si fé Glauco nel gustar de l’erba che ’l fé consorto in mar de li altri dèi","Al mirarla, me convertí en Glauco cuando se comió la hierba, que lo convirtió en un dios marino"
 Trasumanar significar per verba non si poria,Elevarse más allá de los límites humanos no se podría explicar con palabras
 però l’essemplo basti a cui esperïenza grazia serba,Por eso basta el ejemplo mitológico para aquellos a quienes la gracia divina reserva la experiencia directa
" S’i’ era sol di me quel che creasti novellamente, amor che ’l ciel governi, tu ’l sai, che col tuo lume mi levasti","Si yo era sólo lo que tú, amor que gobiernas el Cielo, creaste para el final, tú sabes que me levantaste con tu luz"
" Quando la rota che tu sempiterni desiderato, ","Cuando el movimiento giratorio de los cielos, que tú haces eterno con el deseo de las ruedas celestiales de acercarse a ti,"
" a sé mi fece atteso con l’armonia che temperi e discerni, ","Atrajo mi atención con la armonía que tú regulas y estableces,"
" parvemi tanto allor del cielo acceso de la fiamma del sol, che pioggia o fiume lago non fece alcun tanto disteso",el cielo me pareció tan encendido por la luz del sol que la lluvia o un río nunca crearon un lago tan grande
 La novità del suono e ’l grande lume di lor cagion m’accesero un disio mai non sentito di cotanto acume,"La novedad del sonido y la luz intensa encendieron en mí el deseo de conocer la causa, tan agudo como nunca lo sentí."
" Ond’ ella, che vedea me sì com’ io, a quïetarmi l’animo commosso, pria ch’io a dimandar, la bocca aprio e cominciò","Entonces ella, que leía en mi mente como yo mismo, antes de que le pidiera algo, abrió su boca para apaciguar mi alma turbada y dijo:"
" «Tu stesso ti fai grosso col falso imaginar, sì che non vedi ciò che vedresti se l’avessi scosso","Tú mismo te haces incapaz de entender con una falsa imaginación, para que no veas lo que verías si te liberaras"
" Tu non se’ in terra, sì come tu credi","No estás en la Tierra, como crees."
" ma folgore, fuggendo il proprio sito, non corse come tu ch’ad esso riedi»","Pero un relámpago, dejando su hogar natural, no corrió tan rápido como tú regresando al lugar que te es propio"
" S’io fui del primo dubbio disvestito per le sorrise parolette brevi, dentro ad un nuovo più fu’ inretito e dissi","Si me libraron de la primera duda por medio de aquellas breves y sonrientes palabras, me sorprendieron otra duda, y dije:"
 «Già contento requïevi di grande ammirazion,Ahora mi gran maravilla se ha apaciguado
 ma ora ammiro com’ io trascenda questi corpi levi»,Pero ahora me asombra que pueda subir más allá de estos cuerpos ligeros.
" Ond’ ella, appresso d’un pïo sospiro, li occhi drizzò ver’ me con quel sembiante che madre fa sovra figlio deliro, e cominciò","Entonces ella, después de un suspiro devoto, me miró con la apariencia de una madre que se dirige al hijo que dice tonterías, y comenzó"
" «Le cose tutte quante hanno ordine tra loro, e questo è forma che l’universo a Dio fa simigliante","Todas las cosas creadas están ordenadas entre sí, y esta es la forma que hace que el Universo sea semejante a Dios"
" Qui veggion l’alte creature l’orma de l’etterno valore, il qual è fine al quale è fatta la toccata norma","En este orden las criaturas racionales ven la huella de la virtud divina, que es el fin último de todo el orden mismo"
" Ne l’ordine ch’io dico sono accline tutte nature, per diverse sorti, più al principio loro e men vicine","En este orden que digo todas las naturalezas reciben su inclinación, de diferentes maneras, más o menos cercanas a su principio creador"
" onde si muovono a diversi porti per lo gran mar de l’essere, e ciascuna con istinto a lei dato che la porti","por lo que tienden a diferentes objetivos en la amplitud del Universo, y cada uno es impulsado por un instinto dado a ella"
 Questi ne porta il foco inver’ la luna,Este instinto lleva fuego a la luna
 questi ne’ cor mortali è permotore,Él mueve los corazones de los seres irracionales
 questi la terra in sé stringe e aduna,Él aprieta y hace que la tierra sea cohesionada
" né pur le creature che son fore d’intelligenza quest’ arco saetta, ma quelle c’hanno intelletto e amore","Este instinto mueve no sólo a las criaturas sin inteligencia, sino también a las que tienen alma racional."
" La provedenza, che cotanto assetta, del suo lume fa ’l ciel sempre quïeto nel qual si volge quel c’ha maggior fretta","La Providencia, que establece todo esto, hace siempre tranquilo con su luz el Cielo en el que gira el más rápido"
" e ora lì, come a sito decreto, cen porta la virtù di quella corda che ciò che scocca drizza in segno lieto","y nos lleva allí, como a un sitio establecido, la fuerza de ese instinto natural que dirige con buen fin a cada ser que mueve"
" Vero è che, come forma non s’accorda molte fïate a l’intenzion de l’arte, perch’ a risponder la materia è sorda, ","Es cierto que, como la forma muchas veces no corresponde a la intención del artista, porque la materia no responde como debería,"
" così da questo corso si diparte talor la creatura, c’ha podere di piegar, così pinta, in altra parte","así que a veces la criatura racional se aleja de este curso, teniendo el poder de doblar en otra dirección, aunque tan bien dirigida"
" e sì come veder si può cadere foco di nube, sì l’impeto primo l’atterra torto da falso piacere","y como se puede ver un rayo que cae de una nube, así el instinto natural puede hacer que el hombre se incline hacia abajo, atraído por el placer falso de los bienes terrestres"
" Non dei più ammirar, se bene stimo, lo tuo salir, se non come d’un rivo se d’alto monte scende giuso ad imo","No debes sorprenderte más, si juzgo correctamente, por el hecho de que subes, sino como un río que fluye de la montaña abajo"
" Maraviglia sarebbe in te se, privo d’impedimento, giù ti fossi assiso, com’ a terra quïete in foco vivo»","Sería de extrañar que tú, sin impedimentos, te hubieras quedado en el suelo, como un fuego que se quedara quieto y no subiera hacia arriba."
 Quinci rivolse inver’ lo cielo il viso,"Después de sus palabras, Beatrice miró al cielo"
" O voi che siete in piccioletta barca, desiderosi d’ascoltar, seguiti dietro al mio legno che cantando varca, ","Oh los lectores que están en un pequeño barco, deseosos de escuchar, que siguen detrás de mi nave cantando el mar,"
 tornate a riveder li vostri liti,Vuelvan a las costas desde las que salieron.
" non vi mettete in pelago, ché forse, perdendo me, rimarreste smarriti","No os volváis al mar abierto, porque quizás, al perder mi estela, os perderéis"
 L’acqua ch’io prendo già mai non si corse,El agua que recorrí nunca fue atravesada por nadie.
" Minerva spira, e conducemi Appollo, e nove Muse mi dimostran l’Orse","Minerva sopla los vientos, y Apolo sostiene el timón, y las nueve Musas me indican el rumbo correcto"
" Voialtri pochi che drizzaste il collo per tempo al pan de li angeli, del quale vivesi qui ma non sen vien satollo, ","Vosotros pocos, que os habéis alimentado a tiempo del pan de los ángeles de los que aquí en la Tierra se vive, pero nunca os saciaréis,"
" metter potete ben per l’alto sale vostro navigio, servando mio solco dinanzi a l’acqua che ritorna equale","Vosotros podéis pasar por alta mar con vuestro barco, siguiendo mi estela delante del agua que vuelve igual"
" Que’ glorïosi che passaro al Colco non s’ammiraron come voi farete, quando Iasón vider fatto bifolco","Aquellos gloriosos que llegaron a la Cólquida, cuando vieron a Jasón hacerse granjero, no se sorprendieron tanto como ustedes."
 La concreata e perpetüa sete del deïforme regno cen portava veloci quasi come ’l ciel vedete,"La sed innata y continua del reino semejante a Dios nos llevaba a lo alto, casi tan rápido como el movimiento de los cielos"
" Beatrice in suso, e io in lei guardava",Beatrice miraba hacia arriba y yo hacia ella
" e forse in tanto in quanto un quadrel posa e vola e da la noce si dischiava, ","y tal vez al mismo tiempo que una flecha es arrojada de la cuerda, vuela y llega al blanco,"
 giunto mi vidi ove mirabil cosa mi torse il viso a sé,Yo llegué a donde un espectáculo maravilloso atrajo mi mirada
" e però quella cui non potea mia cura essere ascosa, volta ver’ me, sì lieta come bella, ","y, por tanto, aquella a la cual ningún pensamiento mío podía ser escondido, dirigida a mí, tan alegre como hermosa,"
" «Drizza la mente in Dio grata», mi disse, «che n’ha congiunti con la prima stella»","□ Dirige tu mente y expresa gratitud a Dios, me dijo, que nos ha llevado a la primera estrella"
" Parev’ a me che nube ne coprisse lucida, spessa, solida e pulita, quasi adamante che lo sol ferisse","Parecía que nos cubría una nube brillante, gruesa, sólida y tersa, como un diamante iluminado por el sol."
" Per entro sé l’etterna margarita ne ricevette, com’ acqua recepe raggio di luce permanendo unita","La gema eterna nos recibió dentro de sí, como el agua recibe el rayo del sol permaneciendo unida"
" S’io era corpo, e qui non si concepe com’ una dimensione altra patio, ","Si yo tenía un cuerpo sólido, y aquí no se entiende cómo una dimensión pudo soportar la otra,"
" ch’esser convien se corpo in corpo repe, ","lo que tiene que suceder si un cuerpo penetra en otro cuerpo,"
 accender ne dovria più il disio di veder quella essenza in che si vede come nostra natura e Dio s’unio,nos debería encender aún más el deseo de ver esa esencia en la que se ve el misterio de la encarnación de lo divino
" Lì si vedrà ciò che tenem per fede, non dimostrato, ma fia per sé noto a guisa del ver primo che l’uom crede","Allí, veremos lo que creemos por la fe, no probado racionalmente, pero dado a conocer como las verdades a las que el hombre cree"
 Io rispuosi,Yo contesté.
" «Madonna, sì devoto com’ esser posso più, ringrazio lui lo qual dal mortal mondo m’ha remoto","Mi señora, tan devoto como no se puede ser más, doy gracias a Dios que me ha separado del mundo mortal"
 Ma ditemi,Pero díganme.
" che son li segni bui di questo corpo, che là giuso in terra fan di Cain favoleggiare altrui?»","¿Cuáles son las señales oscuras de esta estrella, que allí en la Tierra inducen a algunos a fábula de Caín?"
" Ella sorrise alquanto, e poi «S’elli erra l’oppinïon», mi disse, ","Ella sonrió un poco, y entonces, si la opinión de los hombres está equivocada, me dijo"
" «d’i mortali dove chiave di senso non diserra, certo non ti dovrien punger li strali d’ammirazione omai, ","en la materia en la que los sentidos no ofrecen explicaciones adecuadas, ciertamente no deberías sorprenderte ahora,"
 poi dietro ai sensi vedi che la ragione ha corte l’ali,porque ves que la razón no siempre puede ir detrás de los sentidos
 Ma dimmi quel che tu da te ne pensi»,Pero dime tu opinión al respecto.
 E io,Y yo
 «Ciò che n’appar qua sù diverso credo che fanno i corpi rari e densi»,Creo que las diferencias de brillo de los astros son causadas por la diferente densidad del cuerpo estelar.
 Ed ella,Y ella.
" «Certo assai vedrai sommerso nel falso il creder tuo, se bene ascolti l’argomentar ch’io li farò avverso","Por supuesto, verás que tu pensamiento es totalmente erróneo, si escuchas atentamente los argumentos con los que lo refutaré"
" La spera ottava vi dimostra molti lumi, li quali e nel quale e nel quanto notar si posson di diversi volti","El octavo Cielo les muestra muchas estrellas, las cuales parecen diferentes en cuanto a cantidad y calidad"
" Se raro e denso ciò facesser tanto, una sola virtù sarebbe in tutti, più e men distributa e altrettanto","Si esto fuera causado sólo por la diferente densidad, entonces en todos estaría presente la misma virtud, distribuida en mayor medida, menor o igual"
" Virtù diverse esser convegnon frutti di princìpi formali, e quei, for ch’uno, seguiterieno a tua ragion distrutti","En cambio, es necesario que virtudes diferentes sean el producto de diferentes principios formales, que según tu razonamiento se reducirían a uno solo"
" Ancor, se raro fosse di quel bruno cagion che tu dimandi, o d’oltre in parte fora di sua materia sì digiuno esto pianeto, ","Además, si la razón por la que buscas la luminosidad diferente fuera la menor densidad, entonces este planeta estaría libre de masa de un lado a otro,"
" o, sì come comparte lo grasso e ’l magro un corpo, così questo nel suo volume cangerebbe carte","o, como un cuerpo distribuye de manera desigual la grasa y el delgado, así la Luna tendría diferencia de masa en su interior"
" Se ’l primo fosse, fora manifesto ne l’eclissi del sol, per trasparere lo lume come in altro raro ingesto","Si fuera verdad la primera hipótesis, esto se vería durante los eclipses de sol, porque la luz del sol transparecería como lo hace cuando se introduce en otro cuerpo diáfano"
 Questo non è,Eso no pasa.
 però è da vedere de l’altro,"Por lo tanto, queda por verificar la otra hipótesis"
" e s’elli avvien ch’io l’altro cassi, falsificato fia lo tuo parere","Y si yo también refuté eso, entonces tu opinión será falsa"
" S’elli è che questo raro non trapassi, esser conviene un termine da onde lo suo contrario più passar non lassi","Si la Luna está rapada, pero no de lado a lado, hay un punto más allá del cual está la masa sólida"
 e indi l’altrui raggio si rifonde così come color torna per vetro lo qual di retro a sé piombo nasconde,y desde allí el rayo del sol se refleja tal como la luz se refleja en un espejo
" Or dirai tu ch’el si dimostra tetro ivi lo raggio più che in altre parti, per esser lì refratto più a retro","Ahora dirás que el rayo en ese punto más raro es menos brillante, porque se refleja más profundamente"
" Da questa instanza può deliberarti esperïenza, se già mai la provi, ch’esser suol fonte ai rivi di vostr’ arti","De esta objeción puede librarte la experiencia, si quieres hacerlo, la cual es el principio de todo tu conocimiento"
 Tre specchi prenderai,Tomarás tres espejos.
" e i due rimovi da te d’un modo, e l’altro, più rimosso, tr’ambo li primi li occhi tuoi ritrovi","Y pondrás dos a igual distancia de ti, y el tercero más lejos y puesto en el centro de los otros dos"
" Rivolto ad essi, fa che dopo il dosso ti stea un lume che i tre specchi accenda e torni a te da tutti ripercosso","Dirigido hacia ellos, haz que te quede una luz detrás de tus hombros que se refleje de la misma manera en los tres espejos y que puedas verlo en los tres."
" Ben che nel quanto tanto non si stenda la vista più lontana, lì vedrai come convien ch’igualmente risplenda","Aunque el espejo más lejano refleja la luz con menor tamaño, verás que en ella la luz brilla con el mismo brillo que los otros dos"
" Or, come ai colpi de li caldi rai de la neve riman nudo il suggetto e dal colore e dal freddo primai, ","Ahora, como en los cálidos rayos del sol, la nieve se derrite y se convierte en agua, sin el color y el frío de la nieve misma,"
" così rimaso te ne l’intelletto voglio informar di luce sì vivace, che ti tremolerà nel suo aspetto","Así que quiero dar nueva forma a tu intelecto que está despojado del error, iluminandote con una luz tan intensa que en su apariencia parecerá temblando como la de una estrella"
 Dentro dal ciel de la divina pace si gira un corpo ne la cui virtute l’esser di tutto suo contento giace,En el cielo de la paz divina gira otro en cuya virtud yace la esencia de todo su contenido
" Lo ciel seguente, c’ha tante vedute, quell’ esser parte per diverse essenze, da lui distratte e da lui contenute","El cielo siguiente, que tiene tantas estrellas, divide esa esencia entre todos los astros, separados de él y encerrados en él"
 Li altri giron per varie differenze le distinzion che dentro da sé hanno dispongono a lor fini e lor semenze,"Los otros cielos disponen de las diferentes virtudes que tienen en sí mismos de diferentes maneras, con el fin de derramar sobre la Tierra sus influencias y los fines deseados"
" Questi organi del mondo così vanno, come tu vedi omai, di grado in grado, che di sù prendono e di sotto fanno","Estos órganos del universo avanzan tal como te diste cuenta del Cielo en el Cielo, de tal manera que reciben una influencia desde arriba y lo reverberan hacia abajo"
" Riguarda bene omai sì com’ io vado per questo loco al vero che disiri, sì che poi sappi sol tener lo guado","Mira bien la manera en que voy hacia la verdad que deseas, para que luego puedas llegar a la conclusión por ti mismo."
" Lo moto e la virtù d’i santi giri, come dal fabbro l’arte del martello, da’ beati motor convien che spiri","El movimiento y la virtud de las ruedas celestiales deben proceder de las inteligencias angélicas, como el arte del martillo deriva del herrero"
" e ’l ciel cui tanti lumi fanno bello, de la mente profonda che lui volve prende l’image e fassene suggello",y el Cielo adornado con tantas estrellas toma la huella de la que se hace sello de la mente profunda que lo hace girar
" E come l’alma dentro a vostra polve per differenti membra e conformate a diverse potenze si risolve, ","Y como el alma humana dentro de vuestro cuerpo pone en práctica varias potencias a través de miembros diferentes y de otra forma,"
" così l’intelligenza sua bontate multiplicata per le stelle spiega, girando sé sovra sua unitate","Así la inteligencia angelical manifiesta su bondad multiplicado por las diversas estrellas, girando sin dejar de estar unida"
" Virtù diversa fa diversa lega col prezïoso corpo ch’ella avviva, nel qual, sì come vita in voi, si lega","La virtud tan diversificada se une de manera diferente con el precioso cuerpo estelar al que da vida, en el que se une tal como la vida en vosotros"
" Per la natura lieta onde deriva, la virtù mista per lo corpo luce come letizia per pupilla viva","Puesto que la virtud compenetrada en el astro proviene de una naturaleza gozosa , brilla en el cuerpo estelar como la alegría brilla en la pupila del ojo"
" Da essa vien ciò che da luce a luce par differente, non da denso e raro","De esto se deriva el hecho de que la luminosidad de los astros es diferente, no de la diferente densidad"
" essa è formal principio che produce, conforme a sua bontà, lo turbo e ’l chiaro»","es el principio formal que produce, de acuerdo con su bondad, la opacidad y el claror."
" Quel sol che pria d’amor mi scaldò ’l petto, di bella verità m’avea scoverto, provando e riprovando, il dolce aspetto","El sol que antes me calentó el pecho de amor, me había revelado el dulce aspecto de la verdad con argumentos a favor y en contra"
" e io, per confessar corretto e certo me stesso, tanto quanto si convenne leva’ il capo a proferer più erto","y yo, para confesar que había corregido mi error y estaba seguro de que lo entendí, levanté la cabeza tan recta como era necesario para hablar"
" ma visione apparve che ritenne a sé me tanto stretto, per vedersi, che di mia confession non mi sovvenne","Pero me apareció una visión que atrajo a sí misma mi mirada tan estrechamente, para mirarla, que ya no me acordé de mi confesión"
" Quali per vetri trasparenti e tersi, o ver per acque nitide e tranquille, non sì profonde che i fondi sien persi, ","Al igual que a través de vidrios transparentes y claros, o a través de aguas nítidas y no perturbadas,"
" tornan d’i nostri visi le postille debili sì, che perla in bianca fronte non vien men forte a le nostre pupille","Vuelven los reflejos de nuestros rostros tan evanescentes que una perla en una frente blanca no golpea menos nuestros ojos,"
 tali vid’ io più facce a parlar pronte,Así que vi más caras de bienaventurados listos para hablar
 per ch’io dentro a l’error contrario corsi a quel ch’accese amor tra l’omo e ’l fonte,Entonces yo incurrí en el error contrario a lo que encendió el amor entre Narciso y su imagen reflejada en el agua
" Sùbito sì com’ io di lor m’accorsi, quelle stimando specchiati sembianti, per veder di cui fosser, li occhi torsi","Tan pronto como me di cuenta de los espíritus, creyendo que eran imágenes reflejadas, me di la vuelta para ver quiénes eran."
" e nulla vidi, e ritorsili avanti dritti nel lume de la dolce guida, che, sorridendo, ardea ne li occhi santi","y no vi nada, y volví a mirar adelante a los ojos de mi dulce guía, que, sonriendo, ardía en su mirada llena de santidad"
" «Non ti maravigliar perch’ io sorrida», mi disse, ","No te sorprendas si sonrío de tu pensamiento infantil, me dijo,"
" «appresso il tuo püeril coto, poi sopra ’l vero ancor lo piè non fida, ma te rivolve, come suole, a vòto","ya que tu intelecto todavía no es seguro detrás de la verdad, pero te hace girar en blanco como suele ocurrir en estos casos"
" vere sustanze son ciò che tu vedi, qui rilegate per manco di voto","Lo que ves son criaturas reales, relegadas aquí por falta de voto"
 Però parla con esse e odi e credi,Así que habla con ellas y cree en todo lo que oigas.
 ché la verace luce che le appaga da sé non lascia lor torcer li piedi»,"De hecho, la luz verdadera que las hace felices no les permite alejarse de la verdad."
" E io a l’ombra che parea più vaga di ragionar, drizza’mi, e cominciai, quasi com’ uom cui troppa voglia smaga","Y me volví al alma que parecía más deseosa de hablar, y comencé, casi como un hombre debilitado por el deseo excesivo"
" «O ben creato spirito, che a’ rai di vita etterna la dolcezza senti che, non gustata, non s’intende mai, ","Oh espíritu bien nacido, que a los rayos de la vida eterna sientes una dulzura incomprensible si no está probada,"
 grazïoso mi fia se mi contenti del nome tuo e de la vostra sorte»,Me agradará que me digas tu nombre y tu condición.
" Ond’ ella, pronta e con occhi ridenti","Entonces ella, lista y con ojos sonrientes"
" «La nostra carità non serra porte a giusta voglia, se non come quella che vuol simile a sé tutta sua corte","Nuestra caridad no cierra la puerta a un justo deseo, al igual que la de Dios que quiere semejante a sí todo el Paraíso"
 I’ fui nel mondo vergine sorella,En el mundo fui monja
" e se la mente tua ben sé riguarda, non mi ti celerà l’esser più bella, ","Y si piensas con cuidado, el hecho de que yo sea más hermosa no ocultará mi identidad,"
" ma riconoscerai ch’i’ son Piccarda, che, posta qui con questi altri beati, beata sono in la spera più tarda","Pero me reconocerás como Piccarda Donati, que, colocada aquí con estos otros bienaventurados, estoy en el Cielo más lento"
" Li nostri affetti, che solo infiammati son nel piacer de lo Spirito Santo, letizian del suo ordine formati","Nuestros sentimientos, que sólo están inflamados por el placer del Espíritu Santo, se regocijan en adaptarse a su orden"
" E questa sorte che par giù cotanto, però n’è data, perché fuor negletti li nostri voti, e vòti in alcun canto»","Y esta condición nuestra, que parece tan baja, se nos ha dado porque nuestros votos fueron incumplidos y descuidados en algunos aspectos."
 Ond’ io a lei,Entonces le dije:
 «Ne’ mirabili aspetti vostri risplende non so che divino che vi trasmuta da’ primi concetti,En vuestro maravilloso aspecto resplandece algo divino que os hace diferentes de cómo estabais vivos
 però non fui a rimembrar festino,Por eso no fui rápido en recordar
" ma or m’aiuta ciò che tu mi dici, sì che raffigurar m’è più latino","Pero ahora lo que me dices me ayuda, para que me sea más fácil representar tu cara."
 Ma dimmi,Pero dime.
" voi che siete qui felici, disiderate voi più alto loco per più vedere e per più farvi amici?»","¿Ustedes que están aquí felices, desean estar en un lugar más alto para ver a Dios más de cerca y estar en mayor comunión con Él?"
 Con quelle altr’ ombre pria sorrise un poco,Con las otras almas al principio sonrió un poco
" da indi mi rispuose tanto lieta, ch’arder parea d’amor nel primo foco",Entonces me respondió tan contenta que parecía arder en el amor del Espíritu Santo
" «Frate, la nostra volontà quïeta virtù di carità, che fa volerne sol quel ch’avemo, e d’altro non ci asseta","Hermano, la virtud de caridad aplaca nuestra voluntad, y nos hace querer sólo lo que tenemos y no nos hace desear otra cosa"
" Se disïassimo esser più superne, foran discordi li nostri disiri dal voler di colui che qui ne cerne","Si quisiéramos ser más altos, nuestros deseos estarían en desacuerdo con la voluntad de Aquel que nos coloca aquí"
" che vedrai non capere in questi giri, s’essere in carità è qui necesse, e se la sua natura ben rimiri","y verás que esto no es posible en estos cielos, si aquí es necesario estar en caridad y si observas bien la naturaleza de la caridad misma"
" Anzi è formale ad esto beato esse tenersi dentro a la divina voglia, per ch’una fansi nostre voglie stesse","De hecho, a nuestra condición de bienaventurados es esencial cumplir con la voluntad divina, de modo que todos nuestros deseos se convierten en uno solo"
" sì che, come noi sem di soglia in soglia per questo regno, a tutto il regno piace com’ a lo re che ’n suo voler ne ’nvoglia","de modo que a todo el reino le gusta la manera en que estamos dispuestos de cielo en el cielo, y agrada al rey que nos hace cumplir con su voluntad"
 E ’n la sua volontade è nostra pace,Y en su voluntad es nuestra paz
 ell’ è quel mare al qual tutto si move ciò ch’ella crïa o che natura face»,es el mar hacia el que se mueve todo lo que crea o que la naturaleza produce.
" Chiaro mi fu allor come ogne dove in cielo è paradiso, etsi la grazia del sommo ben d’un modo non vi piove","Entonces me di cuenta de que cada punto del cielo es Paraíso, aunque la gracia del sumo bien no sea irradiada de una sola manera"
" Ma sì com’ elli avvien, s’un cibo sazia e d’un altro rimane ancor la gola, ","Pero como sucede cuando un alimento saciado y otro sigue siendo el deseo,"
" che quel si chere e di quel si ringrazia, così fec’ io con atto e con parola, ","Cuando se pregunta por esto y se agradece por eso, así lo hice yo en los actos y en las palabras"
 per apprender da lei qual fu la tela onde non trasse infino a co la spuola,para saber de ella cuál fue el lienzo del que no sacó el espolón hasta el final
" «Perfetta vita e alto merto inciela donna più sù», mi disse, ","Una vida perfecta y un alto mérito colocan a una mujer en un cielo más alto, me dijo,"
" «a la cui norma nel vostro mondo giù si veste e vela, ","según cuya regla en la Tierra uno se viste y toma el velo,"
 perché fino al morir si vegghi e dorma con quello sposo ch’ogne voto accetta che caritate a suo piacer conforma,con el fin de vigilar y dormir hasta la muerte con el esposo que acepta todo voto que la caridad conforme a su voluntad
" Dal mondo, per seguirla, giovinetta fuggi’mi, e nel suo abito mi chiusi e promisi la via de la sua setta","Para seguirla como doncella huí del mundo y vistí su vestido, prometiendo seguir la regla de su Orden"
" Uomini poi, a mal più ch’a bene usi, fuor mi rapiron de la dolce chiostra","Después unos hombres, acostumbrados al mal más que al bien, me secuestraron fuera del dulce convento"
 Iddio si sa qual poi mia vita fusi,Dios sabe cuál fue mi vida.
" E quest’ altro splendor che ti si mostra da la mia destra parte e che s’accende di tutto il lume de la spera nostra, ","Y este otro esplendor que te aparece a mi derecha y que se enciende de toda la luz de nuestro Cielo,"
" ciò ch’io dico di me, di sé intende",Entiende lo que digo de mí misma.
" sorella fu, e così le fu tolta di capo l’ombra de le sacre bende","fue monja, y le fue quitado el velo de la cabeza de la misma manera"
" Ma poi che pur al mondo fu rivolta contra suo grado e contra buona usanza, non fu dal vel del cor già mai disciolta","Pero después que fue dirigida al mundo contra su voluntad y contra toda buena costumbre, sin embargo nunca fue separada del velo del corazón"
