Original,Translate_de_1
"  Rispuosemi: ""Non omo, omo già fui, e li parenti miei furon lombardi, mantoani per patrïa ambedui","Ich wurde unter der Regierung von Julius Cäsar geboren, obwohl in den letzten Jahren, und lebte in Rom unter der Regierung des guten Kaisers Augustus, zur Zeit der heidnischen Götter"
"  Nacqui sub Iulio, ancor che fosse tardi, e vissi a Roma sotto ’l buono Augusto nel tempo de li dèi falsi e bugiardi","Und ich ward Dichter, und ich sang von dem gerechten Sohn Anchises, der aus Troja floh, nachdem der hochmütige Ilio verbrannt ward."
"  Poeta fui, e cantai di quel giusto figliuol d’Anchise che venne di Troia, poi che ’l superbo Ilïón fu combusto","Warum aber kehrst du zurück zum Bösen des Waldes? Warum steigest du nicht auf den freudigen Hügel, der Anfang ist und Ursache aller Freude ist?"
"  Ma tu perché ritorni a tanta noia? perché non sali il dilettoso monte ch’è principio e cagion di tutta gioia?""","""Dann bist du der Virgilio und die Quelle, die einen so großen Fluß von Worten ausbreitet?,"" schämte ich mich und schämte mich."
"  ""Or se’ tu quel Virgilio e quella fonte che spandi di parlar sì largo fiume?"", rispuos’io lui con vergognosa fronte","Du, der du bist Licht und Führer der anderen Dichter, mögest mir helfen, wie viel Mühe und große Liebe mir geholfen hat, dein Werk zu lesen."
"  ""O de li altri poeti onore e lume, vagliami ’l lungo studio e ’l grande amore che m’ ha fatto cercar lo tuo volume",Du bist mein Meister und mein Vorbild.
"  Tu se’ lo mio maestro e ’l mio autore, tu se’ solo colui da cu’ io tolsi lo bello stilo che m’ ha fatto onore","Du bist der Einzige, von dem ich den schönen Stil getragen habe, der mich berühmt gemacht hat."
  Vedi la bestia per cu’ io mi volsi,"Siehst du das Tier, das mich umgedreht hat?"
" aiutami da lei, famoso saggio, ch’ella mi fa tremar le vene e i polsi""","Hilf mir von ihr, du berühmter Weiser; denn sie macht jeden Tropfen meines Blutes zittern."
"  ""A te convien tenere altro vïaggio"", rispuose, poi che lagrimar mi vide, ""se vuo’ campar d’esto loco selvaggio","""Du musst eine weitere Reise machen,"" antwortete er mir, nachdem er mich weinen sah, ""wenn du dich von diesem wilden Ort retten willst."""
"  ché questa bestia, per la qual tu gride, non lascia altrui passar per la sua via, ma tanto lo ’mpedisce che l’uccide","Die Bestie, die dich schreit, lässt niemanden durch ihren Weg, aber sie hält ihn davon ab, ihn zu töten."
"  e ha natura sì malvagia e ria, che mai non empie la bramosa voglia, e dopo ’l pasto ha più fame che pria","Und er ist so böse und böse, daß er sein Verlangen nie befriedigen kann, und nach jeder Mahlzeit hat er mehr Hunger als zuvor."
"  Molti son li animali a cui s’ammoglia, e più saranno ancora, infin che ’l veltro verrà, che la farà morir con doglia","Es gibt viele Tiere, mit denen sie sich paaren, und sie werden immer mehr sein, bis der Jagdhund kommt, der sie mit Schmerzen umbringen wird."
"  Questi non ciberà terra né peltro, ma sapïenza, amore e virtute, e sua nazion sarà tra feltro e feltro","Er wird nicht auf materielle Reichtümer achten, sondern nur auf geistige Reichtümer, und seine Geburt wird zwischen Filz und Filz geschehen."
"  Di quella umile Italia fia salute per cui morì la vergine Cammilla, Eurialo e Turno e Niso di ferute","Es wird das Heil jenes demütigen Italien sein, und sie starben im Kampfe Eurial und Niso, die Jungfrau Camilla,"
"  Questi la caccerà per ogne villa, fin che l’avrà rimessa ne lo ’nferno, là onde ’nvidia prima dipartilla","Er wird sie jagen in jeder Stadt, bis er sie in die Hölle gebracht hat, von wo aus Neid sie zum ersten Mal herausgeführt hat."
"  Ond’io per lo tuo me’ penso e discerno che tu mi segui, e io sarò tua guida, e trarrotti di qui per loco etterno","Darum denke ich und richte um deinetwillen, daß du mir nachfolgst, und ich werde dir als Führer dienen und dich von hier wegführen, um dich an einen Ort zu führen, der jenseits der Erde liegt,"
"  ove udirai le disperate strida, vedrai li antichi spiriti dolenti, ch’a la seconda morte ciascun grida","wo du die verzweifelten Schreie hören wirst und die alten Seelen der Verdammten sehen wirst, von denen jeder den endgültigen Tod fordert."
"  e vederai color che son contenti nel foco, perché speran di venire quando che sia a le beate genti","Und dann wirst du diejenigen sehen, die mit Schmerzen zufrieden sind, weil sie eines Tages hoffen, die Seligen des Paradieses zu erreichen"
"  A le quai poi se tu vorrai salire, anima fia a ciò più di me degna: con lei ti lascerò nel mio partire","Wenn du aber hinaufgehen willst und die Letzten besuchen willst, so soll eine Seele würdiger sein als ich, dich zu führen, wenn ich gehe, so will ich dich bei ihr lassen."
"  ché quello imperador che là sù regna, perch’i’ fu’ ribellante a la sua legge, non vuol che ’n sua città per me si vegna","Denn der Kaiser, der da oben regiert, will nicht, daß ich in seine Stadt komme, weil ich widerspenstig war gegen sein Gesetz."
  In tutte parti impera e quivi regge,Gott hat Autorität im ganzen Universum und im Paradies regiert
 quivi è la sua città e l’alto seggio: oh felice colui cu’ ivi elegge,"Hier ist seine Stadt und sein anderer Thron; oh, glücklich ist der, der sich erwählt, an diesem Ort zu wohnen."
"  E io a lui: ""Poeta, io ti richeggio per quello Dio che tu non conoscesti, acciò ch’io fugga questo male e peggio,  che tu mi meni là dov’or dicesti, sì ch’io veggia la porta di san Pietro e color cui tu fai cotanto mesti""","Und ich sprach zu ihm: Poet, im Namen jenes Gottes, den du nicht gekannt hast und auf daß ich fliehe dieses Böse und andere Schlimmere, ich bitte dich, mich dahin zu führen, wo du gesagt hast, damit ich das Tor des hl. Petrus sehe und die, die du so niederschmetterlich beschreibst."
"  Allor si mosse, e io li tenni dietro","Da machte er sich auf den Weg, und ich folgte ihm nach."
"  Lo giorno se n’andava, e l’aere bruno toglieva li animai che sono in terra da le fatiche loro","Der Tag war fast vorbei, und die Finsternis nahm die Tiere, die auf Erden sind, von ihren Mühen weg."
" e io sol uno m’apparecchiava a sostener la guerra sì del cammino e sì de la pietate, che ritrarrà la mente che non erra","Und ich war der Einzige, der mich darauf vorbereitete, einen beängstigenden und schrecklichen Weg zu gehen, den mein unfehlbarer Verstand beschreiben wird."
"  O muse, o alto ingegno, or m’aiutate","Oder Musen, oder hohe poetische Intelligenz, helft mir"
" o mente che scrivesti ciò ch’io vidi, qui si parrà la tua nobilitate","Du lügst, was du gesehen hast, und du sollst hier deinen Adel beweisen."
"  Io cominciai: ""Poeta che mi guidi, guarda la mia virtù s’ell’è possente, prima ch’a l’alto passo tu mi fidi","Und ich fing an zu sagen: 'Poet, daß du mich führest, prüfe, ob meine Tugend genug ist, ehe ich mich auf diese schwierige Reise führe.'"
"  Tu dici che di Silvïo il parente, corruttibile ancora, ad immortale secolo andò, e fu sensibilmente","Du sagst, daß der Vater Silvius, der noch lebte, in Fleisch und Blut in den Jenseits ging mit seinem ganzen Leibe."
"  Però, se l’avversario d’ogne male cortese i fu, pensando l’alto effetto ch’uscir dovea di lui, e ’l chi e ’l quale  non pare indegno ad omo d’intelletto","Wenn nun der Feind aller Bosheit ihm gegenüber höflich war, so scheinen der Mensch und seine Verdienste einem Manne mit Verstand nicht unwürdig zu sein, wenn man bedenkt, wie sehr er es tun sollte."
" ch’e’ fu de l’alma Roma e di suo impero ne l’empireo ciel per padre eletto:  la quale e ’l quale, a voler dir lo vero, fu stabilita per lo loco santo u’ siede il successor del maggior Piero","Denn er wurde im Empireer erwählt zum Gründer des edlen Rom und seines Reiches; und Rom und sein Reich, um die Wahrheit zu sagen, wurden als der heilige Sitz bestimmt, wo der Nachfolger des ersten Papstes wohnt."
"  Per quest’andata onde li dai tu vanto, intese cose che furon cagione di sua vittoria e del papale ammanto","Auf dieser Reise, die du erzählst, hörte Enea Dinge, die ihn dann zum Sieg führten und den päpstlichen Mantel hervorbrachten."
"  Andovvi poi lo Vas d’elezïone, per recarne conforto a quella fede ch’è principio a la via di salvazione","Da ging hin das Werkzeug der Wahl, daß er den Glauben, der Anfang des Weges des Heils ist, festigte."
"  Ma io, perché venirvi? o chi ’l concede? Io non Enëa, io non Paulo sono","Aber warum sollte ich hingehen? Wer gibt es? Ich bin nicht Enea, noch der hl. Paulus."
 me degno a ciò né io né altri ’l crede,Weder ich noch sonst jemand hält mich für diese Aufgabe geeignet
"  Per che, se del venire io m’abbandono, temo che la venuta non sia folle","Wenn ich also bereit bin, dir zu folgen, fürchte ich, dass meine Reise verrückt ist."
" Se’ savio intendi me’ ch’i’ non ragiono""","Du bist weise, verstehst besser, als ich es erklären kann."
"  E qual è quei che disvuol ciò che volle e per novi pensier cangia proposta, sì che dal cominciar tutto si tolle,  tal mi fec’ïo ’n quella oscura costa, perché, pensando, consumai la ’mpresa che fu nel cominciar cotanto tosta","Und wie der, der nicht mehr will, was er will, und seine Meinung ändert durch neue Gedanken, so daß er völlig von seinen Vorsätzen abkehrt, so wurde ich an jenen dunklen Orten; denn ich dachte an das Ende der Sache, die zu Anfang so schnell war."
"  ""S’i’ ho ben la parola tua intesa"", rispuose del magnanimo quell’ombra, ""l’anima tua è da viltade offesa","Und der Schatten jenes edlen Mannes antwortete und sprach: Wenn ich deine Worte richtig verstanden habe, so ist deine Seele ein Opfer der Begierde,"
"  la qual molte fïate l’omo ingombra sì che d’onrata impresa lo rivolve, come falso veder bestia quand’ombra","die den Menschen oft bedrückt und ihn von einem ehrbaren Werk abhält, gleichwie ein falsches Bild ein Tier ärgert, wenn es im Schatten liegt."
"  Da questa tema acciò che tu ti solve, dirotti perch’io venni e quel ch’io ’ntesi nel primo punto che di te mi dolve","Um dich von diesen Ängsten zu befreien, will ich dir sagen, warum ich hergekommen bin und was ich in dem ersten Augenblick spürte, den ich für dich empfindete."
"  Io era tra color che son sospesi, e donna mi chiamò beata e bella, tal che di comandare io la richiesi","Ich war unter den Seelen des Limbo, und sie nannte mich eine Frau, die so selig und so schön war, daß ich sie bat, mir zu befehlen."
  Lucevan li occhi suoi più che la stella,Seine Augen waren heller als ein Stern
" e cominciommi a dir soave e piana, con angelica voce, in sua favella: ","Und sie fing an, sanft und sanft mit mir zu reden, mit einer Stimme, die wie die Sprache eines Engels aussah:"
" ""O anima cortese mantoana, di cui la fama ancor nel mondo dura, e durerà quanto ’l mondo lontana,  ","""O edle Mantua-Seele, deren Ruhm in der Welt noch andauert und so lange dauert wie die Welt,"
" l’amico mio, e non de la ventura, ne la diserta piaggia è impedito sì nel cammin, che vòlt’è per paura","Wer mich uneigennützig geliebt hat auf dem Hang der Wüste eines Hügels, der ist so sehr verhindert, daß er sich aus Furcht umdrehte."
"  e temo che non sia già sì smarrito, ch’io mi sia tardi al soccorso levata, per quel ch’i’ ho di lui nel cielo udito","Und ich fürchte, er ist schon so weit verloren, daß ich zu spät gekommen bin, um ihm zu helfen, was ich über ihn im Himmel gehört habe."
"  Or movi, e con la tua parola ornata e con ciò c’ ha mestieri al suo campare, l’aiuta sì ch’i’ ne sia consolata","Und nun beweg dich und mit deinem eleganten Wort und mit dem, was nötig ist zu seinem Heil, hilf ihm, daß ich getröstet werde."
  I’ son Beatrice che ti faccio andare,"Ich lasse dich gehen, ich bin Beatrice."
 vegno del loco ove tornar disio,"Ich komme dahin, wohin ich zurückkehren möchte."
" amor mi mosse, che mi fa parlare","Die Liebe hat mich hierher gebracht, um mit dir zu reden."
"  Quando sarò dinanzi al segnor mio, di te mi loderò sovente a lui""","Wenn ich vor Gott stehe, werde ich deinen Namen oft preisen."
" Tacette allora, e poi comincia’ io:  ""O donna di virtù sola per cui l’umana spezie eccede ogne contento di quel ciel c’ ha minor li cerchi sui,  tanto m’aggrada il tuo comandamento, che l’ubidir, se già fosse, m’è tardi","Da schwieg er und ich sprach: Du tugendhafte Frau, die einzige, deren Mensch sich über alles erhebt, was unter dem Mondhimmel ist, und deine Bitte stimmt mir zu, daß es zu spät wäre, wenn ich gehorsam gewesen wäre, wenn ich gehorcht hätte."
 più non t’è uo’ ch’aprirmi il tuo talento,"Du musst mir nur sagen, was du willst."
"  Ma dimmi la cagion che non ti guardi de lo scender qua giuso in questo centro de l’ampio loco ove tornar tu ardi""","Sag mir aber, warum du dich nicht fürchtest, daß du hinabkommst in die Hölle von dem weiten Ort, wohin du zurückkehren willst."
"  ""Da che tu vuo’ saver cotanto a dentro, dirotti brievemente"", mi rispuose, ""perch’i’ non temo di venir qua entro","Sie sagte zu mir: ""Weil du mehr Details willst, werde ich dir kurz erklären, warum ich mich nicht fürchte, hierher zu kommen."
  Temer si dee di sole quelle cose c' hanno potenza di fare altrui male,"Man muß nur die Dinge fürchten, die die Macht haben, anderen wehzutun."
" de l'altre no, ché non son paurose","die anderen nicht, denn sie sind nicht furchterregend"
"  I’ son fatta da Dio, sua mercé, tale, che la vostra miseria non mi tange, né fiamma d’esto ’ncendio non m’assale","Ich bin von Gott gemacht, seine Güte, so daß mich euer Elend nicht berührt, und keine Flamme der Hölle kann mir schaden."
"  Donna è gentil nel ciel che si compiange di questo 'mpedimento ov'io ti mando, sì che duro giudicio là sù frange","Im Himmel ist eine edle Frau, die sich über dieses Hindernis ärgert und um deine Hilfe bittet, daß sie das harte Gericht Gottes bricht."
"  Questa chiese Lucia in suo dimando e disse: - Or ha bisogno il tuo fedele di te, e io a te lo raccomando -","Da fragte sie Lucia und sprach zu ihr: ""Dein Gläubiger braucht dich, und ich empfehle es dir."""
"  Lucia, nimica di ciascun crudele, si mosse, e venne al loco dov’i’ era, che mi sedea con l’antica Rachele","Lucia, ein Feind jedes grausamen Mannes, ging hin und kam dorthin, wo ich war, neben der alten Rahel."
"  Disse: - Beatrice, loda di Dio vera, ché non soccorri quei che t’amò tanto, ch’uscì per te de la volgare schiera?  Non odi tu la pieta del suo pianto, non vedi tu la morte che ’l combatte su la fiumana ove ’l mar non ha vanto? -","Er sprach zu mir: Beatrice, wahrer Lobpreis Gottes, warum helfest du nicht dem, der dich so liebte, daß er sich über das Volk erhob?Hörst du nicht die Angst seines Weinens? Siehst du nicht den Tod, der auf dem stürmischen Schrei der Sünde kämpft? -Es gab nie Menschen auf der Welt so schnell, die ihren Vorteil verfolgen oder ihren Schaden fliehen, wie ich, nachdem ich diese Worte gehört hatte, von meinem himmlischen Grimm hergekommen bin und mich deinen edlen Worten anvertrauen ließ, die dich und die, die sie gehört haben, ehren."
"  Al mondo non fur mai persone ratte a far lor pro o a fuggir lor danno, com’io, dopo cotai parole fatte,  venni qua giù del mio beato scanno, fidandomi del tuo parlare onesto, ch’onora te e quei ch’udito l’ hanno""","Und als er das zu mir gesagt hatte, drehte er seine Augen leuchtend durch das Weinen, was mich veranlaßte, bald zu kommen."
"  Poscia che m’ebbe ragionato questo, li occhi lucenti lagrimando volse, per che mi fece del venir più presto","Und ich kam zu dir, wie sie wollte"
  E venni a te così com’ella volse: d’inanzi a quella fiera ti levai che del bel monte il corto andar ti tolse,"Ich helfe dir von dem Tier, das dir einen leichten Aufstieg zum Hügel verhinderte."
"  Dunque: che è perché, perché restai, perché tanta viltà nel core allette, perché ardire e franchezza non hai,  ","Warum bleibst du dann hier? Warum kultivierst du so viel Feigheit in deinem Herzen? Warum hast du keinen Mut und keine Entschlossenheit,"
"  poscia che tai tre donne benedette curan di te ne la corte del cielo, ",denn diese drei gesegneten Frauen sorgen sich um dich im himmlischen Gericht
"  e ’l mio parlar tanto ben ti promette?""",Und versprechen dir meine Worte alles Gute?
"  Quali fioretti dal notturno gelo chinati e chiusi, poi che ’l sol li ’mbianca, si drizzan tutti aperti in loro stelo,  ","Wie die kleinen Blümchen, die nach unten durch den nächtlichen Frost verschlossen sind, die sich alle auf ihren Stiel öffnen, nachdem die Sonne sie erleuchtet hat,"
"tal mi fec’io di mia virtude stanca, e tanto buono ardire al cor mi corse, ch’i’ cominciai come persona franca:  ","Also tat ich mit meiner müden Tugend, und mein Herz war so mutig, daß ich anfing zu sagen:"
"""Oh pietosa colei che mi soccorse","Oh, du gnädige Frau, die mir geholfen hat,"
 e te cortese ch’ubidisti tosto a le vere parole che ti porse,"und du höflich bist, daß du den wahren Worten gehorchtest, die er zu dir sprach."
"  Tu m’ hai con disiderio il cor disposto sì al venir con le parole tue, ch’i’ son tornato nel primo proposto","Du, mit deinen Worten, hast mein Herz auf den Wunsch gesetzt, zu kommen, so daß ich zum ersten Vorsatz zurückgekehrt bin."
"  Or va, ch’un sol volere è d’ambedue: tu duca, tu segnore e tu maestro""","Nun gehe hin, denn wir beide wollen dasselbe: Du bist mein Führer, mein Herr, mein Meister."
" Così li dissi e poi che mosso fue,  ","Und ich sprach zu ihm: Und da er hinging,"
 intrai per lo cammino alto e silvestro,den schwierigen und wilden Weg in Angriff genommen
"’Per me si va ne la città dolente, per me si va ne l'etterno dolore, per me si va tra la perduta gente","Durch mich kommt man in die Stadt des Schmerzes, durch mich geht man in den ewigen Schmerz, durch mich geht man zwischen den verlorenen Seelen"
 Giustizia mosse il mio alto fattore,"Die Gerechtigkeit hat meinen hohen Schöpfer zum Handeln veranlaßt,"
" fecemi la divina podestate, la somma sapïenza e ’l primo amore","Sie haben mir die göttliche Macht, die Fülle der Weisheit und die erste Liebe gebaut"
"  Dinanzi a me non fuor cose create se non etterne, e io etterno duro","Vor mir wurde nichts erschaffen, außer ewiglich, und ich werde ewiglich bestehen."
" Lasciate ogne speranza, voi ch’intrate’","Lasst alle Hoffnung, die ihr hier eintretet."""
  Queste parole di colore oscuro vid’ïo scritte al sommo d’una porta,"Ich sah diese Worte, geschrieben in dunkler Farbe an der Spitze einer Tür,"
" per ch’io: ""Maestro, il senso lor m’è duro""","Also sagte ich: ""Meister, ich verstehe den Sinn nicht."""
"  Ed elli a me, come persona accorta: ""Qui si convien lasciare ogne sospetto","Und er antwortete mir als weise Person: ""Hier ist es notwendig, jeden Zögern aufzugeben,"
 ogne viltà convien che qui sia morta,Und du darfst nicht vulgär sein.
"  Noi siam venuti al loco ov’i’ t’ ho detto che tu vedrai le genti dolorose c’ hanno perduto il ben de l’intelletto""","Wir sind an den Ort gekommen, wo du, wie ich dir gesagt habe, die verdammten Seelen sehen wirst, die das Licht der göttlichen Intelligenz verloren haben."
"  E poi che la sua mano a la mia puose con lieto volto, ond’io mi confortai, mi mise dentro a le segrete cose","Und nachdem er meine Hand ergriffen hatte, mit lächelndem Angesicht, das mich tröstete, ließ er mich hineingehen in den Ort, der von der Welt der Lebenden getrennt war."
"  Quivi sospiri, pianti e alti guai risonavan per l’aere sanza stelle, per ch’io al cominciar ne lagrimai","Hier seufzten, weinten und schrieen sie in der sternlosen Luft, so daß sie anfangs weinten."
"  Diverse lingue, orribili favelle, parole di dolore, accenti d’ira, voci alte e fioche, e suon di man con elle  facevano un tumulto, il qual s’aggira sempre in quell’aura sanza tempo tinta, come la rena quando turbo spira","Seltsame Zungen, schreckliche Reden, Worte des Schmerzes, Wutausbrüche, scharfe und flauschige Stimmen, und ein Klang der Hände mit ihnen schufen ein Gedränge, das immer wieder in diese ewige, dunkle Luft strömte, wie der Sand, wenn der Sturm weht."
"  E io ch’avea d’error la testa cinta, dissi: ""Maestro, che è quel ch’i’ odo? e che gent’è che par nel duol sì vinta?""","Und ich, deren Kopf voller Zweifel war, sprach: ""Meister, was ist das, was ich fühle?"" Und wer sind diese, die so von Schmerz überwältigt zu sein scheinen?"
"  Ed elli a me: ""Questo misero modo tegnon l’anime triste di coloro che visser sanza ’nfamia e sanza lodo","Und er sprach zu mir: Das ist der elende Zustand der traurigen Seelen derer, die ohne Scham und ohne Verdienst lebten."
"  Mischiate sono a quel cattivo coro de li angeli che non furon ribelli né fur fedeli a Dio, ma per sé fuoro","Sie sind miteinander vermischt mit dem verabscheuungswürdigen Satz von Engeln, die nicht gegen Gott rebellierten noch ihm treu blieben, sondern neutral waren."
"  Caccianli i ciel per non esser men belli, né lo profondo inferno li riceve, ch’alcuna gloria i rei avrebber d’elli""","Die Himmel jagen sie, daß sie ihre Schönheit nicht verlieren noch die Hölle sie in ihren Tiefen empfängt; denn die Verdammten könnten von ihrer Gegenwart keine Herrlichkeit empfangen."
"  E io: ""Maestro, che è tanto greve a lor che lamentar li fa sì forte?""","Und ich: ""Meister, was ist so ärgerlich für sie, dass sie so laut klagen?"
" Rispuose: ""Dicerolti molto breve","Er antwortete mir: ""Ich werde es ganz kurz sagen."""
"  Questi non hanno speranza di morte, e la lor cieca vita è tanto bassa, che ’nvidïosi son d’ogne altra sorte","Diese Seelen können nicht hoffen zu sterben, und ihre gegenwärtige Lage ist so abscheulich, daß sie jedes andere Los beneiden."
  Fama di loro il mondo esser non lassa,Die Welt lässt keine Erinnerung an sie zu
 misericordia e giustizia li sdegna: ,Barmherzigkeit und göttliche Gerechtigkeit verachten sie
" non ragioniam di lor, ma guarda e passa""","Wir verschwenden keine Zeit, über sie zu reden, aber sie schaut schnell und verbringt mehr als"
"  E io, che riguardai, vidi una ’nsegna che girando correva tanto ratta, che d’ogne posa mi parea indegna","Und ich sah, wie ich ein Schild sah, das sich auf sich drehte und so schnell lief, dass ich dachte, es würde nie aufhören."
"  e dietro le venìa sì lunga tratta di gente, ch’i’ non averei creduto che morte tanta n’avesse disfatta","Und hinter ihr kam eine Reihe von Seelen, die so lange waren, daß ich nicht geglaubt hätte, daß der Tod viele von ihnen verderben würde."
"  Poscia ch’io v’ebbi alcun riconosciuto, vidi e conobbi l’ombra di colui che fece per viltade il gran rifiuto","Und ich erkannte einen von ihnen und sah und erkannte den Schatten dessen, der große Ablehnung tat."
"  Incontanente intesi e certo fui che questa era la setta d’i cattivi, a Dio spiacenti e a’ nemici sui","Und ich erkannte sofort, und ich war sicher, daß dies die Scharen von Feiglingen war, die Gott und seinen Feinden mißfielen."
"  Questi sciaurati, che mai non fur vivi, erano ignudi e stimolati molto da mosconi e da vespe ch’eran ivi","Diese Unglücklichen, die nie wirklich lebten, waren nackt und stossen ständig von Fliegen und Wespen umher."
"  Elle rigavan lor di sangue il volto, che, mischiato di lagrime, a’ lor piedi da fastidiosi vermi era ricolto","Und sie bluteten ihr Angesicht, und es fiel auf den Boden mit Tränen, und es ward von abscheulichen Würmern gesammelt."
"  E poi ch’a riguardar oltre mi diedi, vidi genti a la riva d’un gran fiume","Und als ich seinen Blick hinauszog, sah ich Seelen am Ufer eines großen Stromes."
" per ch’io dissi: ""Maestro, or mi concedi  ch’i’ sappia quali sono, e qual costume le fa di trapassar parer sì pronte, com’i’ discerno per lo fioco lume""","Da sprach ich: Meister, gib mir nun zu wissen, wer diese Seelen sind, und welche Instinkte sie so sehnen, daß sie auf der anderen Seite vorbeigehen, so wie ich es im kleinen Licht sehe."
"  Ed elli a me: ""Le cose ti fier conte quando noi fermerem li nostri passi su la trista riviera d’Acheronte""","Und er sprach zu mir: Es wird dir klar werden, wenn wir an das traurige Ufer des Acheron kommen."
"  Allor con li occhi vergognosi e bassi, temendo no ’l mio dir li fosse grave, infino al fiume del parlar mi trassi","Da ich seine Augen schämte in der Furcht, daß ich ihn belästigen könnte, sprach ich nicht bis an den Strom."
