,Paradiso,gpt_parafrasi
90," «Certo assai vedrai sommerso nel falso il creder tuo, se bene ascolti l’argomentar ch’io li farò avverso",Potrai rendersi conto che la tua opinione è sbagliata se ascolti attentamente come io invece intendo argomentare.
91," La spera ottava vi dimostra molti lumi, li quali e nel quale e nel quanto notar si posson di diversi volti","Nell'ottavo Cielo, si possono scorgere stelle di varie dimensioni e grandezze."
92," Se raro e denso ciò facesser tanto, una sola virtù sarebbe in tutti, più e men distributa e altrettanto","Se la differenza fosse dovuta esclusivamente ad una diversa densità, tutti avrebbero la stessa virtù, distribuita in quantità superiori, inferiori o eguali."
93," Virtù diverse esser convegnon frutti di princìpi formali, e quei, for ch’uno, seguiterieno a tua ragion distrutti","Le virtù che si sviluppano da principi formali diversi, come tu hai suggerito, non possono essere ridotte ad uno solo."
94," Ancor, se raro fosse di quel bruno cagion che tu dimandi, o d’oltre in parte fora di sua materia sì digiuno esto pianeto, ","Se la diversa luminosità fosse dovuta a una minore densità, questo pianeta sarebbe vuoto da un polo all'altro."
95," o, sì come comparte lo grasso e ’l magro un corpo, così questo nel suo volume cangerebbe carte","Come un individuo può distribuire le proprie riserve di grasso e muscolo in modo diseguale, allo stesso modo la Luna potrebbe avere variazioni nella sua massa."
96," Se ’l primo fosse, fora manifesto ne l’eclissi del sol, per trasparere lo lume come in altro raro ingesto","Se la prima ipotesi fosse corretta, si noterebbe durante le eclissi di sole, poiché la luce del Sole filtrerebbe attraverso un altro materiale trasparente."
97," Questo non è",Questo non è
98," però è da vedere de l’altro",resta ancora da valutare altro
99," e s’elli avvien ch’io l’altro cassi, falsificato fia lo tuo parere","Se riesco a contestare anche quella, allora la tua opinione si rivelerà errata."
100," S’elli è che questo raro non trapassi, esser conviene un termine da onde lo suo contrario più passar non lassi","Se la Luna non è completamente rarefatta, ci sarà un luogo oltre il quale essa tenderà ad essere più solida."
101," e indi l’altrui raggio si rifonde così come color torna per vetro lo qual di retro a sé piombo nasconde",La luce del sole viene riflessa proprio come quando colpisce uno specchio.
102," Or dirai tu ch’el si dimostra tetro ivi lo raggio più che in altre parti, per esser lì refratto più a retro","Sostieni che il raggio di luce in quel punto, visto come più sottile e distrutto, è meno luminoso perché riflesso ad una maggiore profondità"
103," Da questa instanza può deliberarti esperïenza, se già mai la provi, ch’esser suol fonte ai rivi di vostr’ arti","L'esperienza può sgravarti della tua obiezione, se decidi di affrontarla, poiché di solito è il punto di partenza per ottenere tutti i tuoi saperi."
104," Tre specchi prenderai",Prenderai tre specchi
105," e i due rimovi da te d’un modo, e l’altro, più rimosso, tr’ambo li primi li occhi tuoi ritrovi","e ne collocherai due a eguale distanza da te, con il terzo posto più lontano al centro di questi."
106," Rivolto ad essi, fa che dopo il dosso ti stea un lume che i tre specchi accenda e torni a te da tutti ripercosso",Sorgi dietro di loro in modo che il tuo chiarore si rifletta su tutti e tre i specchi e così tu possa vederlo in ognuno.
107," Ben che nel quanto tanto non si stenda la vista più lontana, lì vedrai come convien ch’igualmente risplenda","Anche se l'immagine riflessa nello specchio più distante è di dimensioni più piccole, si vedrà che la sua luminosità rimane uguale a quella degli altri due."
108," Or, come ai colpi de li caldi rai de la neve riman nudo il suggetto e dal colore e dal freddo primai, ","Come la neve si dissolve sotto al calore del sole, cambia forma diventando acqua priva della sua bianchezza e del freddo che l'aveva caratterizzata."
109," così rimaso te ne l’intelletto voglio informar di luce sì vivace, che ti tremolerà nel suo aspetto","Desidero rivestire il tuo intelletto della saggezza, arricchendolo di una luce così luminosa da sembrare tremolante come quella di una stella."
110," Dentro dal ciel de la divina pace si gira un corpo ne la cui virtute l’esser di tutto suo contento giace",La virtù celata del Cielo della pace divina sta nel contenuto che racchiude.
111," Lo ciel seguente, c’ha tante vedute, quell’ esser parte per diverse essenze, da lui distratte e da lui contenute","Il Cielo, talmente ricco di stelle che vi risiedono distinte fra loro e racchiuse al suo interno, condivide la sua essenza con ciascun astro."
112," Li altri giron per varie differenze le distinzion che dentro da sé hanno dispongono a lor fini e lor semenze","Altre dimensioni organizzano le varie proprietà che contengono in quanto modo appropriato, con l'intento di trasferire sulla Terra i loro effetti e obiettivi desiderati."
113," Questi organi del mondo così vanno, come tu vedi omai, di grado in grado, che di sù prendono e di sotto fanno","In questo Universo, gli organi agiscono in una sorta di ciclo ascendente-discendente, dalle sfere superiori a quelle inferiori, come hai compreso."
114," Riguarda bene omai sì com’ io vado per questo loco al vero che disiri, sì che poi sappi sol tener lo guado","Esamina attentamente come procedo verso la comprensione di ciò che desideri, in modo tale da permettere a te stesso di trarne le tue conclusioni."
115," Lo moto e la virtù d’i santi giri, come dal fabbro l’arte del martello, da’ beati motor convien che spiri","Le inteligenze angeliche devono guidare la rotazione e lo scopo delle ruote celesti, come un fabbro dipende dalla sua abilità con il martello."
116," e ’l ciel cui tanti lumi fanno bello, de la mente profonda che lui volve prende l’image e fassene suggello",Ed il Cielo adornato da molte stelle prende l'impronta di cui si fa sigillo dalla mente profonda che lo fa ruotare
117," E come l’alma dentro a vostra polve per differenti membra e conformate a diverse potenze si risolve, ",Come se l'anima umana all'interno del tuo corpo esercitasse le sue diverse capacità attraverso articolazioni con varie forme.
118," così l’intelligenza sua bontate multiplicata per le stelle spiega, girando sé sovra sua unitate","Come un'intelligenza angelica, la sua bontà viene riflessa in infinite direzioni dalle stelle, mentre rimane unita al percorso rotatorio."
119," Virtù diversa fa diversa lega col prezïoso corpo ch’ella avviva, nel qual, sì come vita in voi, si lega","La diversa virtù si unisce con l'ambito corpo celeste al quale dà animazione, proprio come succede della vita che scorre dentro di voi."
120," Per la natura lieta onde deriva, la virtù mista per lo corpo luce come letizia per pupilla viva","In quanto la virtù che pervade l'astro deriva da una natura felice, essa splende all'interno del corpo celeste come la gioia risplende nella pupilla dell'occhio."
121," Da essa vien ciò che da luce a luce par differente, non da denso e raro","L'illuminazione delle stelle è diversa a causa della loro variabilità, non perché hanno una densità differente."
122," essa è formal principio che produce, conforme a sua bontà, lo turbo e ’l chiaro»","La sua bontà genera l'opacità e il chiarore, essendo questo il principio formale."
123," Quel sol che pria d’amor mi scaldò ’l petto, di bella verità m’avea scoverto, provando e riprovando, il dolce aspetto","Il calore del sole che in precedenza aveva riscaldato il mio cuore d'amore, mi aveva rivelato con argomentazioni sia per che contro la verità della sua dolce bellezza."
124," e io, per confessar corretto e certo me stesso, tanto quanto si convenne leva’ il capo a proferer più erto","Ammettendo che avevo sbagliato e che ora capivo le cose, la mia testa si alzò orgogliosamente in modo da poter parlare."
125," ma visione apparve che ritenne a sé me tanto stretto, per vedersi, che di mia confession non mi sovvenne","Una visione così straordinaria si era materializzata davanti a me, attirando completamente la mia attenzione su di essa, al punto da farmi dimenticare quello che stavo confessando."
126," Quali per vetri trasparenti e tersi, o ver per acque nitide e tranquille, non sì profonde che i fondi sien persi, ","Come se guardando attraverso una finestra trasparente, o navigando in acque limpide e calme."
127," tornan d’i nostri visi le postille debili sì, che perla in bianca fronte non vien men forte a le nostre pupille",Le venature riflesse dei nostri volti vengono e se ne vanno così velocemente che una perla su un viso pallido non attrae la nostra attenzione meno fortemente di loro.
128," tali vid’ io più facce a parlar pronte",In questo modo ho visto più persone felici pronte a conversare.
129," per ch’io dentro a l’error contrario corsi a quel ch’accese amor tra l’omo e ’l fonte",allora io commisi un errore che produsse l'opposto di ciò che fece sbocciare l'amore tra Narciso e la sua immagine riflessa nell'acqua
130," Sùbito sì com’ io di lor m’accorsi, quelle stimando specchiati sembianti, per veder di cui fosser, li occhi torsi","Quando mi resi conto che i fantasmi erano riflessi, mi girai per scoprire di chi fossero."
131," e nulla vidi, e ritorsili avanti dritti nel lume de la dolce guida, che, sorridendo, ardea ne li occhi santi","Non vidi nulla, rivolgendo nuovamente lo sguardo verso la mia gentile guida dai begli occhi; lei sorrideva beatamente e una luce di santità scintillava nei suoi intensi ed appassionati occhi."
132," «Non ti maravigliar perch’ io sorrida», mi disse, ","«Non rimanere sorpreso se rido del tuo pensiero ingenuo», mi disse."
133," «appresso il tuo püeril coto, poi sopra ’l vero ancor lo piè non fida, ma te rivolve, come suole, a vòto","Dato che la tua mente non è affatto sicura circa ciò che è vero, sembra continuare a confonderti come al solito."
134," vere sustanze son ciò che tu vedi, qui rilegate per manco di voto",Queste creature reali sono state costrette a vivere qui come punizione per aver rotto un giuramento.
135," Però parla con esse e odi e credi",Parla con loro e fidati di tutto ciò che ascolterai.
136," ché la verace luce che le appaga da sé non lascia lor torcer li piedi»",questo bagliore luminoso che risplende su di loro rendendoli felici non concede loro la possibilità di sviare dalla realtà.
137," E io a l’ombra che parea più vaga di ragionar, drizza’mi, e cominciai, quasi com’ uom cui troppa voglia smaga","Mi voltai verso l'anima che sembrava volente di conversare, ansimando quasi come un essere umano prostrato dal disperato bisogno di narrare."
138," «O ben creato spirito, che a’ rai di vita etterna la dolcezza senti che, non gustata, non s’intende mai, ","Senti un'ineffabile serenità, che soltanto chi è destinato alla vita eterna può sentire."
139," grazïoso mi fia se mi contenti del nome tuo e de la vostra sorte»",Sarei lieto se mi fornissi il tuo nome e la vostra situazione.
140," Ond’ ella, pronta e con occhi ridenti","Così lei, preparata e con occhi sorridenti"
141," «La nostra carità non serra porte a giusta voglia, se non come quella che vuol simile a sé tutta sua corte","Non lasciamo che la nostra generosità rifiuti un bisogno legittimo, proprio come Dio desidera che tutto il Cielo sia simile a Lui."
142," I’ fui nel mondo vergine sorella",Nel mondo io ero una suora.
143," e se la mente tua ben sé riguarda, non mi ti celerà l’esser più bella, ","Se ci pensi accuratamente, la mia bellezza non ti farà oscurare chi io sono realmente."
144," ma riconoscerai ch’i’ son Piccarda, che, posta qui con questi altri beati, beata sono in la spera più tarda","Ma mi riconoscerai essere Piccarda Donati, uno dei beatificati del Cielo più alto, con gli altri."
145," Li nostri affetti, che solo infiammati son nel piacer de lo Spirito Santo, letizian del suo ordine formati",Il nostro intenso piacere della presenza dello Spirito Santo ci spinge a gioire nell'obbedire alla sua volontà.
146," E questa sorte che par giù cotanto, però n’è data, perché fuor negletti li nostri voti, e vòti in alcun canto»","A causa della nostra mancata adempienza e trascuratezza verso alcuni aspetti, ci siamo ritrovati nella situazione attuale, che appare così indegna."
147," Ond’ io a lei",Io le dissi in quel momento
148," «Ne’ mirabili aspetti vostri risplende non so che divino che vi trasmuta da’ primi concetti","La vostra bellezza emanerà qualcosa di divino, facendovi apparire differenti rispetto al momento in cui eravate ancora in vita."
149," però non fui a rimembrar festino",Non fui veloce nel memorizzare ciò.
150," ma or m’aiuta ciò che tu mi dici, sì che raffigurar m’è più latino","Quello che mi stai dicendo adesso mi aiuta a ricreare mentalmente il tuo volto, rendendomi le cose più facili."
151," Ma dimmi",Ma dimmi
152," voi che siete qui felici, disiderate voi più alto loco per più vedere e per più farvi amici?»","Coloro che si trovano qui, benedetti e gioiosi, aspirano ad arrivare in un luogo più elevato per avere una visione più chiara di Dio e sperimentare un profondo legame con Lui?"
153," Con quelle altr’ ombre pria sorrise un poco",Sorrise un poco a tutte le altre anime
154," da indi mi rispuose tanto lieta, ch’arder parea d’amor nel primo foco","allora mi rispose con grande esultanza, pareva che fosse avvolta dal calore dell'amore di Dio."
155," «Frate, la nostra volontà quïeta virtù di carità, che fa volerne sol quel ch’avemo, e d’altro non ci asseta","Fratello, la bontà della carità calma i nostri desideri e ci persuade a voler solo quello che possediamo, senza volere qualcosa di più."
156," Se disïassimo esser più superne, foran discordi li nostri disiri dal voler di colui che qui ne cerne","Se volessimo andare oltre la nostra collocazione attuale, i nostri desideri sarebbero in contrasto con i piani di Colui che ci posiziona qui."
157," che vedrai non capere in questi giri, s’essere in carità è qui necesse, e se la sua natura ben rimiri","Se prendi in considerazione l'essenza della carità, vedrai che non è possibile qui nel Cielo; se affrontare questa realtà richiede un atteggiamento di generosità."
158," Anzi è formale ad esto beato esse tenersi dentro a la divina voglia, per ch’una fansi nostre voglie stesse","Siccome la volontà divina è fondamentale per raggiungere la nostra beatitudine, tutte le nostre aspirazioni si uniscono in un'unica."
159," sì che, come noi sem di soglia in soglia per questo regno, a tutto il regno piace com’ a lo re che ’n suo voler ne ’nvoglia","Cielo in Cielo, il regno intero è affascinato dalla nostra disponibilità e compiaciuto del re che ci esorta a seguire la sua volontà."
160," E ’n la sua volontade è nostra pace",Secondo la sua volontà risiede la nostra pace.
161," ell’ è quel mare al qual tutto si move ciò ch’ella crïa o che natura face»","Tutto ciò che viene creato o prodotto dalla natura, si dirige verso quel mare chiamato essa."
162," Chiaro mi fu allor come ogne dove in cielo è paradiso, etsi la grazia del sommo ben d’un modo non vi piove","Capii allora che ogni punto del Cielo era come un Paradiso, anche se la bontà divina non veniva manifestata ovunque ugualmente."
163," Ma sì com’ elli avvien, s’un cibo sazia e d’un altro rimane ancor la gola, ",Come quando qualcosa soddisfa la fame ma esiste ancora un desiderio per un altro alimento.
164," che quel si chere e di quel si ringrazia, così fec’ io con atto e con parola, ","Formulai ringraziamenti relativi a questo e domande riguardo a quello, esprimendole con entrambe le parole e i gesti."
165," per apprender da lei qual fu la tela onde non trasse infino a co la spuola",Per conoscere quale tela non aveva finito di lavorare prima della conclusione
