Original,Translate_de_1
" Lunga la barba e di pel bianco mista portava, a’ suoi capelli simigliante, de’ quai cadeva al petto doppia lista","Er hatte einen langen, steilen Bart, mit weißen und schwarzen Haaren wie sein Haar. Von den Schläfen waren zwei Zöpfe gefesselt, die auf die Brust hinabstiegen."
" Li raggi de le quattro luci sante fregiavan sì la sua faccia di lume, ch’i’ ’l vedea come ’l sol fosse davante","Der Glanz der vier heiligen Sterne leuchtete auf seinem Gesicht, so daß er vor der Sonne zu sein schien."
" «Chi siete voi che contro al cieco fiume fuggita avete la pregione etterna?», ","Woher kommst du, um dem endlosen Gefängnis durch den unterirdischen Flusslauf zu entkommen?"
" diss’ el, movendo quelle oneste piume","Mit einer feierlichen Geste ermahnte er uns, seinen Worten zu folgen"
" «Chi v’ha guidati, o che vi fu lucerna, uscendo fuor de la profonda notte che sempre nera fa la valle inferna? ","Wer hat euch den Weg erleuchtet, nachdem ihr aus der Finsternis der linken Kluft herausgekommen seid?"
 Son le leggi d’abisso così rotte? ,Sind die Regeln des Abgrundes bedeutungslos?
" o è mutato in ciel novo consiglio, che, dannati, venite a le mie grotte?»","Ist eine himmlische Verordnung erlassen worden, nach der ihr, wenn ihr verurteilt werdet, zu den Felsen gebracht werdet, die ich bewahre?"
" Lo duca mio allor mi diè di piglio, e con parole e con mani e con cenni reverenti mi fé le gambe e ’l ciglio","Da nahm mich mein Meister, und mit Worten, Händen und Bewegungen drängte er mich, niederzuknien und nach unten zu schauen."
 Poscia rispuose lui,Später antwortete er ihm.
 «Da me non venni,Ich bin hier nicht spontan aufgetaucht.
" donna scese del ciel, per li cui prieghi de la mia compagnia costui sovvenni","Eine Frau kam vom Himmel herab, und ich kümmerte mich um ihre Bitten."
" Ma da ch’è tuo voler che più si spieghi di nostra condizion com’ ell’ è vera, esser non puote il mio che a te si nieghi","In Anbetracht deines Wunsches, genauer über unsere Situation informiert zu werden, gibt es keinen Grund, warum mein Wunsch sich von deinem unterscheidet."
 Questi non vide mai l’ultima sera,Das hat nie aufgehört zu existieren.
" ma per la sua follia le fu sì presso, che molto poco tempo a volger era","Wenn er es geschafft hätte, dann war er der Sünde so nahe, dass es nicht lange dauern würde, bis er es getan hätte."
" Sì com’ io dissi, fui mandato ad esso per lui campare","Wie ich vorausgesagt hatte, wurde ich geschickt, um ihm zu helfen."
 e non lì era altra via che questa per la quale i’ mi son messo,"Und es gab keinen anderen Weg, als den, den wir gemeinsam eingeschlagen haben."
 Mostrata ho lui tutta la gente ria,"Ich zeigte ihm alle, die verurteilt wurden."
 e ora intendo mostrar quelli spirti che purgan sé sotto la tua balìa,"Jetzt möchte ich dafür sorgen, dass er jene Seelen sehen kann, die durch deine Führung spirituell wachsen."
" Com’ io l’ho tratto, saria lungo a dirti","Es hätte eine Weile gedauert, dir zu erklären, wie ich ihn hierher gebracht habe."
 de l’alto scende virtù che m’aiuta conducerlo a vederti e a udirti,"Von dort oben aus führt mich eine wohltuende Gegenwart, damit ich hier sein kann, deine Lippen berühren und deine Stimme hören kann."
 Or ti piaccia gradir la sua venuta,Bitte heißen Sie sie bei ihrer Ankunft willkommen.
" libertà va cercando, ch’è sì cara, come sa chi per lei vita rifiuta","Sie opfert ihr Leben, um die kostbare Freiheit zu erlangen"
" Tu ’l sai, ché non ti fu per lei amara in Utica la morte, ove lasciasti la vesta ch’al gran dì sarà sì chiara","Du weißt, dass du dein Leben gegeben hast, um Utica die Freiheit zu erlangen, und dass eines Tages dein Körper in all seiner Herrlichkeit leben wird."
" Non son li editti etterni per noi guasti, ché questi vive e Minòs me non lega","Wir brechen die ewigen Verordnungen nicht, denn Dante ist noch am Leben, und ich bin frei von Minos Herrschaft."
" ma son del cerchio ove son li occhi casti di Marzia tua, che ’n vista ancor ti priega, o santo petto, che per tua la tegni","Marzia, die zu dir zu beten scheint, dass du sie weiterhin durch ihre reinen Augen liebst, kommt aus dem Kreis, oh großzügiges Herz."
 per lo suo amore adunque a noi ti piega,"durch seine Liebe, darum beuge dich zu uns"
 Lasciane andar per li tuoi sette regni,Lassen Sie uns eine Reise durch die Sieben Stufen des Fegefeuers machen.
" grazie riporterò di te a lei, se d’esser mentovato là giù degni»","Ich bin dir dankbar, wenn du bereit bist, da unten erwähnt zu werden."
" «Marzïa piacque tanto a li occhi miei mentre ch’i’ fu’ di là», ","Das, was ich während meines Lebens sehen konnte, war eine Quelle der Freude für meine Augen."
" diss’ elli allora, ",Dann sprach er seine Worte.
" «che quante grazie volse da me, fei","und erhalte alles, was er will."
" Or che di là dal mal fiume dimora, più muover non mi può, per quella legge che fatta fu quando me n’usci’ fora","Er kann meine Gefühle nicht mehr berühren, aufgrund dieser Regel, die bei meiner Abreise auf der anderen Seite der Flußhölle festgelegt wurde."
" Ma se donna del ciel ti move e regge, come tu di’, non c’è mestier lusinghe","Wenn eine glückliche Frau deine Schritte lenkt, braucht man keine Schmeicheleien."
 bastisi ben che per lei mi richegge,Bitte in meinem Namen.
" Va dunque, e fa che tu costui ricinghe d’un giunco schietto e che li lavi ’l viso, sì ch’ogne sucidume quindi stinghe","Gehen Sie, wickeln Sie diese Person mit einer robusten Hüfte und säubern Sie ihr Gesicht von jedem Dreck."
" ché non si converria, l’occhio sorpriso d’alcuna nebbia, andar dinanzi al primo ministro, ch’è di quei di paradiso","Es wäre nicht ratsam, dem Premierminister des Paradieses mit einer gewissen Verwirrung im Sinn zu begegnen."
" Questa isoletta intorno ad imo ad imo, là giù colà dove la batte l’onda, porta di giunchi sovra ’l molle limo","Dieser winzige Histhmus, in dem die Wellen ihren salzigen Schaum und Kitsch zerbrechen, wird mit Sicheln über den rutschigen Schlamm gesprenkelt."
" null’ altra pianta che facesse fronda o indurasse, vi puote aver vita, però ch’a le percosse non seconda","Dort kann keine Pflanze mit Fronden oder starrem Stamm wachsen, da sie den Kräften des Meeres nicht widerstehen kann."
 Poscia non sia di qua vostra reddita,Dann kommen Sie nicht zurück.
" lo sol vi mosterrà, che surge omai, prendere il monte a più lieve salita»","Mit Sonnenaufgang gibt Ihnen die Sonne einen klaren Hinweis darauf, wie Sie den einfachsten Weg zum Berg finden können."
 Così sparì,Er verschwand plötzlich.
" e io sù mi levai sanza parlare, e tutto mi ritrassi al duca mio, e li occhi a lui drizzai",Ohne ein Wort stand ich auf und ging zu meinem Meister mit dem Blick auf ihn.
 El cominciò,"Und als er lief, lief er."
" «Figliuol, segui i miei passi","Mein Sohn, nimm ein Beispiel aus meinen Lehren."
" volgianci in dietro, ché di qua dichina questa pianura a’ suoi termini bassi»","Wir kehren in die entgegengesetzte Richtung zurück, da die Ebene in dieser Gegend sanft zum tiefsten Punkt hinabfällt."
" L’alba vinceva l’ora mattutina che fuggia innanzi, sì che di lontano conobbi il tremolar de la marina","Der Sonnenaufgang triumphierte über die Dunkelheit der Nacht, die vor ihrer Gegenwart floh, und ich konnte von ferne die rhythmische Bewegung der Oberfläche des Meeres bewundern."
" Noi andavam per lo solingo piano com’ om che torna a la perduta strada, che ’nfino ad essa li pare ire in vano","Wir gingen durch die verwüstete Ebene, wie jemand, der endlich einen bekannten Weg zurückfindet, nachdem er befürchtet hatte, nie an sein Ziel zu gelangen."
" Quando noi fummo là ’ve la rugiada pugna col sole, per essere in parte dove, ad orezza, poco si dirada, ","Als wir in das Gebiet kamen, wo der Tau mit der Sonne duellierte, denn dort war ein Schatten und wenig Verdunstung."
 ambo le mani in su l’erbetta sparte soavemente ’l mio maestro pose,"Und mein Lehrer legte seine Hände auf das Gras, mit offenen Armen."
" ond’ io, che fui accorto di sua arte, porsi ver’ lui le guance lagrimose","Als ich erfuhr, was er tun wollte, hob ich mein weinendes Gesicht auf."
 ivi mi fece tutto discoverto quel color che l’inferno mi nascose,"Er zeigte mir die Farbe des Gesichts, das die Hölle verborgen hatte."
" Venimmo poi in sul lito diserto, che mai non vide navicar sue acque omo, che di tornar sia poscia esperto","Wir kamen zum einsamen Strand, nie ein Navigator hatte es geschafft, zurück zu gehen, sobald Sie landeten."
 Quivi mi cinse sì com’ altrui piacque,"Wie Caton empfohlen hatte, umarmte mich Virgil"
 oh maraviglia,Welch ein Erstaunen!
" ché qual elli scelse l’umile pianta, cotal si rinacque subitamente là onde l’avelse","Nachdem er den ausgesuchten einfachen Plan durchtrennt hatte, sah er, wie er sofort wieder zum Ausgangspunkt zurückkehrte, als ob er wieder in seine ursprüngliche Form zurückgekehrt wäre."
 Già era ’l sole a l’orizzonte giunto lo cui meridïan cerchio coverchia Ierusalèm col suo più alto punto,Die Sonne stand am Horizont über dem höchsten Punkt der Sonnenlinie über Jerusalem.
" e la notte, che opposita a lui cerchia, uscia di Gange fuor con le Bilance, che le caggion di man quando soverchia","Während die Nacht normalerweise nicht länger ist als der Tag, sah die gegen die Sonne gerichtete Position den Ganges in den Abendstunden aus der Waage emporsteigen."
" sì che le bianche e le vermiglie guance, là dov’ i’ era, de la bella Aurora per troppa etate divenivan rance","Die Wangen von Aurora, eine Vision von weiß und rot, wo ich war, wurden mit der Zeit orange gefärbt."
" Noi eravam lunghesso mare ancora, come gente che pensa a suo cammino, che va col cuore e col corpo dimora","Wir waren immer noch am Strand, wie jemand, der den Weg betrachtet, den man gehen sollte, eifrig, aber zögerlich zu handeln."
" Ed ecco, qual, sorpreso dal mattino, per li grossi vapor Marte rosseggia giù nel ponente sovra ’l suol marino, ","Wie an einem späten Morgen, mit dem Himmel gefüllt mit dicken Wolken und Mars, der von rot bis weiß verschwindet, während es langsam in Richtung des westlichen Horizonts leuchtet die Oberfläche des Meeres."
" cotal m’apparve, s’io ancor lo veggia, un lume per lo mar venir sì ratto, che ’l muover suo nessun volar pareggia","So sah ich ein Licht, das aus dem Meer strömte, schneller als irgendein fliegender Vogel."
" Dal qual com’ io un poco ebbi ritratto l’occhio per domandar lo duca mio, rividil più lucente e maggior fatto","Als ich meinen Meister um etwas bat, schaute ich wieder und sah, daß er heller und größer war."
" Poi d’ogne lato ad esso m’appario un non sapeva che bianco, e di sotto a poco a poco un altro a lui uscìo","Als ich zusah, breitete sich eine unabsehbare weiße Helligkeit auf die Seiten der Szene aus, gefolgt von einer anderen, die allmählich darunter erschien."
" Lo mio maestro ancor non facea motto, mentre che i primi bianchi apparver ali","Mein Meister blieb still, bis sich herausstellte, dass die erste weiße Note Flügel waren."
" allor che ben conobbe il galeotto, gridò","Als er den Seemann traf, rief er mich an."
" «Fa, fa che le ginocchia cali","Schnapp dir die Knie, los!"
 Ecco l’angel di Dio,Hier ist der göttliche Gesandte.
 piega le mani,Nimm deine Hände ineinander.
 omai vedrai di sì fatti officiali,Es wird keine solchen Diener Gottes mehr geben.
" Vedi che sdegna li argomenti umani, sì che remo non vuol, né altro velo che l’ali sue, tra liti sì lontani","Sieh dir an, wie sie die Werkzeuge, die der Mensch gebaut hat, ablehnt, indem sie Ruder oder andere Segel nicht benutzen will, die nicht ihre Flügel sind, selbst wenn sie an so weit entfernten Orten sind."
" Vedi come l’ha dritte verso ’l cielo, trattando l’aere con l’etterne penne, che non si mutan come mortal pelo»","Sieh, wie er im Himmel schwebt, indem er die Luft mit seinen Federn spaltet, die nicht wie die der Menschen verschwinden."
" Poi, come più e più verso noi venne l’uccel divino, più chiaro appariva","Als sich der göttliche Vogel uns näherte, wurde unsere Vision von ihm schärfer."
" per che l’occhio da presso nol sostenne, ma chinail giuso","Meine Augen waren nicht stark genug, um den direkten Blick zu ertragen, so daß ich gezwungen wurde, nach unten zu schauen."
" e quei sen venne a riva con un vasello snelletto e leggero, tanto che l’acqua nulla ne ’nghiottiva","Er kam mit einem kleinen, leichten Boot ans Ufer, so dass er nicht mal das Wasser berührte."
" Da poppa stava il celestial nocchiero, tal che faria beato pur descripto","Der göttliche Steuermann war an der Führungsstation am Heck, und es war so, daß nur eine Beschreibung von ihm Glück bringen würde."
 e più di cento spirti entro sediero,Mehr als hundert Geister saßen im Boot.
 ‘In exitu Isräel de Aegypto’ cantavan tutti insieme ad una voce con quanto di quel salmo è poscia scripto,"Alle sangen in Einheit den Psalm über die Flucht Israels aus Ägypten, einschließlich der nächsten Verse."
 Poi fece il segno lor di santa croce,Und er segnete sie als Zeichen des Kreuzes.
 ond’ ei si gittar tutti in su la piaggia,Alle stürzten auf den Strand.
" ed el sen gì, come venne, veloce","Er entfernte schnell, wie schnell seine Schritte ankamen."
" La turba che rimase lì, selvaggia parea del loco, rimirando intorno come colui che nove cose assaggia","Die Gruppe der Seelen, die dort gesammelt worden waren, schien neu von der Gegend zu sein und sah sich so um, wie die, die etwas Frisches erlebten."
" Da tutte parti saettava il giorno lo sol, ch’avea con le saette conte di mezzo ’l ciel cacciato Capricorno, ","Die Sonne leuchtete jeden Teil des Tages, nachdem sie den Steinbock mit seinen unfehlbaren Pfeilen aus der Mitte des Himmelsuniversums gejagt hatte."
" quando la nova gente alzò la fronte ver’ noi, dicendo a noi","hungrig zu sein, als die Neuankömmlinge uns um Hilfe baten und uns sagten, sie seien hungrig."
" «Se voi sapete, mostratene la via di gire al monte»","Zeig uns, wie wir den Berg erreichen können, wenn du den Weg kennst."
 E Virgilio rispuose,Virgil gab ihm eine Antwort.
 «Voi credete forse che siamo esperti d’esto loco,"Es könnte sein, dass Sie denken, dass wir Experten in diesem Bereich sind."
 ma noi siam peregrin come voi siete,Wir sind auf die gleiche Weise Fremde wie ihr.
" Dianzi venimmo, innanzi a voi un poco, per altra via, che fu sì aspra e forte, che lo salire omai ne parrà gioco»","Wir sind direkt vor euch auf einem Weg angekommen, der so schwer ist, dass der Aufstieg des Berges ein Kinderspiel wird."
" L’anime, che si fuor di me accorte, per lo spirare, ch’i’ era ancor vivo, maravigliando diventaro smorte","Die Seelen, die entdeckten, daß ich noch am Leben war, als sie zusahen, wie ich atmete, staunten vor Staunen."
" E come a messagger che porta ulivo tragge la gente per udir novelle, e di calcar nessun si mostra schivo, ","Die Menge klammert sich um den Boten, der Friedensnachrichten bringt, und alle eilen gern herein."
" così al viso mio s’affisar quelle anime fortunate tutte quante, quasi oblïando d’ire a farsi belle","Im LeteDie glücklichen Seelen, als ob sie die Notwendigkeit der Reinigung im Lete vergessen hatten, sammelten sich um mein Gesicht."
" Io vidi una di lor trarresi avante per abbracciarmi con sì grande affetto, che mosse me a far lo somigliante","Als eine von ihnen mich so herzlich umarmte, empfand ich das Bedürfnis, die Geste zu erwidern."
" Ohi ombre vane, fuor che ne l’aspetto","Oh, schwindelige Schatten, abgesehen von der äußeren Form."
" tre volte dietro a lei le mani avvinsi, e tante mi tornai con esse al petto","dreimal versuchte ich, sie mit den Händen zu umarmen, aber ich fand immer meine leeren Arme in meiner Brust."
" Di maraviglia, credo, mi dipinsi",Ich war sehr beeindruckt.
" per che l’ombra sorrise e si ritrasse, e io, seguendo lei, oltre mi pinsi","Der Schatten lächelte, dann ging sie weg, und ich rückte ein wenig weiter."
 Soavemente disse ch’io posasse,"Er befahl mir freundlich, mich aufzuhalten."
" allor conobbi chi era, e pregai che, per parlarmi, un poco s’arrestasse","Da erkannte ich ihn und bat ihn, eine Weile bei mir zu bleiben."
 Rispuosemi,Er antwortete mir.
" «Così com’ io t’amai nel mortal corpo, così t’amo sciolta","Meine Liebe, wie ich deine physische Essenz geliebt habe, habe auch ich eine tiefe Zuneigung zu dir in meiner spirituellen Form."
 però m’arresto,Aus diesem Grund unterbreche ich mich.
 ma tu perché vai?»,Warum bist du hier?
" «Casella mio, per tornar altra volta là dov’ io son, fo io questo vïaggio», diss’ io","""Ich fahre zu dieser Reise zurück zu meinem ursprünglichen Ziel."""
 «ma a te com’ è tanta ora tolta?»,Warum bist du so spät gekommen?
 Ed elli a me,Ich ihm.
" «Nessun m’è fatto oltraggio, se quei che leva quando e cui li piace, più volte m’ha negato esto passaggio","Es ist mir nicht widerfahren, obwohl der Engel, der willkürlich tut, was er will, mich mehrmals daran gehindert hat, diesen Ort zu erreichen."
 ché di giusto voler lo suo si face,"Sein Wunsch entspricht dem, was von Gott bestimmt worden ist."
" veramente da tre mesi elli ha tolto chi ha voluto intrar, con tutta pace","Seit drei Monaten hat er es jedem erlaubt, der auf das Boot will, ohne sich zu widersetzen."
" Ond’ io, ch’era ora a la marina vòlto dove l’acqua di Tevero s’insala, benignamente fu’ da lui ricolto","Dann schaute ich in den Ozean, wo der Tiber hinfällt, und wurde von ihm freundlich aufgenommen."
" A quella foce ha elli or dritta l’ala, però che sempre quivi si ricoglie qual verso Acheronte non si cala»","Er stand mit dem Flügel in Richtung der Mündung auf, denn jede Seele, die nicht zur Damnation bestimmt ist, neigt immer dazu, diesen Ort zu erreichen."
 E io,Ich stimme dir zu.
" «Se nuova legge non ti toglie memoria o uso a l’amoroso canto che mi solea quetar tutte mie doglie, ","Wenn ein Gesetz nicht die Fähigkeit hat, meine Erinnerung oder Liebe zu singen, die normalerweise alle meine Bedürfnisse beruhigte, dann bin ich verwirrt."
" di ciò ti piaccia consolare alquanto l’anima mia, che, con la sua persona venendo qui, è affannata tanto»","Bitte entlasten Sie mein Leiden ein wenig, denn die Seele ist müde von der langen Reise mit dem physischen Körper."
" ‘Amor che ne la mente mi ragiona’ cominciò elli allor sì dolcemente, che la dolcezza ancor dentro mi suona","Da fing er an zu singen ""Liebe, die in meinem Sinn denkt"" so lieblich, daß er ein Echo dieser Melodie in mir hinterließ."
" Lo mio maestro e io e quella gente ch’eran con lui parevan sì contenti, come a nessun toccasse altro la mente","O GefühlMein Meister und ich, zusammen mit den Seelen, die bei ihm waren, schienen so glücklich, als ob kein Gedanke oder Gefühl unseren Verstand gestört hätte."
 Noi eravam tutti fissi e attenti a le sue note,Wir alle haben der Musik aufmerksam zugehört.
 ed ecco il veglio onesto gridando,"siehe, da kam der majestätische Älteste, der schreite."
" «Che è ciò, spiriti lenti? ","Was versuchen Sie zu sagen, langsame Geister?"
" qual negligenza, quale stare è questo? ",Wie kann diese Nachlässigkeit und Trägheit beschrieben werden?
 Correte al monte a spogliarvi lo scoglio ch’esser non lascia a voi Dio manifesto»,"Rennen Sie zum Berg, um transparent zu werden, die Sie nicht daran hindern, Gott zu sehen."
" Come quando, cogliendo biado o loglio, li colombi adunati a la pastura, queti, sanza mostrar l’usato orgoglio, ","In Ruhe, als ob die Aktion eine Routine wäre, versammelten sich die Tauben, um sowohl Biada als auch Lob zu essen, ohne irgendeinen Ruhm zu bezeugen."
" se cosa appare ond’ elli abbian paura, subitamente lasciano star l’esca, perch’ assaliti son da maggior cura","Wenn etwas sie alarmiert, achten sie nicht mehr auf Nahrung, weil die Angst jetzt dominant geworden ist."
" così vid’ io quella masnada fresca lasciar lo canto, e fuggir ver’ la costa, com’ om che va, né sa dove rïesca","Als ich zusah, sah ich diese Seelen, die gerade von ihren Liedern wegkamen, und ging in den Berg, als ob sie kein bestimmtes Ziel hätten."
 né la nostra partita fu men tosta,Und unser Entrinnen war ebenso schnell.
" Avvegna che la subitana fuga dispergesse color per la campagna, ","Obwohl die verzweifelte Flucht die Seelen gezwungen hatte, sich schnell vom Strand zu entfernen,"
" rivolti al monte ove ragion ne fruga, i’ mi ristrinsi a la fida compagna","zu dem Gipfel, wo uns das göttliche Urteil beunruhigt, hielt ich an meinem zuverlässigen Führer fest."
 e come sare’ io sanza lui corso? chi m’avria tratto su per la montagna? El mi parea da sé stesso rimorso,Wie hätte ich ohne ihn den Berg hinaufsteigen können?
" o dignitosa coscïenza e netta, come t’è picciol fallo amaro morso","Oh, respektables und unbeflecktes Gewissen, mit welcher Bitterkeit dich auch der kleinste Fehler bestraft."
" Quando li piedi suoi lasciar la fretta, che l’onestade ad ogn’ atto dismaga, ","Als seine Schritte von der Hektik abwichen, die Eleganz zu jeder Handlung reduziert,"
" la mente mia, che prima era ristretta, ","Mein Geist, der sich zuvor auf ein einziges Konzept konzentriert hat, ist jetzt frei zu wandern."
" lo ’ntento rallargò, sì come vaga, e diedi ’l viso mio incontr’ al poggio che ’nverso ’l ciel più alto si dislaga","Er öffnete sich wie ein Schleier, und ich drehte mich in Richtung des Berges, der höher war als jeder andere in Richtung Himmel."
" Lo sol, che dietro fiammeggiava roggio, rotto m’era dinanzi a la figura, ch’avëa in me de’ suoi raggi l’appoggio","Mein Körper, der zwischen mir und der strahlenden orangeroten Sonne hinter meinem Rücken stand, blockierte die Strahlen, bevor er mich erreichte."
" Io mi volsi dallato con paura d’essere abbandonato, quand’ io vidi solo dinanzi a me la terra oscura","Aus Angst, verlassen zu werden, drehte ich mich auf meine Seite und stellte den einsamen Schatten vor mir fest."
 e ’l mio conforto,Mein Trost
" «Perché pur diffidi?», a dir mi cominciò tutto rivolto","""Warum vertraust du mir nicht?"" fragte er mich sehr aufmerksam."
 «non credi tu me teco e ch’io ti guidi? Vespero è già colà dov’ è sepolto lo corpo dentro al quale io facea ombra,"Es ist schon Abend, wo die Überreste des Leibes ruhen, dessen Schatten ich projiziert habe; denkst du nicht, dass er für dich da ist, wie ein Führer?"
" Napoli l’ha, e da Brandizio è tolto",Es kommt aus Brindisi und befindet sich in Neapel.
" Ora, se innanzi a me nulla s’aombra, non ti maravigliar più che d’i cieli che l’uno a l’altro raggio non ingombra","Wenn meine Schultern keinen Schatten vor mir schaffen, dann wird es nichts mehr geben, was die Sonne davon abhalten könnte, jeden Winkel des Himmels zu erreichen."
" A sofferir tormenti, caldi e geli simili corpi la Virtù dispone che, come fa, non vuol ch’a noi si sveli","Im Gehorsam gegenüber dem göttlichen Willen werden die leiblichen Wesen warmen und kalten Qualen unterworfen, und wir können nicht verstehen, wie es möglich gemacht werden kann."
 Matto è chi spera che nostra ragione possa trascorrer la infinita via che tiene una sustanza in tre persone,"Diejenigen, die glauben, dass unsere Logik in der Lage ist, den unendlichen Weg zu überqueren, der ein Wesen vereint, das in drei Personen geteilt ist, werden als verrückt betrachtet."
" State contenti, umana gente, al quia","Akzeptiert, Männer, das..."
" ché, se potuto aveste veder tutto, mestier non era parturir Maria","Hättest du alles beobachten können, wäre Maria nicht gezwungen gewesen, Jesus ans Licht zu bringen."
" e disïar vedeste sanza frutto tai che sarebbe lor disio quetato, ch’etternalmente è dato lor per lutto","Philosophen, die so tief sind, dass sie ihren Wunsch, wenn möglich, befriedigen können, aber schließlich ihre Ideale versagen sehen, obwohl sie fleißig versucht haben, sie zu verwirklichen, stellen ihre ewige Strafe dar."
 io dico d’Aristotile e di Plato e di molt’ altri»,"Ich beziehe mich auf Aristoteles, Plato und mehrere andere Charaktere."
" e qui chinò la fronte, e più non disse, e rimase turbato","Dann beugte er seinen Kopf leise, verärgert und fügte nichts hinzu."
 Noi divenimmo intanto a piè del monte,Wir hielten am Fuße des Berges.
" quivi trovammo la roccia sì erta, che ’ndarno vi sarien le gambe pronte","Die Felswand war so steil, dass wir nur davon träumen konnten, sie mit unseren Beinen zu klettern."
" Tra Lerice e Turbìa la più diserta, la più rotta ruina è una scala, verso di quella, agevole e aperta",Im Vergleich dazu ist der stürmischste Fels in Ligurien ein Kinderspiel.
" «Or chi sa da qual man la costa cala», ","Ich frage mich, welches Teil der Wand jetzt weniger geneigt ist."
" disse ’l maestro mio fermando ’l passo, ",Mein Meister unterbrach seinen Schritt und redete.
 «sì che possa salir chi va sanz’ ala?»,"Wie kann jemand, der nicht mit Flügeln ausgestattet ist, aufsteigen?"
" E mentre ch’e’ tenendo ’l viso basso essaminava del cammin la mente, e io mirava suso intorno al sasso, ","Während er mit dem tiefen Blick nachdachte, auf welchem Weg er gehen sollte, erblickte ich die umliegende Landschaft, über dem Felsen."
" da man sinistra m’apparì una gente d’anime, che movieno i piè ver’ noi, e non pareva, sì venïan lente","Aus einer Richtung nach links sah ich eine Gruppe von Menschen, die uns sanft und langsam näher kamen."
" «Leva», diss’ io, «maestro, li occhi tuoi","Ich schrie: Meister, steh auf und schau!"
" ecco di qua chi ne darà consiglio, se tu da te medesmo aver nol puoi»","Wer wird dich führen, wenn du die Antworten nicht selbst finden kannst?"
" Guardò allora, e con libero piglio rispuose","Dann drehte er sich, mit einem ruhigen Ausdruck, und antwortete."
" «Andiamo in là, ch’ei vegnon piano","Wir müssen uns davon entfernen, weil sie langsam auf uns zugehen."
" e tu ferma la spene, dolce figlio»","Beruhige deine Hoffnung, liebenswürdiger Sohn"
" Ancora era quel popol di lontano, i’ dico dopo i nostri mille passi, quanto un buon gittator trarria con mano, ","Nachdem er tausend Schritte gemacht hatte, war er immer noch so weit weg von uns, dass ein guter Werfer es nicht mit einem Stein aus der Hand schaffen würde."
" quando si strinser tutti ai duri massi de l’alta ripa, e stetter fermi e stretti com’ a guardar, chi va dubbiando, stassi","Sie stürzten sich gegen den Bergfelsen, in einer Art furchterregender Erwartung, als ob sie unentschlossen wären, was sie tun sollten."
" «O ben finiti, o già spiriti eletti», Virgilio incominciò, ","Virgilio fing an, göttliche Geister aus der Gnade Gottes für die Erlösung ausgewählt."
" «per quella pace ch’i’ credo che per voi tutti s’aspetti, ditene dove la montagna giace, sì che possibil sia l’andare in suso","Zeigen Sie uns den süßsten Weg in diese Suche nach Frieden, so dass wir den Aufstieg beginnen können."
 ché perder tempo a chi più sa più spiace»,"Je mehr man weiß, desto mehr fühlt man sich schuldig, nicht weiterzumachen."
