id,Original,Translate
20," Lo duca mio allor mi diè di piglio, e con parole e con mani e con cenni reverenti mi fé le gambe e ’l ciglio","Allora il mio maestro mi afferrò, e con le parole, con le mani e coi gesti mi indusse a inginocchiarmi e abbassare lo sguardo"
21," Poscia rispuose lui",Poi gli rispose
22," «Da me non venni"," «Non sono venuto qui di mia iniziativa"
23," donna scese del ciel, per li cui prieghi de la mia compagnia costui sovvenni"," scese dal Cielo una donna , per le cui preghiere aiutai costui con la mia assistenza"
24," Ma da ch’è tuo voler che più si spieghi di nostra condizion com’ ell’ è vera, esser non puote il mio che a te si nieghi","Ma poiché il tuo desiderio è che ti spieghiamo con maggiori dettagli la nostra condizione, non è possibile che il mio desiderio sia difforme dal tuo"
25," Questi non vide mai l’ultima sera","Questi non è mai morto, "
26," ma per la sua follia le fu sì presso, che molto poco tempo a volger era",ma per il suo peccato fu così vicino ad esserlo che non sarebbe passato molto tempo
27," Sì com’ io dissi, fui mandato ad esso per lui campare","Come ti ho detto, fui inviato a soccorrerlo"
28," e non lì era altra via che questa per la quale i’ mi son messo"," e non c'era altra strada se non questa per la quale mi sono inoltrato con lui"
29," Mostrata ho lui tutta la gente ria",Gli ho mostrato tutti i dannati
30," e ora intendo mostrar quelli spirti che purgan sé sotto la tua balìa"," ora voglio mostrargli quelle anime  che si purificano sotto la tua custodia"
31," Com’ io l’ho tratto, saria lungo a dirti",Sarebbe lungo spiegarti come l'ho condotto fin qui
32," de l’alto scende virtù che m’aiuta conducerlo a vederti e a udirti"," dal Cielo scende una virtù che mi aiuta a portarlo qui, per vederti e udirti"
33," Or ti piaccia gradir la sua venuta",Ora ti prego di accogliere la sua venuta
34," libertà va cercando, ch’è sì cara, come sa chi per lei vita rifiuta"," va cercando la libertà, che è molto preziosa come sa chi in suo nome rinuncia alla propria vita"
35," Tu ’l sai, ché non ti fu per lei amara in Utica la morte, ove lasciasti la vesta ch’al gran dì sarà sì chiara","Tu lo sai bene, poiché per la libertà affrontasti la morte ad Utica, dove lasciasti il corpo che il Giorno del Giudizio risplenderà"
36," Non son li editti etterni per noi guasti, ché questi vive e Minòs me non lega","Gli editti eterni non sono infranti da noi, in quanto Dante è vivo e Minosse non ha potere su di me"
37," ma son del cerchio ove son li occhi casti di Marzia tua, che ’n vista ancor ti priega, o santo petto, che per tua la tegni"," infatti vengo dal Cerchio  dove sono gli occhi puri di tua moglie Marzia, che a vederla sembra pregarti di considerarla ancora tua, o petto santo"
38," per lo suo amore adunque a noi ti piega"," in nome del suo amore, dunque, piegati a noi"
39," Lasciane andar per li tuoi sette regni",Lasciaci andare per le sette Cornici del Purgatorio
40," grazie riporterò di te a lei, se d’esser mentovato là giù degni»"," io ti ringrazierò di fronte a lei, se tu accetti di essere menzionato laggiù»"
41," «Marzïa piacque tanto a li occhi miei mentre ch’i’ fu’ di là», "," «Fin che fui in vita, Marzia fu così diletta ai miei occhi"
42," diss’ elli allora, "," Egli allora disse"
43," «che quante grazie volse da me, fei"," che esaudii ogni suo desiderio"
44," Or che di là dal mal fiume dimora, più muover non mi può, per quella legge che fatta fu quando me n’usci’ fora","Ora che risiede al di là del fiume infernale  non può più commuovermi, in forza di quella legge che fu emanata quando io ne uscii fuori"
45," Ma se donna del ciel ti move e regge, come tu di’, non c’è mestier lusinghe","Ma se una donna beata, come dici, muove i tuoi passi, non servono lusinghe"
46," bastisi ben che per lei mi richegge"," è sufficiente pregarmi in suo nome"
47," Va dunque, e fa che tu costui ricinghe d’un giunco schietto e che li lavi ’l viso, sì ch’ogne sucidume quindi stinghe","Va' dunque, e fa' in modo di cingere i fianchi di costui con un giunco liscio e lavagli il viso, in modo tale da eliminare da esso ogni sudiciume"
48," ché non si converria, l’occhio sorpriso d’alcuna nebbia, andar dinanzi al primo ministro, ch’è di quei di paradiso",infatti non sarebbe opportuno presentarsi di fronte al primo ministro di Paradiso  con l'occhio velato da una qualche nebbia
49," Questa isoletta intorno ad imo ad imo, là giù colà dove la batte l’onda, porta di giunchi sovra ’l molle limo","Questa isoletta, nelle sue parti più basse, là dove è battuta dalle onde, è piena di giunchi sul molle fango"
50," null’ altra pianta che facesse fronda o indurasse, vi puote aver vita, però ch’a le percosse non seconda","nessun'altra pianta che avesse fronde o un tronco rigido vi può crescere, poiché non si piegherebbe all'impeto delle onde"
51," Poscia non sia di qua vostra reddita",Poi il vostro ritorno non sia da questa parte
52," lo sol vi mosterrà, che surge omai, prendere il monte a più lieve salita»"," il sole, che ormai sorge, vi indicherà la direzione dove trovare un facile accesso alla montagna»"
53," Così sparì",Così svanì
54," e io sù mi levai sanza parlare, e tutto mi ritrassi al duca mio, e li occhi a lui drizzai"," e io mi alzai senza parlare, e mi trassi verso la mia guida, rivolgendo a lui il mio sguardo"
55," El cominciò",Egli iniziò
56," «Figliuol, segui i miei passi"," «Figliolo, segui i miei passi"
57," volgianci in dietro, ché di qua dichina questa pianura a’ suoi termini bassi»"," torniamo indietro, poiché di qua la pianura declina dolcemente verso il punto più basso»"
58," L’alba vinceva l’ora mattutina che fuggia innanzi, sì che di lontano conobbi il tremolar de la marina","La luce dell'alba vinceva l'ultima ora della notte che fuggiva di fronte a lei, cosicché da lontano vidi il tremolio della superficie del mare"
59," Noi andavam per lo solingo piano com’ om che torna a la perduta strada, che ’nfino ad essa li pare ire in vano","Noi andavamo lungo la pianura solitaria, come qualcuno che ritrova la strada perduta e che, fino ad essa, ha creduto di camminare invano"
60," Quando noi fummo là ’ve la rugiada pugna col sole, per essere in parte dove, ad orezza, poco si dirada, ","Quando fummo là dove la rugiada combatte col sole, poiché è in punto dove c'è ombra ed evapora poco, "
61," ambo le mani in su l’erbetta sparte soavemente ’l mio maestro pose","il mio maestro pose ambo le mani sull'erbetta, a palme aperte"
62," ond’ io, che fui accorto di sua arte, porsi ver’ lui le guance lagrimose","allora io, che avevo capito cosa volesse fare, porsi verso di lui le guance ancora sporche di pianto"
63," ivi mi fece tutto discoverto quel color che l’inferno mi nascose"," lui mi scoprì il colore del viso che l'Inferno aveva nascosto"
64," Venimmo poi in sul lito diserto, che mai non vide navicar sue acque omo, che di tornar sia poscia esperto","Giungemmo poi sul lido deserto, che non vide mai navigare nessuno che poi fosse in grado di tornare indietro"
65," Quivi mi cinse sì com’ altrui piacque",Qui Virgilio mi cinse come Catone gli aveva detto
66," oh maraviglia"," che meraviglia"
67," ché qual elli scelse l’umile pianta, cotal si rinacque subitamente là onde l’avelse"," Infatti, dopo che egli ebbe strappato l'umile pianta che aveva scelto, questa rinacque subito tale quale era nello stesso punto"
69," Già era ’l sole a l’orizzonte giunto lo cui meridïan cerchio coverchia Ierusalèm col suo più alto punto",Il sole era già arrivato sull'orizzonte il cui meridiano sovrasta Gerusalemme col suo punto più alto
70," e la notte, che opposita a lui cerchia, uscia di Gange fuor con le Bilance, che le caggion di man quando soverchia","e la notte, che ruota in posizione opposta a quella del sole, spuntava fuori dal Gange in congiunzione con la Bilancia, mentre non è così quando la sua durata eccede quella del giorno"
71," sì che le bianche e le vermiglie guance, là dov’ i’ era, de la bella Aurora per troppa etate divenivan rance","così le guance bianche e rosse della bella Aurora, là dove mi trovavo io, per il passare del tempo diventavano arancio "
72," Noi eravam lunghesso mare ancora, come gente che pensa a suo cammino, che va col cuore e col corpo dimora","Noi eravamo ancora sul lido, come qualcuno che pensa al cammino che deve fare ed è pronto col desiderio, ma esita col corpo"
73," Ed ecco, qual, sorpreso dal mattino, per li grossi vapor Marte rosseggia giù nel ponente sovra ’l suol marino, ","Ed ecco, come quando Marte, offuscato dal mattino, rosseggia temperato da spessi vapori verso ovest sulla superficie del mare, "
74," cotal m’apparve, s’io ancor lo veggia, un lume per lo mar venir sì ratto, che ’l muover suo nessun volar pareggia","così mi apparve  una luce che veniva dal mare, così veloce che nessun uccello si muove altrettanto rapidamente"
75," Dal qual com’ io un poco ebbi ritratto l’occhio per domandar lo duca mio, rividil più lucente e maggior fatto","Non appena distolsi un poco lo sguardo da essa per domandare al mio maestro, la rividi più splendente e più grande"
76," Poi d’ogne lato ad esso m’appario un non sapeva che bianco, e di sotto a poco a poco un altro a lui uscìo","Poi a ogni lato di essa mi sembrò di vedere un biancore indefinito, e poco a poco al di sotto ne apparve un altro"
77," Lo mio maestro ancor non facea motto, mentre che i primi bianchi apparver ali","Il mio maestro non disse nulla, finché apparve che il primo biancore erano delle ali"
78," allor che ben conobbe il galeotto, gridò"," quando conobbe quel nocchiero, mi gridò"
79," «Fa, fa che le ginocchia cali"," «Su, su, piega le ginocchia"
80," Ecco l’angel di Dio"," Ecco l'angelo di Dio"
81," piega le mani"," unisci le mani "
82," omai vedrai di sì fatti officiali"," ormai vedrai ministri di questo tipo"
83," Vedi che sdegna li argomenti umani, sì che remo non vuol, né altro velo che l’ali sue, tra liti sì lontani","Vedi come rifiuta gli strumenti umani, così che non vuole remi, né altra vela che non siano le sue ali, pur in luoghi così lontani"
84," Vedi come l’ha dritte verso ’l cielo, trattando l’aere con l’etterne penne, che non si mutan come mortal pelo»","Vedi come le tiene dritte verso il cielo, fendendo l'aria con le piume eterne che non cadono come penne mortali»"
85," Poi, come più e più verso noi venne l’uccel divino, più chiaro appariva","Poi, non appena l'uccello divino venne più verso di noi, appariva più chiaramente"
86," per che l’occhio da presso nol sostenne, ma chinail giuso"," allora i miei occhi non ne sostennero lo sguardo da vicino, ma fui costretto a chinarli in basso"
87," e quei sen venne a riva con un vasello snelletto e leggero, tanto che l’acqua nulla ne ’nghiottiva"," e quello venne a riva con una barchetta stretta e leggiera, al punto che non affondava minimamente nell'acqua"
88," Da poppa stava il celestial nocchiero, tal che faria beato pur descripto","Il divino timoniere stava a poppa, ed era tale che renderebbe beati al solo descriverlo"
89," e più di cento spirti entro sediero"," e dentro la barca sedevano più di cento spiriti"
90," ‘In exitu Isräel de Aegypto’ cantavan tutti insieme ad una voce con quanto di quel salmo è poscia scripto","Tutti insieme cantavano a una voce il Salmo «Nella fuga di Israele dall'Egitto», anche con i versi seguenti"
91," Poi fece il segno lor di santa croce","Poi fece loro il segno della croce "
92," ond’ ei si gittar tutti in su la piaggia",ed essi si gettarono tutti sulla spiaggia
93," ed el sen gì, come venne, veloce"," ed egli se andò, veloce come era venuto"
94," La turba che rimase lì, selvaggia parea del loco, rimirando intorno come colui che nove cose assaggia","Il gruppo di anime che rimase lì sembrava inesperto del luogo, e si guardava intorno come colui che sperimenta cose nuove"
95," Da tutte parti saettava il giorno lo sol, ch’avea con le saette conte di mezzo ’l ciel cacciato Capricorno, ","Il sole saettava il giorno da ogni parte, avendo già cacciato con le infallibili frecce il Capricorno dal punto mediano del cielo,"
96," quando la nova gente alzò la fronte ver’ noi, dicendo a noi","quando i nuovi arrivati si rivolsero a noi, dicendoci"
97," «Se voi sapete, mostratene la via di gire al monte»"," «Se voi la sapete, mostrateci la via per arrivare al monte»"
98," E Virgilio rispuose",E Virgilio gli rispose
99," «Voi credete forse che siamo esperti d’esto loco"," «Voi forse credete che noi siamo esperti di questo luogo"
100," ma noi siam peregrin come voi siete"," ma noi siamo forestieri proprio come voi"
101," Dianzi venimmo, innanzi a voi un poco, per altra via, che fu sì aspra e forte, che lo salire omai ne parrà gioco»","Siamo appena arrivati, poco prima di voi, attraverso un'altra strada che fu così ardua che l'ascesa del monte al confronto ci sembrerà uno scherzo»"
102," L’anime, che si fuor di me accorte, per lo spirare, ch’i’ era ancor vivo, maravigliando diventaro smorte","Le anime, che si erano accorte che io ero vivo vedendomi respirare, impallidirono per lo stupore"
103," E come a messagger che porta ulivo tragge la gente per udir novelle, e di calcar nessun si mostra schivo, ","E come la gente si affolla intorno al messaggero che porta notizie di pace, e nessuno si mostra schivo di accalcarsi,"
104," così al viso mio s’affisar quelle anime fortunate tutte quante, quasi oblïando d’ire a farsi belle","così quelle anime fortunate si assieparono tutte quante intorno al mio viso, quasi dimenticando di andare a purificarsi"
105," Io vidi una di lor trarresi avante per abbracciarmi con sì grande affetto, che mosse me a far lo somigliante","Io vidi una di loro farsi avanti per abbracciarmi, con così grande affetto che mi spinse a fare altrettanto"
106," Ohi ombre vane, fuor che ne l’aspetto","Oh, ombre inconsistenti, tranne che nell'aspetto"
107," tre volte dietro a lei le mani avvinsi, e tante mi tornai con esse al petto"," tre volte tentai di abbracciarla con le mani, e altrettante le ritrovai vuote al mio petto"
108," Di maraviglia, credo, mi dipinsi",Credo di essermi stupito molto
109," per che l’ombra sorrise e si ritrasse, e io, seguendo lei, oltre mi pinsi"," allora l'ombra sorrise e si tirò in disparte, e io seguendola mi spinsi un po' lontano"
110," Soavemente disse ch’io posasse",Dolcemente mi disse di fermarmi
111," allor conobbi chi era, e pregai che, per parlarmi, un poco s’arrestasse"," allora lo riconobbi e lo pregai di fermarsi un poco a parlarmi"
112," Rispuosemi",Mi rispose
113," «Così com’ io t’amai nel mortal corpo, così t’amo sciolta"," «Come ti ho amato nel corpo mortale, così ti amo ora che sono un'anima"
114," però m’arresto"," per questo mi fermo, "
115," ma tu perché vai?»"," ma tu perché sei qui?»"
116," «Casella mio, per tornar altra volta là dov’ io son, fo io questo vïaggio», diss’ io"," «Casella mio, faccio questo viaggio per tornare nuovamente qui dove mi trovo» , Io dissi"
117," «ma a te com’ è tanta ora tolta?»"," ma come mai tu arrivi qui soltanto adesso?»"
118," Ed elli a me"," E lui a me"
119," «Nessun m’è fatto oltraggio, se quei che leva quando e cui li piace, più volte m’ha negato esto passaggio"," «Non mi è stato fatto nessun torto, se l'angelo, che prende quando e chi vuole, mi ha negato più volte di portarmi qui"
120," ché di giusto voler lo suo si face",infatti il suo volere è conforme a quello divino
121," veramente da tre mesi elli ha tolto chi ha voluto intrar, con tutta pace"," tuttavia, da tre mesi egli ha accolto sulla barca tutti coloro che hanno voluto salirci, senza opporsi"
122," Ond’ io, ch’era ora a la marina vòlto dove l’acqua di Tevero s’insala, benignamente fu’ da lui ricolto","Allora io, che ero rivolto al mare dove sfocia il Tevere, fui benevolmente accolto da lui"
123," A quella foce ha elli or dritta l’ala, però che sempre quivi si ricoglie qual verso Acheronte non si cala»","Ora ha drizzato l'ala verso quella foce, dal momento che ogni anima che non è destinata all'Inferno si raccoglie sempre lì»"
124," E io",E io
125," «Se nuova legge non ti toglie memoria o uso a l’amoroso canto che mi solea quetar tutte mie doglie, "," «Se una nuova legge non ti toglie la memoria o l'abitudine al canto amoroso che era solito placare tutti i miei desideri, "
126," di ciò ti piaccia consolare alquanto l’anima mia, che, con la sua persona venendo qui, è affannata tanto»"," con esso ti prego di consolare un poco la mia anima, che venendo qui con il corpo fisico è tanto affaticata»"
127," ‘Amor che ne la mente mi ragiona’ cominciò elli allor sì dolcemente, che la dolcezza ancor dentro mi suona","Allora egli cominciò a cantare «Amor che ne la mente mi ragiona» così dolcemente, che la dolcezza di quel canto risuona ancora dentro di me"
128," Lo mio maestro e io e quella gente ch’eran con lui parevan sì contenti, come a nessun toccasse altro la mente","Il mio maestro e io e quelle anime che erano con lui sembravamo così contenti, come se la nostra mente non fosse toccata da alcun pensiero"
129," Noi eravam tutti fissi e attenti a le sue note","Noi eravamo tutti intenti alle note, "
130," ed ecco il veglio onesto gridando",quando ecco che arrivò il vecchio dignitoso  che gridava
131," «Che è ciò, spiriti lenti? "," «Che significa questo, spiriti lenti?"
132," qual negligenza, quale stare è questo? "," quale negligenza, quale indugio è questo? "
133," Correte al monte a spogliarvi lo scoglio ch’esser non lascia a voi Dio manifesto»"," Correte al monte a levarvi la scorza  che non vi permette di vedere Dio»"
134," Come quando, cogliendo biado o loglio, li colombi adunati a la pastura, queti, sanza mostrar l’usato orgoglio, ","Come quando i colombi, beccando biada o loglio, radunati per il pasto, tranquilli e senza mostrare il consueto orgoglio, "
135," se cosa appare ond’ elli abbian paura, subitamente lasciano star l’esca, perch’ assaliti son da maggior cura",se appare qualcosa che li spaventa lasciano subito il cibo perché sono assaliti da una preoccupazione maggiore
136," così vid’ io quella masnada fresca lasciar lo canto, e fuggir ver’ la costa, com’ om che va, né sa dove rïesca","così io vidi quelle anime appena arrivate lasciare il canto, e correre verso la montagna come qualcuno che va senza una meta precisa"
137," né la nostra partita fu men tosta"," e la nostra fuga  non fu meno precipitosa"
139," Avvegna che la subitana fuga dispergesse color per la campagna, ","Benché la fuga improvvisa avesse disperso le anime lungo la spiaggia, "
140," rivolti al monte ove ragion ne fruga, i’ mi ristrinsi a la fida compagna","verso il monte dove la giustizia divina ci tormenta, io mi strinsi alla mia guida fidata"
141," e come sare’ io sanza lui corso? chi m’avria tratto su per la montagna? El mi parea da sé stesso rimorso"," e come sarei andato senza di lui? chi mi avrebbe fatto salire su per la montagna?Egli mi sembrava punto dal rimorso"
142," o dignitosa coscïenza e netta, come t’è picciol fallo amaro morso"," o coscienza dignitosa e pura, quale amaro tormento provoca in te il minimo errore"
143," Quando li piedi suoi lasciar la fretta, che l’onestade ad ogn’ atto dismaga, ","Quando i suoi piedi lasciarono la fretta che sminuisce a ogni atto il decoro, "
144," la mente mia, che prima era ristretta, ","la mia mente, che prima era fissa su un solo pensiero, "
145," lo ’ntento rallargò, sì come vaga, e diedi ’l viso mio incontr’ al poggio che ’nverso ’l ciel più alto si dislaga","si allargò come desiderosa di vedere altro, e così io rivolsi lo sguardo al monte che si erge al cielo più alto di qualunque altro"
146," Lo sol, che dietro fiammeggiava roggio, rotto m’era dinanzi a la figura, ch’avëa in me de’ suoi raggi l’appoggio","Il sole, che splendeva rosso alle mie spalle, era interrotto davanti a me dal mio corpo che faceva ostacolo ai suoi raggi "
147," Io mi volsi dallato con paura d’essere abbandonato, quand’ io vidi solo dinanzi a me la terra oscura","Io mi voltai a lato con paura di essere abbandonato, quando vidi che c'era l'ombra solo davanti a me"
148," e ’l mio conforto",e il mio conforto
149," «Perché pur diffidi?», a dir mi cominciò tutto rivolto"," «Perché continui a diffidare?» cominciò a dirmi con grande attenzione"
150," «non credi tu me teco e ch’io ti guidi? Vespero è già colà dov’ è sepolto lo corpo dentro al quale io facea ombra"," non credi che io sia qui con te a guidarti?È già sera là dove è sepolto il corpo nel quale io facevo ombra"
151," Napoli l’ha, e da Brandizio è tolto"," è a Napoli ed è stato traslato lì da Brindisi"
152," Ora, se innanzi a me nulla s’aombra, non ti maravigliar più che d’i cieli che l’uno a l’altro raggio non ingombra","Ora, se di fronte a me non proietto un'ombra, non stupirti più del fatto che i cieli non impediscono dall'uno all'altro il passaggio della luce"
153," A sofferir tormenti, caldi e geli simili corpi la Virtù dispone che, come fa, non vuol ch’a noi si sveli","La volontà divina fa sì che corpi simili  soffrano tormenti fisici, il caldo e il gelo, e non vuole che noi sappiamo come ciò sia possibile"
154," Matto è chi spera che nostra ragione possa trascorrer la infinita via che tiene una sustanza in tre persone","È folle chi spera che la nostra ragione possa percorrere la via infinita che tiene una sola sostanza in tre persone "
155," State contenti, umana gente, al quia","Accontentatevi, uomini, di questo"
156," ché, se potuto aveste veder tutto, mestier non era parturir Maria"," infatti, se aveste potuto vedere tutto, non sarebbe stato necessario che Maria partorisse Gesù"
157," e disïar vedeste sanza frutto tai che sarebbe lor disio quetato, ch’etternalmente è dato lor per lutto","e avete visto desiderare invano  filosofi tanto profondi che, se ciò fosse possibile, avrebbero appagato il loro desiderio, il quale invece è la loro pena eterna"
158," io dico d’Aristotile e di Plato e di molt’ altri»","io parlo di Aristotele, di Platone e di molti altri»"
159," e qui chinò la fronte, e più non disse, e rimase turbato"," e a quel punto chinò la fronte, senza aggiungere altro e restando turbato"
160," Noi divenimmo intanto a piè del monte",Noi intanto eravamo giunti ai piedi del monte
161," quivi trovammo la roccia sì erta, che ’ndarno vi sarien le gambe pronte"," qui trovammo la parete rocciosa così ripida che invano avremmo cercato di scalarla con le nostre gambe"
162," Tra Lerice e Turbìa la più diserta, la più rotta ruina è una scala, verso di quella, agevole e aperta",La roccia più scoscesa e impervia in Liguria  al confronto di quella è una scala di facile accesso
163," «Or chi sa da qual man la costa cala», "," «Ora chissà da quale parte la parete è meno ripida»"
164," disse ’l maestro mio fermando ’l passo, "," Disse il mio maestro, fermando il passo"
165," «sì che possa salir chi va sanz’ ala?»"," «così che possa salire chi non è dotato di ali?»"
166," E mentre ch’e’ tenendo ’l viso basso essaminava del cammin la mente, e io mirava suso intorno al sasso, "," E mentre lui, tenendo lo sguardo a terra, rifletteva sul cammino da intraprendere, e io guardavo in alto intorno alla roccia, "
167," da man sinistra m’apparì una gente d’anime, che movieno i piè ver’ noi, e non pareva, sì venïan lente"," vidi da sinistra arrivare un gruppo di anime che camminavano verso di noi, e non sembrava neppure tanto procedevano lentamente"
168," «Leva», diss’ io, «maestro, li occhi tuoi","Io dissi «Maestro, alza lo sguardo"
169," ecco di qua chi ne darà consiglio, se tu da te medesmo aver nol puoi»"," ecco chi ci fornirà indicazioni, se tu non le puoi trovare da te stesso»"
170," Guardò allora, e con libero piglio rispuose",Lui allora guardò e con aspetto sereno rispose
171," «Andiamo in là, ch’ei vegnon piano"," «Andiamo in là, poiché essi vengono piano verso di noi"
172," e tu ferma la spene, dolce figlio»"," e tu rafforza la tua speranza, dolce figlio»"
173," Ancora era quel popol di lontano, i’ dico dopo i nostri mille passi, quanto un buon gittator trarria con mano, ","Dopo che avevamo percorso mille passi, quella schiera distava ancora da noi lo spazio che un buon lanciatore coprirebbe scagliando un sasso con la mano, "
174," quando si strinser tutti ai duri massi de l’alta ripa, e stetter fermi e stretti com’ a guardar, chi va dubbiando, stassi","quando essi si strinsero tutti alla parete rocciosa del monte e rimasero fermi lì, proprio come si ferma a guardare chi va ed è in dubbio"
175," «O ben finiti, o già spiriti eletti», Virgilio incominciò, ","Virgilio iniziò «O spiriti morti in grazia di Dio e scelti per la salvezza, "
176," «per quella pace ch’i’ credo che per voi tutti s’aspetti, ditene dove la montagna giace, sì che possibil sia l’andare in suso","in nome di quella pace che credo tutti voi attendiate, diteci dove la montagna è meno ripida, così che sia possibile salire"
177," ché perder tempo a chi più sa più spiace»"," infatti, quanto più uno sa tanto più gli spiace attardarsi»"
178," Come le pecorelle escon del chiuso a una, a due, a tre, e l’altre stanno timidette atterrando l’occhio e ’l muso","Come le pecorelle escono dall'ovile, a una, a due, a tre, e le altre stanno indietro timorose e tengono il muso e l'occhio in basso"
179," e ciò che fa la prima, e l’altre fanno, addossandosi a lei, s’ella s’arresta, semplici e quete, e lo ’mperché non sanno","e ciò che fa la prima fanno anche le altre, addossandosi a lei se essa si ferma, semplici e mansuete, e non sanno il motivo"
180," sì vid’ io muovere a venir la testa di quella mandra fortunata allotta, pudica in faccia e ne l’andare onesta","così io vidi muoversi verso di noi la testa di quella schiera di anime fortunate, pudiche nell'aspetto e dignitose nei movimenti"
181," Come color dinanzi vider rotta la luce in terra dal mio destro canto, sì che l’ombra era da me a la grotta, ","Appena quelli videro che io proiettavo un'ombra alla mia destra, da me alla parete rocciosa, "
182," restaro, e trasser sé in dietro alquanto, e tutti li altri che venieno appresso, non sappiendo ’l perché, fenno altrettanto","si fermarono e si tirarono un po' indietro, e tutti gli altri spiriti che venivano dietro, pur senza sapere il motivo, fecero lo stesso"
183," «Sanza vostra domanda io vi confesso che questo è corpo uman che voi vedete","«Senza che voi lo domandiate, io vi dico subito che questo corpo che vedete è di carne e ossa"
184," per che ’l lume del sole in terra è fesso"," per questo la luce del sole è da lui interrotta, a terra"
185," Non vi maravigliate, ma credete che non sanza virtù che da ciel vegna cerchi di soverchiar questa parete»","Non vi stupite, ma credete che Dante non cerca di scalare questa parete senza l'aiuto di una virtù che viene dal Cielo»"
186," Così ’l maestro",Così disse il maestro
187," e quella gente degna «Tornate», disse, «intrate innanzi dunque», coi dossi de le man faccendo insegna"," e quelle anime degne dissero «Tornate sui vostri passi», facendo segno col dorso delle mani"
188," E un di loro incominciò",E uno di loro iniziò
189," «Chiunque tu se’, così andando, volgi ’l viso"," «Chiunque tu sia, mentre continui a camminare, voltati verso di me "
190," pon mente se di là mi vedesti unque»"," e dimmi se mi hai mai visto sulla Terra»"
191," Io mi volsi ver’ lui e guardail fiso",Io mi voltai verso di lui e lo guardai attentamente
192," biondo era e bello e di gentile aspetto, ma l’un de’ cigli un colpo avea diviso"," era biondo, bello e di nobile aspetto, ma uno dei sopraccigli era diviso da un colpo"
