,Inferno,Parafrasi
11,"  e non mi si partia dinanzi al volto, anzi ’mpediva tanto il mio cammino, ch’i’ fui per ritornar più volte vòlto","Erano le prime ore del mattino, e il sole stava sorgendo insieme a quella costellazione  che era con lui il giorno della Creazione, quando l'amore divino mosse per la prima volta quelle belle cose"
12," Temp’era dal principio del mattino, e ’l sol montava ’n sù con quelle stelle ch’eran con lui quando l’amor divino  mosse di prima quelle cose belle", così l'ora del giorno e la stagione primaverile mi davano buoni motivi per sperare bene a proposito di quella belva dalla pelle chiazzata
13, sì ch’a bene sperar m’era cagione di quella fiera a la gaetta pelle  l’ora del tempo e la dolce stagione," ma non al punto che non mi desse paura la vista, che mi apparve subito dopo, di un leone"
14, ma non sì che paura non mi desse la vista che m'apparve d'un leone,"Questi sembrava venire contro di me, con la testa alta e con fame rabbiosa, al punto che persino l'aria sembrava tremare"
15,"  Questi parea che contra me venisse con la test’alta e con rabbiosa fame, sì che parea che l’aere ne tremesse","Ed ecco apparire una lupa, che nella sua magrezza sembra piena di tutti i desideri e spinse molte persone a vivere miseramente"
16,"  Ed una lupa, che di tutte brame sembiava carca ne la sua magrezza, e molte genti fé già viver grame,  questa mi porse tanto di gravezza con la paura ch’uscia di sua vista, ch’io perdei la speranza de l’altezza"," questa mi procurò una tale angoscia, col terrore che mi ispirava il suo aspetto, che persi la speranza di raggiungere la sommità del colle"
17,"  E qual è quei che volontieri acquista, e giugne ’l tempo che perder lo face, che ’n tutti suoi pensier piange e s’attrista","E come colui che acquista volentieri, e poi arriva il tempo in cui perde ogni cosa, per cui piange e si rattrista in ogni pensiero, così mi rese la belva senza pace, che venendo contro di me mi sospingeva poco a poco verso il basso, dove non c'era il sole"
18,"  tal mi fece la bestia sanza pace, che, venendomi ’ncontro, a poco a poco mi ripigneva là dove ’l sol tace","Mentre io scivolavo a valle, verso la foresta, apparve davanti ai miei occhi qualcuno che non riuscivo a vedere bene per la penombra"
19,"  Mentre ch’i’ rovinava in basso loco, dinanzi a li occhi mi si fu offerto chi per lungo silenzio parea fioco","Quando vidi costui nel luogo deserto, gli gridai: «Abbi pietà di me, chiunque tu sia, un'anima o un uomo in carne e ossa"
20,"  Quando vidi costui nel gran diserto, ""Miserere di me"", gridai a lui, ""qual che tu sii, od ombra od omo certo","»Mi rispose: «No, non sono un uomo, lo sono già stato, e i miei genitori furono della Lombardia, entrambi nativi di Mantova"
21,"  Rispuosemi: ""Non omo, omo già fui, e li parenti miei furon lombardi, mantoani per patrïa ambedui","Nacqui sotto il governo di Giulio Cesare, anche se negli ultimi anni, e vissi a Roma sotto il governo del buon imperatore Augusto, al tempo degli dei pagani"
22,"  Nacqui sub Iulio, ancor che fosse tardi, e vissi a Roma sotto ’l buono Augusto nel tempo de li dèi falsi e bugiardi","Fui poeta, e cantai di quel giusto figlio di Anchise  che fuggì da Troia dopo che il superbo Ilio  fu bruciato"
23,"  Poeta fui, e cantai di quel giusto figliuol d’Anchise che venne di Troia, poi che ’l superbo Ilïón fu combusto","Ma tu, perché ritorni al male della foresta? Perché non scali il colle gioioso, che è principio e causa di ogni felicità?»"
24,"  Ma tu perché ritorni a tanta noia? perché non sali il dilettoso monte ch’è principio e cagion di tutta gioia?""",«Allora tu sei quel Virgilio e quella sorgente che spande un così largo fiume di parole?» gli risposi vergognandomi
25,"  ""Or se’ tu quel Virgilio e quella fonte che spandi di parlar sì largo fiume?"", rispuos’io lui con vergognosa fronte","«O tu che sei luce e guida degli altri poeti, mi siano di aiuto il lungo impegno e il grande amore che mi hanno spinto a leggere la tua opera"
26,"  ""O de li altri poeti onore e lume, vagliami ’l lungo studio e ’l grande amore che m’ ha fatto cercar lo tuo volume",Tu sei il mio maestro e il mio modello
27,"  Tu se’ lo mio maestro e ’l mio autore, tu se’ solo colui da cu’ io tolsi lo bello stilo che m’ ha fatto onore", tu sei il solo da cui io trassi il bello stile che mi ha reso celebre
28,  Vedi la bestia per cu’ io mi volsi,Vedi la belva che mi ha fatto voltare
29," aiutami da lei, famoso saggio, ch’ella mi fa tremar le vene e i polsi"""," aiutami da lei, famoso sapiente, poiché essa fa tremare ogni goccia del mio sangue»"
30,"  ""A te convien tenere altro vïaggio"", rispuose, poi che lagrimar mi vide, ""se vuo’ campar d’esto loco selvaggio","«Tu devi compiere un altro viaggio,» mi rispose dopo avermi visto piangere, «se vuoi salvarti da questo luogo selvaggio"
31,"  ché questa bestia, per la qual tu gride, non lascia altrui passar per la sua via, ma tanto lo ’mpedisce che l’uccide","Infatti, la belva che ti fa urlare non lascia passare nessuno per la sua strada, ma lo impedisce al punto di ucciderlo"
32,"  e ha natura sì malvagia e ria, che mai non empie la bramosa voglia, e dopo ’l pasto ha più fame che pria","E ha un'indole così malvagia e malefica che non può mai soddisfare la sua bramosia, e dopo ogni pasto ha più fame di prima"
33,"  Molti son li animali a cui s’ammoglia, e più saranno ancora, infin che ’l veltro verrà, che la farà morir con doglia","Sono molti gli animali a cui si accoppia, e saranno sempre di più, finché arriverà il cane da caccia  che la farà morire con dolore"
34,"  Questi non ciberà terra né peltro, ma sapïenza, amore e virtute, e sua nazion sarà tra feltro e feltro","Costui non baderà alle ricchezze materiali, ma solo a quelle spirituali e la sua nascita avverrà tra feltro e feltro"
35,"  Di quella umile Italia fia salute per cui morì la vergine Cammilla, Eurialo e Turno e Niso di ferute","Sarà la salvezza di quell'umile Italia, per cui morirono in battaglia Eurialo e Niso, Turno, la vergine Camilla"
36,"  Questi la caccerà per ogne villa, fin che l’avrà rimessa ne lo ’nferno, là onde ’nvidia prima dipartilla","Costui le darà la caccia per ogni città, finché l'avrà rimessa nell'Inferno da dove l'invidia  la fece uscire per la prima volta"
37,"  Ond’io per lo tuo me’ penso e discerno che tu mi segui, e io sarò tua guida, e trarrotti di qui per loco etterno","Perciò io penso e giudico per il tuo bene che tu debba seguirmi, e io ti farò da guida e ti porterò via di qui per guidarti in un luogo dell'Oltretomba, "
38,"  ove udirai le disperate strida, vedrai li antichi spiriti dolenti, ch’a la seconda morte ciascun grida","dove udirai le grida disperate e vedrai le antiche anime dei dannati, ciascuno dei quali invoca la morte definitiva"
39,"  e vederai color che son contenti nel foco, perché speran di venire quando che sia a le beate genti","E poi vedrai coloro che sono contenti di subire pene , perché sperano un giorno di raggiungere i beati del Paradiso"
40,"  A le quai poi se tu vorrai salire, anima fia a ciò più di me degna: con lei ti lascerò nel mio partire","E se poi tu vorrai salire a visitare questi ultimi, allora ci sarà un'anima più degna di me per farti da guida: quando me ne andrò, ti lascerò con lei"
41,"  ché quello imperador che là sù regna, perch’i’ fu’ ribellante a la sua legge, non vuol che ’n sua città per me si vegna","Infatti, quell'imperatore  che regna lassù, non vuole che io entri nella sua città, in quanto fui ribelle alla sua legge "
42,  In tutte parti impera e quivi regge,Dio ha autorità in tutto l'Universo e in Paradiso governa
43, quivi è la sua città e l’alto seggio: oh felice colui cu’ ivi elegge,"qui c'è la sua città e il suo altro trono: oh, felice colui che sceglie per risiedere in quel luogo"
44,"  E io a lui: ""Poeta, io ti richeggio per quello Dio che tu non conoscesti, acciò ch’io fugga questo male e peggio,  che tu mi meni là dov’or dicesti, sì ch’io veggia la porta di san Pietro e color cui tu fai cotanto mesti""","»E io gli dissi: «Poeta, in nome di quel Dio che non hai conosciuto e affinché io fugga questo male e altri peggiori, ti chiedo ti condurmi là dove hai detto, così che io veda la porta di San Pietro e coloro che descrivi tanto miseri»"
45,"  Allor si mosse, e io li tenni dietro","Allora si mise in cammino, e io lo seguii"
47,"  Lo giorno se n’andava, e l’aere bruno toglieva li animai che sono in terra da le fatiche loro","Il giorno era quasi finito, e l'oscurità toglieva gli animali che sono in terra dalle loro fatiche"
48," e io sol uno m’apparecchiava a sostener la guerra sì del cammino e sì de la pietate, che ritrarrà la mente che non erra"," e io ero il solo che mi preparavo ad affrontare un cammino angoscioso e terribile, che la mia mente infallibile descriverà"
49,"  O muse, o alto ingegno, or m’aiutate","O muse, o alto ingegno poetico, aiutatemi"
50," o mente che scrivesti ciò ch’io vidi, qui si parrà la tua nobilitate"," o mente, che annotasti quello che hai visto, qui dovrai dare dimostrazione della tua nobiltà"
51,"  Io cominciai: ""Poeta che mi guidi, guarda la mia virtù s’ell’è possente, prima ch’a l’alto passo tu mi fidi","Io cominciai a dire: «Poeta che mi guidi, valuta se la mia virtù è sufficiente, prima di condurmi in questo arduo viaggio"
52,"  Tu dici che di Silvïo il parente, corruttibile ancora, ad immortale secolo andò, e fu sensibilmente","Tu dici che il padre di Silvio , ancora in vita, andò nell'Aldilà in carne e ossa, con tutto il corpo"
53,"  Però, se l’avversario d’ogne male cortese i fu, pensando l’alto effetto ch’uscir dovea di lui, e ’l chi e ’l quale  non pare indegno ad omo d’intelletto","Perciò, se il nemico di ogni male  fu cortese verso di lui, l'uomo e i suoi meriti non sembrano indegni a un uomo dotato di intelletto, se si pensa all'alto effetto che doveva essere prodotto da lui"
54," ch’e’ fu de l’alma Roma e di suo impero ne l’empireo ciel per padre eletto:  la quale e ’l quale, a voler dir lo vero, fu stabilita per lo loco santo u’ siede il successor del maggior Piero"," infatti egli fu scelto nell'Empireo come fondatore della nobile Roma e del suo impero:e Roma e il suo impero, a dire la verità, furono stabiliti come la santa sede dove risiede il successore del primo papa "
55,"  Per quest’andata onde li dai tu vanto, intese cose che furon cagione di sua vittoria e del papale ammanto","Grazie a questo viaggio che tu narri, Enea sentì cose che lo portarono poi alla vittoria e produssero il manto papale "
56,"  Andovvi poi lo Vas d’elezïone, per recarne conforto a quella fede ch’è principio a la via di salvazione","Vi andò poi  ilo strumento della scelta , per rendere salda quella fede che è principio alla via della salvezza"
57,"  Ma io, perché venirvi? o chi ’l concede? Io non Enëa, io non Paulo sono","Ma io perché dovrei andarci? chi lo concede? Io non sono Enea, né san Paolo"
58, me degno a ciò né io né altri ’l crede, né io né nessun altro mi ritiene all'altezza di questo compito
59,"  Per che, se del venire io m’abbandono, temo che la venuta non sia folle","Perciò, se accetto di seguirti, temo che il mio viaggio sia una follia"
60," Se’ savio intendi me’ ch’i’ non ragiono""","Sei saggio, comprendi meglio di come io possa spiegare»"
61,"  E qual è quei che disvuol ciò che volle e per novi pensier cangia proposta, sì che dal cominciar tutto si tolle,  tal mi fec’ïo ’n quella oscura costa, perché, pensando, consumai la ’mpresa che fu nel cominciar cotanto tosta","E come colui che non vuole più ciò che voleva, e cambia idea a causa di nuovi pensieri, cosicché recede totalmente dai suoi propositi, così divenni io in quei luoghi oscuri, perché pensandoci sopra posi fine all'impresa che fu così rapida all'inizio"
62,"  ""S’i’ ho ben la parola tua intesa"", rispuose del magnanimo quell’ombra, ""l’anima tua è da viltade offesa","L'ombra di quel nobile uomo rispose così: «Se io ho capito bene le tue parole, la tua anima è vittima di viltà, "
63,"  la qual molte fïate l’omo ingombra sì che d’onrata impresa lo rivolve, come falso veder bestia quand’ombra","la quale molte volte opprime l'uomo e lo fa desistere da un'impresa onorevole, proprio come una falsa immagine fa imbizzarrire una bestia quando si adombra"
64,"  Da questa tema acciò che tu ti solve, dirotti perch’io venni e quel ch’io ’ntesi nel primo punto che di te mi dolve","Affinché tu ti liberi da questi timori, ti dirò perché sono venuto qui e quello che sentii nel primo momento che provai per te dolore"
65,"  Io era tra color che son sospesi, e donna mi chiamò beata e bella, tal che di comandare io la richiesi","Io ero tra le anime sospese del Limbo, e mi chiamò una donna tanto beata e tanto bella che le chiesi di comandarmi"
66,  Lucevan li occhi suoi più che la stella,I suoi occhi erano più lucenti di una stella 
67," e cominciommi a dir soave e piana, con angelica voce, in sua favella: ","e lei iniziò a parlarmi con tono dolce e soave, con una voce che sembrava il linguaggio di un angelo:"
68," ""O anima cortese mantoana, di cui la fama ancor nel mondo dura, e durerà quanto ’l mondo lontana,  ","""O nobile anima mantovana, di cui la fama ancora perdura nel mondo e durerà tanto quanto il mondo, "
69," l’amico mio, e non de la ventura, ne la diserta piaggia è impedito sì nel cammin, che vòlt’è per paura",colui che mi amò in modo disinteressato sul pendio deserto di un colle è impedito a tal punto che si è voltato indietro per paura
70,"  e temo che non sia già sì smarrito, ch’io mi sia tardi al soccorso levata, per quel ch’i’ ho di lui nel cielo udito","e temo che sia già smarrito a tal punto che io mi sono mossa troppo tardi per soccorrerlo, per quello che ho sentito su di lui in cielo"
71,"  Or movi, e con la tua parola ornata e con ciò c’ ha mestieri al suo campare, l’aiuta sì ch’i’ ne sia consolata","Ora muoviti, e con la tua parola elegante, e con ciò che è necessario per la sua salvezza, aiutalo in modo che io ne sia consolata"
72,  I’ son Beatrice che ti faccio andare,Io che ti faccio andare sono Beatrice
73, vegno del loco ove tornar disio,vengo da dove desidero tornare
74," amor mi mosse, che mi fa parlare",l'amore mi ha fatto venire qui a parlarti
75,"  Quando sarò dinanzi al segnor mio, di te mi loderò sovente a lui""","Quando sarò davanti a Dio, spesso loderò il tuo nome"""
76," Tacette allora, e poi comincia’ io:  ""O donna di virtù sola per cui l’umana spezie eccede ogne contento di quel ciel c’ ha minor li cerchi sui,  tanto m’aggrada il tuo comandamento, che l’ubidir, se già fosse, m’è tardi","Allora tacque e io risposi:""O donna virtuosa, l'unica per cui la specie umana si eleva al di sopra di tutto ciò che si trova sotto il cielo della Luna, la tua richiesta mi trova così d'accordo che se anche avessi giù ubbidito sarebbe tardi"
77, più non t’è uo’ ch’aprirmi il tuo talento,non devi fare altro che dirmi quello che vuoi
78,"  Ma dimmi la cagion che non ti guardi de lo scender qua giuso in questo centro de l’ampio loco ove tornar tu ardi""","Ma dimmi il motivo per cui non hai timore nello scendere quaggiù, all'Inferno, dal luogo più ampio dove desideri tornare"""
79,"  ""Da che tu vuo’ saver cotanto a dentro, dirotti brievemente"", mi rispuose, ""perch’i’ non temo di venir qua entro","Lei mi rispose: ""Poiché vuoi maggiori dettagli, ti spiegherò in breve il motivo per cui non temo di venire qua dentro"
80,  Temer si dee di sole quelle cose c' hanno potenza di fare altrui male,Si devono temere soltanto quelle cose che hanno il potere di fare male agli altri
81," de l'altre no, ché non son paurose"," le altre no, poiché non sono spaventose"
82,"  I’ son fatta da Dio, sua mercé, tale, che la vostra miseria non mi tange, né fiamma d’esto ’ncendio non m’assale","Io sono resa da Dio, bontà sua, tale che la vostra miseria non mi tocca e nessuna fiamma dell'Inferno può danneggiarmi"
83,"  Donna è gentil nel ciel che si compiange di questo 'mpedimento ov'io ti mando, sì che duro giudicio là sù frange","Nel cielo c'è una donna nobile  che si duole di questo impedimento per il quale chiedo il tuo aiuto, così che infrange il duro giudizio divino"
84,"  Questa chiese Lucia in suo dimando e disse: - Or ha bisogno il tuo fedele di te, e io a te lo raccomando -",Costei chiese di parlare a Lucia e le disse: - Ora il tuo fedele ha bisogno di te e io a te lo raccomando -
85,"  Lucia, nimica di ciascun crudele, si mosse, e venne al loco dov’i’ era, che mi sedea con l’antica Rachele","Lucia, nemica di ogni uomo crudele, si mosse e venne là dove io ero, seduta accanto all'antica Rachele"
86,"  Disse: - Beatrice, loda di Dio vera, ché non soccorri quei che t’amò tanto, ch’uscì per te de la volgare schiera?  Non odi tu la pieta del suo pianto, non vedi tu la morte che ’l combatte su la fiumana ove ’l mar non ha vanto? -","Mi disse: - Beatrice, autentica lode di Dio, perché non soccorri colui che ti amò al punto da elevarsi al di sopra della schiera volgare?Non senti l'angoscia del suo pianto? non vedi la morte che combatte sul gorgo tempestoso del peccato? -Al mondo non ci furono mai persone tanto rapide a perseguire il loro vantaggio o a fuggire il loro danno, quanto io, dopo aver udito quelle parole, venni quaggiù dal mio scanno celeste, affidandomi alle tue parole nobili che onorano te e quelli che le hanno udite"""
87,"  Al mondo non fur mai persone ratte a far lor pro o a fuggir lor danno, com’io, dopo cotai parole fatte,  venni qua giù del mio beato scanno, fidandomi del tuo parlare onesto, ch’onora te e quei ch’udito l’ hanno""","Dopo che mi ebbe detto questo, girò gli occhi che brillavano per il pianto, il che mi indusse a venire più presto"
88,"  Poscia che m’ebbe ragionato questo, li occhi lucenti lagrimando volse, per che mi fece del venir più presto",e venni da te come lei volle
89,  E venni a te così com’ella volse: d’inanzi a quella fiera ti levai che del bel monte il corto andar ti tolse, ti soccorsi da quella belva  che ti impedì una facile ascesa al colle
90,"  Dunque: che è perché, perché restai, perché tanta viltà nel core allette, perché ardire e franchezza non hai,  ","Allora che c'è? perché, perché resti qui? perché coltivi in cuore tanta viltà? perché non hai coraggio e determinazione, "
91,"  poscia che tai tre donne benedette curan di te ne la corte del cielo, ",visto che queste tre donne benedette si preoccupano per te nella corte celeste 
92,"  e ’l mio parlar tanto ben ti promette?""",e le mie parole ti promettono ogni bene?»
93,"  Quali fioretti dal notturno gelo chinati e chiusi, poi che ’l sol li ’mbianca, si drizzan tutti aperti in loro stelo,  ","Come dei fiorellini chiusi e rivolti in basso dal gelo notturno si drizzano tutti aperti sul loro stelo, dopo che il sole li ha illuminati, "
94,"tal mi fec’io di mia virtude stanca, e tanto buono ardire al cor mi corse, ch’i’ cominciai come persona franca:  ","così feci io con la mia stanca virtù, e al cuore mi venne tanto coraggio che iniziai a dire, come persona rinfrancata:"
95,"""Oh pietosa colei che mi soccorse","«Oh donna pietosa che mi soccorse, "
96, e te cortese ch’ubidisti tosto a le vere parole che ti porse,e tu cortese che obbedisti subito alle parole autentiche che ti disse
97,"  Tu m’ hai con disiderio il cor disposto sì al venir con le parole tue, ch’i’ son tornato nel primo proposto","Tu, con le tue parole, mi hai disposto il cuore al desiderio di venire, al punto che che sono tornato al primo proposito"
98,"  Or va, ch’un sol volere è d’ambedue: tu duca, tu segnore e tu maestro""","Adesso va, poiché entrambi vogliamo la stessa cosa: tu sei la mia guida, il mio signore, il mio maestro»"
99," Così li dissi e poi che mosso fue,  ","Così gli dissi, e dopo che si fu messo in cammino "
100, intrai per lo cammino alto e silvestro,intrapresi il percorso arduo e selvaggio
102,"’Per me si va ne la città dolente, per me si va ne l'etterno dolore, per me si va tra la perduta gente","""Attraverso me si entra nella città del dolore, attraverso me si va nel dolore eterno, attraverso me si va tra le anime perdute "
103, Giustizia mosse il mio alto fattore,"La giustizia ha fatto agire il mio alto Creatore,"
104," fecemi la divina podestate, la somma sapïenza e ’l primo amore","mi hanno costruito la potestà divina , la somma sapienza  e il primo amore "
105,"  Dinanzi a me non fuor cose create se non etterne, e io etterno duro","Prima di me non fu creato nulla, se non eterno, e io durerò eternamente"
106," Lasciate ogne speranza, voi ch’intrate’","Lasciate ogni speranza, voi che entrate qui"""
107,  Queste parole di colore oscuro vid’ïo scritte al sommo d’una porta,"Io vidi queste parole scritte con colore  oscuro in cima a una porta, "
108," per ch’io: ""Maestro, il senso lor m’è duro""","per cui dissi: «Maestro, non ne capisco il senso»"
109,"  Ed elli a me, come persona accorta: ""Qui si convien lasciare ogne sospetto","Ed egli mi rispose, come persona saggia:«Qui è necessario abbandonare ogni esitazione, "
110, ogne viltà convien che qui sia morta,e non bisogna essere vili
111,"  Noi siam venuti al loco ov’i’ t’ ho detto che tu vedrai le genti dolorose c’ hanno perduto il ben de l’intelletto""","Noi siamo giunti nel luogo dove, come ti ho detto, vedrai le anime dannate che hanno perduto la luce dell'intelligenza divina»"
112,"  E poi che la sua mano a la mia puose con lieto volto, ond’io mi confortai, mi mise dentro a le segrete cose","E dopo che mi ebbe preso per mano, con volto sorridente che mi confortò, mi fece entrare in quel luogo separato dal mondo dei vivi "
113,"  Quivi sospiri, pianti e alti guai risonavan per l’aere sanza stelle, per ch’io al cominciar ne lagrimai","Qui sospiri, pianti e alti lamenti risuonavano in quell'aria priva di stelle, in modo tale che all'inizio ne piansi"
114,"  Diverse lingue, orribili favelle, parole di dolore, accenti d’ira, voci alte e fioche, e suon di man con elle  facevano un tumulto, il qual s’aggira sempre in quell’aura sanza tempo tinta, come la rena quando turbo spira","Lingue strane, pronunce orribili, parole di dolore, imprecazioni d'ira, voci acute e flebili, e un suono di mani insieme ad esse creavano un frastuono, che rimbomba di continuo in quell'aria eternamente oscura, proprio come la sabbia quando soffia la tempesta"
115,"  E io ch’avea d’error la testa cinta, dissi: ""Maestro, che è quel ch’i’ odo? e che gent’è che par nel duol sì vinta?""","E io, che avevo la testa piena di dubbi, dissi: «Maestro, che cos'è quello che sento? e chi sono costoro che sembrano così sopraffatti dal dolore?»"
116,"  Ed elli a me: ""Questo misero modo tegnon l’anime triste di coloro che visser sanza ’nfamia e sanza lodo",Lui mi rispose: «Questa è la misera condizione delle anime tristi di quelli che vissero senza infamia e senza meriti
117,"  Mischiate sono a quel cattivo coro de li angeli che non furon ribelli né fur fedeli a Dio, ma per sé fuoro","Sono mescolate a quell'insieme spregevole degli angeli che non si ribellarono a Dio, né gli rimasero fedeli, ma furono neutrali"
118,"  Caccianli i ciel per non esser men belli, né lo profondo inferno li riceve, ch’alcuna gloria i rei avrebber d’elli""","I cieli li cacciano per non perdere la loro bellezza, né l'Inferno li accoglie nelle sue profondità, poiché i dannati  potrebbero ricevere alcuna gloria dalla loro presenza»"
119,"  E io: ""Maestro, che è tanto greve a lor che lamentar li fa sì forte?""","E io: «Maestro, che cosa è tanto fastidioso per loro, da farli lamentare così forte?» "
120," Rispuose: ""Dicerolti molto breve",Mi rispose: «Te lo dirò molto brevemente
121,"  Questi non hanno speranza di morte, e la lor cieca vita è tanto bassa, che ’nvidïosi son d’ogne altra sorte","Queste anime non possono sperare di morire, e la loro attuale condizione è tanto spregevole che invidiano qualunque altra sorte"
122,  Fama di loro il mondo esser non lassa,Il mondo non lascia che ci sia di loro alcun ricordo
123, misericordia e giustizia li sdegna: , la misericordia e la giustizia divina li sdegnano
124," non ragioniam di lor, ma guarda e passa"""," non perdiamo tempo a parlare di loro, ma da' una rapida occhiata e passa oltre»"
125,"  E io, che riguardai, vidi una ’nsegna che girando correva tanto ratta, che d’ogne posa mi parea indegna","E io, guardando, vidi una insegna che, girando su se stessa, correva tanto rapidamente che mi sembrava non dovesse fermarsi mai"
126,"  e dietro le venìa sì lunga tratta di gente, ch’i’ non averei creduto che morte tanta n’avesse disfatta","e dietro di essa veniva una fila di anime tanto lunga, che non avrei mai creduto che la morte ne avesse disfatte tante "
127,"  Poscia ch’io v’ebbi alcun riconosciuto, vidi e conobbi l’ombra di colui che fece per viltade il gran rifiuto","Dopo che ebbi riconosciuto qualcuno di loro, vidi e riconobbi l'ombra di colui che per viltà fece il grande rifiuto"
128,"  Incontanente intesi e certo fui che questa era la setta d’i cattivi, a Dio spiacenti e a’ nemici sui",Capii all'istante e fui certo che questa era la schiera dei vili che spiacevano tanto a Dio quanto ai suoi nemici 
129,"  Questi sciaurati, che mai non fur vivi, erano ignudi e stimolati molto da mosconi e da vespe ch’eran ivi","Questi sciagurati, che non vissero mai veramente, erano nudi e punti continuamente da mosconi e vespe tutt'intorno"
130,"  Elle rigavan lor di sangue il volto, che, mischiato di lagrime, a’ lor piedi da fastidiosi vermi era ricolto","Esse facevano sanguinare il loro volto, che cadeva a terra frammisto a lacrime ed era raccolto da vermi ripugnanti"
131,"  E poi ch’a riguardar oltre mi diedi, vidi genti a la riva d’un gran fiume","E quando spinsi il suo sguardo oltre, vidi delle anime sulla sponda di un grande fiume"
132," per ch’io dissi: ""Maestro, or mi concedi  ch’i’ sappia quali sono, e qual costume le fa di trapassar parer sì pronte, com’i’ discerno per lo fioco lume"""," allora dissi: «Maestro, ora concedimi di sapere chi sono quelle anime, e quale istinto le fa sembrare così ansiose di passare dall'altra parte, proprio come mi sembra di vedere nella poca luce»"
133,"  Ed elli a me: ""Le cose ti fier conte quando noi fermerem li nostri passi su la trista riviera d’Acheronte""",Ed egli mi rispose: «Le cose ti saranno chiare quando noi giungeremo sulla triste sponda del fiume Acheronte»
134,"  Allor con li occhi vergognosi e bassi, temendo no ’l mio dir li fosse grave, infino al fiume del parlar mi trassi","Allora, abbassando gli occhi con vergogna, nel timore che parlando potessi dargli fastidio, non pronunciai parola fino al fiume"
135,"  Ed ecco verso noi venir per nave un vecchio, bianco per antico pelo, gridando: ""Guai a voi, anime prave","Ed ecco che un vecchio, dal volto coperto da una barba bianca, veniva verso di noi su una barca, gridando: «Guai a voi, anime malvagie"
136,"  Non isperate mai veder lo cielo: i’ vegno per menarvi a l’altra riva ne le tenebre etterne, in caldo e ’n gelo","Non sperate di poter mai vedere il cielo: io vengo per condurvi all'altra sponda, nelle tenebre eterne, tra le fiamme e il ghiaccio"
137,"  E tu che se’ costì, anima viva, pàrtiti da cotesti che son morti""","E tu che sei lì, anima viva, allontànati da costoro che sono morti»"
138," Ma poi che vide ch’io non mi partiva,  disse: ""Per altra via, per altri porti verrai a piaggia, non qui, per passare: "," Ma poiché vide che io non me ne andavo, disse: «Tu giungerai all'approdo per un'altra via, per altri porti, non certo qui per passare "
139," più lieve legno convien che ti porti""", è stabilito che ti porterà una nave più leggera della mia»
140,"  E ’l duca lui: ""Caron, non ti crucciare: vuolsi così colà dove si puote ciò che si vuole, e più non dimandare""","E il maestro gli disse: «Caronte, non ti angustiare: si vuole così lassù  dove è possibile tutto ciò che si vuole, quindi non dire altro»"
141,"  Quinci fuor quete le lanose gote al nocchier de la livida palude, che ’ntorno a li occhi avea di fiamme rote","Da lì in avanti si acquietarono le guance coperte di pelo del traghettatore di quella sozza palude, il quale aveva gli occhi circondati da ruote di fiamme"
