Original,Translate_es_1
" parvemi tanto allor del cielo acceso de la fiamma del sol, che pioggia o fiume lago non fece alcun tanto disteso","el brillo del sol era tan fuerte que nunca podría haber sido producido por la lluvia o los ríos, haciendo el cielo como un inmenso lago."
 La novità del suono e ’l grande lume di lor cagion m’accesero un disio mai non sentito di cotanto acume,"El sonido nuevo y la luz deslumbrante me despertaron una gran curiosidad por descubrir la fuente, más intensa que nunca antes."
" Ond’ ella, che vedea me sì com’ io, a quïetarmi l’animo commosso, pria ch’io a dimandar, la bocca aprio e cominciò",":Ella, como si hubiera leído mis pensamientos antes de oír mi pregunta, logró calmar mi mente agitada y exclamó con voz bondadosa."
" «Tu stesso ti fai grosso col falso imaginar, sì che non vedi ciò che vedresti se l’avessi scosso","Haz con tu imaginación distorsionada inútil tu capacidad de comprensión, para que no puedas ver lo que puedes ver si estás libre de ella."
" Tu non se’ in terra, sì come tu credi","No estás en la Tierra, como crees."
" ma folgore, fuggendo il proprio sito, non corse come tu ch’ad esso riedi»","Pero un rayo, abandonando su punto de origen, no precipitó tan rápido como tú estás volviendo al lugar que es justo para ti."
" S’io fui del primo dubbio disvestito per le sorrise parolette brevi, dentro ad un nuovo più fu’ inretito e dissi",":Gracias a las breves y amables palabras, mi primera duda se había disipado. Pero tan pronto como el segundo comenzó a asomarse a mi mente, exclamé:"
 «Già contento requïevi di grande ammirazion,Mi enorme maravilla se ha apaciguado.
 ma ora ammiro com’ io trascenda questi corpi levi»,Me sorprende cómo puedo superar a estas aves ligeras.
" Ond’ ella, appresso d’un pïo sospiro, li occhi drizzò ver’ me con quel sembiante che madre fa sovra figlio deliro, e cominciò","Una larga predicación de Ella, después de suspirar devotamente, me miró con aire maternal como si fuera el hijo que decía cosas insensatas y comenzó un sermón prolongado."
" «Le cose tutte quante hanno ordine tra loro, e questo è forma che l’universo a Dio fa simigliante","Todas las cosas creadas forman un orden, y esta es la manera en que el Universo imita a Dios."
" Qui veggion l’alte creature l’orma de l’etterno valore, il qual è fine al quale è fatta la toccata norma","Los seres racionales pueden percibir, a través del orden existente, la virtud divina que está destinada a convertirse en el objetivo final de este orden."
" Ne l’ordine ch’io dico sono accline tutte nature, per diverse sorti, più al principio loro e men vicine","Todas las criaturas siguen, de diferentes maneras y de tamaño variable, la inclinación que deriva de su propio principio creador."
" onde si muovono a diversi porti per lo gran mar de l’essere, e ciascuna con istinto a lei dato che la porti","Persiguen objetivos diferentes en la amplitud del universo, cada uno movido por un instinto innato."
 Questi ne porta il foco inver’ la luna,El impulso atrae el fuego a la luna.
 questi ne’ cor mortali è permotore,Toca las almas de los seres irracionales.
 questi la terra in sé stringe e aduna,la compacta y une el suelo
" né pur le creature che son fore d’intelligenza quest’ arco saetta, ma quelle c’hanno intelletto e amore",Este impulso guía tanto a las criaturas sin razón como a las que tienen un alma racional.
" La provedenza, che cotanto assetta, del suo lume fa ’l ciel sempre quïeto nel qual si volge quel c’ha maggior fretta","La Providencia, que ha determinado todo esto, siempre ilumina el Cielo con su luz en la que gira la más rápida."
" e ora lì, come a sito decreto, cen porta la virtù di quella corda che ciò che scocca drizza in segno lieto","Con ese instinto natural que acompaña a cada organismo a su destino, llevémoslo a un lugar determinado."
" Vero è che, come forma non s’accorda molte fïate a l’intenzion de l’arte, perch’ a risponder la materia è sorda, ","Es innegable que, puesto que la materia a veces no reacciona como se esperaba, la forma final no siempre corresponde a la intención artística."
" così da questo corso si diparte talor la creatura, c’ha podere di piegar, così pinta, in altra parte","A veces, la razón de la criatura tiene la oportunidad de alejarse de este rumbo, teniendo el poder de desviarse a otro sendero, a pesar de estar bien dirigida."
" e sì come veder si può cadere foco di nube, sì l’impeto primo l’atterra torto da falso piacere","Como un rayo que se derriba del cielo, así el instinto humano puede impulsarlo a dirigirse hacia los apegos materialistas, atraídos por una falsa alegría."
" Non dei più ammirar, se bene stimo, lo tuo salir, se non come d’un rivo se d’alto monte scende giuso ad imo","No debes sorprenderte más si juzgo correctamente, de tu progreso como un río que fluye desde la montaña hacia el valle."
" Maraviglia sarebbe in te se, privo d’impedimento, giù ti fossi assiso, com’ a terra quïete in foco vivo»","Sería extraordinario si tú, sin obstáculos, te hubieras quedado como un fuego que no se mueve y no sube a las alturas."
 Quinci rivolse inver’ lo cielo il viso,"Las palabras de Beatrice terminaron, mientras la mirada de ella miraba al Cielo."
" O voi che siete in piccioletta barca, desiderosi d’ascoltar, seguiti dietro al mio legno che cantando varca, ","Naveguen detrás de nosotros en este pequeño barco, cruzando las olas con un espíritu intrépido; si aman la maravilla de la música, escuchen nuestro canto mientras navegamos por los mares."
 tornate a riveder li vostri liti,Vuelvan a las orillas de las que se han ido.
" non vi mettete in pelago, ché forse, perdendo me, rimarreste smarriti","No os atreváis a aventuraros, porque correis el riesgo de perderos en ausencia de mi rastro."
 L’acqua ch’io prendo già mai non si corse,Nadie había navegado por este río antes.
" Minerva spira, e conducemi Appollo, e nove Muse mi dimostran l’Orse","Minerva genera las brisas, Apolo maneja la barra y las nueve Musas me guían en la navegación."
" Voialtri pochi che drizzaste il collo per tempo al pan de li angeli, del quale vivesi qui ma non sen vien satollo, ","Vosotros que habéis probado de antemano la comida de los ángeles, la comida de la que se sacan fuerza y alimento en la Tierra, pero nunca es suficiente."
" metter potete ben per l’alto sale vostro navigio, servando mio solco dinanzi a l’acqua che ritorna equale","Puede navegar con su barco, siguiendo mis huellas en alta mar mientras la ola regresa sin molestar."
" Que’ glorïosi che passaro al Colco non s’ammiraron come voi farete, quando Iasón vider fatto bifolco","Aquellos gloriosos, al llegar a la Cólquida, no se sorprendieron tanto de la metamorfosis de Jasón de guerrero a campesino como ustedes se maravillarán."
 La concreata e perpetüa sete del deïforme regno cen portava veloci quasi come ’l ciel vedete,Nuestro constante deseo de un reino divino nos empujaba a alturas tan rápidas como las estrellas en el firmamento.
" Beatrice in suso, e io in lei guardava",Yo miraba a Beatrice y ella me miraba fijamente.
" e forse in tanto in quanto un quadrel posa e vola e da la noce si dischiava, ","En un momento, como una flecha que es lanzada por un arco y alcanza su objetivo, vuela lejos."
 giunto mi vidi ove mirabil cosa mi torse il viso a sé,"Cuando llegué a ese lugar, vi un espectáculo maravilloso que secuestró mi mirada."
" e però quella cui non potea mia cura essere ascosa, volta ver’ me, sì lieta come bella, ",Ninguna de mis ideas podía escapar de su atención mientras me miraba con alegría y belleza.
" «Drizza la mente in Dio grata», mi disse, «che n’ha congiunti con la prima stella»","Me dijo que me diera las gracias a Dios por llevarnos a la primera estrella, concentrando nuestra mente."
" Parev’ a me che nube ne coprisse lucida, spessa, solida e pulita, quasi adamante che lo sol ferisse","Me pareció que había una enorme nube dorada de luz solar, como un diamante brillante."
" Per entro sé l’etterna margarita ne ricevette, com’ acqua recepe raggio di luce permanendo unita","Como un rayo de sol que se extiende por el agua, la gema eterna nos acogió dentro de sí."
" S’io era corpo, e qui non si concepe com’ una dimensione altra patio, ","Si yo tenía un cuerpo robusto, no se comprende cómo dos realidades tan desiguales pudieron coexistir."
" ch’esser convien se corpo in corpo repe, ","Cuando un cuerpo entra en contacto con otro, algo tiene que suceder inevitablemente."
 accender ne dovria più il disio di veder quella essenza in che si vede come nostra natura e Dio s’unio,Debería aumentar nuestro deseo de contemplar esa esencia en la que está encerrado el misterio de la encarnación de lo divino.
" Lì si vedrà ciò che tenem per fede, non dimostrato, ma fia per sé noto a guisa del ver primo che l’uom crede","Veremos cosas que no podemos demostrar racionalmente, pero las abrazamos como verdad gracias a nuestra fe."
 Io rispuosi,Yo respondí.
" «Madonna, sì devoto com’ esser posso più, ringrazio lui lo qual dal mortal mondo m’ha remoto","Y de vosotros, gracias a Dios por haberme quitado de las preocupaciones de la vida terrena y de esta bondadosa bendición tuya, mi Soberana."
 Ma ditemi,¿Qué os parece esto?
" che son li segni bui di questo corpo, che là giuso in terra fan di Cain favoleggiare altrui?»","¿ Qué sombras misteriosas son estas, que surgen de la estrella lejana y llevan a algunos a contar leyendas sobre Caín?"
" Ella sorrise alquanto, e poi «S’elli erra l’oppinïon», mi disse, ","Ella me echó una sonrisa y luego dijo: ""Cuando la opinión de los hombres era equivocada."""
" «d’i mortali dove chiave di senso non diserra, certo non ti dovrien punger li strali d’ammirazione omai, ","No te sorprendas ahora, donde los sentidos no dan respuestas adecuadas en esa materia."
 poi dietro ai sensi vedi che la ragione ha corte l’ali,porque es evidente que los sentidos no siempre pueden ser seguidos por la razón
 Ma dimmi quel che tu da te ne pensi»,Me gustaría saber qué piensas.
 E io,Yo lo expulsaré. Lo alejaré.
 «Ciò che n’appar qua sù diverso credo che fanno i corpi rari e densi»,¿Crees que la variación en la intensidad de la luz de las estrellas se debe a la densidad máxima diferente del cuerpo celestial?
 Ed ella,"Es la que nos ha permitido alcanzar el objetivo. Gracias a usted, hemos tenido éxito en nuestra intención."
" «Certo assai vedrai sommerso nel falso il creder tuo, se bene ascolti l’argomentar ch’io li farò avverso",Puedes darte cuenta de que tu opinión es errónea si escuchas con atención como yo pretendo argumentar.
" La spera ottava vi dimostra molti lumi, li quali e nel quale e nel quanto notar si posson di diversi volti","En el octavo Cielo, se pueden ver estrellas de varios tamaños y tamaños."
" Se raro e denso ciò facesser tanto, una sola virtù sarebbe in tutti, più e men distributa e altrettanto",".Si la diferencia se debía exclusivamente a una densidad diferente, todos tendrían la misma virtud, distribuida en cantidades superiores, inferiores o iguales."
" Virtù diverse esser convegnon frutti di princìpi formali, e quei, for ch’uno, seguiterieno a tua ragion distrutti","Las virtudes que se desarrollan a partir de diferentes principios formales, como has sugerido, no pueden reducirse a uno solo."
" Ancor, se raro fosse di quel bruno cagion che tu dimandi, o d’oltre in parte fora di sua materia sì digiuno esto pianeto, ","Si el brillo diferente fuera debido a una menor densidad, este planeta estaría vacío de un polo a otro."
" o, sì come comparte lo grasso e ’l magro un corpo, così questo nel suo volume cangerebbe carte","Como una persona puede distribuir sus reservas de grasa y músculo de manera desigual, de la misma manera la Luna podría tener variaciones en su masa."
" Se ’l primo fosse, fora manifesto ne l’eclissi del sol, per trasparere lo lume come in altro raro ingesto","Si la primera hipótesis fuera correcta, se notaría durante los eclipses de sol, ya que la luz del Sol filtraría a través de otro material transparente."
 Questo non è,a menudo.Este es un evento poco frecuente.
 però è da vedere de l’altro,Aún queda por evaluar la segunda posibilidad.
" e s’elli avvien ch’io l’altro cassi, falsificato fia lo tuo parere","Si puedo cuestionar eso también, entonces tu opinión será errónea."
" S’elli è che questo raro non trapassi, esser conviene un termine da onde lo suo contrario più passar non lassi","Si la Luna no es completamente rara, habrá un lugar más allá del cual tenderá a ser más sólida."
 e indi l’altrui raggio si rifonde così come color torna per vetro lo qual di retro a sé piombo nasconde,La luz del sol se refleja como cuando golpea un espejo.
" Or dirai tu ch’el si dimostra tetro ivi lo raggio più che in altre parti, per esser lì refratto più a retro",".Sostenga que el rayo de luz en ese punto, visto como más sutil y destruido, es menos brillante porque refleja una mayor profundidad?"
" Da questa instanza può deliberarti esperïenza, se già mai la provi, ch’esser suol fonte ai rivi di vostr’ arti","La experiencia puede distraerte de tu objeción, si decides enfrentarte a ella, ya que por lo general es el punto de partida para obtener todos tus conocimientos."
 Tre specchi prenderai,Recibirás tres espejos.
" e i due rimovi da te d’un modo, e l’altro, più rimosso, tr’ambo li primi li occhi tuoi ritrovi","Y pondrás dos a igual distancia de ti, con el tercer lugar más lejos en el centro de éstos."
" Rivolto ad essi, fa che dopo il dosso ti stea un lume che i tre specchi accenda e torni a te da tutti ripercosso",Levántate detrás de ellos para que tu luz se refleje en los tres espejos y para que puedas verlo en cada uno.
" Ben che nel quanto tanto non si stenda la vista più lontana, lì vedrai come convien ch’igualmente risplenda","Aunque la imagen reflejada en el espejo más distante es de dimensiones más pequeñas, se verá que su luminosidad sigue siendo igual a la de los otros dos."
" Or, come ai colpi de li caldi rai de la neve riman nudo il suggetto e dal colore e dal freddo primai, ","Como la nieve se disuelve bajo el calor del sol, cambia de forma convirtiéndose en agua sin su blancura y el frío que la había caracterizado."
" così rimaso te ne l’intelletto voglio informar di luce sì vivace, che ti tremolerà nel suo aspetto","Deseo vestir tu intelecto de la sabiduría, enriqueciéndolo con una luz tan brillante que parece temblando como la de una estrella."
 Dentro dal ciel de la divina pace si gira un corpo ne la cui virtute l’esser di tutto suo contento giace,La virtud oculta del Cielo de la paz divina está en el contenido que encierra.
" Lo ciel seguente, c’ha tante vedute, quell’ esser parte per diverse essenze, da lui distratte e da lui contenute",".El Cielo, tan rico en estrellas que residen separadas entre sí y encerradas en su interior, comparte su esencia con cada astro."
 Li altri giron per varie differenze le distinzion che dentro da sé hanno dispongono a lor fini e lor semenze,"Otras dimensiones organizan las diferentes propiedades que contienen como manera apropiada, con la intención de transferir a la Tierra sus efectos y objetivos deseados."
" Questi organi del mondo così vanno, come tu vedi omai, di grado in grado, che di sù prendono e di sotto fanno","En este Universo, los órganos actúan en una especie de ciclo ascendente-descendiente, desde las esferas superiores a las inferiores, como has entendido."
" Riguarda bene omai sì com’ io vado per questo loco al vero che disiri, sì che poi sappi sol tener lo guado","Examine cuidadosamente cómo proceder hacia la comprensión de lo que desea, de modo que usted mismo pueda extraer sus propias conclusiones."
" Lo moto e la virtù d’i santi giri, come dal fabbro l’arte del martello, da’ beati motor convien che spiri","Las inteligencias angélicas deben guiar la rotación y el propósito de las ruedas celestiales, como un herrero depende de su habilidad con el martillo."
" e ’l ciel cui tanti lumi fanno bello, de la mente profonda che lui volve prende l’image e fassene suggello","en la dimensión del PensamientoLas estrellas que adornan el cielo dejan una huella en profundidad, que hace girar la mente alrededor de la idea del Espíritu."
" E come l’alma dentro a vostra polve per differenti membra e conformate a diverse potenze si risolve, ",Como si el alma humana dentro de tu cuerpo ejerciera sus diferentes habilidades a través de articulaciones con diversas formas.
" così l’intelligenza sua bontate multiplicata per le stelle spiega, girando sé sovra sua unitate","Como una inteligencia angélica, su bondad es reflejada en infinitas direcciones por las estrellas, mientras permanece unida al recorrido rotatorio."
" Virtù diversa fa diversa lega col prezïoso corpo ch’ella avviva, nel qual, sì come vita in voi, si lega","La diferente virtud se une con el ámbito cuerpo celestial al que da animación, tal como sucede con la vida que fluye dentro de vosotros."
" Per la natura lieta onde deriva, la virtù mista per lo corpo luce come letizia per pupilla viva","Como la virtud que impregna el astro proviene de una naturaleza feliz, brilla dentro del cuerpo celestial como la alegría resplandece en la pupila del ojo."
" Da essa vien ciò che da luce a luce par differente, non da denso e raro",".La iluminación de las estrellas es diferente debido a su variabilidad, no porque tienen una densidad diferente."
" essa è formal principio che produce, conforme a sua bontà, lo turbo e ’l chiaro»","Su bondad genera opacidad y claridad, ya que éste es el principio formal."
" Quel sol che pria d’amor mi scaldò ’l petto, di bella verità m’avea scoverto, provando e riprovando, il dolce aspetto","El calor del sol que antes había calentado mi corazón de amor, me había revelado con argumentos tanto para como contra la verdad de su dulce belleza."
" e io, per confessar corretto e certo me stesso, tanto quanto si convenne leva’ il capo a proferer più erto","Admitiendo que había cometido un error y que ahora entendía las cosas, mi cabeza se levantó orgullosamente para poder hablar."
" ma visione apparve che ritenne a sé me tanto stretto, per vedersi, che di mia confession non mi sovvenne","Una visión tan extraordinaria se había materializado ante mí, llamando por completo mi atención sobre ella, hasta el punto de hacerme olvidar lo que estaba confesando."
" Quali per vetri trasparenti e tersi, o ver per acque nitide e tranquille, non sì profonde che i fondi sien persi, ","Como si mirara a través de una ventana transparente, o navegando en aguas claras y tranquilas."
" tornan d’i nostri visi le postille debili sì, che perla in bianca fronte non vien men forte a le nostre pupille",Las venas reflejadas en nuestras caras vienen y se van tan rápido que una perla en una cara pálida no atrae nuestra atención menos fuertemente que ellos.
 tali vid’ io più facce a parlar pronte,De esta manera he visto a más personas felices dispuestas a conversar.
 per ch’io dentro a l’error contrario corsi a quel ch’accese amor tra l’omo e ’l fonte,Entonces cometí un error que produjo lo contrario de lo que hizo florecer el amor entre Narciso y su imagen reflejada en el agua
" Sùbito sì com’ io di lor m’accorsi, quelle stimando specchiati sembianti, per veder di cui fosser, li occhi torsi","Cuando me di cuenta de que los fantasmas eran reflejos, me di vuelta para averiguar quiénes eran."
" e nulla vidi, e ritorsili avanti dritti nel lume de la dolce guida, che, sorridendo, ardea ne li occhi santi","No vi nada, dirigiendo nuevamente la mirada hacia mi amable guía de los hermosos ojos; ella sonreía bien y una luz de santidad resplandecía en sus intensos y apasionados ojos."
" «Non ti maravigliar perch’ io sorrida», mi disse, ","No te sorprendas si me río de tu ingenuo pensamiento, me dijo."
" «appresso il tuo püeril coto, poi sopra ’l vero ancor lo piè non fida, ma te rivolve, come suole, a vòto","Como tu mente no está segura de lo que es cierto, parece que sigue confundiéndote como de costumbre."
" vere sustanze son ciò che tu vedi, qui rilegate per manco di voto",Estas criaturas reales fueron obligadas a vivir aquí como castigo por romper un juramento.
 Però parla con esse e odi e credi,Habla con ellos y confía en todo lo que escuches.
 ché la verace luce che le appaga da sé non lascia lor torcer li piedi»,este resplandor brillante que brilla sobre ellos haciéndolos felices no les da la oportunidad de extraviar de la realidad.
" E io a l’ombra che parea più vaga di ragionar, drizza’mi, e cominciai, quasi com’ uom cui troppa voglia smaga","de contarme Me volví hacia el alma que parecía dispuesto a conversar, jadeando casi como un ser humano postrado por la desesperada necesidad de narrar."
" «O ben creato spirito, che a’ rai di vita etterna la dolcezza senti che, non gustata, non s’intende mai, ","Siente una serenidad inefable, que sólo los que están destinados a la vida eterna pueden sentir."
 grazïoso mi fia se mi contenti del nome tuo e de la vostra sorte»,Me encantaría que me dieras tu nombre y tu situación.
" Ond’ ella, pronta e con occhi ridenti","Llegó con una gran sonrisa pintada en la cara, ella llegó lista."
" «La nostra carità non serra porte a giusta voglia, se non come quella che vuol simile a sé tutta sua corte","No dejemos que nuestra generosidad rechace una necesidad legítima, tal como Dios desea que todo el Cielo sea semejante a Él."
 I’ fui nel mondo vergine sorella,Yo era monja en el mundo.
" e se la mente tua ben sé riguarda, non mi ti celerà l’esser più bella, ","Si lo piensas bien, mi belleza no te hará oscurecer quién soy realmente."
" ma riconoscerai ch’i’ son Piccarda, che, posta qui con questi altri beati, beata sono in la spera più tarda","Pero me reconocerás como Piccarda Donati, uno de los beatificados del cielo más alto, con los demás."
" Li nostri affetti, che solo infiammati son nel piacer de lo Spirito Santo, letizian del suo ordine formati",.Nuestro intenso placer de la presencia del Espíritu Santo nos impulsa a regocijarse en obedecer su voluntad.
" E questa sorte che par giù cotanto, però n’è data, perché fuor negletti li nostri voti, e vòti in alcun canto»","Debido a nuestra falta de cumplimiento y descuido en algunos aspectos, nos encontramos en la situación actual, que parece tan indigna."
 Ond’ io a lei,Yo le dije en ese momento.
 «Ne’ mirabili aspetti vostri risplende non so che divino che vi trasmuta da’ primi concetti,"Vuestra belleza hará algo divino, haciéndoos parecer diferentes al momento en que estabais vivos."
 però non fui a rimembrar festino,No fui rápido en memorizar esto.
" ma or m’aiuta ciò che tu mi dici, sì che raffigurar m’è più latino","Lo que me estás diciendo ahora me ayuda a recrear tu cara mentalmente, haciéndome las cosas más fáciles."
 Ma dimmi,¿Cuál es tu nombre?
" voi che siete qui felici, disiderate voi più alto loco per più vedere e per più farvi amici?»","¿Los que se encuentran aquí, benditos y gozosos, aspiran a llegar a un lugar más elevado para tener una visión más clara de Dios y experimentar un profundo vínculo con Él?"
 Con quelle altr’ ombre pria sorrise un poco,Sonrió un poco a todas las demás almas
" da indi mi rispuose tanto lieta, ch’arder parea d’amor nel primo foco","Entonces me respondió con gran alborozo, parecía que estaba envuelta en el calor del amor de Dios."
" «Frate, la nostra volontà quïeta virtù di carità, che fa volerne sol quel ch’avemo, e d’altro non ci asseta","Hermano, la bondad de la caridad calma nuestros deseos y nos persuade a querer sólo lo que poseemos, sin querer nada más."
" Se disïassimo esser più superne, foran discordi li nostri disiri dal voler di colui che qui ne cerne","Si quisiéramos ir más allá de nuestra ubicación actual, nuestros deseos serían contrarios a los planes de Aquel que nos coloca aquí."
" che vedrai non capere in questi giri, s’essere in carità è qui necesse, e se la sua natura ben rimiri","Si consideras la esencia de la caridad, verás que no es posible aquí en el Cielo; si afrontar esta realidad requiere una actitud de generosidad."
" Anzi è formale ad esto beato esse tenersi dentro a la divina voglia, per ch’una fansi nostre voglie stesse","Puesto que la voluntad divina es fundamental para alcanzar nuestra felicidad, todas nuestras aspiraciones se unen en una sola."
" sì che, come noi sem di soglia in soglia per questo regno, a tutto il regno piace com’ a lo re che ’n suo voler ne ’nvoglia","Cielo en el cielo, el reino entero está fascinado por nuestra disponibilidad y complacencia del rey que nos exhorta a seguir su voluntad."
 E ’n la sua volontade è nostra pace,Según su voluntad reside nuestra paz.
 ell’ è quel mare al qual tutto si move ciò ch’ella crïa o che natura face»,"Todo lo que es creado o producido por la naturaleza, se dirige hacia ese mar llamado ella."
" Chiaro mi fu allor come ogne dove in cielo è paradiso, etsi la grazia del sommo ben d’un modo non vi piove","Entonces me di cuenta de que cada punto del Cielo era como un Paraíso, aunque la bondad divina no se manifestaba en todas partes de todos modos."
" Ma sì com’ elli avvien, s’un cibo sazia e d’un altro rimane ancor la gola, ",Como cuando algo satisface el hambre pero todavía existe un deseo para otro alimento.
" che quel si chere e di quel si ringrazia, così fec’ io con atto e con parola, ","Doy las gracias por esto y por sus preguntas, y las expresé con ambas palabras y gestos."
 per apprender da lei qual fu la tela onde non trasse infino a co la spuola,Para saber qué tela no había terminado de trabajar antes de la conclusión
" «Perfetta vita e alto merto inciela donna più sù», mi disse, ",Me dijo que una mujer con una vida excelente y grandes méritos se elevará a posiciones más altas en el cielo.
" «a la cui norma nel vostro mondo giù si veste e vela, ","De acuerdo con las reglas establecidas en la Tierra, tienes que cubrirte con ropa y velos."
 perché fino al morir si vegghi e dorma con quello sposo ch’ogne voto accetta che caritate a suo piacer conforma,"con el fin de permanecer con el esposo hasta la muerte, velando y durmiendo y aceptando todo voto que la caridad conforma a su agrado."
" Dal mondo, per seguirla, giovinetta fuggi’mi, e nel suo abito mi chiusi e promisi la via de la sua setta","Huí del mundo para perseguirla cuando era una doncella y llevé el vestido de su Orden, jurando respetar sus reglas."
" Uomini poi, a mal più ch’a bene usi, fuor mi rapiron de la dolce chiostra",Fui secuestrada por mi dulce convento por hombres que estaban más familiarizados con el mal que con el bien.
 Iddio si sa qual poi mia vita fusi,Dios conoce mi vida.
