Original,Translate,Translate_GPT_1
"Ma ben vore’ che, quando gli piaciesse,","Sin embargo, me gustaría para él - cuando quiera -","Sin embargo, deseo para él - cada vez que anhela -"
"E’ m’allegiasse il mal, che•ssì m’à stretto.",para aliviar el dolor que me ha llevado.,Para mitigar el tormento que me atacó.
"Dogliendomi in pensando del villano,",Tristemente pensando en el salvaje.,Pensando a regañadientes en el salvaje
"Che•ssì vilmente dal Fior m’à lungiato,","que tan salvajemente me persiguió desde la flor,","que tan ferozmente me persiguió desde la Flor,"
"Ed i’ mi riguardai dal dritto lato,",Miré a mi lado derecho.,Examiné mi lado derecho.
"E sì vid’i’ Ragion, col viso piano,","Y vi la razón, que, con una cara tranquila,","Vi la lógica, que, con una expresión serena,"
"Venir verso di me, e per la mano",Se me acercó y me agarró de la mano.,"Se está acercando a mí, me agarró de la mano."
Mi prese e disse: «Tu•ssè sì smagrato!,"Me tomó y me dijo: ""¡Te has vuelto tan sutil!","Me agarró y me dijo: ""¡Te has vuelto tan delgado!"""
I’ credo che•ttu à’ troppo pensato,Creo que has pensado demasiado.,Creo que has meditado demasiado.
"A que’, che•tti farà gittar in vano,",Sobre lo que te hace trabajar en vano:,En relación a lo que te hace un trabajo inútil.
"Ciò è Amor, a chui dat’ài fidanza.","Esa persona es Amor, a quien habéis dado fidelidad.","Esa persona es el Affetto, a quien le diste lealtad."
"Ma•sse m’avessi avuto al tu’ consiglio,","Pero si hubiera escuchado mi consejo,","Si hubiera seguido mi sugerencia,"
"Tu non saresti gito co•llui a danza,",No habrías ido a bailar con él.,No habrías estado con él bailando.
"Ché sie ciertano,   a chu’ e’ dà di piglio,",Porque puedes estar seguro de lo que agarra.,Porque puedes estar seguro de lo que dice
"Egli ’l tiene in tormento e malenanza,","Él es sostenido en el tormento y la pena,",Se mantiene en tormento y sufrimiento.
Sì che su’ viso non è ’n mai vermiglio».,para que su cara nunca esté roja.,para que su cara nunca sea rubí.
Udendo che Ragion mi gastigava,Sentir que la razón me estaba regañando,Escuchar esa lógica me estaba regañando
"Perch’i’ al Die d’Amor era ’nservito,","por mi esclavitud al Dios de Amor,","Por mi devoción al Dios de la Rebanada,"
"Di ched i’ era forte inpalidito,","por lo cual me había vuelto tan pálido,","por lo cual me había vuelto tan pálido,"
"E sol perch’io a•llui troppo pensava,","Y sólo porque he estado pensando demasiado en él,",Sólo porque he estado pensando demasiado en él.
"I’ le dissi: «Ragion, e’ no•mi grava","Le dije: ""Lo siento, el dolor en el que está no es pesado"".","Le dije: «¡Rayo, el castigo que él causa no es pesado!»"
"Su’ mal, ch’i’ ne sarò tosto guerito,","sobre mí, porque pronto sanaré,","sobre mí, porque me recuperaré rápidamente."
Ché questo mio signior lo m’à gradito».,porque mi señor me lo prometió,Porque este soberano mío me lo ha asegurado.
"E ch’era folle se più ne parlava,",Y esa razón era una locura si seguía hablando de ello.,Y esa motivación era una locura si seguía discutiendo sobre ello.
"«Chéd i’ son fermo pur di far su’ grado,","Porque sólo estoy dispuesto a complacerlo,",Porque sólo estoy listo para satisfacerlo.
Perciò ch’e’ mi promise fermamente,desde que me dio promesas sólidas,Desde que me dio garantías concretas
"Ched e’ mi metterebe in alto grado,","que me pondría en un lugar alto,",Eso me pondría en una posición alta.
Sed i’ ’l servisse bene e lealmente».,Si le sirviese bien y fielmente.,Si le sirviese bien y lealmente.
"Perché di lei i’ non pregiava  un dado,","Así que, no me importaba en absoluto,",Así que no me importaba en absoluto.
Né su’ consiglio i’ non teneva a mente.,"No me acordé, ni seguí tu consejo.",No recordaba ni obedecía su sugerencia.
"Ragion si parte, udendomi parlare.","Después de escucharme hablar, la razón desaparece,","Después de escucharme hablar, la razón desaparece,"
E’ me fu ricordato ch’i’ avea,y me acordé de que tenía,Me di cuenta de que tenía
"Un grande Amico, lo qual mi solea","un amigo leal, que por lo general me consoló","Un aliado leal, que por lo general me consoló."
"In ognie mio sconforto confortare,",Cada vez que me sentía incómodo.,Cada vez que me sentía preocupado
"Sì ch’i’ no ’l misi guari a ritrovare,",Lo encontré bastante rápido.,Lo encontré muy rápido.
E disigli com’e’ si contenea,y le dijo cómo se comportó,"Y él le dijo cómo se comportó: actuó, operó."
"Lo Schifo ver’ di me, e ch’e’ parea","la resistencia a mí, y eso parecía","La resistencia contra mí, y eso apareció"
Ch’al tutto mi volesse guereggiare.,No quería nada mejor que pelear conmigo.,Todo lo que quería era pelear conmigo.
"E que’ mi disse: «Amico, sta sicuro,","Y me dijo: ""Amigo, no te preocupes,","Y él me dijo: Camarada, no temas:"
Ché quello Schifo si à senpre in usanza,por lo que es la resistencia de los clóstridos personalizados,para ella es Custom Clostridae Resistencia
Ch’a cominciar   si mostra acierbo e duro.,ser amargado y duro al principio.,Sé amargo y rígido al principio.
Ritorna a•llui e non abie dottanza,Vuelve con él y no tengas miedo:,Vuelvan a él y no tengan miedo.
"Con umiltà tosto l’avra’ maturo,","mostrando humildad, pronto lo suavizarás,","Exhibiendo humildad, usted la suavizará rápidamente."
Già tanto non par   fel né san’ pietanza».,No importa lo cruel y despiadado que parezca.,No importa lo brutal e implacable que parezca.
Tutto pien d’umiltà verso ’l giardino,Lleno de mansedumbre me volví hacia el jardín,"Lleno de apacibilidad, me dirigí al jardín."
"Torna’mi, con’ Amico avea parlato,","Tal como Friend dijo que debía,","Como Friend había sugerido que debía,"
"Ed i’ guardai, e sì ebi avisato",Y miré y vi,Examinado y examinado
"Lo Schifo, con un gran baston di pino,","Resistencia, con un gran palo de pino,","Resistencia, con una enorme asociación de pino."
"Ch’andava riturando ognie camino,","que bloqueaba cada paso,",que obstaculizaba todo progreso.
Che dentro a forza non vi fosse ’ntrato.,Así que no pude entrar.,Así que no pude acceder a él.
"Sì ch’io mi trassi a lui, e salutato",Así que me acerqué a él y le saludé.,"De esta manera, me acerqué a él y lo saludé cordialmente."
"Umile mente l’ebi a capo chino,","Suavemente con la cabeza doblada,",suavemente con la cabeza inclinada.
"E sì gli dissi: «Schifo, agie merzede","Y le dijo: Resiste, ten misericordia.","Y él le dijo: Tenacia, ten misericordia."
"Di me, se ’nverso te feci alcun fallo,","en mí, si te he lastimado,",si te he causado dolor.
"Chéd i’ sì son venuto a pura fede,",porque vine de buena fe,Porque vine en buena voluntad.
"A tua merzede,   e presto d’amendarlo».","para pedir tu misericordia, y estoy listo para hacer las paces.","Le ruego su clemencia, y estoy dispuesto a hacer penitencia."
"Que’ mi riguarda, e tuttor si provede","Me mira fijamente y, como lo hace, trata de determinar","Me mira fijamente y, como lo hace, trata de establecer"
Ched i’ non dica ciò per inghanarlo.,Si lo digo para engañarlo.,Si lo digo para engañarlo.
Sì com’i’ stava in far mia pregheria,Mientras suplicaba por mi caso,Mientras suplicaba por mi destino
"A quel fellon, ch’è sì pien d’arditeza,","al cruel que es tan imprudente,",A ese malvado que es tan imprudente.
"Lo Dio d’Amor sì vi mandò Francheza,",Dios de Amor envió sinceridad y con Su Misericordia,El Divino Affetto envió sinceridad y con su compasión.
"Co•llei Pietà, per sua anbascieria.",en una misión especial a ese lugar.,en una hazaña extraordinaria en esa zona.
"Francheza   cominciò la dicieria,","Sinceridad ha comenzado su discurso,",Su franqueza ha inaugurado su discurso.
"E disse: «Schifo, tu•ffai straneza","Diciendo, Resistencia, eres más grosera.","Oponiéndose a ti mismo, eres más agudo."
"A quel valletto, ch’è pien di largheza,",a ese joven vasallo tan generoso,A ese joven sirviente magnánimo.
"E prode, e franco, sanza villania.","y valiente y valiente, y ciertamente no vulgar.","Audaz e intrépido, y ciertamente no es inconveniente."
Lo Dio d’Amor ti manda ch’e’ ti piaccia,El Dios de Amor quiere que sepas,La rebanada divina quiere que usted sepa
"Che•ttu non sie sì strano al su’ sergiente,","para no ser tan grosero con su siervo,","Para no ser tan grosero con su siervo,"
"Ché gran peccato fa, chi lui inpaccia;","Porque el que le impide comete un gran pecado,",porque el que le impide comete una grave falta.
Ma sòffera ch’e’ vada arditamente,pero déjale ir libremente,pero déjale ir libremente
"Per lo giardino, e no ’l metter in chaccia,","en el jardín, no lo caces","en el jardín, no lo expulses"
"E guardi il Fior, che•ssì gli par aolente».",y dejar que mire la flor que le parece tan fragante.,y le permite observar la flor que parece tan fragante.
"Pietà cominciò poi su’ parlamento,",Mercy entonces comenzó su discurso,Mercy entonces comenzó su discurso
"Con lagrime bagniando il su’ visagio,",con lágrimas que bañan su rostro,con lágrimas que humedecen su rostro
"Diciendo: «Schifo, tu faresti oltragio","Diciendo: Resistencia, te indignarás.","Enfrentarte, te ofenderías."
Di non far grazia al meo domandamento.,Si no acepté mi petición.,Si no acepto mi declaración.
Pregar ti fo che•tti si’a piacimento,Te ruego que encuentres,Te ruego que lo averigües.
"Ch’a quel valletto, ch’è•ssì buon e saggio,","no ser tan cruel con ese joven vasallo,",para no ser tan despiadado con ese joven siervo.
"Tu non sie verso lui così salvaggio,",No eres tan mala con él.,No eres tan malo con él.
Ché sai ch’e’ non à mal intendimento.,Porque sabes que no significa nada.,Porque sabes que no tiene intenciones maliciosas.
"Or avén detto tutto nostr’affare,","Ahora, les hemos dicho nuestras preocupaciones,","Ahora, hemos expuesto nuestras ansiedades,"
"E la cagion, per che no’ siàn venute.",y la razón por la que vinimos:,y la razón por la que estamos aquí:
Molt’è crudel chi per noi non vuol fare!,¡Es él quien no hará lo que pedimos!,¡Cerradamente indiferente es aquel que no hará lo que pedimos!
Ancor ti manda molte di salute,Todavía envía muchos saludos.,Todavía te envía sus saludos más cordiales.
"Il lasso, chu’ ti piaque abandonare.",El pobre tipo al que le gustaba irse.,El desgraciado que te gustaba salir.
Fa che nostre preghiere gli sian valute!».,¡Que nuestras oraciones lo ayuden!,¡Que nuestras súplicas le ayuden!
"Lo Schifo disse: «Giente messagiere,","La resistencia dijo: ""Nobles mensajeros,","""La resistencia proclamó: ""Embajadores importantes,"""
Egli è ben dritto ch’a vostra domanda,Es correcto para mí acceder a su petición.,Es correcto que responda a su pregunta.
"I’ faccia grazia, e ragion lo comanda,","y hacerlo con gracias, la razón lo ordena,","Y hacerlo cortésmente, la lógica lo requiere."
"Ché voi non siete orgolliose né fiere,","Porque no sois vanidosos ni soberbios,",Porque no eres presuntuoso ni arrogante.
Ma siete molto nobili parliere.,Pero ustedes son oradores muy nobles.,Pero ustedes son oradores muy ilustres.
"Vengha il valetto, e vada, a sua comanda,","El joven puede ir y venir a voluntad,",El joven puede llegar y marcharse como le plazca.
"Ma non ched egli al Fior   sua mano ispanda,","Pero mientras no trate de tocar la flor,","Sin embargo, siempre y cuando no trates de manipular la Flor."
"Ch’a•cciò no•gli varrian vostre preghiere,",porque tus oraciones no le ayudarán,Porque tus súplicas no le ayudarán.
"Perciò che•lla figluola Cortesia,","Es por eso que la hija de Lady Courtesy,","Es por eso que la descendencia de Lady Courtesy,"
"Bellacoglienza, ch’è dama del Fiore,","Hermosa recepción, que es responsable de la Flor,","Aceptado, quien es responsable de la Flor."
Sì ’l mi porebe a gran ricredentia.,Pensé en mis modales.,Pensé que mis modales eran corteses.
Ma fate che•lla Dama al Die d’Amore,Pero haz a la dama del Dios del Amor,Haz a la Señora del Dios de la Rebanada
Faccia a Bellacoglienza pregheria,Hacer un llamamiento a Bellaccoglieza,"Haz un llamamiento a Magnificencia, Esplendor y Aventura."
"Di lui, e che•lle schaldi un poco il core».",para que su corazón pueda calentarse un poco.,para que su corazón pueda refrescarse un poco.
"Quand’i’ vidi lo Schifo sì adolzito,","Cuando vi cómo la Resistencia se ablandó,","Cuando vi cómo la Resistencia se ablandó,"
"Che solev’esser più amar che fele,",que por lo general era más amargo que el fiel,que por lo general era más amargo que el veneno
"Ed i’ ’l trova’ vie più dolcie che mele,","pero que encontré mucho más dulce que la miel,",pero que me pareció más delicioso que la miel.
Sapiate ch’i’ mi tenni per guerito.,Deberías saber que pensé que estaba curada.,Deberías saber que me consideré desinfectado.
Nel giardin me n’andai molto gichito,Fui al jardín muy sumiso.,Fui al humilde jardín.
"Per dotta di misfar a quel crudele,","por miedo a ofender a ese cruel,",Miedo de chocar con ese malvado.
E gli giurai a le sante,Y le juré por los santos.,y le prometí solemnemente
Ch’e’ per me non sarebe mai marrito.,"que, nunca estaría angustiado.",que nunca sufriría ansiedad.
Allor mi disse: «I’ vo’ ben che•ttu venghi,"Luego me dijo: ""Realmente quiero que vengas"".","Entonces me dijo: ""Anhelo que vengas""."
"Dentr’al giardin[o], sì com’e’ ti piace,","dentro del jardín, porque te gusta,","dentro del jardín, porque te gustó."
Ma’ che lungi dal Fior le tue man tenghi.,Mientras mantengas tus manos lejos de la Flor.,Mientras te abstengas de tocar la Flor.
Le buone donne fatt’ànno far pacie,Las buenas mujeres han establecido la paz,Las mujeres amables han establecido tranquilidad.
"Tra me e te: or fa che•lla mantenghi,",entre tú y yo: ahora asegúrese de mantener,Tú y yo: ahora asegúrate de preservar
Sì che verso di me non sie fallacie».,para que no traicione mi confianza.,Para no romper mi lealtad.
"Venusso, ch’è socorso degli amanti,","Venus, que viene al rescate de los amantes,","Venus, que viene en ayuda de los amantes,"
"Ven’ a Bellacoglienza col brandone,","vino de recepción Bell con una linterna,",Vino de la recepción de Bell con una linterna.
"E’ si rechava,   a guisa di penone,",Sosteniendo como una lanza,Sosteniendo como una lanza
Per avanpar chiunque l’è davanti.,para prender fuego a todos los que conoce.,Despide a todos los que conozca.
"A voler racontar de’ suo’ senbianti,",Queriendo decirle la cara.,Describir sus apariencias
"E de la sua tranobile fazone,","y su noble disposición,","y su ilustre inclinación,"
Sarebe assai vie più lungo sermone,Tardaría mucho más en decirlo.,Llevaría mucho tiempo expresarlo.
Ch’a sermonar la vita a tutti i santi.,que dicen la vida de todos los santos.,narrar la biografía de cada santo.
Quando Bellacoglienza sentì ’l caldo,Cuando la hermosa recepción sintió el calor,Cuando la hermosa recepción percibía el calor
"Di quel brandon,   che così l’avanpava,","de la antorcha que la quemó,",de esa linterna que la hizo brillar.
Sì tosto fu ’l su’ cuor col mio saldo.,inmediatamente su corazón se unió al mío;,Inmediatamente su corazón se convirtió en el mío;
"E Venusso, ch’a•cciò la confortava,","y Venus, que la exhortó a esto,","Y Venus, que la incitó a esto,"
"Si trasse verso lei col viso baldo,",se acercó a ella con un rostro poderoso,Se acercó a ella con una cara impresionante.
Diciendo che ve•me troppo fallava:,Diciendo que era culpable por mí.,diciendo que era responsable por mí.
"«Tu falli tropo verso quell’Amante,»","Venus dijo, ""Estás cometiendo un gran error hacia ese amante.""",Venus declaró: Estás cometiendo un gran error contra ese amante.
"Disse Venusso «che cotanto t’ama,",dijo Venus que te ama tanto;,Venus dijo que te quiere mucho.
"Néd i’ non so al mondo sì gran dama,",No conozco a ninguna gran dama en el mundo.,No conozco a ninguna mujer prominente en el mundo.
"Che di lui dovess’eser rifusante,",que lo rechazara:,que lo rechazara
"Ch’egli è giovane, bello e avenante,","porque es joven, guapo y encantador,","porque es joven, atractivo y seductor."
"Cortese, franco e pro, di buona fama:","cortés, leal, audaz y bien respetado.","Afable, fiel, ardiente y bien estimado."
"Promettili un basciar, e a•tte ’l chiama,","Prométele un beso y llámalo a ti,",Prométele un beso y invítalo a ti.
