Original,Translate_de_1
" così da questo corso si diparte talor la creatura, c’ha podere di piegar, così pinta, in altra parte","Manchmal hat der Grund des Geschöpfes die Möglichkeit, sich von diesem Kurs zu distanzieren, indem er die Macht hat, auf einen anderen Pfad umzukehren, obwohl er gut ausgerichtet ist."
" e sì come veder si può cadere foco di nube, sì l’impeto primo l’atterra torto da falso piacere","Wie ein Blitz vom Himmel, so kann der menschliche Instinkt ihn veranlassen, sich an materialistische Bindungen zu wenden, die von falscher Freude angezogen werden."
" Non dei più ammirar, se bene stimo, lo tuo salir, se non come d’un rivo se d’alto monte scende giuso ad imo","Du musst dich nicht mehr wundern, wenn ich richtig richte, wie ein Fluss, der vom Berg ins Tal fließt."
" Maraviglia sarebbe in te se, privo d’impedimento, giù ti fossi assiso, com’ a terra quïete in foco vivo»","Es wäre erstaunlich, wenn du ohne Hindernisse geblieben wärst - wie ein Feuer, das sich nicht bewegt und nicht in Höhen steigt."
 Quinci rivolse inver’ lo cielo il viso,"Beatrices Worte endeten, während ihr Blick auf den Himmel blickte."
" O voi che siete in piccioletta barca, desiderosi d’ascoltar, seguiti dietro al mio legno che cantando varca, ","Segelt hinter uns in diesem kleinen Boot und kreuzt die Wellen mit einem furchtlosen Geist; wenn ihr das Wunder der Musik liebt, hört auf unser Lied, während wir die Meere durchqueren."
 tornate a riveder li vostri liti,"kehrt zurück zu den Ufern, von denen ihr die Weite genommen habt."
" non vi mettete in pelago, ché forse, perdendo me, rimarreste smarriti","Wagt es nicht, euch aus dem Weg zu wagen, denn ihr würdet euch in Abwesenheit meiner Spur verlieren."
 L’acqua ch’io prendo già mai non si corse,Niemand hatte jemals zuvor auf diesem Wasserlauf gesegelt.
" Minerva spira, e conducemi Appollo, e nove Muse mi dimostran l’Orse","Minerva erzeugt Brüche, Apollo manövriert die Bar und die neun Museen führt mich in die Navigation."
" Voialtri pochi che drizzaste il collo per tempo al pan de li angeli, del quale vivesi qui ma non sen vien satollo, ","Ihr, die ihr im voraus die Speisen der Engel gekostet habt, aus denen sie Kraft und Nahrung auf der Erde schöpfen, aber das ist nie genug."
" metter potete ben per l’alto sale vostro navigio, servando mio solco dinanzi a l’acqua che ritorna equale","Sie können mit Ihrem Boot segeln und meinen Spuren auf hoher See folgen, während die Welle ungestört zurückkehrt."
" Que’ glorïosi che passaro al Colco non s’ammiraron come voi farete, quando Iasón vider fatto bifolco","Diese glorreichen Männer, als sie in die Kolchis kamen, überraschten nicht so sehr über die Metamorphose Jasons von Kriegern zu Bauern, wie ihr euch wundern werdet."
 La concreata e perpetüa sete del deïforme regno cen portava veloci quasi come ’l ciel vedete,Unsere ständige Sehnsucht nach einem göttlichen Königreich drängte uns in schnelle Höhen wie die Sterne in der Firma.
" Beatrice in suso, e io in lei guardava",Ich sah Beatrice an und sie starrte mich an.
" e forse in tanto in quanto un quadrel posa e vola e da la noce si dischiava, ","In einem Augenblick, wie ein Pfeil, der durch einen Bogen geworfen wird und sein Ziel erreicht, fliegt er weg."
 giunto mi vidi ove mirabil cosa mi torse il viso a sé,"Als ich dort ankam, sah ich ein wunderbares Schauspiel, das meinen Blick entrückte."
" e però quella cui non potea mia cura essere ascosa, volta ver’ me, sì lieta come bella, ","Keine meiner Ideen konnte seiner Aufmerksamkeit entgehen, als er mich mit Freude und Schönheit ansah."
" «Drizza la mente in Dio grata», mi disse, «che n’ha congiunti con la prima stella»","Er sagte mir, ich solle Gott dafür danken, dass er uns zum ersten Stern geführt habe, indem er unseren Sinn konzentriert habe."
" Parev’ a me che nube ne coprisse lucida, spessa, solida e pulita, quasi adamante che lo sol ferisse","Es sah aus, als gäbe es eine riesige, goldene Sonnenscheinwolke, ähnlich einem glitzernden Diamanten."
" Per entro sé l’etterna margarita ne ricevette, com’ acqua recepe raggio di luce permanendo unita","Wie ein Sonnenstrahl, der sich im Wasser ausbreitete, nahm uns der ewige Edelstein in sich auf."
" S’io era corpo, e qui non si concepe com’ una dimensione altra patio, ","Wenn ich einen robusten Körper hatte, kann man nicht verstehen, wie zwei so unterschiedliche Realitäten koexistieren konnten."
" ch’esser convien se corpo in corpo repe, ","Wenn ein Körper mit einem anderen in Kontakt kommt, muss zwangsläufig etwas geschehen."
 accender ne dovria più il disio di veder quella essenza in che si vede come nostra natura e Dio s’unio,"Es sollte unsere Sehnsucht nach dem Wesen verstärken, in dem das Geheimnis der Menschwerdung des Göttlichen eingeschlossen ist."
" Lì si vedrà ciò che tenem per fede, non dimostrato, ma fia per sé noto a guisa del ver primo che l’uom crede","Wir werden Dinge sehen, die wir nicht rational beweisen können, aber wir umarmen sie durch unseren Glauben als Wahrheit."
 Io rispuosi,Ich antwortete:
" «Madonna, sì devoto com’ esser posso più, ringrazio lui lo qual dal mortal mondo m’ha remoto","und von euch Gott sei Dank, daß ihr mich von den Sorgen des irdischen Lebens und von deinem gütigen Segen, meiner Souverän, befreit habt."
 Ma ditemi,Was halten Sie davon?
" che son li segni bui di questo corpo, che là giuso in terra fan di Cain favoleggiare altrui?»","Welche mysteriösen Schatten entstehen aus dem fernen Stern und führen einige dazu, Legenden über Kain zu erzählen?"
" Ella sorrise alquanto, e poi «S’elli erra l’oppinïon», mi disse, ","Sie gab mir ein Lächeln und sagte dann: ""Wenn die Meinung der Menschen falsch war."""
" «d’i mortali dove chiave di senso non diserra, certo non ti dovrien punger li strali d’ammirazione omai, ","Erstaunen Sie sich nicht mehr, wo die Sinne keine angemessenen Antworten auf diese Angelegenheit geben."
 poi dietro ai sensi vedi che la ragione ha corte l’ali,"Denn es ist offensichtlich, dass die Sinne nicht immer von der Vernunft verfolgt werden können"
 Ma dimmi quel che tu da te ne pensi»,"Ich wünschte, ich wüsste, was du denkst."
 E io,Ich schieße ihn weg.
 «Ciò che n’appar qua sù diverso credo che fanno i corpi rari e densi»,"Du denkst, die Veränderung der Lichtintensität der Sterne sei auf die unterschiedliche maximale Dichte des himmlischen Körpers zurückzuführen."
 Ed ella,"Das ist es, was uns ermöglicht hat, das Ziel zu erreichen.Es war ihr zu verdanken, dass wir in unserer Absicht erfolgreich waren."
" «Certo assai vedrai sommerso nel falso il creder tuo, se bene ascolti l’argomentar ch’io li farò avverso","Du wirst erkennen, dass deine Meinung falsch ist, wenn du genau so hörst wie ich."
" La spera ottava vi dimostra molti lumi, li quali e nel quale e nel quanto notar si posson di diversi volti",Im achten Himmel kann man Sterne in verschiedenen Größen und Größen sehen.
" Se raro e denso ciò facesser tanto, una sola virtù sarebbe in tutti, più e men distributa e altrettanto",".Wenn der Unterschied ausschließlich auf eine andere Dichte zurückzuführen wäre, hätte jeder dieselbe Tugend, verteilt in höheren, niedrigeren oder gleichen Mengen."
" Virtù diverse esser convegnon frutti di princìpi formali, e quei, for ch’uno, seguiterieno a tua ragion distrutti","Die Tugenden, die sich aus unterschiedlichen formalen Prinzipien entwickeln, wie Sie vorgeschlagen haben, können nicht auf einen reduziert werden."
" Ancor, se raro fosse di quel bruno cagion che tu dimandi, o d’oltre in parte fora di sua materia sì digiuno esto pianeto, ","Wenn die unterschiedliche Helligkeit auf eine geringere Dichte zurückzuführen wäre, wäre dieser Planet von Pol zu Pol leer."
" o, sì come comparte lo grasso e ’l magro un corpo, così questo nel suo volume cangerebbe carte","Wie eine Einzelperson ihre Fett- und Muskelreserven ungleich verteilen kann, so könnte auch der Mond Veränderungen in seiner Masse haben."
" Se ’l primo fosse, fora manifesto ne l’eclissi del sol, per trasparere lo lume come in altro raro ingesto","Wenn die erste Hypothese korrekt wäre, würde man sie während der Sonnenfinsternis bemerken, da das Sonnenlicht durch ein anderes transparentes Material filtern würde."
 Questo non è,häufig.Dies ist ein gelegentliches Ereignis.
 però è da vedere de l’altro,Die zweite Möglichkeit muss noch geprüft werden.
" e s’elli avvien ch’io l’altro cassi, falsificato fia lo tuo parere","Wenn ich das auch in Frage stellen kann, dann wird sich Ihre Meinung als falsch erweisen."
" S’elli è che questo raro non trapassi, esser conviene un termine da onde lo suo contrario più passar non lassi","Wenn der Mond nicht vollständig verkleinert ist, wird es einen Ort geben, jenseits dessen er stärker werden wird."
 e indi l’altrui raggio si rifonde così come color torna per vetro lo qual di retro a sé piombo nasconde,"Das Sonnenlicht wird genauso reflektiert, wie wenn es einen Spiegel trifft."
" Or dirai tu ch’el si dimostra tetro ivi lo raggio più che in altre parti, per esser lì refratto più a retro",".Stellst du fest, dass der Lichtstrahl an diesem Punkt, da er dünner und zerstörter ist, weniger hell ist, weil er in einer größeren Tiefe reflektiert wird?"
" Da questa instanza può deliberarti esperïenza, se già mai la provi, ch’esser suol fonte ai rivi di vostr’ arti","Die Erfahrung mag dich von deinem Einwand abbringen, wenn du dich dafür entschieden hast, denn sie ist in der Regel der Ausgangspunkt, um alle deine Kenntnisse zu erlangen."
 Tre specchi prenderai,Du bekommst drei Spiegel.
" e i due rimovi da te d’un modo, e l’altro, più rimosso, tr’ambo li primi li occhi tuoi ritrovi","Und du wirst zwei in gleiche Entfernung von dir stellen, mit dem dritten weiter entfernten Platz in der Mitte."
" Rivolto ad essi, fa che dopo il dosso ti stea un lume che i tre specchi accenda e torni a te da tutti ripercosso","Du stehst hinter ihnen, damit dein Hellseher über alle drei Spiegel nachdenkt, damit du es in jedem sehen kannst."
" Ben che nel quanto tanto non si stenda la vista più lontana, lì vedrai come convien ch’igualmente risplenda","Obwohl das reflektierte Bild im entferntesten Spiegel kleiner ist, wird man sehen, dass seine Helligkeit genauso bleibt wie die der beiden anderen."
" Or, come ai colpi de li caldi rai de la neve riman nudo il suggetto e dal colore e dal freddo primai, ","Wie sich der Schnee unter der Hitze der Sonne auflöst, ändert er seine Form und wird zu Wasser, das seiner Weißheit und der Kälte entbehrt, die ihn gekennzeichnet hatte."
" così rimaso te ne l’intelletto voglio informar di luce sì vivace, che ti tremolerà nel suo aspetto","Ich möchte deinen Verstand der Weisheit anziehen und ihn mit einem Licht bereichern, das so glühend aussieht wie ein Stern."
 Dentro dal ciel de la divina pace si gira un corpo ne la cui virtute l’esser di tutto suo contento giace,Die verborgene Tugend des Himmels des göttlichen Friedens liegt in seinem Inhalt.
" Lo ciel seguente, c’ha tante vedute, quell’ esser parte per diverse essenze, da lui distratte e da lui contenute",".Der Himmel, so reich an Sternen, dass sie sich voneinander unterscheiden und sich darin befinden, teilt sein Wesen mit jedem Stern."
 Li altri giron per varie differenze le distinzion che dentro da sé hanno dispongono a lor fini e lor semenze,"Andere Dimensionen organisieren die verschiedenen Eigenschaften, die als geeignete Art und Weise enthalten, mit dem Ziel, ihre gewünschten Wirkungen und Ziele auf die Erde zu übertragen."
" Questi organi del mondo così vanno, come tu vedi omai, di grado in grado, che di sù prendono e di sotto fanno","In diesem Universum wirken die Organe in einer Art aufsteigender und absteigender Zyklus, von den höheren bis zu den niedrigeren Sphären, wie Sie verstanden haben."
" Riguarda bene omai sì com’ io vado per questo loco al vero che disiri, sì che poi sappi sol tener lo guado","Prüfe sorgfältig, wie ich zum Verständnis dessen, was du willst, komme, damit du selbst deine Schlußfolgerungen ziehen kannst."
" Lo moto e la virtù d’i santi giri, come dal fabbro l’arte del martello, da’ beati motor convien che spiri","Engelliche Intelligenzen müssen die Drehung und den Zweck der himmlischen Räder leiten, wie ein Schmied von seiner Fähigkeit mit dem Hammer abhängt."
" e ’l ciel cui tanti lumi fanno bello, de la mente profonda che lui volve prende l’image e fassene suggello","in der Dimension des GedankensDie Sterne, die den Himmel schmücken, hinterlassen einen tiefen Abdruck, der den Geist um die Idee des Geistes dreht."
" E come l’alma dentro a vostra polve per differenti membra e conformate a diverse potenze si risolve, ",Als ob die menschliche Seele in deinem Körper ihre verschiedenen Fähigkeiten durch Gelenke in verschiedenen Formen ausübte.
" così l’intelligenza sua bontate multiplicata per le stelle spiega, girando sé sovra sua unitate","Wie eine Engelsintelligenz wird ihre Güte in unendlichen Richtungen von den Sternen reflektiert, während sie mit dem Drehpfad verbunden bleibt."
" Virtù diversa fa diversa lega col prezïoso corpo ch’ella avviva, nel qual, sì come vita in voi, si lega","Die unterschiedliche Tugend verbindet sich mit dem himmlischen Körper, dem sie Animation gibt, genauso wie das Leben, das in euch fließt."
" Per la natura lieta onde deriva, la virtù mista per lo corpo luce come letizia per pupilla viva","Da die Tugend, die den Stern durchdringt, von einer glücklichen Natur ausgeht, leuchtet sie im Inneren des himmlischen Körpers wie die Freude in der Pupille des Auges."
" Da essa vien ciò che da luce a luce par differente, non da denso e raro",".Die Beleuchtung der Sterne ist aufgrund ihrer Variabilität anders, nicht weil sie eine andere Dichte haben."
" essa è formal principio che produce, conforme a sua bontà, lo turbo e ’l chiaro»","Seine Güte erzeugt Undurchsichtigkeit und Klarheit, da dies der formale Grundsatz ist."
" Quel sol che pria d’amor mi scaldò ’l petto, di bella verità m’avea scoverto, provando e riprovando, il dolce aspetto","Die Hitze der Sonne, die mein Herz zuvor von Liebe erwärmt hatte, hatte mich mit Argumenten sowohl für als auch gegen die Wahrheit seiner süßen Schönheit geoffenbart."
" e io, per confessar corretto e certo me stesso, tanto quanto si convenne leva’ il capo a proferer più erto","Als ich zugab, daß ich mich geirrt hatte und jetzt die Dinge verstanden hatte, erhob sich mein Kopf stolz, so daß ich sprechen konnte."
" ma visione apparve che ritenne a sé me tanto stretto, per vedersi, che di mia confession non mi sovvenne","Eine so außergewöhnliche Vision hatte sich vor mir materialisiert und meine Aufmerksamkeit auf sie gelenkt, so daß ich vergaß, was ich gestand."
" Quali per vetri trasparenti e tersi, o ver per acque nitide e tranquille, non sì profonde che i fondi sien persi, ","Als ob sie durch ein transparentes Fenster schauen, oder segeln in klarem und ruhigem Wasser."
" tornan d’i nostri visi le postille debili sì, che perla in bianca fronte non vien men forte a le nostre pupille","Die reflektierten Venen unserer Gesichter kommen und gehen so schnell, dass eine Perle auf einem blassen Gesicht unsere Aufmerksamkeit nicht weniger stark anzieht als sie."
 tali vid’ io più facce a parlar pronte,"Auf diese Weise sah ich mehr glückliche Menschen, die bereit waren, sich zu unterhalten."
 per ch’io dentro a l’error contrario corsi a quel ch’accese amor tra l’omo e ’l fonte,"Da beging ich einen Fehler, der das Gegenteil von dem machte, was die Liebe blühte zwischen Narziss und seinem Bilde, das im Wasser reflektiert war."
" Sùbito sì com’ io di lor m’accorsi, quelle stimando specchiati sembianti, per veder di cui fosser, li occhi torsi","Als mir klar wurde, dass die Geister reflektiert waren, drehte ich mich um, um herauszufinden, wer sie waren."
" e nulla vidi, e ritorsili avanti dritti nel lume de la dolce guida, che, sorridendo, ardea ne li occhi santi",Ich sah nichts und blickte erneut auf meine sanfte Führung mit schönen Augen; sie lächelte selig und ein Licht der Heiligkeit funkelte in ihren intensiven und leidenschaftlichen Augen.
" «Non ti maravigliar perch’ io sorrida», mi disse, ","■ Sei nicht überrascht, wenn ich über dein naives Denken lache, sagte er zu mir."
" «appresso il tuo püeril coto, poi sopra ’l vero ancor lo piè non fida, ma te rivolve, come suole, a vòto","Da dein Verstand nicht sicher ist, was wahr ist, scheint er dich wie üblich zu verwirren."
" vere sustanze son ciò che tu vedi, qui rilegate per manco di voto","Diese königlichen Geschöpfe wurden gezwungen, hier als Strafe zu leben, weil sie einen Eid brachen."
 Però parla con esse e odi e credi,"Sprich mit ihnen und vertraue allem, was du hörst."
 ché la verace luce che le appaga da sé non lascia lor torcer li piedi»,"Dieses helle Licht, das über sie leuchtet und sie glücklich macht, gibt ihnen nicht die Möglichkeit, von der Wirklichkeit abirren zu können."
" E io a l’ombra che parea più vaga di ragionar, drizza’mi, e cominciai, quasi com’ uom cui troppa voglia smaga","zu erzählen Ich wandte mich zu der Seele, die zu plaudern schien, fast wie ein Mensch, der von der verzweifelten Notwendigkeit, zu erzählen angebetet wurde."
" «O ben creato spirito, che a’ rai di vita etterna la dolcezza senti che, non gustata, non s’intende mai, ","Fühlen Sie eine unerbittliche Ruhe, die nur diejenigen, die für das ewige Leben bestimmt sind, spüren können."
 grazïoso mi fia se mi contenti del nome tuo e de la vostra sorte»,"Ich würde mich freuen, wenn du mir deinen Namen und deine Situation geben würdest."
" Ond’ ella, pronta e con occhi ridenti",", kam sie mit einem großen Lächeln im Gesicht gemalt, kam sie bereit."
" «La nostra carità non serra porte a giusta voglia, se non come quella che vuol simile a sé tutta sua corte","Wir dürfen nicht zulassen, daß unsere Großzügigkeit ein legitimes Bedürfnis ablehnt, so wie Gott wünscht, daß der ganze Himmel ihm gleich ist."
 I’ fui nel mondo vergine sorella,Ich war eine Nonne in der Welt.
" e se la mente tua ben sé riguarda, non mi ti celerà l’esser più bella, ","Wenn du gründlich darüber nachdenkst, wird dich meine Schönheit nicht verdunkeln lassen, wer ich wirklich bin."
" ma riconoscerai ch’i’ son Piccarda, che, posta qui con questi altri beati, beata sono in la spera più tarda","Aber du erkennst mich als Piccarda Donati, einer der Seligsten des höchsten Himmels, mit den anderen."
" Li nostri affetti, che solo infiammati son nel piacer de lo Spirito Santo, letizian del suo ordine formati",".Unsere tiefe Freude an der Innewohnung des Heiligen Geistes bringt uns dazu, seinen Willen zu gehorchen."
" E questa sorte che par giù cotanto, però n’è data, perché fuor negletti li nostri voti, e vòti in alcun canto»","Wegen unserer mangelnden Erfüllung und Vernachlässigung in Bezug auf einige Aspekte haben wir uns in der gegenwärtigen Situation wiedergefunden, die so unwürdig erscheint."
 Ond’ io a lei,Ich sagte ihr zu diesem Zeitpunkt:
 «Ne’ mirabili aspetti vostri risplende non so che divino che vi trasmuta da’ primi concetti,"Deine Schönheit wird etwas Göttliches emanzipieren, so daß du anders aussiehst als damals, als du noch am Leben warst."
 però non fui a rimembrar festino,Ich konnte mich nicht schnell daran erinnern.
