Original,Translate,Translate_GPT_1
Or guarda che ’l tu’ cuor    non sia ’mpacciato,Se nu till att ditt hjärta inte är upptaget.,Se till att ditt hjärta inte är upptaget.
Se non di fino e di leal amore.,med allt annat än ädel och sann kärlek.,med en passion långt ifrån att vara ädel och uppriktig.
E pensa di portar in pacienza,Och kom ihåg att ha tålamod,Kom ihåg att ha tålamod.
"La pena, che per me avra’ a sofrire,","den smärta du kommer att lida på grund av mig,",Det straff du kommer att lida på grund av mig.
"Inanzi ch’io ti doni mia sentenza,",Innan jag ger dig min dom.,Innan jag ger dig mitt straff.
Ché molte volte ti parrà morire:,Så många gånger du tror att du kommer att dö:,Att du ofta drömmer om utrotning.
"Un’ora gioia avrai, altra, doglienza.","En timme kommer du att vara lycklig, en annan ledsen,","I ett ögonblick blir du lycklig, i ett annat melankoliskt."
Ma po’ i’ dono argomento di guerire».,Men sen ger jag dig ett botemedel för att läka.,Men då erbjuder jag dig ett botemedel för att läka.
Con grande umilitate e pacienza,Med mycket ödmjukhet och tålamod,Med stor ödmjukhet och uthållighet
"Promisi a Amor a sofferir sua pena,",Jag lovade Kärleken att jag skulle lida hennes smärta.,Jag lovade Kärleken att jag skulle dela hennes plåga.
"E c’ognie membro, ch’i’ avea, e vena","och att alla mina lemmar, som jag har,","och att varje medlem av min, som jag har och artär"
Disposat’era a farli sua voglienza;,De var redo att göra hans vilja.,De var redo att uppfylla hans önskan.
E solo a lui servire la mia credenza,Och bara han behöver min tro,Bara till honom kommer min tro att vara hängiven.
"È ferma, né di ciò mai nonn-alena,",och kommer aldrig att upphöra att göra detta:,Och han kommer aldrig att sluta göra det.
"Insin ched i’ avrò spirito o lena,",Så länge jag lever och andas,Så länge jag existerar och andas.
I’ non farò da•cciò giama’ partenza.,Jag kommer aldrig att avvika från detta löfte.,Jag kommer aldrig att hålla med om detta uttalande.
"E quelli allor mi disse: «Amico meo,","Och de sade till mig: »Min vän,","Han sade till mig: ""Min kamrat,"
I’ ò da•tte miglior pegnio che charte.,Ditt löfte är bättre än något skriftligt löfte:,Din symbol är överlägsen alla skriftliga garantier.
"Fa che m’adori, ched i’ son tu’ Deo,",Få dig att dyrka mig för att jag är din gud.,Låt dig dyrka mig för att jag är din gudomliga.
"Ed ogn’altra credenza    metti a parte,","och som avhåller sig från all annan tro,","Försaka, överge, alla andra trosuppfattningar."
"Né non creder né Lucha, né Matteo,","tro inte på Lukas eller Matteus,",Lita inte på Lukas eller Matteus.
"Né Marco, né Giovanni». Allor si parte.","Inte till Mark, inte till John, och sen går han.","Varken till Markus eller till Johannes, och sedan skildes han."
"Partes’Amor, su’ ale battendo,","Kärleken börjar med en blinkning av vingar,",Kärleken börjar med en blinkning av vingar.
"E ’n poca d’or sì forte isvanoio,",och på ett ögonblick försvann så snabbt,och på ett ögonblick försvann han snabbt
"Ched i’  no ’l vidi poi, né no•ll’udio,","att jag aldrig har sett eller hört av honom,","Jag såg det inte längre, inte heller hörde jag det."
E•llui e ’l su’ soccorso ancor atendo.,Och ändå väntar jag fortfarande på honom och hans hjälp.,Men jag väntar fortfarande på honom och hans hjälp.
Allor mi venni forte ristrignendo,Sen kom jag närmare och närmare.,Senare kom jag närmare och närmare.
"Verso del Fior, che•ssì forte m’ulio,",till blomman vars doft förhäxade mig,Till blomman vars doft förtrollade mig
"E per chu’ feci homagio a questo Dio,",och för vilken jag hyllade denna gud.,och som jag ägnar denna gud hängivenhet åt.
"E dissi: «Chi mi tien, ched i’  no ’l prendo?»","Jag sa: ""Vem hindrar mig från att slita sönder den?""",Jag frågade: Vem förbjuder mig att slita sönder den?
"Sì ch’i’ verso del Fior tesi la mano,","Och så räckte jag ut min hand mot Flower,",Så han prostituerar sin hand mot blomman.
"Credendolo  aver colto chitamente,",Jag trodde att jag kunde hantera det fritt.,Jag trodde att jag kunde hantera det lätt.
Ed i’  vidi venir un gran villano,"Och jag såg en stor, oförskämd man komma.","Jag såg en imponerande, oförskämd man komma."
Con una maza. E’ disse: «Or ti ste’ a mente,"med en käpp i handen och sade: ""Tänk nu på detta.""",Med en käpp i handen och säga: Kom ihåg nu.
"Ch’i’  son lo Schifo, e sì son ortolano",att jag är motståndsrörelsen och att jag är väktaren,"frihetens Jag är motståndaren, och jag vaktar suveräniteten."
D’esto giardin. I’  ti  farò dolente».,Jag fick honom att lida.,Jag provocerade honom.
Molto vilmente mi buttò di fora,"Väldigt oförskämt, han kastade ut mig.",Med stor ohövlighet sparkade han ut mig.
"Lo Schifo, crudo, fello e oltragioso,","det grymma, onda och våldsamma motståndet,","Det hänsynslösa, onda och brutala motståndet."
"Sì ch’e’ del Fior non cred’esser gioioso,","så att jag inte blir nöjd med blomman,",Så att jag tror att jag inte kommer att få tillfredsställelse från Flower.
Se Pietate e Francheza no•ll’acora.,Om inte barmhärtighet och ärlighet lämnar honom.,Om inte medkänsla och ärlighet försvinner med honom.
"Ma prima, credo, converà ch’eo mora,","Men innan det händer, tror jag att jag kommer att dö.",Innan det händer tror jag att jag dör.
Perché ’l me’ cor stà tanto doglioso,eftersom mitt hjärta är i så mycket smärta,Eftersom mitt hjärta lider så mycket.
"Di quel villan,  che stava là nascoso,",på grund av den där tönten som gömde sig där.,På grund av den där tönten som gömde sig där.
Di chu’ non mi prendea guardia quell’ora.,och som jag inte vidtog några försiktighetsåtgärder mot i detta avgörande ögonblick.,och som jag inte vidtog några säkerhetsåtgärder mot i detta avgörande ögonblick.
Or m’à messo in pensero e in dottanza,"Detta har gjort mig orolig och rädd,",Det här har skrämt mig och skrämt mig.
"Di ciò, ched i’ credea aver per ciertano,",För vad jag trodde att jag hade säkert,För vad jag trodde att jag visste säkert.
Sì c’or me ne par essere in bilanza.,Nu känns det som om han är i fara.,Nu tror jag att han är i fara.
"E tutto ciò m’à fatto quello strano,",Och allt det här gjorde mot mig den där vilden!,Och allt detta gjorde mig till barbar!
"Ma di lui mi richiamo a Pietanza,","Men jag kommer att vädja till Mercy på honom,",Jag kommer att vädja till medkänsla med honom.
Che vengha a•llui collo spunton in mano.,så att han kan möta det med spjutet i handen.,så att han kan möta honom med sitt svärd i handen.
"Se mastro Arghùs, che fecie la nave,","Om Mästare Argus, som byggde skeppet","Om Mästare Argus, som byggde skeppet"
"In che Giasòn  andò per lo tosone,","Att Jason letade efter Golden Flea,",Att Jason letade efter guldjuvelen
"E fecie a conto regole, e ragione,",och som uppfann reglerna och logiken för beräkning,och att de har utarbetat regler och rimlighet för beräkningen
"E le diecie figure, com’on save,","och de tio numeriska tecknen, som alla vet,","Och de tio numeriska symbolerna, som alla vet, är"
"Vivesse,  gli sarebe forte e grave","Om han levde, skulle det vara svårt för honom.","Om han levde, skulle det vara svårt för honom."
"Multiplicar ben ognie mia quistione,",för att beräkna alla problem,"Utforska, beräkna, alla frågor."
"C’Amor mi move sanza mesprigione,","Kärleken ger mig, utan misstag.","Kärleken utger mig, utan misstag."
"E di ciascuna porta esso la chiave,","Och ändå, för varje dörr utanför nyckeln,",Men för varje post finns dess nyckel.
Ed àllemi nel cor fermate e messe,Och hon satte dem i mitt hjärta,Hon imponerade på dem i min själ.
"Con quella chiavicella, ch’i’ v’ò detto,",med den där nyckeln jag sa till dig,med den där nyckeln jag visade dig
Per ben tenermi tutte sue promesse.,för att hålla alla sina löften till mig.,För att uppfylla alla sina åtaganden med mig.
"Perch’io a•ssue merzé tuttor mi metto,",Det är därför jag alltid är redo att göra hans bud;,Det är därför jag alltid är redo att utföra hans kommandon;
"Ma ben vore’ che, quando gli piaciesse,",Men jag skulle vilja ha honom - när han vill -,Men jag önskar honom - närhelst han längtar -
"E’ m’allegiasse il mal, che•ssì m’à stretto.",för att lindra smärtan som har tagit mig.,För att lindra plågan som attackerade mig.
"Dogliendomi in pensando del villano,",Sorgligt att tänka på den vilda,Tänk motvilligt på den vilda
"Che•ssì vilmente dal Fior m’à lungiato,","som så brutalt jagade mig från blomman,","som så våldsamt jagade mig från blomman,"
"Ed i’ mi riguardai dal dritto lato,",Jag tittade på min högra sida,Jag undersökte min högra sida
"E sì vid’i’ Ragion, col viso piano,","Och jag såg orsaken, att, med ett lugnt ansikte,","Jag såg logiken, som, med ett lugnt uttryck,"
"Venir verso di me, e per la mano",Han kom emot mig och tog tag i mig.,"Han närmar sig mig, han tog tag i mig vid handen."
Mi prese e disse: «Tu•ssè sì smagrato!,"Han tog mig och sa, ""Du har blivit så subtil!","Han tog tag i mig och sa: ""Du har blivit så smal!"""
I’ credo che•ttu à’ troppo pensato,Jag tror att du har tänkt för mycket.,Du har nog mediterat för mycket.
"A que’, che•tti farà gittar in vano,",Om vad som får dig att arbeta förgäves:,I förhållande till vad som gör dig värdelöst arbete.
"Ciò è Amor, a chui dat’ài fidanza.","Den personen är Kärlek, till vilken du har gett trohet.","Den personen är affetto, som du gav lojalitet till."
"Ma•sse m’avessi avuto al tu’ consiglio,","Men om jag hade lyssnat på mitt råd,","Om jag hade följt mitt förslag,"
"Tu non saresti gito co•llui a danza,",Du skulle inte ha dansat med honom.,Du hade inte varit med honom och dansat.
"Ché sie ciertano,   a chu’ e’ dà di piglio,",För du kan vara säker på vad han tar,För du kan vara säker på vad han säger
"Egli ’l tiene in tormento e malenanza,","Han plågas och plågas,",Han håller sig i pina och lidande.
Sì che su’ viso non è ’n mai vermiglio».,så att hans ansikte aldrig blir rött.,så att hans ansikte aldrig kommer att bli rubim.
Udendo che Ragion mi gastigava,Känslan av att orsaken skällde ut mig,Att lyssna på den logiken skällde ut mig
"Perch’i’ al Die d’Amor era ’nservito,","för min träldom till kärlekens Gud,","För min hängivenhet till Gud av Slice,"
"Di ched i’ era forte inpalidito,","för vilken jag hade blivit så blek,","för vilken jag hade blivit så blek,"
"E sol perch’io a•llui troppo pensava,","Och bara för att jag har tänkt för mycket på honom,",Bara för att jag har tänkt för mycket på honom.
"I’ le dissi: «Ragion, e’ no•mi grava","Jag sa till henne: ""Jag är ledsen, smärtan hon har är inte tung.""","Jag sade till henne: ""Ray, plågan han orsakar är inte betungande."""
"Su’ mal, ch’i’ ne sarò tosto guerito,","på mig, ty jag kommer snart att läka,","om mig, för jag kommer genast att återhämta mig."
Ché questo mio signior lo m’à gradito».,för att min herre lovade mig,För att min härskare har försäkrat mig om det.
"E ch’era folle se più ne parlava,",Och det skälet var galet om han fortsatte att prata om det.,Och den motivationen var galen om hon fortsatte gräla om det.
"«Chéd i’ son fermo pur di far su’ grado,",För jag är bara villig att behaga honom.,Jag är bara redo att tillfredsställa honom.
Perciò ch’e’ mi promise fermamente,eftersom han gav mig fasta löften,Eftersom han gav mig konkreta garantier
"Ched e’ mi metterebe in alto grado,","som skulle sätta mig på en hög plats,",Det skulle placera mig i en hög position.
Sed i’ ’l servisse bene e lealmente».,om jag tjänade honom väl och troget.,om jag tjänade honom väl och lojalt.
"Perché di lei i’ non pregiava  un dado,",Så jag brydde mig inte alls om henne.,Så jag brydde mig inte alls om henne.
Né su’ consiglio i’ non teneva a mente.,"Jag kom inte ihåg, och jag följde inte heller ditt råd.",Jag kom inte ihåg eller lydde ditt förslag.
"Ragion si parte, udendomi parlare.","Efter att ha lyssnat på mig, försvinner förnuftet.","Efter att ha lyssnat på mig, försvinner förnuftet."
E’ me fu ricordato ch’i’ avea,och jag kom ihåg att jag hade,Jag insåg att jag hade
"Un grande Amico, lo qual mi solea","en lojal vän, som vanligtvis tröstade mig","En lojal allierad, som vanligtvis tröstade mig."
"In ognie mio sconforto confortare,",Varje gång jag kände mig obekväm.,Varje gång jag kände mig orolig
"Sì ch’i’ no ’l misi guari a ritrovare,",Jag hittade den ganska snabbt.,Jag hittade den ganska snabbt.
E disigli com’e’ si contenea,och berättade för honom hur han uppförde sig,Och han berättade för honom hur han uppförde sig
"Lo Schifo ver’ di me, e ch’e’ parea","motståndet mot mig, och det verkade","Motståndet mot mig, och det verkade"
Ch’al tutto mi volesse guereggiare.,Han ville inte ha nåt bättre än att slåss mot mig.,Han ville bara slåss mot mig.
"E que’ mi disse: «Amico, sta sicuro,","Han sa: ""Oroa dig inte.","Och han sade till mig: »Frukta icke, kamrat:"
Ché quello Schifo si à senpre in usanza,för det är Custom Clostrids Resistance,för det är Custom Clostridae Resistance
Ch’a cominciar   si mostra acierbo e duro.,Att först vara bitter och hård.,Var bitter och stel i början.
Ritorna a•llui e non abie dottanza,Gå tillbaka till honom och var inte rädd.,Återvänd till honom och var inte rädd.
"Con umiltà tosto l’avra’ maturo,",Genom att visa ödmjukhet kommer du snart att mjuka upp honom.,Genom att visa ödmjukhet kommer du snabbt att mjuka upp den.
Già tanto non par   fel né san’ pietanza».,Hur grymt och hänsynslöst det än kan verka.,Hur brutalt och obevekligt det än kan verka.
Tutto pien d’umiltà verso ’l giardino,Full av ödmjukhet Jag vände mig till trädgården,"Full av mildhet, vände jag mig till trädgården."
"Torna’mi, con’ Amico avea parlato,","Precis som min vän sa att jag skulle,","Som vän hade föreslagit att jag skulle,"
"Ed i’ guardai, e sì ebi avisato",Och jag tittade och såg,Granskad och granskad
"Lo Schifo, con un gran baston di pino,","Motstånd, med en stor tallklubb,","Motstånd, med en enorm förening bestående av tall."
"Ch’andava riturando ognie camino,","som blockerade varje passage,",vilket hindrade alla framsteg.
Che dentro a forza non vi fosse ’ntrato.,Så jag kunde inte komma in.,Så jag kunde inte komma åt den.
"Sì ch’io mi trassi a lui, e salutato",Så jag gick fram till honom och hälsade på honom.,På så sätt gick jag fram till honom och hälsade honom hjärtligt välkommen.
"Umile mente l’ebi a capo chino,",Han är ödmjuk och böjd i huvudet.,varsamt med huvudet böjt.
"E sì gli dissi: «Schifo, agie merzede","och sade till honom: »Stå emot honom, förbarma dig.","Då sade han till honom: »Tenacia, förbarma dig.»"
"Di me, se ’nverso te feci alcun fallo,","Om jag har sårat dig,",Om jag har orsakat dig smärta.
"Chéd i’ sì son venuto a pura fede,",eftersom jag kom i god tro,För att jag kom i god vilja.
"A tua merzede,   e presto d’amendarlo».","för att be om din nåd, och jag är redo att gottgöra.","Be er nåd, och jag är villig att göra bot."
"Que’ mi riguarda, e tuttor si provede","Han stirrar på mig och som han gör, försöker han avgöra","Han stirrar på mig och som han gör, försöker han etablera"
Ched i’ non dica ciò per inghanarlo.,Om jag säger det för att lura honom.,Om jag säger det för att lura honom.
Sì com’i’ stava in far mia pregheria,Medan jag tiggde om mitt fall.,Som jag bad om mitt öde.
"A quel fellon, ch’è sì pien d’arditeza,","till den grymme, som är så vårdslös,",Till den onde som är så vårdslös.
"Lo Dio d’Amor sì vi mandò Francheza,",Kärlekens Gud sände uppriktighet och med sin barmhärtighet,Den Gudomliga Afretto sände uppriktighet och med sin medkänsla.
"Co•llei Pietà, per sua anbascieria.",på ett speciellt uppdrag till den platsen.,i en enastående bedrift i det området.
"Francheza   cominciò la dicieria,","Uppriktighet har börjat sitt tal,",Er uppriktighet har invigt ert tal.
"E disse: «Schifo, tu•ffai straneza","Säger motståndsrörelsen, du är mer oförskämd.","Motsätter du dig själv, är du skarpare."
"A quel valletto, ch’è pien di largheza,",till den unga vasallen så generös,Till den där storsinte unge tjänaren.
"E prode, e franco, sanza villania.","Och tapper och modig, och definitivt inte vulgär.","orädd och oförskräckt, och sannerligen inte oläglig."
Lo Dio d’Amor ti manda ch’e’ ti piaccia,Kärlekens Gud vill att du ska veta,Gudomlig skärva vill att du skall känna till
"Che•ttu non sie sì strano al su’ sergiente,","för att inte vara så oförskämd mot sin tjänare,","För att inte vara så oförskämd mot sin tjänare,"
"Ché gran peccato fa, chi lui inpaccia;","Ty den som hindrar honom, han begår en stor synd,",för att den som hindrar honom begår ett allvarligt fel.
Ma sòffera ch’e’ vada arditamente,men låt honom gå fritt,men låt honom gå fritt
"Per lo giardino, e no ’l metter in chaccia,","I trädgården, jaga honom inte.",Utvisa honom inte i trädgården.
"E guardi il Fior, che•ssì gli par aolente».",Och låt honom titta på blomman som verkar så väldoftande för honom.,och låter honom se blomman som ser så väldoftande ut.
"Pietà cominciò poi su’ parlamento,",Barmhärtighet började sedan hans tal,Barmhärtighet började sedan hans tal
"Con lagrime bagniando il su’ visagio,",med tårar som badar hans ansikte,med tårar som fuktar hans ansikte
"Diciendo: «Schifo, tu faresti oltragio","Säger du, motståndsrörelsen, kommer du att bli upprörd.",Du skulle bli förolämpad.
Di non far grazia al meo domandamento.,Om jag inte accepterade min begäran.,Om jag inte godtar min vädjan.
Pregar ti fo che•tti si’a piacimento,Jag ber dig att hitta,Jag ber dig att ta reda på det.
"Ch’a quel valletto, ch’è•ssì buon e saggio,",Att inte vara så grym mot den unge vasallen.,Att inte vara så hänsynslös mot den unge tjänaren.
"Tu non sie verso lui così salvaggio,",Du är inte så elak mot honom.,Du är inte så ond mot honom.
Ché sai ch’e’ non à mal intendimento.,För du vet att han inte betyder nåt.,För du vet att han inte har några illvilliga avsikter.
"Or avén detto tutto nostr’affare,","Nu har vi berättat våra bekymmer,",Vi har avslöjat våra bekymmer.
"E la cagion, per che no’ siàn venute.",och anledningen till att vi kom:,Och anledningen till att vi är här:
Molt’è crudel chi per noi non vuol fare!,Det är han som inte kommer att göra vad vi ber om!,"Den som inte gör vad vi ber om, han är grym och likgiltig!"
Ancor ti manda molte di salute,Han sänder fortfarande många hälsningar.,Han sänder fortfarande sina hjärtligaste hälsningar.
"Il lasso, chu’ ti piaque abandonare.",Stackars killen du gillade att lämna.,Svinet du gillade att lämna.
Fa che nostre preghiere gli sian valute!».,må våra böner hjälpa honom!,Må våra böner hjälpa honom!
"Lo Schifo disse: «Giente messagiere,","Motståndsrörelsen sade: ""Nobla budbärare,","Motståndsrörelsen proklamerade: ""Viktiga ambassadörer."""
Egli è ben dritto ch’a vostra domanda,Det är rätt för mig att få tillgång till din begäran.,Det är rätt av mig att svara på er fråga.
"I’ faccia grazia, e ragion lo comanda,","och gör det med tack, förnuft befaller det,","Och gör det artigt, så kräver logiken det."
"Ché voi non siete orgolliose né fiere,","Ty du är varken fåfäng eller stolt,",För du är varken förmäten eller arrogant.
Ma siete molto nobili parliere.,Men ni är mycket ädla talare.,Men ni är mycket lysande talare.
"Vengha il valetto, e vada, a sua comanda,","Den unge mannen kan komma och gå när han vill,",Den unge mannen kan komma och gå som han vill.
"Ma non ched egli al Fior   sua mano ispanda,","Men så länge han inte försöker röra blomman,",Men så länge du inte försöker manipulera Flower.
"Ch’a•cciò no•gli varrian vostre preghiere,",eftersom dina böner inte kommer att hjälpa honom,För dina böner hjälper honom inte.
"Perciò che•lla figluola Cortesia,","Det är därför Lady Courtesys dotter,","Det är därför lady Courtesys avkomma,"
"Bellacoglienza, ch’è dama del Fiore,","Vacker reception, som ansvarar för blomman,","Accepteras, som är ansvarig för blomman."
Sì ’l mi porebe a gran ricredentia.,Jag tänkte på mitt uppförande.,Jag tyckte att mitt uppförande var artigt.
Ma fate che•lla Dama al Die d’Amore,Men gör damen av kärlekens Gud,Gör damen av Guden av Slice
Faccia a Bellacoglienza pregheria,Gör en appell till Bellaccoglieza,"Gör en appell till Magnificence, prakt och äventyr."
"Di lui, e che•lle schaldi un poco il core».",så att hans hjärta kan värmas upp lite.,så att hans hjärta kan vederkvickas lite.
"Quand’i’ vidi lo Schifo sì adolzito,","När jag såg hur motståndsrörelsen mjukades upp,","När jag såg hur motståndsrörelsen mjukades upp,"
"Che solev’esser più amar che fele,",som vanligtvis var bittrare än malmen,som vanligtvis var mer bitter än gift
"Ed i’ ’l trova’ vie più dolcie che mele,","men att jag fann mycket sötare än honung,",Men att jag fann mer utsökt än honung.
Sapiate ch’i’ mi tenni per guerito.,Du borde veta att jag trodde att jag var botad.,Du ska veta att jag tyckte att jag var ren.
Nel giardin me n’andai molto gichito,Jag gick in i trädgården mycket undergiven,Jag gick till den mycket ödmjuka trädgården.
"Per dotta di misfar a quel crudele,","av rädsla för att förolämpa denna grymma,",Rädd för att stöta den onda.
E gli giurai a le sante,Och jag svor honom på helgonen.,och jag lovade honom högtidligt
Ch’e’ per me non sarebe mai marrito.,Det skulle han aldrig bli upprörd över.,Det skulle han aldrig drabbas av.
Allor mi disse: «I’ vo’ ben che•ttu venghi,"Sen sa han till mig: ""Jag vill verkligen att du kommer.""",Då sade han till mig: »Jag längtar efter att du skall komma.»
"Dentr’al giardin[o], sì com’e’ ti piace,","inne i trädgården, eftersom du gillar det,","I trädgården, för du gillade det."
Ma’ che lungi dal Fior le tue man tenghi.,Så länge du håller händerna borta från blomman.,Så länge du avstår från att röra blomman.
Le buone donne fatt’ànno far pacie,Goda kvinnor har skapat fred,De vänliga kvinnorna har skapat lugn.
"Tra me e te: or fa che•lla mantenghi,",mellan dig och mig: se nu till att hålla,Jag och du: se nu till att bevara
Sì che verso di me non sie fallacie».,så att jag inte sviker mitt förtroende.,Så att jag inte bryter min lojalitet.
"Venusso, ch’è socorso degli amanti,","Venus, som kommer för att rädda älskare,","Venus, som kommer till hjälp av älskare,"
"Ven’ a Bellacoglienza col brandone,","kom från Bell reception med en ficklampa,",Han kom från Bell reception med en lykta.
"E’ si rechava,   a guisa di penone,",håller som ett spjut,håller som ett spjut
Per avanpar chiunque l’è davanti.,Att sätta eld på alla han träffar.,Avfyra alla han träffar.
"A voler racontar de’ suo’ senbianti,",Jag vill säga det till honom.,Beskriv dess utseende
"E de la sua tranobile fazone,","och hans ädla sinnelag,","och dess lysande slutenhet,"
Sarebe assai vie più lungo sermone,Det skulle ta mycket längre tid att säga.,Det skulle ta mycket tid att uttrycka det.
Ch’a sermonar la vita a tutti i santi.,som berättar om alla helgons liv.,Berätta om alla helgons biografi.
Quando Bellacoglienza sentì ’l caldo,När den vackra receptionen kände värmen,När vacker mottagning upplevde den varma
"Di quel brandon,   che così l’avanpava,","av den facklan som gjorde henne brännskadad,",av ficklampan som fick henne att lysa.
Sì tosto fu ’l su’ cuor col mio saldo.,omedelbart hans hjärta förenades med mitt;,Genast blev hans hjärta hos mig;
"E Venusso, ch’a•cciò la confortava,","Och Venus, som förmanade henne till detta,","Och Venus, som sporrade henne till detta,"
