Original,Translate,Translate_GPT_1
"E quelli allor mi puose, in veritate,","Und sie sagten: ""Gewiß, ich bin es.""","Diese, in der Tat, setzen mich"
"La sua bocha ala mia, sanz’altro aresto,","Ihr Mund zu meinem, ohne Pause",Ihr Mund zu mir ohne Intervall
E disse: «Pensa di farmi lealtate».,"und sagte: ""Seid mir treu.",Und er erklärte: „Seid mir gegenüber loyal.
Del mese di gienaio e non di magio,"Im Januar, und nicht im Mai,","während des Winters, nicht im Frühling."
"Fu, quand’i’ presi Amor a signioria,","Das war er, als ich die Liebe zu meinem Herrn nahm.","Es war, als ich die Zuneigung wählte, mein Herrscher zu sein."
"E ch’i’ mi misi al tutto in sua ballia,","Und ich habe mich der Gnade aller hingegeben,",Und ich habe mich dem Schicksal völlig hingegeben.
"E saramento gli feci, e omaggio,",Und ich lobte ihn ruhig.,und friedlich gab ich ihnen Respekt.
E per più sicurtà gli diedi in gaggio,Und als weitere Garantie gab ich ihm ein Versprechen.,"Als weitere Versicherung, gab ich ihm unter Garantie"
"Il cor, ch’e’ non avesse gielosia","das Herz, das war nicht eifersüchtig","Das Herz, das war nicht neidisch"
"Ched i’ fedel e puro i’ no•gli sia,",nicht ihm treu zu sein,Haltet euch nicht an ihn fest.
E senpre lui tener a Segniò•Maggio.,und haltet ihn immer als meinen Herrn und Herrn.,und bewahre ihn immer als meinen Herrscher und Herrscher.
"Allor que’ prese il cor e disse: «Amico,","Dann nahm er mein Herz und sagte: ""Freund,","Bald darauf nahm er mein Herz und sagte: ""Genosse,"""
I’ son segnior assa’ forte a servire;,Ich bin ein sehr anspruchsvoller Gentleman zu dienen.,Ich bin ein sehr anspruchsvoller Gentleman zu gefallen.
"Ma chi mi serve, per cierto ti dico,","Wahrlich, ich sage euch: Wer mir dient,","Ich sage dir, wen ich brauche."
"Ch’ala mia grazia non può già fallire,","Er wird es nie versäumen, meinen Gefallen zu gewinnen,",Er wird nie meine Wertschätzung verlieren.
"E di buona speranza i’ ’l mi notrico,",und ich werde ihn mit guter Hoffnung nähren,und ich werde ihn mit Optimismus füttern
Infin ch’i’ gli fornischa su’ disire».,Bis ich deinen Wunsch erfüllt habe.,bis ich seine Sehnsucht befriedigt habe.
Con una chiave d’oro mi fermò il core,"Mit einem goldenen Schlüssel hat die Liebe mein Herz geschlossen,","Mit einem goldenen Schlüssel versiegelte die Liebe mein Herz,"
"L’Amor,    quando così m’ebe parlato,","Liebe, nachdem du mit mir gesprochen hast,","Liebe, nachdem du mich bloßgestellt hast,"
"Ma prima mente l’à nett’e parato,",aber zuerst hat er gereinigt und vorbereitet,Zuerst hat er gesäubert und vorbereitet.
Sì c’ogni’altro pensier n’à pinto fore.,damit er jeden anderen Gedanken verjagte.,so daß er jeden anderen Gedanken austreibte.
"E’ po’ mi disse: «I’ sì son tu’ signiore,","Dann sagte er zu mir: ""Wie ich euer Herr bin,",Da sprach er zu mir: Wie ich dein Souverän bin.
E tu sì sè di me fedel giurato.,Und du bist ein loyaler Juror zu mir.,Du bist ein treuer Zeuge für mich.
Or guarda che ’l tu’ cuor    non sia ’mpacciato,"Vergewissern Sie sich, dass Ihr Herz nicht beschäftigt ist.","Vergewissern Sie sich, dass Ihr Herz nicht beschäftigt ist."
Se non di fino e di leal amore.,"mit allem, außer edler und wahrer Liebe.","mit einer Leidenschaft weit davon entfernt, edel und aufrichtig zu sein."
E pensa di portar in pacienza,"Und vergesst nicht, geduldig zu sein.","Denken Sie daran, geduldig zu sein."
"La pena, che per me avra’ a sofrire,","den Schmerz, den du wegen mir erleiden wirst,","die Strafe, die du wegen mir erleiden wirst."
"Inanzi ch’io ti doni mia sentenza,",Bevor ich dir mein Urteil gebe.,Bevor ich dir meine Strafe gebe.
Ché molte volte ti parrà morire:,"Dass du oft denkst, dass du sterben wirst:",Dass du oft vom Aussterben träumst.
"Un’ora gioia avrai, altra, doglienza.","Eine Stunde wirst du glücklich sein, eine weitere traurige,","In einem Moment wirst du glücklich sein, in einer anderen Melancholie."
Ma po’ i’ dono argomento di guerire».,"Aber dann gebe ich dir ein Heilmittel, um zu heilen",Aber dann biete ich dir ein Heilmittel an.
Con grande umilitate e pacienza,Mit viel Demut und Geduld,Mit großer Demut und Ausdauer
"Promisi a Amor a sofferir sua pena,",Ich versprach Liebe dass ich ihren Schmerz leiden würde,"Ich versprach Liebe, dass ich ihre Qual teilen würde"
"E c’ognie membro, ch’i’ avea, e vena","und daß alle meine Glieder, die ich habe,","und dass jedes Mitglied von mir, das ich habe und Arterie"
Disposat’era a farli sua voglienza;,"Sie waren bereit, seinen Willen zu tun.","Sie waren bereit, seinen Wunsch zu erfüllen."
E solo a lui servire la mia credenza,Und nur er wird meinen Glauben brauchen,Nur ihm wird mein Glaube ergeben sein.
"È ferma, né di ciò mai nonn-alena,","und es wird nie aufhören, dies zu tun.","Und er wird nie aufhören, das zu tun."
"Insin ched i’ avrò spirito o lena,",Solange ich lebe und atme,Solange ich existiere und atme.
I’ non farò da•cciò giama’ partenza.,Ich werde niemals von diesem Versprechen abweichen.,Ich werde dieser Aussage niemals widersprechen.
"E quelli allor mi disse: «Amico meo,","Und sie sprachen zu mir: Mein Freund,","Er sagte zu mir: ""Mein Kamerad,"
I’ ò da•tte miglior pegnio che charte.,Euer Versprechen ist besser als jedes schriftliche Versprechen.,Ihr Symbol ist jeder schriftlichen Garantie überlegen.
"Fa che m’adori, ched i’ son tu’ Deo,","Du sollst mich anbeten, weil ich dein Gott bin.","Lasst euch mich anbeten, weil ich euer Göttlicher bin."
"Ed ogn’altra credenza    metti a parte,",und lege jeden anderen Glauben beiseite.,"Verlassen, verlassen, alle anderen Überzeugungen."
"Né non creder né Lucha, né Matteo,","glaube nicht Lukas oder Matthäus,",Vertraue Lukas oder Matthäus nicht.
"Né Marco, né Giovanni». Allor si parte.","Nicht an Mark, nicht an John, und dann geht er.","Weder an Markus noch an Johannes, und dann trennte er sich."
"Partes’Amor, su’ ale battendo,","Die Liebe beginnt mit einem Blinken der Flügel,",Die Liebe beginnt mit einem Blinken der Flügel.
"E ’n poca d’or sì forte isvanoio,",und in einem Augenblick verschwand so schnell,Und in einem Augenblick verschwand er schnell
"Ched i’  no ’l vidi poi, né no•ll’udio,",daß ich nie von ihm gesehen oder gehört habe;,"Ich habe es nicht mehr gesehen, noch habe ich es gehört."
E•llui e ’l su’ soccorso ancor atendo.,Und dennoch warte ich immer noch auf ihn und seine Hilfe.,Ich warte jedoch immer noch auf ihn und seine Hilfe.
Allor mi venni forte ristrignendo,Dann kam ich näher und näher.,Später kam ich näher und näher.
"Verso del Fior, che•ssì forte m’ulio,","zu der Blume, deren Duft mich verzaubert hat","Zur Blume, deren Aroma mich verzaubert hat"
"E per chu’ feci homagio a questo Dio,",und für den ich diesem Gott huldigte.,und für den ich mich diesem Gott ehre.
"E dissi: «Chi mi tien, ched i’  no ’l prendo?»","Ich sagte: ""Wer hält mich davon ab, es zu zerreißen?""","Ich fragte: Wer verbietet mir, es zu zerreißen?"
"Sì ch’i’ verso del Fior tesi la mano,","Und so streckte ich meine Hand zur Blume aus,",So sträubt er seine Hand gegen die Blume.
"Credendolo  aver colto chitamente,","Ich dachte, ich schaffe das frei.","Ich dachte, ich schaffe das leicht."
Ed i’  vidi venir un gran villano,"Und ich sah einen großen, unhöflichen Mann kommen.","Ich sah einen beeindruckenden, unhöflichen Mann kommen."
Con una maza. E’ disse: «Or ti ste’ a mente,"mit einem Stock in der Hand und sagte: ""Jetzt denken Sie daran.""","Mit einem Stock in der Hand, der sagt: Erinnere dich jetzt."
"Ch’i’  son lo Schifo, e sì son ortolano",daß ich der Widerstand bin und daß ich der Hüter bin,"Ich bin der Widersacher, und ich bewahre die Souveränität."
D’esto giardin. I’  ti  farò dolente».,Ich habe ihn leiden lassen.,Ich provozierte sein Leiden.
Molto vilmente mi buttò di fora,"Sehr unhöflich, er hat mich rausgeworfen.",Mit großer Unhöflichkeit hat er mich rausgeschmissen.
"Lo Schifo, crudo, fello e oltragioso,","den grausamen, bösartigen und gewalttätigen Widerstand,","Der rücksichtslose, böse und brutale Widerstand."
"Sì ch’e’ del Fior non cred’esser gioioso,","damit ich nicht mit der Blume zufrieden bin,",Damit ich von der Blume keine Befriedigung bekomme.
Se Pietate e Francheza no•ll’acora.,"Es sei denn, Barmherzigkeit und Ehrlichkeit gehen mit ihm.","Es sei denn, Mitgefühl und Ehrlichkeit gehen mit ihm weg."
"Ma prima, credo, converà ch’eo mora,","Aber bevor das passiert, glaube ich, dass ich sterben werde.","Bevor es passiert, werde ich sterben."
Perché ’l me’ cor stà tanto doglioso,da mein Herz in so viel Schmerz ist,Da ist mein Herz in so viel Leid.
"Di quel villan,  che stava là nascoso,","wegen dem kitschigen Mann, der sich dort versteckte.","Wegen dem kitschigen Mann, der sich dort versteckte."
Di chu’ non mi prendea guardia quell’ora.,und gegen die ich in diesem entscheidenden Moment keine Vorsichtsmaßnahmen getroffen habe.,und gegen die ich zu diesem entscheidenden Zeitpunkt keine Sicherheitsmaßnahmen ergriffen habe.
Or m’à messo in pensero e in dottanza,"Nun, das hat mich Sorgen gemacht und Angst,",Das hat mich erschreckt und erschreckt.
"Di ciò, ched i’ credea aver per ciertano,","für das, was ich dachte, dass ich sicher hatte","Für das, was ich für sicher hielt."
Sì c’or me ne par essere in bilanza.,"Jetzt fühlt es sich an, als wäre er in Gefahr.","Jetzt glaube ich, dass er in Gefahr ist."
"E tutto ciò m’à fatto quello strano,",Und all das hat mir diesen Wilden angetan!,Und all das machte mich zu diesem Barbaren!
"Ma di lui mi richiamo a Pietanza,",Aber ich werde mich an ihn wenden.,Ich werde an ihn appellieren.
Che vengha a•llui collo spunton in mano.,damit er ihm mit dem Speer in der Hand begegnen kann.,damit er sich ihm mit seinem Schwert in der Hand stellen kann.
"Se mastro Arghùs, che fecie la nave,","Wenn Meister Argus, der das Schiff gebaut hat","Wenn Meister Argus, der das Schiff gebaut hat"
"In che Giasòn  andò per lo tosone,","dass Jason nach dem Goldenen Floh gesucht hat,",dass Jason nach dem Goldjuwel gesucht hat
"E fecie a conto regole, e ragione,",und der die Regeln und Logik für die Berechnung erfunden hat,und dass sie die Regeln und Vernünftigkeit für die Berechnung entwickelt haben
"E le diecie figure, com’on save,","und die zehn numerischen Zeichen, wie jeder weiß,","Und die zehn numerischen Symbole, wie jeder weiß, sind"
"Vivesse,  gli sarebe forte e grave","Wenn er am Leben wäre, wäre es schwierig für ihn.","Wenn er am Leben wäre, wäre es schwer für ihn."
"Multiplicar ben ognie mia quistione,",alle Probleme zu berechnen,"Erforschen, berechnen, alle Fragen."
"C’Amor mi move sanza mesprigione,","Liebe gibt mir, ohne Fehler.","Die Liebe schenkt mir, ohne Fehler."
"E di ciascuna porta esso la chiave,","Und doch, für jede Tür außerhalb des Schlüssels,",Für jeden Eintrag gibt es jedoch seinen Schlüssel.
Ed àllemi nel cor fermate e messe,Und sie steckte sie in mein Herz,Sie beeindruckte sie in meiner Seele.
"Con quella chiavicella, ch’i’ v’ò detto,","mit dem Schlüssel, den ich dir gesagt habe","mit dem Schlüssel, den ich dir gezeigt habe"
Per ben tenermi tutte sue promesse.,um alle seine Versprechen an mich zu halten.,alle seine Verpflichtungen mit mir zu erfüllen.
"Perch’io a•ssue merzé tuttor mi metto,","Deshalb bin ich immer bereit, sein Gebot zu erfüllen.","Deshalb bin ich immer bereit, seine Befehle auszuführen."
"Ma ben vore’ che, quando gli piaciesse,",Aber ich möchte für ihn - wann immer er will -,Aber ich wünsche mir für ihn - wann immer er sich sehnt -
"E’ m’allegiasse il mal, che•ssì m’à stretto.","um den Schmerz zu lindern, der mich getroffen hat.","Um die Qualen abzumildern, die mich angegriffen haben."
"Dogliendomi in pensando del villano,",Leider dachte ich an den Wilden.,Widerwillig an den Wilden denken
"Che•ssì vilmente dal Fior m’à lungiato,","der mich so wild von der Blume gejagt hat,","die mich so heftig von der Blume gejagt haben,"
"Ed i’ mi riguardai dal dritto lato,",Ich schaute auf meine rechte Seite,Ich untersuchte meine rechte Seite
"E sì vid’i’ Ragion, col viso piano,","Und ich sah den Grund, dass, mit einem ruhigen Gesicht,","Ich sah die Logik, die, mit einem ruhigen Ausdruck,"
"Venir verso di me, e per la mano",Er packte mich an der Hand.,"Er nähert sich mir, er packte mich an der Hand."
Mi prese e disse: «Tu•ssè sì smagrato!,"Er nahm mich mit und sagte: ""Du bist so subtil geworden!","Er packte mich und sagte: ""Du bist so dünn geworden!"""
I’ credo che•ttu à’ troppo pensato,"Ich glaube, du hast zu viel nachgedacht.","Ich glaube, du hast zu viel meditiert."
"A que’, che•tti farà gittar in vano,","Über das, was Sie umsonst arbeiten lässt:","In Bezug auf das, was macht Sie nutzlose Arbeit."
"Ciò è Amor, a chui dat’ài fidanza.","Diese Person ist Liebe, der ihr Treue geschenkt habt.","Diese Person ist das Affetto, dem Sie Treue gegeben haben."
"Ma•sse m’avessi avuto al tu’ consiglio,","Hätte ich aber auf meinen Rat gehört,","Wenn ich meinem Vorschlag gefolgt wäre,"
"Tu non saresti gito co•llui a danza,",Du wärst nicht mit ihm tanzen gegangen.,Du wärst nicht mit ihm tanzen gewesen.
"Ché sie ciertano,   a chu’ e’ dà di piglio,","Denn du kannst sicher sein, was er packt","Weil du sicher sein kannst, was er sagt"
"Egli ’l tiene in tormento e malenanza,",Er wird in Pein und Trauer geduldet.,Er hält sich in Qualen und Leiden.
Sì che su’ viso non è ’n mai vermiglio».,damit sein Gesicht nie rot wird.,so dass sein Gesicht niemals Rubim sein wird.
Udendo che Ragion mi gastigava,"Das Gefühl, dass der Grund mich schimpfte","Diese Logik zu hören, schimpfte mich."
"Perch’i’ al Die d’Amor era ’nservito,","für meine Knechtschaft mit dem Gott der Liebe,","Für meine Hingabe an den Gott von Slice,"
"Di ched i’ era forte inpalidito,","für die ich so blass geworden war,","für die ich so blass geworden war,"
"E sol perch’io a•llui troppo pensava,","Und nur weil ich zu viel über ihn nachgedacht habe,",Nur weil ich zu viel über ihn nachgedacht habe.
"I’ le dissi: «Ragion, e’ no•mi grava","Ich sagte zu ihr: ""Es tut mir leid, ihr Schmerz ist nicht schwer.""","Ich sagte zu ihr: ""Ray, die Qual, die er verursacht, ist nicht belastend."""
"Su’ mal, ch’i’ ne sarò tosto guerito,","über mich, denn ich werde bald heilen,","über mich, denn ich werde mich schnell erholen."
Ché questo mio signior lo m’à gradito».,weil mein Herr mir versprochen hat,Weil dieser Souverän von mir mir mir davon versichert hat.
"E ch’era folle se più ne parlava,","Und dieser Grund war verrückt, wenn er weiter darüber sprach.","Und diese Motivation war verrückt, wenn sie weiter darüber diskutierte."
"«Chéd i’ son fermo pur di far su’ grado,","Weil ich nur bereit bin, ihm zu gefallen,","Weil ich nur bereit bin, ihn zu befriedigen."
Perciò ch’e’ mi promise fermamente,denn er gab mir feste Versprechungen,Da gab er mir konkrete Garantien
"Ched e’ mi metterebe in alto grado,","das mich in einen hohen Platz versetzen würde,",Das würde mich in eine hohe Position bringen.
Sed i’ ’l servisse bene e lealmente».,wenn ich ihm gut und treu gedient habe.,wenn ich ihm gut und loyal gedient habe.
"Perché di lei i’ non pregiava  un dado,","Also, sie war mir überhaupt nicht wichtig.",Sie war mir also völlig egal.
Né su’ consiglio i’ non teneva a mente.,"Ich habe mich nicht erinnert, noch habe ich deinen Rat befolgt.",Ich habe mich nicht an deinen Vorschlag erinnert oder gehorcht.
"Ragion si parte, udendomi parlare.","Nachdem du mir zugehört hast, vergeht die Vernunft.","Nachdem du mir zugehört hast, vergeht die Vernunft."
E’ me fu ricordato ch’i’ avea,"und ich erinnerte mich, dass ich","Ich erkannte, dass ich"
"Un grande Amico, lo qual mi solea","ein treuer Freund, der mich normalerweise tröstete","Ein loyaler Verbündeter, der mich gewöhnlich tröstete."
"In ognie mio sconforto confortare,","Jedes Mal, wenn ich mich unwohl fühlte.","Jedes Mal, wenn ich Angst fühlte"
"Sì ch’i’ no ’l misi guari a ritrovare,",Ich fand es ziemlich schnell.,Ich habe es ziemlich schnell gefunden.
E disigli com’e’ si contenea,"und sagte ihm, wie er sich benahm","Und er erzählte ihm, wie er sich benahm: er handelte, er operierte."
"Lo Schifo ver’ di me, e ch’e’ parea","der Widerstand gegen mich, und das schien","Der Widerstand gegen mich, und das erschien"
Ch’al tutto mi volesse guereggiare.,Er wollte nichts Besseres als mich zu bekämpfen.,Er wollte nur gegen mich kämpfen.
"E que’ mi disse: «Amico, sta sicuro,","Und er sagte zu mir: ""Dude, mach dir keine Sorgen,","Und er sprach zu mir: Genosse, fürchte dich nicht!"
Ché quello Schifo si à senpre in usanza,denn es ist Custom Clostriden Widerstand,Denn es ist Custom Clostridae Widerstand
Ch’a cominciar   si mostra acierbo e duro.,zunächst bitter und hart zu sein.,Sei zuerst verbittert und starr.
Ritorna a•llui e non abie dottanza,Geh zu ihm zurück und hab keine Angst.,Kehrt zu ihm zurück und fürchtet euch nicht.
"Con umiltà tosto l’avra’ maturo,","indem du Demut beweisest, wirst du ihn bald erweichen,","Wenn du demütig bist, wirst du sie schnell erweichen."
Già tanto non par   fel né san’ pietanza».,"Egal, wie grausam und rücksichtslos es erscheinen mag.","Egal, wie brutal und unerbittlich es erscheinen mag."
Tutto pien d’umiltà verso ’l giardino,Voller Sanftmut drehte ich mich in den Garten,Voller Milde drehte ich mich in den Garten.
"Torna’mi, con’ Amico avea parlato,","Wie mein Freund sagte, ich sollte...","Als Freund hatte vorgeschlagen, dass ich sollte,"
"Ed i’ guardai, e sì ebi avisato",Und ich sah und sah,Prüfung und Überprüfung
"Lo Schifo, con un gran baston di pino,","Widerstand, mit einem großen Kiefernclub,","Widerstand, mit einem riesigen Verband aus Kiefer."
"Ch’andava riturando ognie camino,","die jede Passage blockierten,",die alle Fortschritte behinderten.
Che dentro a forza non vi fosse ’ntrato.,Also konnte ich nicht rein.,Also konnte ich nicht darauf zugreifen.
"Sì ch’io mi trassi a lui, e salutato",Also näherte ich mich ihm und begrüßte ihn.,Auf diese Weise näherte ich mich ihm und begrüßte ihn herzlich.
"Umile mente l’ebi a capo chino,","Sanft mit gebeugtem Kopf,",sanft mit verbeugtem Kopf.
"E sì gli dissi: «Schifo, agie merzede","Und er sprach zu ihm: Widerstand, erbarme dich.","Und er sprach zu ihm: Tenacia, erbarme dich!"
"Di me, se ’nverso te feci alcun fallo,","auf mich, wenn ich dir wehgetan habe,",Wenn ich dir Schmerzen verursacht habe.
"Chéd i’ sì son venuto a pura fede,",weil ich in gutem Glauben kam,Weil ich in guten Willen gekommen bin.
"A tua merzede,   e presto d’amendarlo».","um Gnade zu bitten, und ich bin bereit, Wiedergutmachung zu leisten.","Bitten Sie um Gnade, und ich bin bereit, Buße zu tun."
"Que’ mi riguarda, e tuttor si provede","Er starrt mich an, und wie er es tut, versucht er zu bestimmen,","Er starrt mich an und versucht, wie er es tut,"
Ched i’ non dica ciò per inghanarlo.,"Wenn ich das sage, um ihn zu täuschen.","Wenn ich das sage, um ihn zu betrügen."
Sì com’i’ stava in far mia pregheria,Während ich für meinen Fall bettelte,Als ich um mein Schicksal bat
"A quel fellon, ch’è sì pien d’arditeza,","zu dem Grausamen, der so rücksichtslos ist,","Für den Bösen, der so rücksichtslos ist."
"Lo Dio d’Amor sì vi mandò Francheza,",Gott der Liebe sandte Aufrichtigkeit und mit Seiner Barmherzigkeit,Das Göttliche Affetto sandte Aufrichtigkeit und mit seiner Barmherzigkeit.
"Co•llei Pietà, per sua anbascieria.",auf einer besonderen Mission zu diesem Ort.,in einer außergewöhnlichen Leistung in diesem Bereich.
"Francheza   cominciò la dicieria,","Aufrichtigkeit hat seine Rede begonnen,",Deine Offenheit hat deine Rede eröffnet.
"E disse: «Schifo, tu•ffai straneza","Sie sagen, Widerstand, Sie sind unhöflicher.","Wenn du dich dagegen stellst, bist du schärfer."
"A quel valletto, ch’è pien di largheza,",zu diesem jungen Vasallen so großzügig,Auf diesen großmütigen jungen Diener.
"E prode, e franco, sanza villania.","und tapfer und mutig, und sicherlich nicht vulgär.","Kühn und furchtlos, und sicherlich nicht unbequem."
Lo Dio d’Amor ti manda ch’e’ ti piaccia,"Der Gott der Liebe will, dass du weißt","Der göttliche Schnitt will, dass du weißt"
"Che•ttu non sie sì strano al su’ sergiente,","um nicht so unhöflich zu seinem Diener zu sein,","um nicht so unhöflich zu seinem Diener zu sein,"
"Ché gran peccato fa, chi lui inpaccia;","Denn wer ihn behindert, begeht eine große Sünde.","Denn wer ihn verhindert, begeht eine schwere Verfehlung."
Ma sòffera ch’e’ vada arditamente,aber lasst ihn frei gehen,aber lasst ihn frei gehen
"Per lo giardino, e no ’l metter in chaccia,","im Garten, jagt ihn nicht","im Garten, vertreibe ihn nicht."
"E guardi il Fior, che•ssì gli par aolente».","und laß ihn die Blume sehen, die ihm so wohlriechend erscheint.","und lässt ihn die Blume beobachten, die so duftend erscheint."
"Pietà cominciò poi su’ parlamento,",Mercy begann dann seine Rede,Mercy begann dann seine Rede
"Con lagrime bagniando il su’ visagio,","mit Tränen, die sein Gesicht baden","mit Tränen, die sein Gesicht befeuchten"
"Diciendo: «Schifo, tu faresti oltragio","Sprich: Widerstand, du wirst empört sein.",Du wärst beleidigt.
Di non far grazia al meo domandamento.,Wenn ich meine Bitte nicht annahm.,Wenn ich meine Bitte nicht annehme.
Pregar ti fo che•tti si’a piacimento,"Ich flehe dich an, zu finden.","Ich flehe Sie an, es herauszufinden."
"Ch’a quel valletto, ch’è•ssì buon e saggio,","nicht so grausam zu diesem jungen Vasallen zu sein,",Nicht so rücksichtslos gegenüber diesem jungen Diener zu sein.
"Tu non sie verso lui così salvaggio,",Du bist nicht so gemein zu ihm.,Du bist ihm gegenüber nicht so böse.
Ché sai ch’e’ non à mal intendimento.,"Weil du weißt, dass er nichts bedeutet.","Weil du weißt, dass er keine böswilligen Absichten hat."
"Or avén detto tutto nostr’affare,","Nun, wir haben Ihnen unsere Bedenken mitgeteilt,",Wir haben unsere Sorgen aufgedeckt.
"E la cagion, per che no’ siàn venute.","und der Grund, warum wir kamen:","und der Grund, warum wir hier sind:"
Molt’è crudel chi per noi non vuol fare!,"Er ist es, der nicht tun wird, was wir verlangen!","Grausam gleichgültig ist der, der nicht tun wird, was wir bitten!"
Ancor ti manda molte di salute,Er grüßt immer noch viel.,Er schickt dir immer noch seine herzlichsten Grüße.
"Il lasso, chu’ ti piaque abandonare.","Der arme Kerl, den du gerne verlassen hast.","Der Wichser, den du gerne verlassen hast."
Fa che nostre preghiere gli sian valute!».,Mögen ihm unsere Gebete helfen!,Mögen unsere Bitten ihm helfen!
"Lo Schifo disse: «Giente messagiere,","Der Widerstand sagte: ""Edle Boten,","„ Der Widerstand verkündete: „Wichtige Botschafter"""
Egli è ben dritto ch’a vostra domanda,"Es ist richtig für mich, auf Ihre Anfrage zuzugreifen.","Es ist richtig, dass ich Ihre Frage beantworte."
"I’ faccia grazia, e ragion lo comanda,","Und tut es mit Dank, die Vernunft befiehlt es,","Und tun Sie es höflich, Logik erfordert es."
"Ché voi non siete orgolliose né fiere,","Denn ihr seid weder eitel noch hochmütig,",Weil du weder anmaßend noch arrogant bist.
Ma siete molto nobili parliere.,Aber Sie sind sehr edle Redner.,Aber Sie sind sehr illustre Redner.
"Vengha il valetto, e vada, a sua comanda,","Der junge Mann kann nach Belieben kommen und gehen,","Der junge Mann kann kommen und gehen, wie er will."
"Ma non ched egli al Fior   sua mano ispanda,","aber solange er nicht versucht, die Blume zu berühren,","Aber solange Sie nicht versuchen, die Blume zu manipulieren."
"Ch’a•cciò no•gli varrian vostre preghiere,",denn deine Gebete werden ihm nicht helfen,Weil dein Flehen ihm nicht helfen wird.
"Perciò che•lla figluola Cortesia,","Deshalb Lady Courtesys Tochter,","Deshalb ist Lady Courtesys Nachkommen,"
"Bellacoglienza, ch’è dama del Fiore,","Schöner Empfang, der für die Blume verantwortlich ist,","Akzeptiert, der für die Blume verantwortlich ist."
Sì ’l mi porebe a gran ricredentia.,Ich dachte an meine Manieren.,"Ich dachte, meine Manieren seien zuvorkommend."
Ma fate che•lla Dama al Die d’Amore,Aber macht die Dame des Gottes der Liebe,Macht die Frau des Gottes des Schnittes
Faccia a Bellacoglienza pregheria,Machen Sie einen Appell an Bellaccoglieza,"Machen Sie einen Appell an Großartigkeit, Pracht und Abenteuer."
"Di lui, e che•lle schaldi un poco il core».",damit sein Herz ein wenig erwärmt werden kann.,damit sein Herz ein wenig erfrischt werden kann.
