Originale,Traduzione EN
E•llui e 'l su' soccorso ancor atendo.,yet still I wait for him and his assistance.
Allor mi venni forte ristrignendo,Then I moved closer and closer 
"Verso del fior, che•ssì forte m'ulìo,",to the Flower whose fragrance bewitched me 
"E per cu' feci homag[g]io a questo dio,",and for whom I had pledged my fealty to this god. 
"E dissi: 'Chi mi tien, ched i' no'l prendo?';",I said: “Who keeps me from plucking it?”
"Sì ch'i' verso del fior tesi la mano,","And so I stretched my hand toward the Flower, "
Credendolo aver colto chitamente;,thinking I would be able to pluck it freely.
Ed i' vidi venir un gran villano,But I saw a big uncouth man approaching
"Con una maz[z]a, e disse: “Or ti ste' a mente","with club in hand, saying: “Now keep in mind "
"Ch'i' son lo Schifo, e sì son ortolano","that I am Resistance, and that I am the keeper "
D'esto giardin; i' ti farò dolente”.,of this garden. I’ll make you suffer.”
Molto vilmente mi buttò di fora,"With much rudeness he threw me out, "
"Lo Schifo, crudo, fello e oltrag[g]ioso,","that cruel, vicious and abusive Resistance did, "
"Sì che del fior non cred'esser gioioso,","so that I think I’ll not have pleasure with the Flower, "
Se Pietate e Franchez[z]a no•ll'acora;,unless Mercy and Sincerity do away with him.
"Ma prima, credo, conver[r]à ch'eo mora,","But before that happens I think I’ll die, "
Perché 'l me' cor [i]stà tanto doglioso,since my heart is in so much pain 
"Di quel villan, che stava là nascoso,","because of that uncouth man, who was hiding there "
Di cu' no•mmi prendea guardia quell'ora.,and against whom I took no precaution at that crucial moment.
Or m'à messo in pensero e in dottanza,"Now this has made me worried and fearful, "
"Di ciò ched i' credea aver per certano,",for what I thought I had for certain 
Sì c[h]'or me ne par essere in bilanza.,now seems to me to be at risk.
E tutto ciò m'à fatto quello strano;,And all this that savage one did to me! 
"Ma di lui mi richiamo a Pietanza,","But I will appeal to Mercy about him, "
Che venga a•llui collo spunton i•mmano.,so that she may confront him with spear in hand.
"Se mastro Argus[so], che fece la nave","If Master Argus, who built the ship "
"In che Giason andò per lo tosone,","that Jason used to seek the Golden Fleece, "
E fece a conto regole e ragione,and who invented the rules and rationale for computation 
"E le diece figure, com'on save,","and the ten numerical signs, as everyone knows,"
"Vivesse, gli sareb[b]e forte e grave","if he were alive, it would be difficult for him "
Multiplicar ben ogne mia quistione,to calculate all the problems 
"C[h]'Amor mi move, sanza mesprigione;","that Love gives me, without mistakes. "
"E di ciascuna porta esso la chiave,","Yet, for every door Love has the key,"
Ed àllemi nel cor fermate e messe,and with this little key that I just mentioned to you 
"Con quella chiavicella ch'i' v'ò detto,",he has placed and locked them in my heart 
Per ben tenermi tutte sue promesse:,in order to keep all his promises to me.
Per ch'io a•ssue merzé tuttor mi metto;,For this reason I am always ready to do his bidding; 
"Ma ben vor[r]è' che, quando gli piacesse,","however, I would like for him - whenever he would like -"
E' m'alleg[g]iasse il mal che•ssì m'à stretto.,to ease the pain that has so conquered me.
Dogliendomi in pensando del villano,While thinking sadly about that savage one 
"Che•ssì vilmente dal fior m'à 'lungiato,","who so savagely chased me from the Flower, "
"Ed i' mi riguardai dal dritto lato,",I looked on my right side and saw 
E sì vidi Ragion col viso piano,"Reason, who, with tranquil face,"
"Venir verso di me, e per la mano",was coming towards me. She took me by the 
Mi prese e disse: “Tu•sse' sì smagrato!,hand and said: “You have become so thin! 
I' credo che•ttu à' troppo pensato,I believe that you have thought too much 
"A que' che•tti farà gittar in vano,",about that one who’ll make you work in vain:
"Ciò è Amor, a cui dat'ài fidanza.","that person is Love, to whom you’ve given loyalty. "
"Ma•sse m'avessi avuto al tu' consiglio,","But if you had listened to my advice, "
Tu non saresti gito co•llui a danza:,you would not have gone with him to dance.
"Ché, sie certano, a cu' e' dà di piglio,",For you can be sure the one he seizes 
"Egli 'l tiene in tormento e malenanza,","He’ll keep in torment and in sorrow, "
Sì che su' viso nonn-è mai vermiglio”.,such that his face will never be red.”
Udendo che Ragion mi gastigava,Hearing that Reason was scolding me 
"Perch'i' al Die d'Amor era 'nservito,","for my enslavement to the God of Love, "
"Di ched i' era forte impalidito,","for which I had become so pale, "
"E sol perch'io a•llui troppo pensava,","and only because of my thinking of him too much,"
"I' le dissi: “Ragion, e' no•mi grava","I said to her: “Reason, the pain he inflicts does not weigh "
"Su' mal, ch'i' ne sarò tosto guerito,","on me, because I will soon be healed, "
"Ché questo mio signor lo m'à gradito”,",for this master of mine has promised it to me”
E ch'era folle se più ne parlava;,- and that Reason was crazy if she continued to discuss it.
"“Chéd i' son fermo pur di far su' grado,","“For I am set only on pleasing him, "
Perciò ch'e' mi promise fermamente,since he gave me firm promises 
Ched e' mi mettereb[b]e in alto grado,"that he would put me in a high place,"
Sed i' 'l servisse bene e lealmente”:,if I would serve him well and faithfully.”
"Per che di lei i' non pregiava un dado,","Therefore, I did not care about her at all, "
Né su' consiglio i' non teneva a mente.,nor did I remember or follow her advice.
"Ragion si parte, udendomi parlare,","Upon hearing me speak, Reason departs, "
E me fu ricordato ch'i' avea,and I remembered that I had 
"Un grande amico, lo qual mi solea","a loyal friend, who usually comforted me "
In ogne mio sconforto confortare;,whenever I experienced discomfort.
"Sì ch'i' no'l misi guari a ritrovare,",I found him rather quickly 
E dissigli com'e' si contenea ,and told him how Resistance was behaving 
"Lo Schifo ver' di me, e ch'e' parea","towards me, and that it seemed "
Ch'al tutto mi volesse guer[r]eggiare.,he wanted nothing better than to war with me.
"E que' mi disse: “Amico, sta sicuro,","And that one said to me: “Friend, don’t worry, "
Ché quello Schifo si à sempre in usanza,for it is Resistance’s custom 
Ch'a•cominciar si mostra acerbo e duro.,to be bitter and harsh in the beginning.
Ritorna a•llui e non ab[b]ie dottanza:,Go back to him and have no fear: 
"Con umiltà tosto l'avrà' maturo,","by showing humility, you will soon soften him,"
Già tanto non par fel né san' pietanza”.,no matter how cruel and pitiless he may seem.”
Tutto pien d'umiltà verso 'l giardino,Full of meekness I turned back 
"Torna'mi, co","towards the garden, as Friend had said I should, "
"'Amico avea parlato,",and I looked and so I saw 
"Ed i' guardai, e sì eb[b]i avisato","Resistance, with a large club made of pine,"
"Lo Schifo, con un gran baston di pino,","who was blocking off every passageway, "
"Ch'andava riturando ogne camino,",so that I could not go inside. 
Che dentro a forza non vi fosse 'ntrato;,"Thus, I approached and greeted him "
"Sì ch'io mi trassi a lui, e salutato","meekly with my head bowed down,"
"Umilemente l'eb[b]i a capo chino,","and said to him: “Resistance, have mercy "
"E sì gli dissi: “Schifo, ag[g]ie merzede","on me, if I have done you any wrong, "
"Di me, se 'nverso te feci alcun fallo,",for I have come in good faith
Chéd i' sì son venuto a pura fede,"to ask your mercy, and am ready to make amends.”"
"A tua merzede, e presto d'amendarlo”.","He stares at me and, as he does, tries to determine "
"Que' mi riguarda, e tuttor si provede",if I’m saying this to deceive him.
Ched i' non dica ciò per ingan[n]arlo.,
Sì com'i' stava in far mia pregheria,While I was pleading my case 
"A quel fellon ch'è sì pien d'arditez[z]a,","to that cruel one who is so rash, "
"Lo Dio d'Amor sì vi man[dò] Franchez[z]a,",the God of Love sent Sincerity and with her Mercy 
"Co•llei Pietà, per sua ambasceria.",on a special mission to that place.
"Franchez[z]a cominciò la diceria,","Sincerity began her speech, "
"E disse: “Schifo, tu•ffaï stranez[z]a ","saying: “Resistance, you are most unkind "
A quel valletto ch'è pien di larghez[z]a,to that young vassal who is so generous 
"E prode e franco, sanza villania.","and valiant and brave, and certainly not vulgar."
Lo Dio d'Amor ti manda ch'e' ti piaccia,The God of Love wants to let you know 
"Che•ttu non sie sì strano al su' sergente,","that you should not be so unkind to his servant, "
Ché gran peccato fa chi lui impaccia;,because whoever hinders him commits a great sin;
Ma sòffera ch'e' vada arditamente,but allow him to go freely
"Per lo giardino, e no'l metter in caccia,",into the garden – don’t chase him out! - 
E guardi il fior che•ssì gli par aolente”.,and let him gaze upon the Flower that seems to him so fragrant.”
"Pietà cominciò poi su' parlamento,",Mercy then began her speech 
"Con lagrime bagnando il su' visag[g]io,","with tears streaming down her face, "
"Dicendo: “Schifo, tu faresti oltrag[g]io","saying: “Resistance, you would commit a great offence "
Di non far grazia al meo domandamento.,if you were not to grant my request.
Pregar ti fo che•tti si' a piacimento,I beg you that you may find it in your heart
"Ch'a quel valletto, ch'è•ssì buon e saggio,","to not be so cruel toward that young vassal, "
"Tu non sie verso lui così salvaggio,","who is so good and wise, "
Ché sai ch'e' non à mal intendimento.,for you know that he does not have bad intentions.
Or avén detto tutto nostr'affare ,"Now, we have told you our concerns,"
E la cagion per che no' siàn venute:,and the reason why we have come: 
Molt'è crudel chi per noi non vuol fare!,cruel is he who will not do what we ask!
Ancor ti manda molte di salute,The poor fellow whom you delighted in abandoning 
Il lasso cu' ti pia[c]que abandonare:,sends you many greetings: 
Fa che nostre preghiere i sian valute!”.,may our prayers help him in this time of need!”
"Lo Schifo disse: “Gente messag[g]iere,","Resistance replied: “Noble messengers, "
Egli è ben dritto ch'a vostra domanda,it is proper that I accede to your request 
"I' faccia grazia, e ragion lo comanda:","and reason orders it, "
"Ché voi non siete orgogliose né fiere,","for you are neither vain nor proud,"
Ma siete molto nobili parliere.,but you are very noble orators.
"Venga il valetto e vada a sua comanda,","The young man may come and go at will, "
"Ma non ched egli al fior sua mano ispanda,","but on condition that he not try to touch the Flower, "
Ch'a•cciò no•gli varrian vostre preghiere;,because your prayers will not help him in that at all.
"Perciò che•lla figl[i]uola Cortesia,","For this the daughter of Lady Courtesy, "
"Bellacoglienza, ch'è dama del fiore,","Fair Welcome, who is in charge of the Flower, "
Sì 'l mi por[r]eb[b]e a gran ricredentia.,would think my manners rude.
Ma fate che•lla ,But let the mother of the God of Love
 al Die d'Amore,"make a plea to Fair Welcome on his behalf, "
Faccia a Bellacoglienza pregheria,so that her heart may be warmed a little.”
"Di lui, e che•lle scaldi un poco il core”.",
"Quand'i' vidi lo Schifo sì adolzito,","When I saw how Resistance was mollified, "
Che solev'esser più amar che fele,he who usually was more bitter than gall 
"Ed i' 'l trovà' vie più dolce che mele,","but whom I found much sweeter than honey, "
Sap[p]iate ch'i' mi tenni per guerito.,you should know that I considered myself as good as healed.
Nel giardin me n'andai molto gichito,I passed into the garden in very subdued state 
"Per dotta di misfar a quel crudele,","for fear of offending that cruel one, "
E gli giurai a le sante guagnele,and I swore to him on the holy gospels 
Che per me non sareb[b]e mai marrito.,"that, because of me, he would never be distressed."
Allor mi disse: “I' vo' ben che•ttu venghi,Then he said to me: “I truly want you to come 
"Dentr'al giardin[o] sì com'e' ti piace,","inside the garden, since you find it pleasant, "
Ma' che lungi dal fior le tue man tenghi.,provided you keep your hands far away from the Flower.
Le buone donne fatt'ànno far pace,The good women have established peace 
"Tra me e te: or fa che•lla mantenghi,","between me and you: now make sure you keep it, "
Sì che verso di me no sie fallace”.,so that you do not betray my trust.”
"Venusso, ch'è socorso degli amanti,","Venus, who comes to the aid of lovers, "
"Ven[n]'a Bellacoglienza col brandone,","came to Fair Welcome with a torch, "
E sì•recava a guisa di penone,which she held like a lance 
Per avampar chiunque l'è davanti.,to set on fire all those she meets.
A voler racontar de' suo' sembianti,If one were to describe her appearance 
"E de la sua tranobile faz[z]one,","and her very noble disposition, "
Sareb[b]e assai vie più lungo sermone,it would take much longer to tell 
Ch'a sermonar la vita a tutti i santi.,than to tell the lives of all the Saints.
Quando Bellacoglienza sentì 'l caldo,When Fair Welcome felt the heat 
"Di quel brandon che così l'avampava,","of that torch which was setting her ablaze, "
Sì tosto fu 'l su' cuor col mïo saldo;,immediately her heart was joined with mine;
"E Venusso, ch'a•cciò la confortava,","and Venus, who was urging her to this, "
"Si trasse verso lei col viso baldo,",moved close to her with a powerful look 
Dicendo che ve•me troppo fallava.,and told her she was greatly at fault in my regard.
"“Tu falli trop[p]o verso quell'amante”,",Venus said: “You are making a big mistake 
"Disse Venus[so], “che cotanto t'ama;",with that lover who loves you so much; 
Néd i' non so al mondo sì gran dama,I do not know any great lady in the world 
"Che di lui dovess'es[s]er rifusante, ",who would reject him:
"Ch'egli è giovane, bello e avenante,","for he is young, beautiful and charming, "
"Cortese, franco e pro', di buona fama.","courteous, loyal, bold and well respected. "
"Promettili un basciar, e a•tte 'l chiama,","Promise him a kiss and call him to you, "
Ch'e' non à uon nel mondo più celante”.,for no one in the world is more discreet than he.”
"Bellacoglienza disse: “I' vo' che vegna,",Fair Welcome said: “I want him to come 
E basci il fior che tanto gli è ['n] piace,"and kiss the Flower that he loves so much, "
"e,",on condition that he behave wisely;
Ma' ched e' sag[g]iamente si contegna;,for you should know that this does not displease me.”
Ché siate cert,Venus then said: “Now send him 
 che no•m'è spiacere”.,a good sign and let him know this.”
"“Or gli ne manda alcuna buona 'nsegna”,",
"Disse Venùs, “e fagliele a•sapere”.",
Per Bel-Sembiante e per Dolze-Riguardo,By means of Fair Appearance and Sweet Glance 
Mi mandò la piacente ch'i' andasse,the beautiful one informed me that I should enter 
"Nel su' giardin e ch'io il fior bascias[s]e,","her garden and kiss the Flower, "
Né non portasse già lancia né dardo:,but that I should bring neither spear nor arrow:
Ché lo Schifo era fatto sì codardo,for Resistance had become so cowardly 
Ch'e' [no]•mi bisognava ch'i' 'l dottasse;,there was no need for me to fear him; 
"Ma tuttor non volea ched i' v'entrasse,",but nevertheless she did not want me to enter there 
Sed e' non fosse notte ben a tardo.,unless it were very late at night.
“Perciò che Castità e Gelosia,“Since Chastity and Jealousy 
Sì ànno messo Paura e Vergogna,"have entrusted Fear and Modesty with guarding her, "
"In le' guardar, che non faccia follia;",let’s hope she doesn’t do anything foolish.
Ed un villan che truov'ogne menzogna,"Moreover, there watches over her an uncourtly one, "
"La guarda, il qual fu nato i•Normandia,","who invents a pack of lies, Bad Mouth is he, "
"Mala-Boc[c]a, que' c[h]'ogne mal sampogna”.","the one born in Normandy, who is the source of all evil."
Udendo quella nobile novella,Hearing that noble tale 
"Che que' genti messag[g]i m'aportaro,","brought to me by those courteous messengers, "
Sì fortemente il cuor mi confortaro,I felt such great comfort in my heart 
Che di gioia perdé' quasi la favella.,that out of joy I almost lost the power of speech.
"Nel giardin me n'andà' tutto 'n gonella,","Into the garden I went in my gonella,"
"Sanz'armadura, com'e' comandaro,","without any weapons, as they had commanded. "
"E sì trovai quella col viso chiaro,","There I found that one with the resplendent face, "
"Bellacoglienza; tosto a•ssé m'apella,","Fair Welcome, who immediately called me to her"
E disse: “Vien avanti e bascia 'l fiore;,and said: “Step forward and kiss the Flower; 
"Ma guarda di far cosa che mi spiaccia,","but don’t do anything that would displease me, "
Ché•ttu ne perderesti ogne mio amore”.,because you would lose all my love.”
"Sì ch'i' alor feci croce de le braccia,","Thus I crossed my arms, "
"E sì 'l basciai con molto gran tremore,","and kissed the Flower with great trembling, "
Sì forte ridottava suo minaccia.,so fearful was I of her menacing words.
Del molto olor ch'al cor m'entrò basciando,Of the great fragrance that entered my heart 
"Quel prezïoso fior, che tanto aulia,","when I kissed the precious and sweet-smelling Flower, "
Contar né dir per me non si poria;,I am unable to speak or tell; 
Ma dirò come 'l mar s'andò turbando,but I will tell how the sea became tempestuous
"Per Mala-Boc[c]a, quel ladro normando,","because of Bad Mouth, that Norman thief,"
Che se n'avide e svegliò Gelosia,who saw the event and awakened Jealousy 
"E Castità, che ciascuna dormia;","and Chastity, for they were sleeping; "
Per ch'i' fu' del giardin rimesso in bando.,for this reason I was again cast out of the garden.
E sì vi conterò de la fortez[z]a,And now I will tell you of the fortress 
"Dove Bellacoglienza fu 'n pregione,","Where Fair Welcome was imprisoned, "
Ch'Amor abatté poi per su' prodez[z]a;,the one that Love destroyed with his strength.
E come Schifo mi tornò fellone,I will also tell how Resistance became hostile towards me 
"E lungo tempo mi ten[n]e in distrez[z]a,","and kept me in distress for a very long time, "
E come ritornò a me Ragione.,and how Reason returned to me.
"Castità, che da Veno è guer[r]eggiata,",
"Sì disse a Gelosia: “Perdio, merzede!",
"S'a questo fatto l'uon non ci provede,",
I' potrè' bentosto es[s]ere adontata.,
Vergogna e Paura m'ànno abandonata;,
"In quello Schifo foll'è chi si crede,",
"Ch'i' son certana ch'e' non ama a fede,",
Po' del giardin sì mal guardò l'entrata;,
Donde vo' siete la miglior guardiana,
Ch'i' 'n esto mondo potes[s]e trovare.,
Gran luogo avete in Lombardia e 'n Toscana.,
"Perdio, ched e' vi piaccia il fior guardare!",
"Che se que' che 'l basciò punto lo sgrana,",
Non fia misfatto ch'uon poss'amendare”.,
"Gelosia disse: “I' prendo a me la guarda,",Jealousy replied: “I assume the responsibility 
Ch'a ben guardar il fior è mia credenza,"of guarding the Flower, "
Ch'i' avrò gente di tal provedenza,for I believe my associates are so wise 
Ched i' non dotto già che Veno gli arda”.,that I have no fear that Venus will enflame them.”
"Al giardin se n'andò fier' e gagliarda,","To the garden she went, proud and strong, "
Ed ivi sì trovò Bellacoglienza,"and, finding Fair Welcome there, "
E dis[s]ele: “Tu à' fatta tal fal[l]enza,she said to her: “You have made such a mistake 
Ch'i' ti tengo per folle e per musarda.,that I consider you to be senseless and foolish.
"Ed a voi dico, Paur' e Vergogna,","And to you, Fear and Modesty, I say "
"Che chi di fior guardar in voi si fida,",that whoever relies on you to guard the Flower 
Certa son ch'e' non à lett' a Bologna.,I’m sure that he has not studied in Bologna.
"E quello Schifo che punt'or non grida,","And as for Resistance, who now does not boast at all, "
"Gli var[r]ia me' ch'e' fosse in Catalogna,","it would be better for him to be in Catalonia,"
Sed e' non guarda ben ciò ch'egli à 'n guida”.,if he cannot protect that which is in his care.”
"Vergogna contra terra il capo china,","Modesty bows her head toward the ground, "
"Ché ben s'avide ch'ella avea fallato,","for she knew that she had made a mistake, "
E d'un gran velo il viso avea velato;,and covered her face with a large veil. 
E sì disse a Paura sua cugina:,"And in this way she spoke to her cousin, Fear:"
"“Paura, no' siàn messe nell'aìna","“Fear, we find ourselves hated "
"Di Gelosia, e ciò ci à procacciato","by Jealousy, and this has been done to us "
"Lo Schifo, perch'egli à corteseg[g]iato","by Resistance, because he was courteous "
Al bel valetto ch'i' vid'ier mattina.,to that handsome lad whom I saw yesterday morning.
"Or andiàn tosto e troviàn quel villano,","Now let’s go quickly to find that uncouth one, "
E gli dirén com'e' fia malbalito,"and we’ll tell him how badly he’ll be treated, "
Se Gelosia gli mette adosso mano;,if Jealousy gets her hands on him;
"Ch[ed] egli à 'n ben guardar troppo fallito,","for he has not kept guard the way he should have, "
"Ch'e' sì dé es[s]er a ciascuno strano,",since he should be hostile to everyone; 
E 'l diavol si•ll'à ora incortesito”.,but the devil has now made him so refined!”
"Per lo Schifo trovar ciascun'andava,",Everyone was looking for Resistance 
Per dirli del misfatto molto male;,to blame him for his bad mistake; 
E que' s'avëa fatto un capez[z]ale,and that one had made himself a bed 
D'un fascio d'erba e sì son[n]iferava.,"from a bundle of grass, and there he fell asleep."
Vergogna fortemente lo sgridava;,Modesty was reprimanding him very harshly; 
"Paura d'altra parte sì•ll'assale,","in her turn Fear assails him, "
"Dicendo: “Schifo, ben poco ti cale","saying: “Resistance, you don’t care at all "
"Che Gelosïa sì forte ne grava,",that Jealousy is so upset with us!
"E ciò ci avien per te, quest'è palese.","And this happens to us because of you, it’s clear. "
"Quando tu, per la tua malaventura,","Whenever you, for your misfortune, "
Tu vuogli intender or d'es[s]er cortese,wish to seem or to be courteous
"(Ben sa' ch'e' non ti move di natura!),","(you well know that it’s not your nature!), "
Con ciaschedun dé' star a le difese,"you must be, as we all are, on the defensive, "
Per ben guardar questa nostra chiusura”.,in order to protect this enclosed place of ours.”
"Lo Schifo, quando udïo quel romore,","When Resistance heard that reproach, "
"Conob[b]e ben ched egli avea mispreso,",he knew very well that he had made a mistake. 
"Sì disse: “Il diavol ben m'avea sorpreso,","Thus he said: “The devil has deceived me, "
Quand'io a nessun uon mostrav'amore.,when I showed kindness to someone.
"Ma s'i', colui che ven[n]e per lo fiore,","But if I can catch the one who came for the Flower, "
"I' 'l posso nel giardin tener mai preso,","and if I can keep him prisoner, "
I' sia uguanno per la gola impeso,may I be hanged by my neck 
Sed i' no'l fo morir a gran dolore”.,if I don’t make him die with great pain.”
"Allor ricigna il viso e gli oc[c]hi torna,",Then he squints and rolls his eyes 
E troppo contra me tornò diverso:,and became quite horrible towards me: 
Del fior guardar fortemente s'atorna.,he prepares to guard the Flower resolutely.
"A[h]i lasso, c[h]'or mi fu cambiato il verso!",Alas! How things have changed for me! 
In poca d'or sì 'l fatto mi bistorna,In such a short time my situation has so changed 
Che d'abate tornai men ch'a converso.,that from abbot I fell to being less than the lowest brother.
"Gelosïa, che stava in sospeccione","Jealousy, who was afraid "
"Ch'ella del fior non fosse baratata,","of being cheated out of the Flower, "
Sì fe' gridar per tutta la contrata,had it announced throughout the countryside 
"Ch'a•llei venisse ciascun buon maz[z]one,","that all good masons should come to her,"
Ch'ella volea fondar una pregione,because she wanted to build a prison 
Dove Bellacoglienza fia murata;,where they could imprison Fair Welcome. 
"Ché 'n altra guardia non fie più lasciata,","She will not be left with another guardian, "
Po' ch'ella l'à trovata i•mesprigione:,since jealousy found her guilty of malfeasance.
"“Ché la guardia del fior è perigliosa,","“Since guarding the Flower is dangerous, "
Sì saria folle se 'llei mi fidasse,it would be a mistake to put my trust in her 
Per la bieltà ch'à 'n lei maravigliosa”.,for all her marvelous beauty.”
"E se Venùs' ancor la vicitasse,","And if Venus should come again to visit her, "
"Di ciò era certana, e non dottosa,",she was sure and had no doubt 
Ch'e' conver[r]eb[b]e ch'ella il fior donasse.,of what would happen: that she would give up the Flower.
Gelosia fece fondar un castello,Jealousy had a castle built 
"Con gran fossi d'intorno e barbacani,","with large moats and fortifications all around, "
"Ché molto ridottava uomini strani,","because she greatly feared outsiders, "
Sì facev'ella que' di su' ostello;,just as much as she did those within her castle.
"E nel miluogo un casser fort' e bello,",And in the middle she had the greatest craftsmen 
"Che non dottava a[s]salto di villani,",construct an impressive tower 
Fece murare a' mastri più sovrani,"with finely chiseled marble,"
Di marmo lavorato ad iscarpello;,which feared no assault from uncouth men.
E sì vi fece far qua[t]tro portali,She then had four portals made 
"Con gran to[r]ri di sopra imbertescate,",that were surmounted with lofty crenelated towers: 
Ch'unque nel mondo non fur fatte tali;,never had the world seen anything like them.
"E porte caditoie v'avea ordinate,",She ordered movable gates 
Che venian per condotto di canali:,that opened and closed hydraulically; 
L'altr'eran tutte di ferro sprangate.,the other gates were all reinforced with iron.
"Quando Gelosia vide il castel fatto,","On seeing that the castle was complete, "
"Sì si pensò d'avervi guernimento,","Jealousy had it stocked with arms, "
Ch[ed] e' non era suo intendimento,for she did not wish to surrender it 
Di renderlo per forza néd a patto.,either through battle or treaty.
"Per dare a' suo' nemici mal atratto,",In order to give her enemies a bad reception 
"Vi mise dentro gran saettamento,","she placed inside a great store of projectiles, "
E pece e olio e ogn'altro argomento,and tar and oil and everything else 
"Per arder castel di legname o gatto,","that would ignite a war machine or battering ram,"
