,Inferno,Inferno_ita
93,"ché questa bestia, per la qual tu gride,","poiché questa bestia, per cui tu invochi aiuto ,"
94,"non lascia altrui passar per la sua via,","non lascia che alcuno  passi per la sua strada,"
95,ma tanto lo ’mpedisce che l’uccide; ,ma a tal punto lo ostacola  che lo annienta ;
96,"e ha natura sì malvagia e ria,",ha una natura così malvagia e crudele  
97,"che mai non empie la bramosa voglia,",che non appaga  mai il suo insaziabile appetito
98,e dopo ’l pasto ha più fame che pria. ,e dopo il pasto ha più fame di prima.
99,"Molti son li animali a cui s’ammoglia,","Molti sono gli animali ai quali si accoppia,"
100,"e più saranno ancora, infin che ’l veltro","e ce ne saranno ancora di più in futuro fino a che giungerà il veltro ,"
101,"verrà, che la farà morir con doglia. ",che la farà morire con un grande dolore 
102,"Questi non ciberà terra né peltro,","Questi  non avrà bramosia di beni terreni, né di vile metallo   "
103,"ma sapïenza, amore e virtute,","ma della sapienza, dell'amore, della virtù,"
104,e sua nazion sarà tra feltro e feltro. ,e la sua nazione sarà umile.
105,Di quella umile Italia fia salute,Sarà la salvezza di quella misera Italia
106,"per cui morì la vergine Cammilla,","per la quale morirono la vergine Camilla, "
107,Eurialo e Turno e Niso di ferute. ,Eurialo e Turno e Niso di ferite.
108,"Questi la caccerà per ogne villa,",Questi  la caccerà per ogni contrada  
109,"fin che l’avrà rimessa ne lo ’nferno,","fino a che l'avrà rimandata nell'Inferno, "
110,là onde ’nvidia prima dipartilla. ,là dove in principio l'invidia la fece uscire.
111,Ond’io per lo tuo me’ penso e discerno,Sicché io per il tuo vantaggio  penso e decido 
112,"che tu mi segui, e io sarò tua guida,","che tu mi debba seguire, e io sarò la tua guida,"
113,e trarrotti di qui per loco etterno; ,e ti trarrò di qui attraverso un luogo eterno;
114,"ove udirai le disperate strida,","dove ascolterai le grida  disperate,"
115,"vedrai li antichi spiriti dolenti,",vedrai le anime sofferenti di coloro che da tempo vi dimorano 
116,ch’a la seconda morte ciascun grida; ,le quali invocano ciascuna la morte dell'anima ;
117,e vederai color che son contenti,"e vedrai coloro che sono felici, "
118,"nel foco, perché speran di venire","pur essendo immersi nel fuoco purificatore , "
119,quando che sia a le beate genti. ,perché sperano di giungere un giorno  fino alle anime dei beati
120,"A le quai poi se tu vorrai salire,",Alle quali poi se tu vorrai salire
121,anima fia a ciò più di me degna:,ci sarà  un'anima più degna di me
122,con lei ti lascerò nel mio partire; ,con lei ti lascerò  quando me ne andrò
123,"ché quello imperador che là sù regna,","poiché quell'imperatore che regna lassù , "
124,"perch’i’ fu’ ribellante a la sua legge,",dal momento che io fui ribelle  alla sua legge 
125,non vuol che ’n sua città per me si vegna. ,non vuole che io giunga nel suo territorio .
126,In tutte parti impera e quivi regge;,"Comanda in tutto il creato  e lì governa direttamente come re,"
127,quivi è la sua città e l’alto seggio:,lì  si trovano la sua città e l'alto suo seggio:
128,"oh felice colui cu’ ivi elegge!"". ",colui ch egli sceglie  di far giungere fin lassù .
129,"E io a lui: ""Poeta, io ti richeggio",E io a lui: Poeta ti chiedo di nuovo con forza
130,"per quello Dio che tu non conoscesti,",in nome di quel Dio che tu non hai conosciuto
131,"acciò ch’io fugga questo male e peggio, "," affinché io possa fuggire questo mio traviamento  e la conseguente dannazione ,"
132,"che tu mi meni là dov’or dicesti,","che tu mi conduca là dove hai detto ora,"
133,sì ch’io veggia la porta di san Pietro,così che io veda la porta di San Pietro
134,"e color cui tu fai cotanto mesti"". ",e coloro  che tu descrivi  talmente immersi nel dolore .
135,"Allor si mosse, e io li tenni dietro. ",Allora si mosse e io lo seguii.
136,"Lo giorno se n’andava, e l’aere bruno","Il giorno volge al tramonto , e il cielo che cominciava a oscurarsi  "
137,toglieva li animai che sono in terra,liberava  gli esseri animati che abitano la terra 
138,da le fatiche loro; e io sol uno,dalle loro fatiche; io solo 
139,m’apparecchiava a sostener la guerra,"mi preparavo a sostenere l'asprezza , "
140,"sì del cammino e sì de la pietate,","sia  del viaggio , sia  dell'angoscia interiore ,"
141,che ritrarrà la mente che non erra. ,"che la memoria  descriverà in maniera del tutto fedele, senza errori."
142,"O muse, o alto ingegno, or m’aiutate;","Voi Muse, e tu, mio nobile  ingegno, aiutatemi;"
143,"o mente che scrivesti ciò ch’io vidi,","tu, o memoria, che hai scritto ciò che io ho visto"
144,qui si parrà la tua nobilitate. ,qui si mostrerà la perfezione.
145,"Io cominciai: ""Poeta che mi guidi,","Io cominciai a dire: Poeta che mi fai da guida,"
146,"guarda la mia virtù s’ell’è possente,",considera bene  se la mia capacità  è sufficientemente forte 
147,prima ch’a l’alto passo tu mi fidi. ,prima che tu mi esponga  al difficile e impegnativo cammino.
148,"Tu dici che di Silvïo il parente,",Tu narri  che il genitore  di Silvio
149,"corruttibile ancora, ad immortale","quand'era ancora vivo , si recò nell'aldilà  "
150,"secolo andò, e fu sensibilmente. ",e questo avvenne con il proprio corpo .
151,"Però, se l’avversario d’ogne male","Tuttavia, se Dio "
152,"cortese i fu, pensando l’alto effetto",fu gentile con Enea  come individuo  e come dotato di meriti 
153,"ch’uscir dovea di lui, e ’l chi e ’l quale ",non sembra indegno a un uomo giudizioso 
154,non pare indegno ad omo d’intelletto;,che pensi  alle prodigiose conseguenze  
155,ch’e’ fu de l’alma Roma e di suo impero,che dovevano derivare  da lui;
156,ne l’empireo ciel per padre eletto: ,poiché egli fu scelto  nell'Empireo
157,"la quale e ’l quale, a voler dir lo vero,",come padre della santa  Roma e del suo impero:
158,fu stabilita per lo loco santo,"la quale Roma è il quale imperatore, se vogliamo attenerci alla verità ,"
159,u’ siede il successor del maggior Piero. ,furono prescelti  per fare di quella città il luogo santo dove risiede il pontefice .
160,"Per quest’andata onde li dai tu vanto,","A causa di questo viaggio nell'aldilà , per cui tu attraverso la tua poesia, lo celebri "
161,intese cose che furon cagione,venne a conoscere cose che furono la causa 
162,di sua vittoria e del papale ammanto. ,della sua vittoria e causa del mantello pontificio 
163,"Andovvi poi lo Vas d’elezïone,",Vi andò poi a San Paolo
164,per recarne conforto a quella fede,"per acquisire il sostegno  alla predicazione della fede cristiana,"
165,ch’è principio a la via di salvazione. ,da cui ha inizio la via che conduce alla salvezza eterna.
166,"Ma io, perché venirvi? o chi ’l concede?",Ma perché io devo venirvi? o chi lo permette?
167,"Io non Enëa, io non Paulo sono;","Io non sono cosi importante come Enea, né come Paolo; "
168,me degno a ciò né io né altri ’l crede. ,"né io mi ritengo degno di tale compito , né altri  lo ritiene. "
169,"Per che, se del venire io m’abbandono,","Per la qual cosa, temo che, se mi lascio indurre a dir di si , "
170,temo che la venuta non sia folle.,il venir con te sia un'autentica follia.
171,"Se’ savio; intendi me’ ch’i’ non ragiono"". ","In qualità di savio, tu puoi intendere  anche che  io non riesco a esprimere."
172,E qual è quei che disvuol ciò che volle,E come è colui  che non vuole più ciò che volle in precedenza  
173,"e per novi pensier cangia proposta,","a causa di nuove riflessioni  cambia proposito ,"
174,"sì che dal cominciar tutto si tolle, ","così che si distoglie  completamente  da ciò che aveva già cominciato ,"
175,"tal mi fec’ïo ’n quella oscura costa,","allo stesso modo trovano sul quel pendio buio ,"
176,"perché, pensando, consumai la ’mpresa","perché, continuando a pensare , esaurii nel pensiero  l'impresa "
177,che fu nel cominciar cotanto tosta. ,che avevo iniziato in maniera cosi  baldanzosa 
178,"""S’i’ ho ben la parola tua intesa"",",Se ho capito bene il tuo discorso 
179,"rispuose del magnanimo quell’ombra,","rispose l'ombra di quel magnanimo, "
180,"""l’anima tua è da viltade offesa; ",la tua anima è colpita  dalla vigliaccheria 
181,la qual molte fïate l’omo ingombra,la quale  molte volte  ostacola  l'essere umano
182,"sì che d’onrata impresa lo rivolve,","tanto che lo distoglie  da ogni azione degna d'onore , "
183,come falso veder bestia quand’ombra. ,come il vedere ciò che non c'è  spinge una bestia a ritirarsi
184,"Da questa tema acciò che tu ti solve,",Affinché tu ti liberi  da questa paura  
185,dirotti perch’io venni e quel ch’io ’ntesi,ti dirò perché venni in tuo soccorso  e ciò che ho appreso 
186,nel primo punto che di te mi dolve. ,nel primo momento in cui  sentii dolore per te .
187,"Io era tra color che son sospesi,","Io ero tra quelle anime del Limbo sospese fra il destino di vedere Dio e la consapevolezza che lo potranno più vedere,"
188,"e donna mi chiamò beata e bella,","e una donna mi chiamò, così  soffusa di beatitudine nell'aspetto  e colma di bellezza "
189,tal che di comandare io la richiesi. ,che io stesso la pregai  di manifestarmi il suo desiderio .
190,Lucevan li occhi suoi più che la stella;,I suoi occhi brillavano più di una stella
191,"e cominciommi a dir soave e piana,","E cominciò a dire di me in maniera dolce e semplice ,"
192,"con angelica voce, in sua favella: ",con voce angelica e nel suo linguaggio :
193,"""O anima cortese mantoana,","O cortese anima mantovana,"
194,"di cui la fama ancor nel mondo dura,",la cui fama si perpetua ancora sulla terra 
195,"e durerà quanto ’l mondo lontana, ","e sopravvivrà a lungo  quanto il mondo terreno, "
196,"l’amico mio, e non de la ventura,","colui che mi amò , e non per interesse , "
197,ne la diserta piaggia è impedito,si trova sulla spiaggia deserta 
198,"sì nel cammin, che vòlt’è per paura; ","tanto ostacolato nel cammino, che per la paura sta tornando indietro; "
199,"e temo che non sia già sì smarrito,","e temo sia già così sperduto, "
200,"ch’io mi sia tardi al soccorso levata,","che io mi sia mossa in suo soccorso troppo tardi, "
201,per quel ch’i’ ho di lui nel cielo udito. ,per quanto ho sentito in Paradiso di lui.
202,"Or movi, e con la tua parola ornata","Vai dunque, e con il tuo parlare accorto  "
203,"e con ciò c’ ha mestieri al suo campare,","e con tutto ciò che è necessario  per la sua salvezza ,"
204,l’aiuta sì ch’i’ ne sia consolata. ,soccorrilo in modo che io possa essere confortata. 
205,I’ son Beatrice che ti faccio andare;,Io che ti induco ad andare sono Beatrice; 
206,vegno del loco ove tornar disio;,vengo dal luogo dove desidero ritornare ; 
207,"amor mi mosse, che mi fa parlare. ","mi spinse a venire Amore, che mi ispira nel parlare."
208,"Quando sarò dinanzi al segnor mio,","Quando mi ritroverò davanti al mio Signore,"
209,"di te mi loderò sovente a lui"".",spesso farò le tue lodi  presso di lui .
210,"Tacette allora, e poi comincia’ io: ","Tacque allora, e poi parlai io così:"
211,"""O donna di virtù sola per cui","O signora della virtù, l’unica grazia alla"
212,l’umana spezie eccede ogne contento,quale la specie umana supera ogni cosa contenuta  
213,"di quel ciel c’ ha minor li cerchi sui, ","sotto il cielo che ha la circonferenza minore , "
214,"tanto m’aggrada il tuo comandamento,","tanto mi è gradito il tuo comando che l’ubbidire, "
215,"che l’ubidir, se già fosse, m’è tardi;","anche se fosse già in atto, mi sembrerebbe lento; "
216,più non t’è uo’ ch’aprirmi il tuo talento. ,non ti è necessario  altro che manifestarmi il tuo desiderio.
217,Ma dimmi la cagion che non ti guardi,Ma spiegami il motivo per cui non temi  
218,de lo scender qua giuso in questo centro,di scendere quaggiù nel centro  
219,"de l’ampio loco ove tornar tu ardi"". ",dal vasto Empireo  dove desideri tornare.
220,"""Da che tu vuo’ saver cotanto a dentro,","Poiché tu vuoi sapere le cose tanto a fondo , "
221,"dirotti brievemente"", mi rispuose,","in breve ti spiegherò, disse, "
222,"""perch’i’ non temo di venir qua entro. ",perché non ho paura di scendere fino qui dentro.
223,Temer si dee di sole quelle cose,Bisogna temere soltanto quelle cose che
224,c' hanno potenza di fare altrui male;,hanno il potere di fare del male a noi ; 
225,"de l'altre no, ché non son paurose. ","tutte le altre no, poiché non possono far paura."
226,"I’ son fatta da Dio, sua mercé, tale,","Io sono stata resa tale da Dio, per sua bontà , "
227,"che la vostra miseria non mi tange,","che la vostra infelicità non mi colpisce , "
228,né fiamma d’esto ’ncendio non m’assale. ,come non mi colpisce il fuoco di questo incendio .
229,Donna è gentil nel ciel che si compiange,Vi è nel cielo una donna gentile  che si addolora 
230,"di questo 'mpedimento ov'io ti mando,","di questo ostacolo per cui ti do incarico, "
231,sì che duro giudicio là sù frange. ,a tal punto che piega  in cielo il severo giudizio.
232,Questa chiese Lucia in suo dimando,Costei chiamò in suo aiuto  Lucia e le disse: 
233,e disse: - Or ha bisogno il tuo fedele,"Adesso il tuo fedele  ha bisogno di te,"
234,"di te, e io a te lo raccomando -. ",e io te lo affido.
235,"Lucia, nimica di ciascun crudele,","Lucia, nemica di ogni crudeltà ,"
236,"si mosse, e venne al loco dov’i’ era,","si mosse, e giunse nel luogo dove ero io, "
237,che mi sedea con l’antica Rachele. ,che stavo seduta insieme alla Rachele dell’Antico Testamento .
238,"Disse: - Beatrice, loda di Dio vera,","Disse: Beatrice, vera lode di Dio,"
239,"ché non soccorri quei che t’amò tanto,",Perché non aiuti colui che t’amò a tal punto 
240,ch’uscì per te de la volgare schiera? ,che per te si elevò dalla schiera degli uomini comuni ? 
241,"Non odi tu la pieta del suo pianto,","Non senti l’angoscia  della sua sofferenza, "
242,non vedi tu la morte che ’l combatte,non vedi che la morte gli porta guerra  
243,su la fiumana ove ’l mar non ha vanto? -. ,su quel punto del fiume dove il mare non riesce a prevalere ?’.
244,Al mondo non fur mai persone ratte,Non ci fu mai alcuno sulla terra così veloce  
245,"a far lor pro o a fuggir lor danno,",a fare il proprio vantaggio o a fuggire il proprio danno
246,"com’io, dopo cotai parole fatte, ","quanto me, dopo che furono dette queste parole,"
247,"venni qua giù del mio beato scanno,","nel venire dal mio seggio  beato fin quaggiù,"
248,"fidandomi del tuo parlare onesto,","ponendo fiducia nella tua parola saggia , "
249,"ch’onora te e quei ch’udito l’ hanno"". ",che rende onore a te e a coloro che l’hanno ascoltata.
250,"Poscia che m’ebbe ragionato questo,","Dopo avermi detto  questo,"
251,"li occhi lucenti lagrimando volse,","distolse gli occhi che brillavano per il pianto, "
252,per che mi fece del venir più presto. ,e con questo mi rese ancor più sollecita  nell’accorrere. 
253,E venni a te così com’ella volse:,"E giunsi da te, come lei desiderava :"
254,d’inanzi a quella fiera ti levai,ti portai via dal cospetto di quell’animale 
255,che del bel monte il corto andar ti tolse. ,che ti ostacolò  il cammino più breve su per il monte soave.
256,"Dunque: che è perché, perché restai,",E allora: che c’è? perché rimani fermo ? 
257,"perché tanta viltà nel core allette,",perché accogli  tanta viltà nel tuo cuore? 
258,"perché ardire e franchezza non hai, ","perché ti vengono meno coraggio e sicurezza,"
259,poscia che tai tre donne benedette,dopo aver saputo  che tre donne sante di tanta nobiltà 
260,"curan di te ne la corte del cielo,","si prendono cura di te, lassù nel regno del Paradiso, "
261,"e ’l mio parlar tanto ben ti promette?"". ",e le mie parole ti promettono una così grande felicità?
262,Quali fioretti dal notturno gelo,"Come i piccoli fiori, reclinati e chiusi dal freddo della notte, "
263,"chinati e chiusi, poi che ’l sol li ’mbianca,","non appena la luce del sole li illumina, "
264,"si drizzan tutti aperti in loro stelo, ","si alzano sul loro stelo completamente  dischiusi, "
265,"tal mi fec’io di mia virtude stanca,","così divenni io rispetto al mio coraggio incerto, "
266,"e tanto buono ardire al cor mi corse,",e mi scese  in cuore tanto attivo ardore 
267,ch’i’ cominciai come persona franca: ,che cominciai a dire come persona riconfortata :
268,"""Oh pietosa colei che mi soccorse!",O misericordiosa lei che mi venne in aiuto! 
269,e te cortese ch’ubidisti tosto,e nobile  tu che subito obbedisti alle
270,a le vere parole che ti porse! ,parole veritiere  che ti disse!
271,Tu m’ hai con disiderio il cor disposto,Con le tue parole mi hai reso il cuore
272,"sì al venir con le parole tue,","così desideroso e disposto ad affrontare il viaggio , "
273,ch’i’ son tornato nel primo proposto. ,che io sono di nuovo del primo proposito.
274,"Or va, ch’un sol volere è d’ambedue:","Procedi dunque, che unica è la volontà di entrambi: "
275,"tu duca, tu segnore e tu maestro"".","tu sarai la mia guida, il mio signore, il mio maestro. "
276,"Così li dissi; e poi che mosso fue, ","In questo modo parlai; e non appena egli si mosse, "
277,intrai per lo cammino alto e silvestro.,lo seguii nel cammino arduo e selvaggio.
278,"’Per me si va ne la città dolente,","Attraverso me  si entra nella città della sofferenza, "
279,"per me si va ne l'etterno dolore,","attraverso me si entra nel dolore senza fine, "
280,per me si va tra la perduta gente.,attraverso me si entra fra la gente dannata.
281,Giustizia mosse il mio alto fattore;,La giustizia ha guidato il mio supremo creatore ; 
282,"fecemi la divina podestate,","mi ha creato il potere divino ,"
283,la somma sapïenza e ’l primo amore. ,l’altissima sapienza  e il primo amore .
284,Dinanzi a me non fuor cose create,Prima  di me non sono esistite creature
285,"se non etterne, e io etterno duro.","che non fossero eterne, e io duro in eterno. "
286,"Lasciate ogne speranza, voi ch’intrate’. ","Abbandonate ogni speranza, voi che entrate."
287,Queste parole di colore oscuro,"Vidi queste parole, a neri caratteri, "
288,vid’ïo scritte al sommo d’una porta;,"scritte sulla sommità di una porta, "
289,"per ch’io: ""Maestro, il senso lor m’è duro"". ","per cui dissi: «Maestro, la loro comprensione mi è difficile»."
290,"Ed elli a me, come persona accorta:","Ed egli mi rispose, come una persona savia : "
291,"""Qui si convien lasciare ogne sospetto;",«Qui è necessario abbandonare ogni timore ; 
292,ogne viltà convien che qui sia morta. ,ogni viltà qui è necessario che venga eliminata. 
293,Noi siam venuti al loco ov’i’ t’ ho detto,"Noi siamo giunti al luogo dove  io ti ho detto ,"
294,che tu vedrai le genti dolorose,in cui  vedrai i dannati 
295,"c’ hanno perduto il ben de l’intelletto"". ","che hanno perduto Dio, luce della ragione. »"
296,E poi che la sua mano a la mia puose,E dopo aver posto la mano nella mia
297,"con lieto volto, ond’io mi confortai,","con il volto sereno proprio di chi intende rassicurare, per cui rimasi rinfrancato, "
298,mi mise dentro a le segrete cose. ,"mi fece penetrare nel mistero dell'Inferno, inaccessibile all'uomo"
299,"Quivi sospiri, pianti e alti guai","Qui sospiri, pianti e acuti lamenti"
300,"risonavan per l’aere sanza stelle,",risuonavano per il cielo buio avvolto nelle tenebre
301,per ch’io al cominciar ne lagrimai. ,"per cui io, nel cominciare questo viaggio, piansi a riguardo di ciò "
302,"Diverse lingue, orribili favelle,","Lingue strane, orribili pronunce"
303,"parole di dolore, accenti d’ira,","parole di dolore, interiezioni di ira,"
304,"voci alte e fioche, e suon di man con elle ",voci acute e rauche accompagnate dal battito delle mani
305,"facevano un tumulto, il qual s’aggira",determinavano un tumulto che si diffonde  
306,"sempre in quell’aura sanza tempo tinta,",sempre in quel cielo  eternamente  buio  
307,come la rena quando turbo spira. ,come la sabbia  quando soffia  la tempesta .
308,"E io ch’avea d’error la testa cinta,","E io che avevo la testa avvolta  dalla confusione ,"
309,"dissi: ""Maestro, che è quel ch’i’ odo?","dissi: «Maestro, che cos’è quello che io sento?"
310,"e che gent’è che par nel duol sì vinta?"". ",chi sono quelle anime che sembrano così sopraffatte  dal dolore ? »
311,"Ed elli a me: ""Questo misero modo",Ed egli a me: «In questa infelice condizione 
312,tegnon l’anime triste di coloro,si trovano le anime abbiette  di quelli 
313,che visser sanza ’nfamia e sanza lodo. ,che vissero senza  il disprezzo  e senza la stima  degli altri
314,Mischiate sono a quel cattivo coro,Sono unite a quella vile  schiera  
315,de li angeli che non furon ribelli,"di angeli che non furono ribelli né fedeli a Dio, "
316,"né fur fedeli a Dio, ma per sé fuoro. ",ma se ne stettero in disparte .
317,"Caccianli i ciel per non esser men belli,",I cieli li cacciano per non essere deturpati nella loro bellezza
318,"né lo profondo inferno li riceve,",né li accoglie il profondo Inferno
319,"ch’alcuna gloria i rei avrebber d’elli"". ",poiché i dannati  potrebbero avere qualche vanto  nei loro confronti»
320,"E io: ""Maestro, che è tanto greve","E io: «Maestro, che cos’è tanto gravoso"
321,"a lor che lamentar li fa sì forte?"".",per loro che li costringe a lamentarsi così forte?».
322,"Rispuose: ""Dicerolti molto breve. ",Rispose: «Te lo dirò molto brevemente
323,"Questi non hanno speranza di morte,","Questi non possono sperare di morire,"
324,"e la lor cieca vita è tanto bassa,",e la loro condizione di vita oscura è tanto abbietta 
