Originale,Traduzione EN,Traduzione IT
"Quindi, dà la sua taglia","Thus, he gives his bounty ","Quindi, dà la sua taglia"
a chi non abbandona l'amore,to the one who does not abandon love ,a chi non abbandona l'amore
e mette molta fatica e voglia,and puts much effort and desire ,e mette molta fatica e voglia
a fare tale penitenza,into doing such penance ,a fare tale penitenza
come l'Amore impone,as Love imposes ,come l'Amore impone
su chi si fida di lui;,on the one who trusts him; ,su chi si fida di lui;
"e se uno sopporta volentieri la penitenza,","and if one bears the penance gladly, ","e se uno sopporta volentieri la penitenza,"
L'amore mette questo in una posizione elevata,Love puts this one in a high place ,L'amore mette questo in una posizione elevata
rispetto all'oggetto del suo desiderio:,with respect to the object of his desire: ,rispetto all'oggetto del suo desiderio:
Possa sorgere per me un giorno simile!,May such a day dawn for me! ,Possa sorgere per me un giorno simile!
"Per questo non dispero,","For this reason I do not despair, ","Per questo non dispero,"
ma ogni giorno speranza,but every day hope,ma ogni giorno speranza
"per favori, poiché, nella sua camera di tortura,","for favors, since, in his torture chamber, ","per favori, poiché, nella sua camera di tortura,"
Sono senza dolore,I am without pain ,Sono senza dolore
e sono legato lì così saldamente,and am bound there so securely ,e sono legato lì così saldamente
che non desidero un legato pontificio,that I do not wish a papal legate ,che non desidero un legato pontificio
per sciogliere sempre i miei legami:,to ever loose my bonds: ,per sciogliere sempre i miei legami:
"se altri possono trarne profitto, siano sciolti!","if others may profit from it, let them be loosed! ","se altri possono trarne profitto, siano sciolti!"
Perché desidero essere legato all'Amore,For I wish to be bound to Love ,Perché desidero essere legato all'Amore
qualunque cosa la Ragione possa sostenere;,no matter what Reason may allege; ,qualunque cosa la Ragione possa sostenere;
"L'amore protegge il mio cuore da lei,","Love protects my heart from her, ","L'amore protegge il mio cuore da lei,"
e non si occupa più di lei;,and it is no longer concerned with her; ,e non si occupa più di lei;
"si dichiara una dea,","she declares herself a goddess, ","si dichiara una dea,"
ma lei non lo è mai stata né mai lo sarà.,but she never was nor ever will be one. ,ma lei non lo è mai stata né mai lo sarà.
La ragione censura e scredita l'Amore,Reason censures and disparages Love ,La ragione censura e scredita l'Amore
"e dice che è disonorevole,","and says that he’s dishonorable, ","e dice che è disonorevole,"
ma non certo con me:,but certainly not with me:,ma non certo con me:
perché da lei lo so per certo,because from her I know for sure ,perché da lei lo so per certo
che chiunque può essere sconfitto;,that anyone can be defeated; ,che chiunque può essere sconfitto;
attacca l'Amore come meglio sa.,she attacks Love as best she knows how. ,attacca l'Amore come meglio sa.
"E lei mi dice: ""Stolto,","And she says to me: “Foolish one, ","E lei mi dice: ""Stolto,"
perché ti sforzi così stupidamente?,why do you strive so foolishly ,perché ti sforzi così stupidamente?
avere una tale signoria?,to have such a lordship? ,avere una tale signoria?
Voglio dire che chiunque,I mean that whoever ,Voglio dire che chiunque
porta il suo sigillo ha un signore terribile.,bears his seal has a terrible lord. ,porta il suo sigillo ha un signore terribile.
Per me stesso non metto il mio sigillo,For myself I do not put my seal ,Per me stesso non metto il mio sigillo
"su qualsiasi carta che porta il suo timbro,","on any paper that bears his stamp, ","su qualsiasi carta che porta il suo timbro,"
"perché la felicità è troppo breve e fugace,","for happiness is too short and fleeting, ","perché la felicità è troppo breve e fugace,"
e spiacevolezza troppo a lungo.,and unpleasantness much too long. ,e spiacevolezza troppo a lungo.
Ora taglia i tuoi legami e vai lontano,Now cut your bonds and go far away ,Ora taglia i tuoi legami e vai lontano
"da lui, perché la natura dell'amore è tale che,","from him, for Love’s nature is such that, ","da lui, perché la natura dell'amore è tale che,"
"evita chi si allontana da lui,","he shuns the one who gets away from him, ","evita chi si allontana da lui,"
e va dall'altra parte.,and goes the other way. ,e va dall'altra parte.
"Quindi, non seguire la sua strada,","Thus, do not follow his path, ","Quindi, non seguire la sua strada,"
se vuoi fuggire da lui;,if you want to escape from him; ,se vuoi fuggire da lui;
altrimenti stai arando un brutto campo,otherwise you are plowing a bad field,altrimenti stai arando un brutto campo
in cui il buon grano non crescerà;,in which good grain will not grow; ,in cui il buon grano non crescerà;
"anzi, chi vi semina","indeed, whoever sows there ","anzi, chi vi semina"
perderà il suo seme.,will lose his seed. ,perderà il suo seme.
"Per l'amor di Dio, vattene","For God’s sake, get away ","Per l'amor di Dio, vattene"
"da quel falso piacere,","from that false pleasure, ","da quel falso piacere,"
"e lascia che il mio piacere sia tuo,","and let my pleasure be yours, ","e lascia che il mio piacere sia tuo,"
perché è perfetto,for it is perfect ,perché è perfetto
e dà gioia senza fine.,and gives unending joy. ,e dà gioia senza fine.
Il dio in cui riponi la tua fede,The god in whom you put your faith ,Il dio in cui riponi la tua fede
"non ti darà alcuna garanzia,","will give you no guarantees, ","non ti darà alcuna garanzia,"
tranne quelli che la fortuna dà.,except those that Fortune gives. ,tranne quelli che la fortuna dà.
"Sarai in una grande tempesta,","You will be in a great storm, ","Sarai in una grande tempesta,"
se non trovi un porto sicuro,if you do not find a safe harbor ,se non trovi un porto sicuro
"secondo quello che ti ho detto,","according to what I’ve told you, ","secondo quello che ti ho detto,"
e se non ti aggrappi a me,and if you don’t cling to me ,e se non ti aggrappi a me
e impara da quello che ho detto.,and learn from what I’ve said. ,e impara da quello che ho detto.
"Ora rispondimi e parla,","Now answer me and speak, ","Ora rispondimi e parla,"
perché c'è ancora molto tempo,for there’s still a lot of time ,perché c'è ancora molto tempo
che tu mi dia la tua risposta;,for you to give me your answer; ,che tu mi dia la tua risposta;
ma non rifiutare semplicemente,but don’t simply reject ,ma non rifiutare semplicemente
quello che ho proposto.,what I’ve proposed. ,quello che ho proposto.
Dimmi se ho inquadrato bene il problema.,Tell me if I’ve framed the problem well.”,Dimmi se ho inquadrato bene il problema.
"E, dopo che avevo sentito","And, after I had heard","E, dopo che avevo sentito"
"Ragione, che era intenta","Reason, who was intent","Ragione, che era intenta"
per avermi allontanato dalla regola,upon leading me away from the rule,per avermi allontanato dalla regola
"d'Amore, che reggi il mondo,","of Love, who rules the world,","d'Amore, che reggi il mondo,"
"Le ho detto: “Ragione,","I said to her: “Reason,","Le ho detto: “Ragione,"
Ho un buon arrangiamento,I have a sound arrangement,Ho un buon arrangiamento
"con Amore, e siamo molto felici","with Love, and we are very happy","con Amore, e siamo molto felici"
"con il nostro accordo,","with our agreement,","con il nostro accordo,"
ed è scritto nel mio libro mastro,and it’s written in my ledger,ed è scritto nel mio libro mastro
che non sono più in debito con te.,that I’m no longer indebted to you.,che non sono più in debito con te.
Quel conto è chiuso;,That account is closed;,Quel conto è chiuso;
per questo motivo ti considero - e ti ho considerato,for which reason I do - and did - consider you,per questo motivo ti considero - e ti ho considerato
"essere tutto spazzato via, mentre vanno queste cose,","to be all washed up, as these matters go,","essere tutto spazzato via, mentre vanno queste cose,"
da quando ho fatto il mio patto,ever since I made my pact ,da quando ho fatto il mio patto
"con Amore, a cui Dio possa tendere la mano,","with Love, to whom may God extend a hand, ","con Amore, a cui Dio possa tendere la mano,"
e possa tenermi sempre sano e salvo.,and may he always keep me safe and sound. ,e possa tenermi sempre sano e salvo.
Vuoi impedirmi di amare,You want to keep me from loving ,Vuoi impedirmi di amare
"e dici che l'amore è amaro,","and you say that Love is bitter, ","e dici che l'amore è amaro,"
"ma l'ho trovato dolce e perfetto,","but I have found him sweet and perfect, ","ma l'ho trovato dolce e perfetto,"
e mi è piaciuto e mi piacerà,and I liked and will like ,e mi è piaciuto e mi piacerà
"il suo inizio e la sua fine,","his beginning and end, ","il suo inizio e la sua fine,"
perché in lui c'è un grande piacere.,because in him there is great pleasure. ,perché in lui c'è un grande piacere.
"Ora, come potrei vivere?","Now, how could I live? ","Ora, come potrei vivere?"
Chi vive nel mondo,Whoever lives in the world ,Chi vive nel mondo
vive male senza Amore:,lives badly without Love: ,vive male senza Amore:
senza Amore è orfano,without Love he is bereft ,senza Amore è orfano
"d'ogni buona virtù,","of every good virtue, ","d'ogni buona virtù,"
e non può compiere buone azioni;,and he cannot perform good deeds; ,e non può compiere buone azioni;
senza Amore c'è spiacevolezza,without Love there is unpleasantness ,senza Amore c'è spiacevolezza
che seduce colui che abita con lei,who entices the one who dwells with her,che seduce colui che abita con lei
andare direttamente sul posto,to go straight to the place ,andare direttamente sul posto
dove Envy ha la sua casa.,where Envy has her home. ,dove Envy ha la sua casa.
"Pertanto, non ti credo,","Therefore, I don’t believe you, ","Pertanto, non ti credo,"
anche se dicessi il Credo,even if you were to say the Creed ,anche se dicessi il Credo
"e il Padre Nostro e l'Ave Maria,","and the Our Father, and the Hail Mary, ","e il Padre Nostro e l'Ave Maria,"
poiché in te c'è così poca saggezza.,for so little wisdom is in you. ,poiché in te c'è così poca saggezza.
"Addio, perché me ne vado,","Goodbye, for I am leaving, ","Addio, perché me ne vado,"
e tornerò ad essere un amante perfetto,and I will return to being a perfect lover ,e tornerò ad essere un amante perfetto
per comporre un'altra parte,in order to compose another part,per comporre un'altra parte
"per descrivere quanto è ben proporzionata,","to describe how well proportioned she is, ","per descrivere quanto è ben proporzionata,"
"sia nel suo corpo che nelle sue membra,","both in her body and in her members, ","sia nel suo corpo che nelle sue membra,"
proprio come li ricordo.,just as I remember them.”,proprio come li ricordo.
La sua bella capigliatura,Her fine head of hair ,La sua bella capigliatura
"sembra fatto d'oro,","seems fashioned of gold, ","sembra fatto d'oro,"
"fili dorati che mi conquistarono,","golden strands that conquered me, ","fili dorati che mi conquistarono,"
e con questi comincerò.,and with these I’ll begin.,e con questi comincerò.
Il suo bel viso,Her lovely face ,Il suo bel viso
non assomiglia alla cera;,does not resemble wax; ,non assomiglia alla cera;
"anzi, è così radioso e bello","indeed, it is so radiant and beautiful ","anzi, è così radioso e bello"
che il mio cuore si compiaccia,that my heart takes satisfaction ,che il mio cuore si compiaccia
"nel non paragonarlo mai agli altri,","in never comparing it to others, ","nel non paragonarlo mai agli altri,"
è una cosa così bella.,such a lovely thing it is. ,è una cosa così bella.
La sua fronte e le sue sopracciglia sorpassano,Her forehead and her eyebrows surpass ,La sua fronte e le sue sopracciglia sorpassano
la bellezza di ogni altra donna:,the beauty of every other woman:,la bellezza di ogni altra donna:
sono così perfettamente arcuati,they are so perfectly arched ,sono così perfettamente arcuati
che hanno rivolto i miei pensieri,that they have turned my thoughts ,che hanno rivolto i miei pensieri
"verso lei, che mi dà","toward her, who gives me ","verso lei, che mi dà"
con il suo sguardo dolce,with her sweet look ,con il suo sguardo dolce
più felicità di qualsiasi gioiello.,more happiness than any jewel. ,più felicità di qualsiasi gioiello.
Nessuno su cui guarda,No one on whom she gazes ,Nessuno su cui guarda
"è preoccupato per qualsiasi malattia,","is concerned about any sickness,","è preoccupato per qualsiasi malattia,"
così bello è il suo volto.,so lovely is her countenance. ,così bello è il suo volto.
Le pupille dei suoi occhi sono così brillanti,The pupils of her eyes are so brilliant ,Le pupille dei suoi occhi sono così brillanti
che tolgono la luce del sole,that they take away the sun’s light ,che tolgono la luce del sole
e oscurarlo ed eclissarlo,and darken and eclipse it ,e oscurarlo ed eclissarlo
proprio come fa il sole con la luna.,just as the sun does to the moon. ,proprio come fa il sole con la luna.
Per questo motivo ho messo,For this reason I’ve put ,Per questo motivo ho messo
"tutta la mia speranza in quella stella,","all my hope in that star, ","tutta la mia speranza in quella stella,"
"e poiché vivo così bene con lei,","and since I live so well with her, ","e poiché vivo così bene con lei,"
Non desidero altro regno terreno.,I desire no other earthly realm. ,Non desidero altro regno terreno.
"La bocca, il naso e il mento",Her mouth and nose and chin ,"La bocca, il naso e il mento"
sono più belle -e non mento-,are more beautiful -and I don’t lie- ,sono più belle -e non mento-
di quelli che aveva Helen;,than those that Helen had;,di quelli che aveva Helen;
e il suo alito è più fragrante,and her breath is more fragrant ,e il suo alito è più fragrante
di qualsiasi pantera.,than any panther.,di qualsiasi pantera.
"Per questo motivo ho, in buona fede,","For this reason I have, in good faith, ","Per questo motivo ho, in buona fede,"
si mosse verso la sua rete,moved toward her net,si mosse verso la sua rete
e vi sono inciampati;,and have stumbled into it; ,e vi sono inciampati;
e così è successo,and thus it’s happened ,e così è successo
che sono stato così saldamente intrappolato lì,that I’ve been so firmly ensnared there ,che sono stato così saldamente intrappolato lì
"che mai, per mia scelta,","that never, by my own choice, ","che mai, per mia scelta,"
lo lascerò.,will I leave it. ,lo lascerò.
La sua gola e il suo seno,Her throat and her breast ,La sua gola e il suo seno
sono così splendenti che,are so resplendent that ,sono così splendenti che
Mi sembra di essere alla presenza di Dio,I seem to be in God’s presence ,Mi sembra di essere alla presenza di Dio
in quel giorno in cui guardo quella dea.,on that day in which I look upon that goddess. ,in quel giorno in cui guardo quella dea.
Così bianca e cremosa è lei,So white and creamy is she ,Così bianca e cremosa è lei
che nessuna creatura è mai stata,that no creature has ever been ,che nessuna creatura è mai stata
nato che è degno come lei.,born who is as worthy as she. ,nato che è degno come lei.
"Lei è molto preziosa per me,","She is most precious to me, ","Lei è molto preziosa per me,"
perché lei mi ha guidato,for she guided me ,perché lei mi ha guidato
per fare uno studio completo della legge,to make a full study of the law ,per fare uno studio completo della legge
"che Amore segue nella sua corte,","that Love follows in his court, ","che Amore segue nella sua corte,"
dove non ci sono leggi inutili.,where there are no useless laws. ,dove non ci sono leggi inutili.
"Le sue mani e le sue braccia sono sottili,","Her hands and arms are slender, ","Le sue mani e le sue braccia sono sottili,"
e chi l'abbraccia,and whoever embraces her ,e chi l'abbraccia
"non soffre mai alcun male,","never suffers any ill, ","non soffre mai alcun male,"
"nessuna malattia renale, nessuna gotta:","no kidney disease, no gout: ","nessuna malattia renale, nessuna gotta:"
la sua nobile condizione,her noble condition ,la sua nobile condizione
mette tutti quelli che la guardano,puts everyone who gazes at her ,mette tutti quelli che la guardano
in uno stato beato.,in a blissful state. ,in uno stato beato.
Per questo il mio cuore guarda,For this reason my heart gazes ,Per questo il mio cuore guarda
"nel suo giorno e notte,","on her day and night, ","nel suo giorno e notte,"
"e con il pensiero di lei saluto sempre l'aurora,","and with thoughts of her I always greet the dawn, ","e con il pensiero di lei saluto sempre l'aurora,"
"perché Amore ha voluto così,","because Love has willed it so, ","perché Amore ha voluto così,"
né il mio cuore ha chiesto,nor has my heart asked ,né il mio cuore ha chiesto
"se tutto questo potesse finire,","if this could come to an end, ","se tutto questo potesse finire,"
perché vorrebbe amare senza fine.,for it would want to love endlessly. ,perché vorrebbe amare senza fine.
"E quando va per strada,","And when she goes along the street, ","E quando va per strada,"
tutti la desiderano,everyone desires her ,tutti la desiderano
per il suo nobile movimento;,for her noble movement;,per il suo nobile movimento;
"e quando parla con qualcuno,","and when she speaks with someone, ","e quando parla con qualcuno,"
parla così dolcemente,she speaks so sweetly ,parla così dolcemente
che sembra la voce di un angelo.,that it seems to be an angel’s voice. ,che sembra la voce di un angelo.
La sua danza e il suo canto,Her dancing and singing ,La sua danza e il suo canto
sono più incantevoli di quelli,are more enchanting than those ,sono più incantevoli di quelli
"di ogni sirena,","of any siren,","di ogni sirena,"
perché calmano l'atmosfera.,for they calm the atmosphere. ,perché calmano l'atmosfera.
Quando inizia a parlare,When she begins to speak ,Quando inizia a parlare
"ogni nuvola lascia il cielo,","every cloud leaves the sky, ","ogni nuvola lascia il cielo,"
e l'aria rimane cristallina.,and the air remains crystal clear. ,e l'aria rimane cristallina.
Per questo il mio cuore è così fedele,For this reason my heart is so faithful ,Per questo il mio cuore è così fedele
che non cercherà mai di scambiarla,that it will never seek to exchange her ,che non cercherà mai di scambiarla
per un altro in ogni caso:,for another at any rate: ,per un altro in ogni caso:
perché è di tale valore,for she is of such worth ,perché è di tale valore
che non ho mai trovato nessuno,that I could never find any ,che non ho mai trovato nessuno
tesoro che sarebbe uguale a lei.,treasure that would be equal to her. ,tesoro che sarebbe uguale a lei.
"Amore, quindi aiutami Dio,","Love, so help me God, ","Amore, quindi aiutami Dio,"
"la considererei una follia,","would consider it madness, ","la considererei una follia,"
e sarei davvero stolto o malvagio,and I would indeed be foolish or wicked ,e sarei davvero stolto o malvagio
se dovessi considerare questo a tutti.,if I were to consider this at all. ,se dovessi considerare questo a tutti.
Ma l'Amore ha così precisamente,But Love has so precisely ,Ma l'Amore ha così precisamente
l'ha dipinta nella mia mente,painted her in my mind ,l'ha dipinta nella mia mente
"che, non importa se dormo o sono sveglio,","that, no matter if I sleep or am awake, ","che, non importa se dormo o sono sveglio,"
La vedo dipinta nel mio cuore.,I see her painted in my heart.,La vedo dipinta nel mio cuore.
Non è mai stato un assassino,Never was an assassin ,Non è mai stato un assassino
"così ben disposto verso il Vecchio,","so willingly disposed to the Old Man,","così ben disposto verso il Vecchio,"
"né il Prete Giovanni a Dio,","nor Prester John to God, ","né il Prete Giovanni a Dio,"
come devo servire per amore,as I am to serve for love ,come devo servire per amore
per le tante virtù che possiede.,because of the many virtues she possesses.,per le tante virtù che possiede.
E se trova pietà in lei,And if find pity in her ,E se trova pietà in lei
o se mi è concesso,or if I am granted ,o se mi è concesso
"una piccola parte del suo amore,","a little portion of her love, ","una piccola parte del suo amore,"
"sarò più felice,","I will be happier, ","sarò più felice,"
"per il suo grande valore,","because of her great worth, ","per il suo grande valore,"
che se possedessi Valencia.,than if I were to possess Valencia.,che se possedessi Valencia.
Se la gelosia ha in se stessa l'abilità,If Jealousy has in herself the ability ,Se la gelosia ha in se stessa l'abilità
"per portarmela via,","to take her away from me, ","per portarmela via,"
allora il Dio dell'Amore mi sta mentendo.,then the God of Love is lying to me. ,allora il Dio dell'Amore mi sta mentendo.
Perché ricordo bene,For I remember well ,Perché ricordo bene
"che piacere mi ha offerto,","what pleasure he offered me, ","che piacere mi ha offerto,"
purché lo servissi fedelmente.,provided that I would serve him faithfully. ,purché lo servissi fedelmente.
Per essere sicuri c'è un più breve,To be sure there is a shorter ,Per essere sicuri c'è un più breve
"modo, ma non lo prendo,","way, but I do not take it, ","modo, ma non lo prendo,"
"per cui non ho profitto,","for which I have no profit, ","per cui non ho profitto,"
dal momento che ho potuto inserire solo uno,since I could enter only one ,dal momento che ho potuto inserire solo uno
passare attraverso quella porta.,step through that door. ,passare attraverso quella porta.
"A guardia del passaggio c'è la ricchezza,","Guarding the passage is Riches, ","A guardia del passaggio c'è la ricchezza,"
chi non ha un aspetto gentile,who does not look kindly ,chi non ha un aspetto gentile
su coloro che non la tengono cara.,on those who do not hold her dear. ,su coloro che non la tengono cara.
Eppure ero così saggio,And yet I was so wise ,Eppure ero così saggio
che ho fatto un tentativo,that I made an attempt ,che ho fatto un tentativo
per vedere se potevo andare oltre.,to see if I could go beyond. ,per vedere se potevo andare oltre.
"State sprecando il vostro tempo,","“You are wasting your time,”","State sprecando il vostro tempo,"
mi disse con uno sguardo aspro.,she said to me with a harsh look. ,mi disse con uno sguardo aspro.
"“Non mi conosci,","“You aren’t known to me, ","“Non mi conosci,"
e per questo vi proibisco il passaggio.,and for this reason I forbid your passage. ,e per questo vi proibisco il passaggio.
"Non è perché sei vecchio,","It’s not because you’re old, ","Non è perché sei vecchio,"
"ma poiché non mi hai mai conosciuto,","but because you’ve never made my acquaintance, ","ma poiché non mi hai mai conosciuto,"
"e infatti mi resisti,","and, in fact, you resist me, ","e infatti mi resisti,"
e sono ostile a chiunque,and I am hostile to anyone ,e sono ostile a chiunque
chi mi evita.,who avoids me. ,chi mi evita.
"Vai per la tua strada, e fai il meglio che puoi,","Go on your way, and do the best you can, ","Vai per la tua strada, e fai il meglio che puoi,"
per questo lo so bene: l'abile cacciatore,for this I know well: the able hunter ,per questo lo so bene: l'abile cacciatore
catturerà sicuramente la sua preda.,will certainly catch his prey. ,catturerà sicuramente la sua preda.
Se lo fai in modo che Venere dichiari,If you do it so that Venus declares,Se lo fai in modo che Venere dichiari
"guerra alla gelosia,","war on Jealousy, ","guerra alla gelosia,"
"la seconda, anche se ha freddo,","the latter, even though she’s cold, ","la seconda, anche se ha freddo,"
"dovrà arrendersi,","will have to surrender, ","dovrà arrendersi,"
e la tua signora ti ricompenserà,and your lady will reward you,e la tua signora ti ricompenserà
per il tuo servizio,for your service ,per il tuo servizio
senza alcun costo per te.,without any cost to you. ,senza alcun costo per te.
Ma tieni presente questo:,But keep this in mind: ,Ma tieni presente questo:
se un giorno vorrai trattare con me,if one day you wish to deal with me ,se un giorno vorrai trattare con me
assicurati di portare oro e argento;,be sure to bring gold and silver; ,assicurati di portare oro e argento;
Ti aprirò la porta,I will open the door for you ,Ti aprirò la porta
senza la tua guerra.,without your waging war. ,senza la tua guerra.
E così sarai il benvenuto,And so you will be welcomed ,E così sarai il benvenuto
dal malvagio Folle Larghezza,by the evil Folle Larghezza,dal malvagio Folle Larghezza
che scioglierà i cordoni della borsa,who will loosen the purse strings ,che scioglierà i cordoni della borsa
e farà grandi provviste,and will lay in great supplies ,e farà grandi provviste
di sale e articoli da dispensa,of salt and pantry items ,di sale e articoli da dispensa
e vestiti e vini.,and clothes and wines. ,e vestiti e vini.
La povertà è la sua serva:,Poverty is her servant: ,La povertà è la sua serva:
Ti deruberà,She’ll rob you ,Ti deruberà
"e prendi i tuoi vestiti,","and take your clothes, ","e prendi i tuoi vestiti,"
compresi i tuoi bei pantaloni,including your nice trousers ,compresi i tuoi bei pantaloni
"che non indosserai mai più,","that you’ll never wear again, ","che non indosserai mai più,"
"e la tua camicia e la tua biancheria,","and your shirt and undergarments, ","e la tua camicia e la tua biancheria,"
se sei coinvolto con lei.,if you get involved with her. ,se sei coinvolto con lei.
Era la figlia di Cuor Fallito:,She was the daughter of Cuor Fallito:,Era la figlia di Cuor Fallito:
"per l'amor di Dio, statene certi","for God’s sake, be sure that ","per l'amor di Dio, statene certi"
quello che ti ho detto non resta inascoltato.,what I’ve told you doesn’t go unheeded. ,quello che ti ho detto non resta inascoltato.
"Sii fedele a me,","Be loyal to me, ","Sii fedele a me,"
e mostra la tua buona volontà,and show your good will ,e mostra la tua buona volontà
avere il mio favore;,to have my favor; ,avere il mio favore;
"perché la povertà è, infatti,","for Poverty is, in fact, ","perché la povertà è, infatti,"
l'epitome di ogni dolore.,the epitome of every sorrow.,l'epitome di ogni dolore.
Non te l'ho ancora detto,I have not yet told you ,Non te l'ho ancora detto
su uno dei suoi famosi figli:,about one of her notorious sons: ,su uno dei suoi famosi figli:
lo chiamano Imbolare;,they call him Imbolare;,lo chiamano Imbolare;
"chi non si difende contro di lui,","anyone who makes no defense against him, ","chi non si difende contro di lui,"
"quello conduce al patibolo,","that one he leads to the gallows, ","quello conduce al patibolo,"
là dove la sua unica scelta,there where his only choice ,là dove la sua unica scelta
è salire le scale;,is to climb the stairs; ,è salire le scale;
"lì tutte le cose belle finiscono,","there all good things come to an end, ","lì tutte le cose belle finiscono,"
e balla al suono del vento,and he dances to the sound of the wind ,e balla al suono del vento
senza mai riposare.,without ever having rest. ,senza mai riposare.
"Ora che ti ho letto il salmo,","Now that I’ve read you the psalm, ","Ora che ti ho letto il salmo,"
"Credo che tu lo sappia ormai a memoria,","I believe you know it now by heart, ","Credo che tu lo sappia ormai a memoria,"
così chiaramente te l'ho spiegato.,so clearly I’ve explained it to you. ,così chiaramente te l'ho spiegato.
"Se mai vorrai essere un conforto per me,","If you ever wish to be a comfort to me, ","Se mai vorrai essere un conforto per me,"
pensare di diventare un insegnante,think of becoming a teacher ,pensare di diventare un insegnante
di quell'argomento che ti sto insegnando qui:,of that subject I’m teaching you here: ,di quell'argomento che ti sto insegnando qui:
"considera che la Povertà non è tua serva,","consider that Poverty is not your servant, ","considera che la Povertà non è tua serva,"
"né ti servirà mai,","nor will she ever serve you, ","né ti servirà mai,"
"perché il suo servizio è cattivo,","because her service is bad, ","perché il suo servizio è cattivo,"
