Original,Translate,Translate_GPT_1
"E saramento gli feci, e omaggio,",En ik prees hem serene.,En vreedzaam gaf ik hen respect.
E per più sicurtà gli diedi in gaggio,"En als een verdere garantie, gaf ik hem een belofte.","Als verdere verzekering, gaf ik hem onder garantie"
"Il cor, ch’e’ non avesse gielosia","het hart, dat was niet jaloers","Het hart, dat was niet jaloers"
"Ched i’ fedel e puro i’ no•gli sia,",om hem niet trouw te zijn,Hou je niet aan hem vast.
E senpre lui tener a Segniò•Maggio.,En houd hem altijd als mijn heer en meester.,en hem altijd als mijn heerser en heerser te houden.
"Allor que’ prese il cor e disse: «Amico,","Toen nam hij mijn hart en zei: ""Vriend,","Kort daarna nam hij mijn hart en verklaarde: ""Kameraad,"""
I’ son segnior assa’ forte a servire;,Ik ben een zeer veeleisende heer om te dienen.,Ik ben een zeer veeleisende heer om te behagen.
"Ma chi mi serve, per cierto ti dico,","Maar voorwaar zeg Ik u: Die Mij dient,","Ik zeg het je, wie ik nodig heb?"
"Ch’ala mia grazia non può già fallire,",Hij zal nooit falen om mijn gunst te winnen.,Hij zal nooit falen om mijn waardering te winnen.
"E di buona speranza i’ ’l mi notrico,",en ik zal hem voeden met goede hoop,En ik zal hem met optimisme voeden.
Infin ch’i’ gli fornischa su’ disire».,Totdat ik je wens vervuld heb.,Totdat ik zijn verlangen bevredigd heb.
Con una chiave d’oro mi fermò il core,"Met een gouden sleutel, heeft de liefde mijn hart gesloten,","Met een gouden sleutel, verzegelde liefde mijn hart,"
"L’Amor,    quando così m’ebe parlato,","Liefde, na met mij te hebben gepraat,","Liefde, na het ontmaskeren van mij,"
"Ma prima mente l’à nett’e parato,",Maar eerst heeft hij zich gereinigd en voorbereid.,"Ten eerste, hij zuiverde en bereidde zich voor."
Sì c’ogni’altro pensier n’à pinto fore.,Zodat hij alle andere gedachten zou wegjagen.,Zodat hij elke andere gedachte uitdreef.
"E’ po’ mi disse: «I’ sì son tu’ signiore,","En hij zeide tot mij: Waarlijk, ik ben uw Heer.","Toen zei hij tegen mij: ""Ik ben jullie heerser."""
E tu sì sè di me fedel giurato.,En jij bent een loyaal jurylid voor mij.,Je bent een trouwe getuige voor mij.
Or guarda che ’l tu’ cuor    non sia ’mpacciato,Zorg dat je hart het niet druk heeft.,Zorg ervoor dat je hart niet druk is.
Se non di fino e di leal amore.,met alles behalve nobele en ware liefde.,met een passie verre van nobel en oprecht te zijn.
E pensa di portar in pacienza,En vergeet niet geduldig te zijn.,Vergeet niet geduldig te zijn.
"La pena, che per me avra’ a sofrire,","de pijn die je zult lijden door mij,",de straf die je zult ondergaan door mij.
"Inanzi ch’io ti doni mia sentenza,",Voordat ik je mijn oordeel geef.,Voordat ik je mijn straf geef.
Ché molte volte ti parrà morire:,Zo vaak dat je denkt dat je gaat sterven:,Dat je vaak droomt van uitsterven.
"Un’ora gioia avrai, altra, doglienza.","Het ene uur zul je gelukkig zijn, het andere uur verdrietig,","Het ene moment zul je gelukkig zijn, in een andere melancholie."
Ma po’ i’ dono argomento di guerire».,Maar dan geef ik je een remedie om te genezen.,Maar dan bied ik je een remedie om te genezen.
Con grande umilitate e pacienza,Met veel nederigheid en geduld,Met grote nederigheid en doorzettingsvermogen
"Promisi a Amor a sofferir sua pena,",Ik beloofde Liefde dat ik haar pijn zou lijden.,Ik beloofde Liefde dat ik haar kwelling zou delen.
"E c’ognie membro, ch’i’ avea, e vena","En dat elk deel van mij, dat ik heb,","en dat elk lid van mij, dat ik heb en slagader"
Disposat’era a farli sua voglienza;,Ze waren klaar om zijn wil te doen.,Ze waren klaar om zijn verlangen te vervullen.
E solo a lui servire la mia credenza,En alleen hij heeft mijn geloof nodig.,Alleen aan hem zal mijn geloof toegewijd zijn.
"È ferma, né di ciò mai nonn-alena,",en zal nooit ophouden met dit te doen:,En hij zal nooit stoppen met dat te doen.
"Insin ched i’ avrò spirito o lena,",Zolang ik leef en adem.,Zolang ik besta en adem.
I’ non farò da•cciò giama’ partenza.,Ik zal nooit afdwalen van deze belofte.,Ik zal het nooit oneens zijn met deze verklaring.
"E quelli allor mi disse: «Amico meo,",En zij zeiden tot mij: Mijn vriend!,"Hij zei: ""Mijn kameraad,"
I’ ò da•tte miglior pegnio che charte.,Jouw belofte is beter dan een schriftelijke belofte.,Uw symbool is superieur aan elke schriftelijke garantie.
"Fa che m’adori, ched i’ son tu’ Deo,",Laat u mij aanbidden omdat ik uw god ben.,Laat je mij aanbidden omdat ik je goddelijke ben.
"Ed ogn’altra credenza    metti a parte,",En wij zullen ieder ander geloof verdrijven.,"In de steek gelaten, in de steek gelaten, alle andere overtuigingen."
"Né non creder né Lucha, né Matteo,","geloof Luke of Matthew niet,",Vertrouw Luke of Matthew niet.
"Né Marco, né Giovanni». Allor si parte.","Niet aan Mark, niet aan John en dan vertrekt hij.","Noch aan Mark, noch aan John, en toen scheidde hij."
"Partes’Amor, su’ ale battendo,","Liefde begint met een knippering van vleugels,",Liefde begint met een knippering van vleugels.
"E ’n poca d’or sì forte isvanoio,",en in een oogwenk zo snel verdwenen,En in een oogwenk verdween hij snel.
"Ched i’  no ’l vidi poi, né no•ll’udio,",die ik nog nooit van hem heb gezien of gehoord;,"Ik heb het niet meer gezien, noch gehoord."
E•llui e ’l su’ soccorso ancor atendo.,En toch wacht ik nog steeds op hem en zijn hulp.,Ik wacht echter nog steeds op hem en zijn hulp.
Allor mi venni forte ristrignendo,Toen kwam ik steeds dichterbij.,Later kwam ik dichterbij.
"Verso del Fior, che•ssì forte m’ulio,",tot de Bloem wiens geur mij behekst heeft,Op de Bloem wiens aroma me betoverde.
"E per chu’ feci homagio a questo Dio,",En voor wie ik deze god eer bewezen heb.,En voor wie IK deze god devotie geef.
"E dissi: «Chi mi tien, ched i’  no ’l prendo?»","Ik zei: ""Wie houdt me tegen om het te verscheuren?""",Ik vroeg: wie verbiedt me om het te scheuren?
"Sì ch’i’ verso del Fior tesi la mano,","En zo strekte ik mijn hand uit naar de Bloem,",Dus hij buigt zijn hand naar de bloem.
"Credendolo  aver colto chitamente,",Ik dacht dat ik het vrij kon afhandelen.,Ik dacht dat ik het makkelijk aankon.
Ed i’  vidi venir un gran villano,"En ik zag een grote, onbeleefde man komen.","Ik zag een indrukwekkende, onbeleefde man aankomen."
Con una maza. E’ disse: «Or ti ste’ a mente,"met een stok in zijn hand, zeggende: ""Nu houd in gedachten.""","Met een stok in je hand, zeggend: Onthoud nu."
"Ch’i’  son lo Schifo, e sì son ortolano","dat ik het Verzet ben, en dat ik de bewaker ben",Ik ben de tegenstander en ik bescherm de soevereiniteit.
D’esto giardin. I’  ti  farò dolente».,Ik heb hem laten lijden.,Ik heb z'n lijden uitgelokt.
Molto vilmente mi buttò di fora,"Heel onbeleefd, hij gooide me eruit.","Met grote onbeleefdheid, schopte hij me eruit."
"Lo Schifo, crudo, fello e oltragioso,","het wrede, wrede en gewelddadige verzet;","Het meedogenloze, kwaadaardige en brute verzet."
"Sì ch’e’ del Fior non cred’esser gioioso,","zodat ik denk dat ik niet blij zal zijn met de Bloem,",Zodat ik denk dat ik geen voldoening krijg van de Bloem.
Se Pietate e Francheza no•ll’acora.,Tenzij Mercy en Eerlijkheid met hem vertrekken.,Tenzij mededogen en eerlijkheid met hem weggaan.
"Ma prima, credo, converà ch’eo mora,","Maar voordat dat gebeurt, denk ik dat ik ga sterven.","Voordat het gebeurt, denk ik dat ik doodga."
Perché ’l me’ cor stà tanto doglioso,omdat mijn hart zoveel pijn heeft,Aangezien mijn hart in zoveel lijden zit.
"Di quel villan,  che stava là nascoso,",Vanwege die cheesy man die zich daar verstopte.,Vanwege die luie man die zich daar verstopte.
Di chu’ non mi prendea guardia quell’ora.,en waartegen ik geen voorzorgsmaatregelen nam op dat cruciale moment.,en waartegen ik op dat beslissende moment geen veiligheidsmaatregelen heb genomen.
Or m’à messo in pensero e in dottanza,"Nu heb ik me zorgen en angst gemaakt,",Dit heeft me geschrokken en bang gemaakt.
"Di ciò, ched i’ credea aver per ciertano,",voor wat ik dacht dat ik zeker had,Voor wat ik dacht zeker te weten.
Sì c’or me ne par essere in bilanza.,Nu voelt het alsof hij in gevaar is.,Nu denk ik dat hij in gevaar is.
"E tutto ciò m’à fatto quello strano,",En dit heeft me allemaal zo'n wilde aangedaan!,En dit alles maakte me die barbaar!
"Ma di lui mi richiamo a Pietanza,","Maar ik zal een beroep doen op Barmhartigheid over hem,",Ik zal een beroep doen op Barmhartigheid op hem.
Che vengha a•llui collo spunton in mano.,Zodat hij het onder ogen kan zien met de speer in zijn hand.,Zodat hij hem kan confronteren met zijn zwaard in zijn hand.
"Se mastro Arghùs, che fecie la nave,","Als meester Argus, die het schip bouwde...","Als meester Argus, die het schip bouwde..."
"In che Giasòn  andò per lo tosone,","Dat Jason op zoek was naar de Golden Flea,",dat Jason op zoek was naar het Gouden Juweel
"E fecie a conto regole, e ragione,",en die de regels en logica voor de berekening hebben uitgevonden,en dat zij de regels en redelijkheid voor de berekening hebben bedacht
"E le diecie figure, com’on save,","En de tien numerieke tekens, zoals iedereen weet,","En de tien numerieke symbolen, zoals iedereen weet, zijn"
"Vivesse,  gli sarebe forte e grave","Als hij nog leefde, zou het moeilijk voor hem zijn.","Als hij nog leefde, zou het moeilijk voor hem zijn."
"Multiplicar ben ognie mia quistione,",om alle problemen te berekenen,"Verkennen, berekenen, alle vragen."
"C’Amor mi move sanza mesprigione,","Liefde geeft me, zonder fouten.","Liefde schenkt mij, zonder fouten."
"E di ciascuna porta esso la chiave,","En toch, voor elke deur buiten de sleutel,","Echter, voor elke vermelding is er de sleutel."
Ed àllemi nel cor fermate e messe,En ze stopte ze in mijn hart.,Ze maakte indruk op hen in mijn ziel.
"Con quella chiavicella, ch’i’ v’ò detto,",met die sleutel die ik je vertelde,met die sleutel die ik je liet zien
Per ben tenermi tutte sue promesse.,om al zijn beloftes aan mij te houden.,om al zijn verplichtingen met mij na te komen.
"Perch’io a•ssue merzé tuttor mi metto,",Daarom ben ik altijd klaar om zijn bevelen uit te voeren;,Daarom ben ik altijd klaar om zijn bevelen uit te voeren;
"Ma ben vore’ che, quando gli piaciesse,",Maar ik zou graag voor hem willen - wanneer hij maar wil -,"Echter, ik wens hem - wanneer hij hunkert -"
"E’ m’allegiasse il mal, che•ssì m’à stretto.",om de pijn te verlichten die me heeft genomen.,Om de kwelling te verzachten die me aanviel.
"Dogliendomi in pensando del villano,",Spijtig genoeg denkend aan de wilde,Denken met tegenzin over de wilde
"Che•ssì vilmente dal Fior m’à lungiato,",Die mij van den Bloem verjaagd heeft.,"Dat mij zo fel van de Bloem verjaagde,"
"Ed i’ mi riguardai dal dritto lato,",Ik keek aan mijn rechterkant,Ik heb mijn rechterkant onderzocht.
"E sì vid’i’ Ragion, col viso piano,","En ik zag de reden, dat, met een rustig gezicht,","Ik zag de logica, die, met een serene uitdrukking,"
"Venir verso di me, e per la mano",Hij pakte me bij de hand.,"Hij komt dicht bij me, hij greep me bij de hand."
Mi prese e disse: «Tu•ssè sì smagrato!,"Hij nam me mee en zei: ""Je bent zo subtiel geworden!","Hij greep me en zei: ""Je bent zo dun geworden!"""
I’ credo che•ttu à’ troppo pensato,Ik denk dat je te veel nagedacht hebt.,Ik denk dat je teveel hebt gemediteerd.
"A que’, che•tti farà gittar in vano,",Over wat je tevergeefs laat werken:,In relatie tot wat je nutteloos laat werken.
"Ciò è Amor, a chui dat’ài fidanza.","Die persoon is Liefde, aan wie je trouw hebt gegeven.","Die persoon is het Affetto, aan wie je loyaliteit gaf."
"Ma•sse m’avessi avuto al tu’ consiglio,","Maar als ik had geluisterd naar mijn advies,","Als ik mijn suggestie had opgevolgd,"
"Tu non saresti gito co•llui a danza,",Je zou niet met hem gaan dansen.,Je zou niet met hem dansen.
"Ché sie ciertano,   a chu’ e’ dà di piglio,",Want je kunt er zeker van zijn wat hij pakt.,Want je kunt er zeker van zijn wat hij zegt.
"Egli ’l tiene in tormento e malenanza,",Hij wordt gekweld en bedroefd.,Hij houdt zichzelf in kwelling en lijden.
Sì che su’ viso non è ’n mai vermiglio».,zodat zijn gezicht nooit rood zal zijn.,Zodat zijn gezicht nooit wrijft.
Udendo che Ragion mi gastigava,Het gevoel dat die reden me berispte.,Luisteren naar die logica was mij aan het uitschelden
"Perch’i’ al Die d’Amor era ’nservito,","tot mijn dienstbaarheid aan de God der Liefde,","Voor mijn toewijding aan de God van Slice,"
"Di ched i’ era forte inpalidito,",Waarvoor ik zo bleek geworden was.,Waarvoor ik zo bleek geworden was.
"E sol perch’io a•llui troppo pensava,","En omdat ik te veel aan hem heb gedacht,",Gewoon omdat ik te veel aan hem heb gedacht.
"I’ le dissi: «Ragion, e’ no•mi grava","Ik zei tegen haar: ""Het spijt me, de pijn die ze heeft is niet zwaar.""","Ik zei tegen haar: ""Ray, de kwelling die hij veroorzaakt is niet belastend."""
"Su’ mal, ch’i’ ne sarò tosto guerito,","Op mij, want ik zal spoedig genezen,","over mij, want ik zal snel herstellen."
Ché questo mio signior lo m’à gradito».,Omdat mijn Heer het me beloofd heeft.,Omdat deze soeverein van mij me ervan heeft verzekerd.
"E ch’era folle se più ne parlava,",En die reden was gek als hij erover bleef praten.,En die motivatie was gek als ze erover bleef ruziën.
"«Chéd i’ son fermo pur di far su’ grado,","Omdat ik alleen bereid ben om hem te behagen,",Omdat ik alleen klaar ben om hem tevreden te stellen.
Perciò ch’e’ mi promise fermamente,Sinds hij me solide beloftes heeft gedaan.,Sinds hij me concrete garanties gaf
"Ched e’ mi metterebe in alto grado,","Dat zou me op een hoge plaats zetten,",Dat zou me in een hoge positie brengen.
Sed i’ ’l servisse bene e lealmente».,Als ik hem goed en trouw diende.,Als ik hem goed en loyaal diende.
"Perché di lei i’ non pregiava  un dado,","Dus, ik gaf helemaal niets om haar,",Dus ik gaf helemaal niets om haar.
Né su’ consiglio i’ non teneva a mente.,"Ik wist het niet meer, noch heb ik je advies opgevolgd.",Ik herinner me of gehoorzaamde uw suggestie niet.
"Ragion si parte, udendomi parlare.","Na het luisteren naar mij praten, gaat de rede weg,","Na het luisteren naar mij praten, gaat de rede weg,"
E’ me fu ricordato ch’i’ avea,en ik herinnerde me dat ik had,Ik realiseerde me dat ik...
"Un grande Amico, lo qual mi solea","een trouwe vriend, die me meestal troostte","Een trouwe bondgenoot, die me meestal troostte."
"In ognie mio sconforto confortare,",Elke keer als ik me ongemakkelijk voelde.,Elke keer als ik me zorgen maakte...
"Sì ch’i’ no ’l misi guari a ritrovare,",Ik vond het vrij snel.,Ik vond het vrij snel.
E disigli com’e’ si contenea,en vertelde hem hoe hij zich gedroeg,"En hij vertelde hem hoe hij zich gedroeg: hij handelde, hij opereerde."
"Lo Schifo ver’ di me, e ch’e’ parea","het verzet tegen mij, en dat leek","Het verzet tegen mij, en dat verscheen"
Ch’al tutto mi volesse guereggiare.,Hij wilde niets beters dan met mij vechten.,Hij wilde alleen maar met me vechten.
"E que’ mi disse: «Amico, sta sicuro,","En hij zei tegen me: ""Maak je geen zorgen,","En hij zeide tot mij: Kameraad, vrees niet:"
Ché quello Schifo si à senpre in usanza,want het is Custom Clostrids Weerstand,want het is Custom Clostriidae Resistance
Ch’a cominciar   si mostra acierbo e duro.,om eerst bitter en hard te zijn.,Wees eerst bitter en stijf.
Ritorna a•llui e non abie dottanza,Ga terug naar hem en wees niet bang:,Keer terug naar hem en wees niet bang.
"Con umiltà tosto l’avra’ maturo,",Door nederigheid zult gij hem verzachten.,"Door nederigheid te tonen, zal je het snel verzachten."
Già tanto non par   fel né san’ pietanza».,Hoe wreed en meedogenloos het ook mag lijken.,Het maakt niet uit hoe bruut en meedogenloos het mag lijken.
Tutto pien d’umiltà verso ’l giardino,Vol zachtmoedigheid keerde ik naar de tuin,"Vol mildheid, draaide ik me naar de tuin."
"Torna’mi, con’ Amico avea parlato,",Net zoals Vriend zei dat ik het moest doen.,"Zoals Vriend had voorgesteld dat ik,"
"Ed i’ guardai, e sì ebi avisato",En ik keek en zag,Onderzoek en evaluatie
"Lo Schifo, con un gran baston di pino,","Verzet, met een grote dennenclub,","Verzet, met een enorme vereniging van dennen."
"Ch’andava riturando ognie camino,","die elke doorgang blokkeerde,",die alle vooruitgang in de weg stonden.
Che dentro a forza non vi fosse ’ntrato.,Dus ik kon er niet in.,Dus ik kon er niet bij.
"Sì ch’io mi trassi a lui, e salutato",Dus benaderde ik hem en begroette hem.,Op deze manier benaderde ik hem en begroette hem hartelijk.
"Umile mente l’ebi a capo chino,","Meekly met zijn hoofd gebogen,",Zachtjes met zijn hoofd naar beneden gebogen.
"E sì gli dissi: «Schifo, agie merzede","En zeide tot hem: Verzet, wees genadig.","En hij zeide tot hem: Tenacia, ontferm u."
"Di me, se ’nverso te feci alcun fallo,","Op mij, als ik je pijn heb gedaan,","Op mij, als ik je pijn heb gedaan."
"Chéd i’ sì son venuto a pura fede,",Omdat ik te goeder trouw ben gekomen.,Omdat ik in goede wil kwam.
"A tua merzede,   e presto d’amendarlo».","om je genade te vragen, en ik ben klaar om het goed te maken.","Smeek uw genade, en ik ben bereid boete te doen."
"Que’ mi riguarda, e tuttor si provede","Hij staart me aan en probeert, net als hij, vast te stellen...","Hij staart me aan en probeert, net als hij,"
Ched i’ non dica ciò per inghanarlo.,Als ik het zeg om hem te misleiden.,Als ik het zeg om hem te bedriegen.
Sì com’i’ stava in far mia pregheria,Terwijl ik smeekte om mijn zaak.,Zoals ik smeekte voor mijn lot
"A quel fellon, ch’è sì pien d’arditeza,",Voor de wrede die zo roekeloos is.,Voor die slechte die zo roekeloos is.
"Lo Dio d’Amor sì vi mandò Francheza,",God van Liefde zond oprechtheid en met Zijn Barmhartigheid,Het Goddelijke Affetto zond oprechtheid en met zijn Barmhartigheid.
"Co•llei Pietà, per sua anbascieria.",op een speciale missie naar die plek.,in een buitengewone prestatie in dat gebied.
"Francheza   cominciò la dicieria,","Oprechtheid is begonnen met zijn toespraak,",Uw openhartigheid heeft uw toespraak ingehuldigd.
"E disse: «Schifo, tu•ffai straneza","Zeg, Verzet, je bent onbeleefder.","Tegengesteld aan jezelf, ben je scherper."
"A quel valletto, ch’è pien di largheza,",aan die jonge vazal zo gul,Op die grootmoedige jonge dienaar.
"E prode, e franco, sanza villania.","En dapper en moedig, en zeker niet vulgair.","Gewaagd en onbevreesd, en zeker niet onhandig."
Lo Dio d’Amor ti manda ch’e’ ti piaccia,De God van Liefde wil dat je weet,De Goddelijke Slice wil dat je weet
"Che•ttu non sie sì strano al su’ sergiente,","om niet zo onbeleefd te zijn tegen zijn dienaar,","Om niet zo onbeleefd te zijn tegen zijn dienaar,"
"Ché gran peccato fa, chi lui inpaccia;","Want hij, die hem tegenhoudt, begaat eene groote zonde.","Want hij die hem verhindert, begaat eene ernstige zonde."
Ma sòffera ch’e’ vada arditamente,Maar laat hem vrijuit gaan.,Maar laat hem vrijuit gaan.
"Per lo giardino, e no ’l metter in chaccia,","In de tuin, jaag niet op hem.","In de tuin, verdrijf hem niet."
"E guardi il Fior, che•ssì gli par aolente».",En laat hem naar de bloem kijken die hem zo geurig lijkt.,en laat hem de bloem zien die zo geurig lijkt.
"Pietà cominciò poi su’ parlamento,",Barmhartigheid begon toen zijn toespraak.,Barmhartigheid begon toen zijn toespraak.
"Con lagrime bagniando il su’ visagio,",met tranen die zijn gezicht baden,met tranen die zijn gezicht bevochtigen
"Diciendo: «Schifo, tu faresti oltragio","Zeggende, Verzet, zult gij verontwaardigd zijn.",Je zou beledigd zijn.
Di non far grazia al meo domandamento.,Als ik mijn verzoek niet accepteerde.,Als ik mijn pleidooi niet accepteer.
Pregar ti fo che•tti si’a piacimento,Ik smeek je om te zoeken.,Ik smeek je dat uit te zoeken.
"Ch’a quel valletto, ch’è•ssì buon e saggio,","niet zo wreed te zijn tegen die jonge vazal,",Niet zo meedogenloos te zijn tegen die jonge dienaar.
"Tu non sie verso lui così salvaggio,",Je bent niet zo gemeen tegen hem.,Je bent niet zo slecht tegen hem.
Ché sai ch’e’ non à mal intendimento.,Omdat je weet dat hij niets betekent.,Omdat je weet dat hij geen kwaadwillige bedoelingen heeft.
"Or avén detto tutto nostr’affare,","Nu, we hebben je onze zorgen verteld,",We hebben onze angsten blootgelegd.
"E la cagion, per che no’ siàn venute.",En de reden waarom we kwamen:,En de reden waarom we hier zijn:
Molt’è crudel chi per noi non vuol fare!,Hij is het die niet doet wat wij vragen!,Wreed onverschillig is hij die niet doet wat wij vragen!
Ancor ti manda molte di salute,Hij stuurt nog steeds veel groeten.,Hij stuurt je nog steeds zijn hartelijke groeten.
"Il lasso, chu’ ti piaque abandonare.",De arme kerel die je graag verliet.,De ellendeling die je graag verliet.
Fa che nostre preghiere gli sian valute!».,Moge onze gebeden hem helpen!,Moge onze smeekbeden hem helpen!
"Lo Schifo disse: «Giente messagiere,","De opstanding zei: ""Voorwaar, de Boodschappers,","""Het verzet verkondigde: ""Belangrijke ambassadeurs,"""
Egli è ben dritto ch’a vostra domanda,Het is goed dat ik toegang heb tot uw verzoek.,Het is juist dat ik uw vraag beantwoord.
"I’ faccia grazia, e ragion lo comanda,","En doe het met dank, de rede beveelt het,","En doe het beleefd, logica vereist het."
"Ché voi non siete orgolliose né fiere,",Want gij zijt noch ijdel noch hovaardig.,Omdat je niet aanmatigend of arrogant bent.
Ma siete molto nobili parliere.,Maar u bent zeer nobele sprekers.,Maar u bent zeer illustere sprekers.
"Vengha il valetto, e vada, a sua comanda,","De jongeman kan komen en gaan naar believen,",De jongeman kan aankomen en vertrekken zoals hij wil.
"Ma non ched egli al Fior   sua mano ispanda,","Maar zolang hij de Bloem niet probeert aan te raken,",Maar zolang je de Bloem niet probeert te manipuleren.
"Ch’a•cciò no•gli varrian vostre preghiere,",omdat jouw gebeden hem niet zullen helpen.,Omdat jouw smeekbeden hem niet zullen helpen.
"Perciò che•lla figluola Cortesia,","Daarom is Lady Courtesy's dochter,","Daarom is Lady Courtesy's nageslacht,"
"Bellacoglienza, ch’è dama del Fiore,","Mooie receptie, die verantwoordelijk is voor de Bloem,","Geaccepteerd, die verantwoordelijk is voor de Bloem."
Sì ’l mi porebe a gran ricredentia.,Ik dacht aan mijn manieren.,Ik dacht dat mijn manieren beleefd waren.
Ma fate che•lla Dama al Die d’Amore,Maar maak de dame van de God van Liefde,Maak de Vrouwe van de God van de Slice
Faccia a Bellacoglienza pregheria,Doe een beroep op Bellaccoglieza,"Doe een beroep op Magnificence, Splendor en Adventure."
"Di lui, e che•lle schaldi un poco il core».",zodat zijn hart een beetje opgewarmd kan worden.,zodat zijn hart een beetje opgefrist kan worden.
"Quand’i’ vidi lo Schifo sì adolzito,","Toen ik zag hoe het verzet werd verzacht,","Toen ik zag hoe het verzet werd verzacht,"
"Che solev’esser più amar che fele,",wat meestal bitterder was dan de fiel,wat meestal bitterder was dan gif
"Ed i’ ’l trova’ vie più dolcie che mele,","Maar dat ik veel zoeter vond dan honing,",Maar dat vond ik heerlijker dan honing.
Sapiate ch’i’ mi tenni per guerito.,Je moet weten dat ik dacht dat ik genezen was.,Je moet weten dat ik mezelf als gesaneerd beschouwde.
Nel giardin me n’andai molto gichito,Ik ging heel onderdanig de tuin in.,Ik ging naar de zeer bescheiden tuin.
"Per dotta di misfar a quel crudele,","uit angst om die wrede te beledigen,",Bang om die boze te raken.
E gli giurai a le sante,En ik zwoer hem over de heiligen.,en ik beloofde hem plechtig
Ch’e’ per me non sarebe mai marrito.,Dat hij nooit verdrietig zou zijn.,Dat hij nooit zou lijden aan angst.
Allor mi disse: «I’ vo’ ben che•ttu venghi,"Toen zei hij tegen me: ""Ik wil echt dat je komt.""","Toen zei hij tegen me: ""Ik verlang dat je komt."""
"Dentr’al giardin[o], sì com’e’ ti piace,","in de tuin, omdat je het leuk vindt,","In de tuin, omdat je het leuk vond."
