Original,Translate,Translate_GPT_1
"E di ciascuna porta esso la chiave,","And yet, for every door outside the key,","However, for each entry there is its key."
Ed àllemi nel cor fermate e messe,And she put them in my heart,She impressed them in my soul.
"Con quella chiavicella, ch’i’ v’ò detto,",with that key I told you,with that key I showed you
Per ben tenermi tutte sue promesse.,to keep all his promises to me.,to fulfill all his commitments with me.
"Perch’io a•ssue merzé tuttor mi metto,",That's why I'm always ready to do his bidding;,That is why I am always ready to execute his commands;
"Ma ben vore’ che, quando gli piaciesse,","However, I would like for him - whenever he wants -","However, I wish for him - whenever he craves -"
"E’ m’allegiasse il mal, che•ssì m’à stretto.",to relieve the pain that has taken me.,To mitigate the torment that attacked me.
"Dogliendomi in pensando del villano,",Sadly thinking about the wild one,Thinking reluctantly about the wild one
"Che•ssì vilmente dal Fior m’à lungiato,","who so savagely chased me from the Flower,","that so fiercely chased me from the Flower,"
"Ed i’ mi riguardai dal dritto lato,",I looked on my right side,I examined my right side
"E sì vid’i’ Ragion, col viso piano,","And I saw the reason, that, with a quiet face,","I saw the logic, which, with a serene expression,"
"Venir verso di me, e per la mano",He came at me. He grabbed me by the hand.,"He's getting close to me, he grabbed me by the hand."
Mi prese e disse: «Tu•ssè sì smagrato!,"He took me and said, ""You've become so subtle!","He grabbed me and said, ""You've become so thin!"""
I’ credo che•ttu à’ troppo pensato,I think you've thought too much.,I think you've meditated too much.
"A que’, che•tti farà gittar in vano,",About what makes you work in vain:,In relation to what makes you useless work.
"Ciò è Amor, a chui dat’ài fidanza.","That person is Love, to whom you have given fidelity.","That person is the Affetto, to whom you gave loyalty."
"Ma•sse m’avessi avuto al tu’ consiglio,","But if I had listened to my advice,","If I had followed my suggestion,"
"Tu non saresti gito co•llui a danza,",You wouldn't have gone dancing with him.,You wouldn't have been with him dancing.
"Ché sie ciertano,   a chu’ e’ dà di piglio,",Because you can be sure what he grabs,Because you can be sure what he says
"Egli ’l tiene in tormento e malenanza,","He is held in torment and sorrow,",He keeps himself in torment and suffering.
Sì che su’ viso non è ’n mai vermiglio».,so that his face will never be red.,so that his face will never be rubim.
Udendo che Ragion mi gastigava,Feeling that reason was scolding me,Listening that logic was scolding me
"Perch’i’ al Die d’Amor era ’nservito,","for my bondage to the God of Love,","For my devotion to the God of Slice,"
"Di ched i’ era forte inpalidito,","for which I had become so pale,","for which I had become so pale,"
"E sol perch’io a•llui troppo pensava,","And just because I've been thinking too much about him,",Just because I've been thinking too much about him.
"I’ le dissi: «Ragion, e’ no•mi grava","I said to her, ""I'm sorry, the pain she's in isn't heavy.""","I said to her: ""Ray, the torment he causes is not burdensome."""
"Su’ mal, ch’i’ ne sarò tosto guerito,","upon me, for I will soon heal,","about me, for I will promptly recover."
Ché questo mio signior lo m’à gradito».,because my lord promised me,Because this sovereign of mine has assured me of it.
"E ch’era folle se più ne parlava,",And that reason was crazy if he kept talking about it.,And that motivation was crazy if she kept arguing about it.
"«Chéd i’ son fermo pur di far su’ grado,","Because I'm only willing to please him,",Because I'm only ready to satisfy him.
Perciò ch’e’ mi promise fermamente,since he gave me solid promises,Since he gave me concrete guarantees
"Ched e’ mi metterebe in alto grado,","that would put me in a high place,",that would place me in a high position.
Sed i’ ’l servisse bene e lealmente».,if I served him well and faithfully.,if I served him well and loyally.
"Perché di lei i’ non pregiava  un dado,","So, I didn't care about her at all,","So, I didn't care about her at all."
Né su’ consiglio i’ non teneva a mente.,"I didn't remember, nor did I take your advice.",I did not remember or obey your suggestion.
"Ragion si parte, udendomi parlare.","After listening to me talk, reason goes away,","After listening to me talk, reason goes away,"
E’ me fu ricordato ch’i’ avea,and I remembered that I had,I realized I had
"Un grande Amico, lo qual mi solea","a loyal friend, who usually comforted me","A loyal ally, who usually consoled me."
"In ognie mio sconforto confortare,",Every time I felt uncomfortable.,every time I felt worry
"Sì ch’i’ no ’l misi guari a ritrovare,",I found it pretty fast.,I found it pretty quickly.
E disigli com’e’ si contenea,and told him how he behaved,"And he told him how he behaved: he acted, he operated."
"Lo Schifo ver’ di me, e ch’e’ parea","the resistance to me, and that seemed","The resistance against me, and that appeared"
Ch’al tutto mi volesse guereggiare.,He didn't want anything better than fighting me.,All he wanted was to fight me.
"E que’ mi disse: «Amico, sta sicuro,","And he said to me, ""Dude, don't worry,","And he said unto me, Comrade, fear not:"
Ché quello Schifo si à senpre in usanza,for it is Custom Clostrids Resistance,for it is Custom Clostridae Resistance
Ch’a cominciar   si mostra acierbo e duro.,to be bitter and hard at first.,Be bitter and rigid at first.
Ritorna a•llui e non abie dottanza,Go back to him and don't be afraid:,Return to him and do not be afraid.
"Con umiltà tosto l’avra’ maturo,","by showing humility, you will soon soften him,","By exhibiting humility, you will quickly soften it."
Già tanto non par   fel né san’ pietanza».,No matter how cruel and ruthless it may seem.,No matter how brutal and relentless it may seem.
Tutto pien d’umiltà verso ’l giardino,Full of meekness I turned to the garden,"Full of mildness, I turned to the garden."
"Torna’mi, con’ Amico avea parlato,","Just as Friend said I should,","As Friend had suggested that I should,"
"Ed i’ guardai, e sì ebi avisato",And I looked and saw,Examined and reviewed
"Lo Schifo, con un gran baston di pino,","Resistance, with a big pine club,","Resistance, with a huge association made up of pine."
"Ch’andava riturando ognie camino,","that blocked every passage,",which hindered all progress.
Che dentro a forza non vi fosse ’ntrato.,So I couldn't get in.,So I couldn't access it.
"Sì ch’io mi trassi a lui, e salutato",So I approached him and greeted him.,"In this way, I approached him and greeted him cordially."
"Umile mente l’ebi a capo chino,","Meekly with his head bent,",gently with his head bowed down.
"E sì gli dissi: «Schifo, agie merzede","And said unto him, Resistance, have mercy.","And he said unto him, Tenacia, have mercy."
"Di me, se ’nverso te feci alcun fallo,","on me, if I've hurt you,","on me, if I've caused you pain."
"Chéd i’ sì son venuto a pura fede,",because I came in good faith,Because I came in good will.
"A tua merzede,   e presto d’amendarlo».","to ask for your mercy, and I am ready to make amends.","Beg your clemency, and I am willing to do penance."
"Que’ mi riguarda, e tuttor si provede","He stares at me and, as he does, he tries to determine","He stares at me and, as he does, he tries to establish"
Ched i’ non dica ciò per inghanarlo.,If I say so to deceive him.,If I say so to cheat him.
Sì com’i’ stava in far mia pregheria,While I was begging for my case,As I begged for my destiny
"A quel fellon, ch’è sì pien d’arditeza,","to the cruel one who is so reckless,",To that wicked one who is so reckless.
"Lo Dio d’Amor sì vi mandò Francheza,",God of Love sent sincerity and with His Mercy,The Divine Affetto sent sincerity and with his Compassionateness.
"Co•llei Pietà, per sua anbascieria.",on a special mission to that place.,in an extraordinary feat in that area.
"Francheza   cominciò la dicieria,","Sincerity has begun his speech,",Your frankness has inaugurated your speech.
"E disse: «Schifo, tu•ffai straneza","Saying, Resistance, you are more rude.","Opposing yourself, you're sharper."
"A quel valletto, ch’è pien di largheza,",to that young vassal so generous,To that magnanimous young servant.
"E prode, e franco, sanza villania.","and valiant and courageous, and certainly not vulgar.","Audacious and fearless, and certainly not inconvenient."
Lo Dio d’Amor ti manda ch’e’ ti piaccia,The God of Love wants you to know,The Divine Slice Wants You to Know
"Che•ttu non sie sì strano al su’ sergiente,","so as not to be so rude to his servant,","So as not to be so rude to his servant,"
"Ché gran peccato fa, chi lui inpaccia;","For he who hinders him commits a great sin,",because he who prevents him commits a grave fault.
Ma sòffera ch’e’ vada arditamente,but let him go freely,but let him go freely
"Per lo giardino, e no ’l metter in chaccia,","in the garden, don't hunt him","in the garden, don't expel him"
"E guardi il Fior, che•ssì gli par aolente».",and let him look at the flower that seems so fragrant to him.,and lets him observe the flower that appears so fragrant.
"Pietà cominciò poi su’ parlamento,",Mercy then began his speech,Mercy then began his speech
"Con lagrime bagniando il su’ visagio,",with tears that bathe his face,with tears that moisten his face
"Diciendo: «Schifo, tu faresti oltragio","Saying, Resistance, thou shalt be outraged.","Facing, you'd be offended."
Di non far grazia al meo domandamento.,If I didn't accept my request.,If I don't accept my plea.
Pregar ti fo che•tti si’a piacimento,I'm begging you to find,I'm begging you to find out.
"Ch’a quel valletto, ch’è•ssì buon e saggio,","not to be so cruel to that young vassal,",not to be so ruthless toward that young servant.
"Tu non sie verso lui così salvaggio,",You're not so mean to him.,You're not so evil towards him.
Ché sai ch’e’ non à mal intendimento.,Because you know he doesn't mean anything.,Because you know he has no malicious intentions.
"Or avén detto tutto nostr’affare,","Now, we have told you our concerns,","Now, we've exposed our anxieties,"
"E la cagion, per che no’ siàn venute.",and the reason why we came:,and the reason why we're here:
Molt’è crudel chi per noi non vuol fare!,It is he who will not do what we ask!,Cruelly indifferent is he who will not do what we ask!
Ancor ti manda molte di salute,He still sends a lot of greetings.,He still sends you his most cordial greetings.
"Il lasso, chu’ ti piaque abandonare.",The poor guy you liked to leave.,The wretch you liked to leave.
Fa che nostre preghiere gli sian valute!».,may our prayers help him!,May our supplications assist him!
"Lo Schifo disse: «Giente messagiere,","The resistance said: ""Noble messengers,","""The resistance proclaimed: ""Important ambassadors, """
Egli è ben dritto ch’a vostra domanda,It is right for me to access your request.,It is correct for me to answer your question.
"I’ faccia grazia, e ragion lo comanda,","and do it with thanks, reason commands it,","And do it politely, logic requires it."
"Ché voi non siete orgolliose né fiere,","For you are neither vain nor proud,",Because you are neither presumptuous nor arrogant.
Ma siete molto nobili parliere.,But you are very noble speakers.,But you are very illustrious speakers.
"Vengha il valetto, e vada, a sua comanda,","The young man can come and go at will,",The young man can arrive and leave as he pleases.
"Ma non ched egli al Fior   sua mano ispanda,","but as long as he doesn't try to touch the Flower,","However, as long as you don't try to manipulate the Flower."
"Ch’a•cciò no•gli varrian vostre preghiere,",because your prayers will not help him,Because your supplications won't help him
"Perciò che•lla figluola Cortesia,","That's why Lady Courtesy's daughter,","That's why Lady Courtesy's offspring,"
"Bellacoglienza, ch’è dama del Fiore,","Beautiful reception, which is responsible for the Flower,","Accepted, who is responsible for the Flower."
Sì ’l mi porebe a gran ricredentia.,I thought my manners.,I thought my manners were courteous.
Ma fate che•lla Dama al Die d’Amore,But make the lady of the God of Love,Make the Lady of the God of the Slice
Faccia a Bellacoglienza pregheria,Make an appeal to Bellaccoglieza,"Make an appeal to Magnificence, Splendor and Adventure."
"Di lui, e che•lle schaldi un poco il core».",so that his heart can be warmed up a little.,so that his heart can be refreshed a little.
"Quand’i’ vidi lo Schifo sì adolzito,","When I saw how the Resistance was softened,","When I saw how the Resistance was softened,"
"Che solev’esser più amar che fele,",which was usually bitterer than the fiel,which was usually more bitter than poison
"Ed i’ ’l trova’ vie più dolcie che mele,","but that I found much sweeter than honey,",but that I found more delicious than honey.
Sapiate ch’i’ mi tenni per guerito.,You should know I thought I was cured.,You should know that I considered myself sanitized.
Nel giardin me n’andai molto gichito,I went into the garden very submissive,I went to the very humble garden.
"Per dotta di misfar a quel crudele,","for fear of offending that cruel,",Fearful of bumping that evil one.
E gli giurai a le sante,And I swore to him on the saints.,and I promised him solemnly
Ch’e’ per me non sarebe mai marrito.,"that, he would never be distressed.","that, he would never suffer anxiety."
Allor mi disse: «I’ vo’ ben che•ttu venghi,"Then he said to me, ""I really want you to come.""","Then he said to me, ""I long for you to come."""
"Dentr’al giardin[o], sì com’e’ ti piace,","inside the garden, because you like it,","inside the garden, because you liked it."
Ma’ che lungi dal Fior le tue man tenghi.,As long as you keep your hands away from the Flower.,As long as you refrain from touching the Flower.
Le buone donne fatt’ànno far pacie,Good women have established peace,The kind women have established tranquillity.
"Tra me e te: or fa che•lla mantenghi,",between you and me: now make sure to keep,Me and you: now make sure to preserve
Sì che verso di me non sie fallacie».,so that I don't betray my trust.,So that I don't break my loyalty.
"Venusso, ch’è socorso degli amanti,","Venus, who comes to the rescue of lovers,","Venus, which comes to the aid of lovers,"
"Ven’ a Bellacoglienza col brandone,","came from Bell reception with a flashlight,",He came from Bell reception with a lantern.
"E’ si rechava,   a guisa di penone,",holding like a spear,holding like a spear
Per avanpar chiunque l’è davanti.,to set fire to everyone he meets.,Fire everyone he meets.
"A voler racontar de’ suo’ senbianti,",Wanting to tell his face.,Describe its appearances
"E de la sua tranobile fazone,","and his noble disposition,","and its illustrious inclination,"
Sarebe assai vie più lungo sermone,It would take a lot longer to say.,It would take a great deal of time to express it.
Ch’a sermonar la vita a tutti i santi.,that tell the life of all the saints.,narrate the biography of every Saint.
Quando Bellacoglienza sentì ’l caldo,When Beautiful reception felt the warmth,When Beautiful reception perceived the warm
"Di quel brandon,   che così l’avanpava,","of that torch that made her burn,",of that flashlight that made her shine.
Sì tosto fu ’l su’ cuor col mio saldo.,immediately his heart joined mine;,Immediately his heart became with mine;
"E Venusso, ch’a•cciò la confortava,","and Venus, who exhorted her to this,","And Venus, who incited her to this,"
"Si trasse verso lei col viso baldo,",she approached her with a powerful face,He approached her with an impressive face.
Diciendo che ve•me troppo fallava:,Saying he was guilty for me.,saying he was responsible for me.
"«Tu falli tropo verso quell’Amante,»","Venus said, ""You are making a big mistake towards that lover.""",Venus declared: You are committing a great wrong against that lover.
"Disse Venusso «che cotanto t’ama,",said Venus who loves you so much;,Venus said he loves you very much.
"Néd i’ non so al mondo sì gran dama,",I don't know any big lady in the world.,I don't know any prominent women in the world.
"Che di lui dovess’eser rifusante,",that he should refuse him:,that he should reject him
"Ch’egli è giovane, bello e avenante,","because he is young, handsome and charming,","for he is young, attractive, and seductive."
"Cortese, franco e pro, di buona fama:","courteous, loyal, bold and well respected.","Affable, faithful, ardent and well esteemed."
"Promettili un basciar, e a•tte ’l chiama,","Promise him a kiss and call him to you,",Promise him a kiss and invite him to you.
Ch’e’ non à huon nel mondo più cielante».,because no one in the world is more discreet than him.,because no one in the world is more reserved than him.
Bellacoglienza disse: «I’ vo’ che vegnia,Beautiful reception said: I want you to come,Beautiful reception said: I want you to come
"E basci il Fior, che tanto gli è piaciere,","and kisses the Flower that likes so much,",and embrace the Flower that you like so much.
"Ma ched e’ sagiamente si contegnia,",but that it wisely be contained,but to abstain wisely
"Che siate cierto, ch’e’ no•m’è spiaciere».",that you are certain that this is not my displeasure,Make sure that this is not my regret
«Or gli ne manda alcuna buona ’nsegna»,Now send him a good sign.,Send a good indication
"Disse Venùs, «e fagliele a sapere».",Said Venus and let him know,He affirmed Venus and informed him
Per Bel-Senbiante e per Dolze-Riguardo,for beautiful appearance and for sweet gaze,For attractive appearance and for lovely look.
Mi mandò la piaciente ch’i’ andasse,He informed me that I was going.,He told me I had to go.
"Nel su’ giardin, e ch’io il Fior basciase,",in the garden and that I kissed the Flower,in the garden and kissing the Flower
"Né non portasse   già lancia né dardo,","not to carry spears or arrows,",avoid carrying both spears and arrows.
Ché lo Schifo era fatto sì codardo,because the Resistance had become so cowardly,Why the Resistance had become so pusillanimous
Ch’e’ non mi bisogniava ch’i ’l dottasse.,There was no need for me to fear him;,There was no need for me to fear him.
"Ma tuttor non volea ched i’ v’entrasse,",But he still didn't want me to go in there.,but still he didn't want me to enter it
"Sed e’ non fosse nocte ben a tardo,",Unless it was very late at night.,Except it wasn't very late at night.
Perciò che Chastità e Gielosia,therefore that chastity and jealousy,So what purity and possessivity
Sì ànno messo Paura e Vergognia,year entrusted to fear and shame,year entrusted to fear and humiliation
"In le’ guardar, che non faccia follia,","to look at her, that she doesn't do anything crazy","to observe her, that she does not commit foolishness"
"Ed un villan, che truov’ognie menzognia,",and a villain who finds all lies,and an evil man who finds all falsehood
"La guarda, il qual fu nato in Normandia:","He looks at her, who was born in Normandy","the scrute, which was born in Normandy"
"Malabocha, «Que’ c’ognie mal sanpogna».","Malabocha, who is the source of all evil.","Maleficent, who is the source of all wickedness."
"Udendo quella nobile novella,",hearing that noble story,Listening to that noble narration
"Che que’ gienti messagi m’aportaro,","they were brought to me by those messengers,",They were delivered to me by those emissaries.
Sì forte mente il cuor   mi confortaro,I felt so much consolation in my heart.,I felt a great relief in my soul.
Che di gioia perde’ quasi la favella.,I almost lost the power of the word.,I almost lost control of my tongue for exultation.
"Nel giardin me n’anda’ tutto ’n gonella,","Into the garden I entered my gondola,",In the garden I penetrated my hut.
"Sanz’armadura, com’e’ comandaro,","without weapons, as they had commanded.","Unarmed, as ordered."
E sì trovai quella col viso chiaro.,And I found the one with the clear face.,And I discovered the one with the pale face
"Bellacoglienza tosto a•ssé m’apella,",Beautiful reception right away my name,"Warm welcome, I immediately introduce myself."
"E disse: «Vien avanti e bascia ’l Fiore,","and said, ""Come forward and kiss the Flower;","And he said, ""Proceed and kiss the Plant;"
"Ma guarda di far cosa che mi spiaccia,",But don't do anything I'm sorry about.,But don't do anything to bother me.
Ché•ttu ne perderesti ognie mio amore».,Because you'd lose all my love.,because you would lose all my devotion.
"Sì ch’i’ alor feci croce de le braccia,","So I crossed my arms,",That's when I got my arms intertwined.
E sì ’l basciai co•molto gran tremore.,"and kissed the Flower with great trembling,","And he kissed the Flower with great agitation,"
Sì forte ridottava suo minaccia.,so frightened by his threat,so terrified by his intimidation
Del molto olor ch’al cor m’entrò basciando,of the very perfume that entered my heart as I kissed,of the fountain of fragrance which in my soul penetrated as I kissed
"Quel pretioso Fior, che tanto aulia,",that precious flower that is so fragrant,that precious petal that is so fragrant
Contar né dir per me non si poria.,I can't speak or say;,I am unable to express myself or articulate.
Ma dirò come ’l mar s’andò   turbando,but I'll tell you how the sea has become stormy,but I will expose how the sea has become stormy
"Per MalaBocha, quel ladro normando,","for Malabocha, that Norman thief,","For Malabocha, that Norman evildoer,"
Che se n’avide e svegliò Gielosia,who saw the event and awakened jealousy,"who observed what happened, and raised up envy."
"E Chastità, ché ciaschuna dormia,","and chastity, which each slept","and purity, which each rested"
