id,Original,Translate
10,"  e non mi si partia dinanzi al volto, anzi ’mpediva tanto il mio cammino, ch’i’ fui per ritornar più volte vòlto","""Non si faceva da parte quando arrivavo alla sua presenza, anzi mi sbarrava il passaggio così tante volte che pensai seriamente di fare marcia indietro."""
11," Temp’era dal principio del mattino, e ’l sol montava ’n sù con quelle stelle ch’eran con lui quando l’amor divino  mosse di prima quelle cose belle","""Nelle prime ore del mattino, col sole che sorgeva insieme a quella costellazione della Creazione, l'amore divino iniziò a muovere le cose belle."""
12," sì ch’a bene sperar m’era cagione di quella fiera a la gaetta pelle  l’ora del tempo e la dolce stagione",La luminosità del sole e i fiori sbocciati a primavera davano bilanci motivazioni al riguardo della bellissima tigre a chiazze.
13," ma non sì che paura non mi desse la vista che m'apparve d'un leone","""Tuttavia nonostante tutto, mi sentii impaurito di fronte alla visione improvvisa di un leone"""
14,"  Questi parea che contra me venisse con la test’alta e con rabbiosa fame, sì che parea che l’aere ne tremesse","""Questo individuo si stava dirigendo verso di me, con un'aria decisa e furente, al punto da far sembrare che persino l'atmosfera tremasse."""
15,"  Ed una lupa, che di tutte brame sembiava carca ne la sua magrezza, e molte genti fé già viver grame,  questa mi porse tanto di gravezza con la paura ch’uscia di sua vista, ch’io perdei la speranza de l’altezza","""Una lupa si profilò all'orizzonte, magra come il desiderio e seppellendo con la sua presenza la povertà di molti."""
16,"  E qual è quei che volontieri acquista, e giugne ’l tempo che perder lo face, che ’n tutti suoi pensier piange e s’attrista","""Mi sentii talmente in ansia ed avevo un tale timore alla vista del suo aspetto, che persi la fiducia di arrivare in cima al colle."""
17,"  tal mi fece la bestia sanza pace, che, venendomi ’ncontro, a poco a poco mi ripigneva là dove ’l sol tace","""così mi rese l'animale selvaggio senza pace, che venendo verso di me mi sospingeva poco a poco verso il basso, dove non c'era la luce"""
18,"  Mentre ch’i’ rovinava in basso loco, dinanzi a li occhi mi si fu offerto chi per lungo silenzio parea fioco","""Scendendo verso la foresta, una figura si profilò nell'oscurità che avevo davanti agli occhi, ma non riuscivo a distinguerla chiaramente."""
19,"  Quando vidi costui nel gran diserto, ""Miserere di me"", gridai a lui, ""qual che tu sii, od ombra od omo certo","""Quando costui apparve nella desolazione, gridai a squarciagola: «Abbi misericordia di me, qualunque cosa tu sia - una creatura o qualcuno realmente esistente!"""
20,"  Rispuosemi: ""Non omo, omo già fui, e li parenti miei furon lombardi, mantoani per patrïa ambedui","""»Mi rispose: «No, non sono più un uomo, l'ho già stato in precedenza. I miei genitori erano originari della Lombardia e provenivano entrambi da Mantova»."""
21,"  Nacqui sub Iulio, ancor che fosse tardi, e vissi a Roma sotto ’l buono Augusto nel tempo de li dèi falsi e bugiardi","""Sono nato sotto il regno di Giulio Cesare, ma ho vissuto a Roma durante l'impero pacifico e prospero dell'eminente Augusto, in un'epoca dove gli antichi culti pagani erano ancora fortemente praticati."""
22,"  Poeta fui, e cantai di quel giusto figliuol d’Anchise che venne di Troia, poi che ’l superbo Ilïón fu combusto","""Cantai di Enea, figlio di Anchise, che si mise in salvo dalla caduta della superba Troia consumata dalle fiamme."""
23,"  Ma tu perché ritorni a tanta noia? perché non sali il dilettoso monte ch’è principio e cagion di tutta gioia?""","""Perché non scegli il colle gioioso, che è la fonte di ogni benessere invece di tornare al male della foresta?"""
24,"  ""Or se’ tu quel Virgilio e quella fonte che spandi di parlar sì largo fiume?"", rispuos’io lui con vergognosa fronte","""""""Quindi tu sei Virgilio e quella sorgente che fa scorrere un così grande fiume di parole?"""" Glielo chiesi imbarazzato."""
25,"  ""O de li altri poeti onore e lume, vagliami ’l lungo studio e ’l grande amore che m’ ha fatto cercar lo tuo volume","""»Ti prego d'illuminare i miei passi, luminosa figura fra gli altri poeti; la forza della dedizione e dell'affetto che mi hanno spinto a istruirmi sulla tua opera è tutto ciò di cui ho bisogno."""
26,"  Tu se’ lo mio maestro e ’l mio autore, tu se’ solo colui da cu’ io tolsi lo bello stilo che m’ ha fatto onore","Io ti considero come un maestro e un esempio, Io ho tratto il mio bello stile da solo, che mi ha reso famoso."
27,"  Vedi la bestia per cu’ io mi volsi",Ho avvistato la creatura che mi ha costretto a cambiare direzione.
28," aiutami da lei, famoso saggio, ch’ella mi fa tremar le vene e i polsi""","""O grande saggia, la tua forza scuote ogni goccia del mio sangue. Perciò, per favore, aiutami."""
29,"  ""A te convien tenere altro vïaggio"", rispuose, poi che lagrimar mi vide, ""se vuo’ campar d’esto loco selvaggio","""«Se desideri liberarti da questa terra selvaggia, devi compiere un'altra avventura» rispose dopo avermi visto piangere."""
30,"  ché questa bestia, per la qual tu gride, non lascia altrui passar per la sua via, ma tanto lo ’mpedisce che l’uccide","""Nessuno può passare per la strada della belva che induce a urlare, pena l'annientamento."""
31,"  e ha natura sì malvagia e ria, che mai non empie la bramosa voglia, e dopo ’l pasto ha più fame che pria","""La sua indole diabolica non gli ha mai permesso di soddisfare la sua avidità, e ogni volta che mangia è ancora più affamato."""
32,"  Molti son li animali a cui s’ammoglia, e più saranno ancora, infin che ’l veltro verrà, che la farà morir con doglia","""Gli animali scelgono un compagno, aumentando sempre di più finché non arriva il cane da caccia che provoca loro la morte con sofferenza."""
33,"  Questi non ciberà terra né peltro, ma sapïenza, amore e virtute, e sua nazion sarà tra feltro e feltro","""Costui non si cura del benessere materiale, ma cerca l'ispirazione spirituale e troverà la sua casa tra il tessuto di feltro."""
34,"  Di quella umile Italia fia salute per cui morì la vergine Cammilla, Eurialo e Turno e Niso di ferute","""Sarà la salvezza della nobile Italia, per cui Eurialo e Niso persero la vita in battaglia, Turno e Camilla la vergine sopportarono dolori."""
35,"  Questi la caccerà per ogne villa, fin che l’avrà rimessa ne lo ’nferno, là onde ’nvidia prima dipartilla","""Costui le darà la caccia in ogni parte del mondo, finché non l'avrà rimandata all'Inferno, da dove fu mandata fuori a causa dell'invidia per la prima volta."""
36,"  Ond’io per lo tuo me’ penso e discerno che tu mi segui, e io sarò tua guida, e trarrotti di qui per loco etterno","""Ritengo che sia nell'interesse tuo più grande andare dove io vado, lasciati guidare da me e ti condurrò in un luogo dei mondi oltremondani."""
37,"  ove udirai le disperate strida, vedrai li antichi spiriti dolenti, ch’a la seconda morte ciascun grida","""Vedrai le ombre tormentate dei perduti, che gridano disperatamente e chiedono la fine finale."""
38,"  e vederai color che son contenti nel foco, perché speran di venire quando che sia a le beate genti","""Coloro che gioiscono alle punizioni, poiché confidano nel fatto di ottenere l'illuminazione del Paradiso in futuro."""
39,"  A le quai poi se tu vorrai salire, anima fia a ciò più di me degna: con lei ti lascerò nel mio partire","""Se deciderai di salire a vedere questi posti, ci sarà un'altra persona più adatta di me per accompagnarti: quando partirò, sarete in buone mani."""
40,"  ché quello imperador che là sù regna, perch’i’ fu’ ribellante a la sua legge, non vuol che ’n sua città per me si vegna",Quel sovrano lassù non mi concede l'accesso alla sua città poiché la mia ribellione alla sua legge è notoria.
41,"  In tutte parti impera e quivi regge",Gli uomini riconoscono la sovranità di Dio su ogni luogo dell'Universo e nel Paradiso Egli regna trionfante.
42," quivi è la sua città e l’alto seggio: oh felice colui cu’ ivi elegge","""Oh, beato colui che sceglie di abitare in questa città, con il suo secondo trono!"""
43,"  E io a lui: ""Poeta, io ti richeggio per quello Dio che tu non conoscesti, acciò ch’io fugga questo male e peggio,  che tu mi meni là dov’or dicesti, sì ch’io veggia la porta di san Pietro e color cui tu fai cotanto mesti""","""Allora dissi al poeta: «Prego in nome di quel Dio che tu non hai mai conosciuto per essere libero da questa sofferenza e altre ancora maggiori, ti prego di condurmi dove hai detto, così potrò vedere la porta di San Pietro e le persone così infortunate come descritto»."""
44,"  Allor si mosse, e io li tenni dietro","""Cominciò il suo viaggio, ed io l'accompagnai."
45,"  Lo giorno se n’andava, e l’aere bruno toglieva li animai che sono in terra da le fatiche loro",L'avvicinarsi della notte interrompeva gli sforzi degli animali che vivono sulla terra.
46," e io sol uno m’apparecchiava a sostener la guerra sì del cammino e sì de la pietate, che ritrarrà la mente che non erra","""Io ero l'unico a prepararmi per la paura e il terrore della strada che avanzerà, una traccia così nitida come se fosse stata dipinta dalla mia mente infallibile."""
47,"  O muse, o alto ingegno, or m’aiutate","""Oh, musa divina e maestoso intelletto poetico, donatemi un po' della vostra saggezza."""
48," o mente che scrivesti ciò ch’io vidi, qui si parrà la tua nobilitate",Hai annotato ciò che hai visto: qui ti dimostrerà la tua nobiltà.
49,"  Io cominciai: ""Poeta che mi guidi, guarda la mia virtù s’ell’è possente, prima ch’a l’alto passo tu mi fidi","""Mettendomi in cammino, esclamai: """"Oh poeta, valuta se sono abbastanza forte per partire verso questa difficile avventura!"""""""
50,"  Tu dici che di Silvïo il parente, corruttibile ancora, ad immortale secolo andò, e fu sensibilmente","""Si dice che il padre di Silvio, ancora in vita, sia passato nell'Aldilà insieme al proprio corpo fisico."""
51,"  Però, se l’avversario d’ogne male cortese i fu, pensando l’alto effetto ch’uscir dovea di lui, e ’l chi e ’l quale  non pare indegno ad omo d’intelletto","""L'uomo e le sue benemerenze meritano senza dubbio rispetto da parte di chi è intelligente, visto che lui fu gentile con il sovrano dei mali; cosa che avrebbe dovuto avere un grande impatto."""
52," ch’e’ fu de l’alma Roma e di suo impero ne l’empireo ciel per padre eletto:  la quale e ’l quale, a voler dir lo vero, fu stabilita per lo loco santo u’ siede il successor del maggior Piero","""Egli, scelto come fondatore della nobile Roma e del suo regno, instaurò un impero così grandioso da essere considerato una sacra dimora per il successore del primo papa."""
53,"  Per quest’andata onde li dai tu vanto, intese cose che furon cagione di sua vittoria e del papale ammanto","""A seguito del viaggio descritto da te, Enea acquisì le conoscenze necessarie per raggiungere la vittoria e stabilire il manto papale."""
54,"  Andovvi poi lo Vas d’elezïone, per recarne conforto a quella fede ch’è principio a la via di salvazione",Andò poi ilo strumento della scelta per cementare quella fede che è il primo passo verso la salvezza.
55,"  Ma io, perché venirvi? o chi ’l concede? Io non Enëa, io non Paulo sono",Perché io dovrei farlo e chi mi dà il permesso? Non sono certamente Enea né san Paolo.
56," me degno a ciò né io né altri ’l crede",nessuno crede che io sia in grado di portare a termine questa missione.
57,"  Per che, se del venire io m’abbandono, temo che la venuta non sia folle","""Se decido di intraprendere questo viaggio con te, temo che potrebbe essere una follia."""
58," Se’ savio intendi me’ ch’i’ non ragiono""",Hai una comprensione profonda più grande di quanto io possa esprimere.
59,"  E qual è quei che disvuol ciò che volle e per novi pensier cangia proposta, sì che dal cominciar tutto si tolle,  tal mi fec’ïo ’n quella oscura costa, perché, pensando, consumai la ’mpresa che fu nel cominciar cotanto tosta","""Così come colui che era inizialmente entusiasta di cercare qualcosa e poi, a causa della riflessione ed eventualmente dell'incontro con nuove idee, ha cambiato rotta completamente, così è stato per me nei luoghi misteriosi: pensandoci su ho abbandonato il mio progetto esitatamente formulato."""
60,"  ""S’i’ ho ben la parola tua intesa"", rispuose del magnanimo quell’ombra, ""l’anima tua è da viltade offesa","""La silhouette di quella persona di alto lignaggio replicò dicendo: «Se ho interpretato correttamente il tuo discorso, la tua anima è schiava della codardia»."""
61,"  la qual molte fïate l’omo ingombra sì che d’onrata impresa lo rivolve, come falso veder bestia quand’ombra","""Proprio come una falsa immagine fa impazzire un animale quando si vede riflesso in uno specchio, così l'uomo può essere schiacciato dalla paura e dissuaso dall'avventurarsi in imprese degne di merito."""
62,"  Da questa tema acciò che tu ti solve, dirotti perch’io venni e quel ch’io ’ntesi nel primo punto che di te mi dolve","""Per aiutarti ad uscire da questa paura, ti spiegherò il motivo per cui sono venuto qui e come mi sentivo nel momento in cui ho percepito la tua sofferenza."""
63,"  Io era tra color che son sospesi, e donna mi chiamò beata e bella, tal che di comandare io la richiesi","""Mentre ero tra le anime dimenticate nell'Abisso, fui chiamato da una donna così beatamente bellissima che invocai la sua comando."""
64,"  Lucevan li occhi suoi più che la stella",La scintillante luminosità dei suoi occhi pareva quella di una stella.
65," e cominciommi a dir soave e piana, con angelica voce, in sua favella: ","""Il tono della sua voce era dolce come il canto di un angelo, e quando parlava sembrava che le parole uscissero soavemente."""
66," ""O anima cortese mantoana, di cui la fama ancor nel mondo dura, e durerà quanto ’l mondo lontana,  ","""O anima nobile di Mantova, il cui ricordo sopravviverà al mondo finché durerà."""
67," l’amico mio, e non de la ventura, ne la diserta piaggia è impedito sì nel cammin, che vòlt’è per paura","""Lui, che mi aveva amato incondizionatamente sulla cresta solitaria di un colle, era così paralizzato dalla paura da dover voltarsi indietro."""
68,"  e temo che non sia già sì smarrito, ch’io mi sia tardi al soccorso levata, per quel ch’i’ ho di lui nel cielo udito","""Credo che, da ciò che ho udito in merito a lui dall'alto, sia già così esausto al punto che io non sono arrivata in tempo per salvarlo."""
69,"  Or movi, e con la tua parola ornata e con ciò c’ ha mestieri al suo campare, l’aiuta sì ch’i’ ne sia consolata","""Inizia subito, riempi il vuoto con le tue parole affettuose e facci tutto ciò che è in tuo potere per salvarlo e tranquillizzarmi."""
70,"  I’ son Beatrice che ti faccio andare","""Io, Beatrice, ti condurrò."""
71," vegno del loco ove tornar disio",Desidero tornare nel luogo da cui provengo.
72," amor mi mosse, che mi fa parlare",Ho sentito l'amore che mi ha spinto a venire qui e parlare con te.
73,"  Quando sarò dinanzi al segnor mio, di te mi loderò sovente a lui""","""Quando mi troverò di fronte al Signore, io celebrerò spesso il tuo nome."""
74," Tacette allora, e poi comincia’ io:  ""O donna di virtù sola per cui l’umana spezie eccede ogne contento di quel ciel c’ ha minor li cerchi sui,  tanto m’aggrada il tuo comandamento, che l’ubidir, se già fosse, m’è tardi","""Allora tacque e io risposi: """"O nobile dama, tu sei un esempio di cui l'umanità è profondamente orgogliosa. La tua preghiera mi trova così in sintonia che anche se avessi eseguito prima sarebbe comunque giunto il momento."""""""
75," più non t’è uo’ ch’aprirmi il tuo talento",Tutto quello che devi fare è dirmi cosa desideri
76,"  Ma dimmi la cagion che non ti guardi de lo scender qua giuso in questo centro de l’ampio loco ove tornar tu ardi""","""Vorresti tornare all'ampio luogo di cui provieni, ma qual è la ragione per cui non hai paura mentre scendi in questo Infernale abisso?"""
77,"  ""Da che tu vuo’ saver cotanto a dentro, dirotti brievemente"", mi rispuose, ""perch’i’ non temo di venir qua entro","""""""Lei mi disse: """"Non ho paura di entrare, posso spiegarti brevemente il perché se desideri maggiori informazioni""""."""
78,"  Temer si dee di sole quelle cose c' hanno potenza di fare altrui male",Si deve avere paura solo di quelle cose che hanno la forza di recare danno agli altri.
79," de l'altre no, ché non son paurose","""non le altre, poiché non sono minacciose"""
80,"  I’ son fatta da Dio, sua mercé, tale, che la vostra miseria non mi tange, né fiamma d’esto ’ncendio non m’assale",Dio mi ha reso così benedetto che la povertà non può toccarmi e nessun fuoco dell'Inferno può danneggiarmi.
81,"  Donna è gentil nel ciel che si compiange di questo 'mpedimento ov'io ti mando, sì che duro giudicio là sù frange","""C'è una donna nobile nel cielo che si dispiace per questa barriera, e io ti chiedo il tuo aiuto affinché possiamo vincere la dura sentenza divina."""
82,"  Questa chiese Lucia in suo dimando e disse: - Or ha bisogno il tuo fedele di te, e io a te lo raccomando -","""Lucia, il tuo fedele ha bisogno di te. Per favore, lascia che io ti raccomandi a prenderti cura di lui."""
83,"  Lucia, nimica di ciascun crudele, si mosse, e venne al loco dov’i’ era, che mi sedea con l’antica Rachele","""Lucia, amica dei misericordiosi, camminò fino a dove erano io e Rachele di grande età"""
84,"  Disse: - Beatrice, loda di Dio vera, ché non soccorri quei che t’amò tanto, ch’uscì per te de la volgare schiera?  Non odi tu la pieta del suo pianto, non vedi tu la morte che ’l combatte su la fiumana ove ’l mar non ha vanto? -","""""""Beatrice, tu che sei stata incensata da Dio, perché non aiuti colui che ha avuto tanto amore da superare la folla volgare? Non senti l'angoscia delle sue lacrime? Non vedi la morte in lotta con il mare di peccato tempestoso? "
85,"  Al mondo non fur mai persone ratte a far lor pro o a fuggir lor danno, com’io, dopo cotai parole fatte,  venni qua giù del mio beato scanno, fidandomi del tuo parlare onesto, ch’onora te e quei ch’udito l’ hanno""","Mai c'è stato qualcuno così veloce nell'inseguire i propri interessi o fuggire dalle proprie disgrazie come me dopo aver ascoltato le tue parole nobili, nobelze che honorano te e coloro che hanno udito""""."""
86,"  Poscia che m’ebbe ragionato questo, li occhi lucenti lagrimando volse, per che mi fece del venir più presto",""".Dopo avermi detto ciò con gli occhi lucidi di lacrime, mi sentii spinto a venire più velocemente."
87,"  E venni a te così com’ella volse: d’inanzi a quella fiera ti levai che del bel monte il corto andar ti tolse",Venivo da te come avevi desiderato: ti ho salvato dalla fiera bestia che ti aveva precluso una salita agevole al colle
88,"  Dunque: che è perché, perché restai, perché tanta viltà nel core allette, perché ardire e franchezza non hai,  ","""Perché rimani ancorato qui, dopo tutto quello che hai vissuto? Perché resistere alla paura e adottare la forza di volontà sembra essere un'impresa impossibile per te?"""
89,"  poscia che tai tre donne benedette curan di te ne la corte del cielo, ",Tre sante benedette pregano per te nel regno dei cieli.
90,"  e ’l mio parlar tanto ben ti promette?""",Le mie promesse sono di portarti ogni bene.
91,"  Quali fioretti dal notturno gelo chinati e chiusi, poi che ’l sol li ’mbianca, si drizzan tutti aperti in loro stelo,  ","""Come fiori che si piegano sotto il gelo notturno, ma raggi di sole li illumina e solleva i loro steli, le piante profumano l'aria all'alba."""
92,"tal mi fec’io di mia virtude stanca, e tanto buono ardire al cor mi corse, ch’i’ cominciai come persona franca:  ","""Io feci ricorso alla mia stanca forza morale, e il mio cuore si riempì di audacia talmente che iniziai a parlare con nuovo vigore:"""
93,"""Oh pietosa colei che mi soccorse","""Oh donna dal cuore di ghiaccio che mi aveva appena aiutato»"""
94," e te cortese ch’ubidisti tosto a le vere parole che ti porse",e tu gentilmente ubbidisti immediatamente alle parole vere che ti ha detto
95,"  Tu m’ hai con disiderio il cor disposto sì al venir con le parole tue, ch’i’ son tornato nel primo proposto",Le tue parole mi avevano indotto un desiderio così grande che ero tornato alla mia originale intenzione di venire.
96,"  Or va, ch’un sol volere è d’ambedue: tu duca, tu segnore e tu maestro""","""Entrambi abbiamo lo stesso desiderio: tu sei il mio condottiero, il mio sovrano, e io ti prenderò come guida. Andiamo adesso!"""
97," Così li dissi e poi che mosso fue,  ","""Gli indicai la direzione, e dopo che ebbe preso la via del viaggio"""
98," intrai per lo cammino alto e silvestro",affrontai il sentiero difficile e impervio
99,"’Per me si va ne la città dolente, per me si va ne l'etterno dolore, per me si va tra la perduta gente","""Si accede alla città del dolore attraverso di me, io porto a quel luogo d'infinita sofferenza, mi incammino tra le anime disperse."""
100," Giustizia mosse il mio alto fattore",Il mio Creatore Supremo ha agito giustamente.
101," fecemi la divina podestate, la somma sapïenza e ’l primo amore","""Il potere supremo, la saggezza ultima e l'amore primordiale sono stati concessi a me."""
102,"  Dinanzi a me non fuor cose create se non etterne, e io etterno duro","""Prima di me, solo l'eterno esisteva, ed io rimarrò per sempre."""
103," Lasciate ogne speranza, voi ch’intrate’","""""""Colui che varca la soglia di questo luogo, abbandoni ogni speranza""""."""
104,"  Queste parole di colore oscuro vid’ïo scritte al sommo d’una porta",Vidi queste parole scritte con inchiostro fosco sopra una porta.
105," per ch’io: ""Maestro, il senso lor m’è duro""",Chiesi al mio maestro spiegazioni per cui non riuscivo a comprendere il significato.
106,"  Ed elli a me, come persona accorta: ""Qui si convien lasciare ogne sospetto","""Come un saggio, egli mi disse: """"È necessario agire senza indugio""""."""
107," ogne viltà convien che qui sia morta",Non si deve avere paura.
108,"  Noi siam venuti al loco ov’i’ t’ ho detto che tu vedrai le genti dolorose c’ hanno perduto il ben de l’intelletto""",Arrivammo al punto in cui ti avevo anticipato di osservare le anime condannate che non hanno più la benedizione della saggezza celestiale.
109,"  E poi che la sua mano a la mia puose con lieto volto, ond’io mi confortai, mi mise dentro a le segrete cose","""Dopo che mi avvolse protettivo in un abbraccio, il suo viso sorridente mi rincuorò e mi accompagnò in quel luogo distinto dall'esistenza terrena."""
110,"  Quivi sospiri, pianti e alti guai risonavan per l’aere sanza stelle, per ch’io al cominciar ne lagrimai","""I sospiri, le lacrime e i lamenti squarciarono la notte senza stelle, facendomi piangere fin dall'inizio."""
111,"  Diverse lingue, orribili favelle, parole di dolore, accenti d’ira, voci alte e fioche, e suon di man con elle  facevano un tumulto, il qual s’aggira sempre in quell’aura sanza tempo tinta, come la rena quando turbo spira","""Pronunce sconosciute, grida di dolore, bestemmie colme di rabbia, voci aspre e soffocate che si mescolano con il suono delle mani battute in ritmo creavano un fragoroso boato che piomba nell'aria immobile come la sabbia al vento durante una tempesta."""
112,"  E io ch’avea d’error la testa cinta, dissi: ""Maestro, che è quel ch’i’ odo? e che gent’è che par nel duol sì vinta?""","""Avevo le mie perplessità e così domandai: «Maestro, cosa provo? E chi sono questi abbattuti dal dispiacere?»"""
113,"  Ed elli a me: ""Questo misero modo tegnon l’anime triste di coloro che visser sanza ’nfamia e sanza lodo","Lui rispose: «Così è la triste sorte di coloro che non hanno vissuto né con gloria, né con biasimo"
114,"  Mischiate sono a quel cattivo coro de li angeli che non furon ribelli né fur fedeli a Dio, ma per sé fuoro","""Sono tra quegli angeli che non hanno preso parte né alla ribellione contro Dio, né leali al Signore, ma si sono attenuti a un atteggiamento neutrale."""
115,"  Caccianli i ciel per non esser men belli, né lo profondo inferno li riceve, ch’alcuna gloria i rei avrebber d’elli""","""Né il Cielo li trattiene, per non offuscare la propria maestosità, né l'Inferno concede loro un posto tra i suoi inferi poiché i condannati non possono ottenere alcuna gloria dalla loro compagnia."""
116,"  E io: ""Maestro, che è tanto greve a lor che lamentar li fa sì forte?""","""Io chiesi al Maestro: """"Che cosa li sta causando tanto dolore da provocare tali lamentele?""""."""
117," Rispuose: ""Dicerolti molto breve",»Mi rispose: «Ti darò una spiegazione rapida»
118,"  Questi non hanno speranza di morte, e la lor cieca vita è tanto bassa, che ’nvidïosi son d’ogne altra sorte","""Le anime non possono sperare di essere liberate dalla loro attuale condizione miserevole, desiderano ardentemente qualsiasi altro destino."""
119,"  Fama di loro il mondo esser non lassa",Non c'è alcun segno del loro passaggio nel mondo.
120," misericordia e giustizia li sdegna: ",le divine misericordia e giustizia sono oltraggiate da ciò.
121," non ragioniam di lor, ma guarda e passa""","""Ignoriamo loro, dando un rapido sguardo e andiamo avanti."""
122,"  E io, che riguardai, vidi una ’nsegna che girando correva tanto ratta, che d’ogne posa mi parea indegna","""E io, osservando, notai un'insegna che rotolava con tale velocità da sembrare non dovesse mai finire."""
123,"  e dietro le venìa sì lunga tratta di gente, ch’i’ non averei creduto che morte tanta n’avesse disfatta","""Dietro di essa c'erano talmente tante anime, che non avrei mai pensato che la morte avesse portato via così tanti vite."""
124,"  Poscia ch’io v’ebbi alcun riconosciuto, vidi e conobbi l’ombra di colui che fece per viltade il gran rifiuto","""Una volta riconosciuti alcuni di loro, scorsi la figura di chi aveva sprezzantemente respinto un grande destino."""
125,"  Incontanente intesi e certo fui che questa era la setta d’i cattivi, a Dio spiacenti e a’ nemici sui",Realizzai subito che erano i codardi tanto odiati da Dio quanto dai suoi avversari.
126,"  Questi sciaurati, che mai non fur vivi, erano ignudi e stimolati molto da mosconi e da vespe ch’eran ivi","""Questi sfortunati, che mai vissero una vera esistenza, erano scoperti e infastiditi da mosche e vespe in ogni direzione."""
127,"  Elle rigavan lor di sangue il volto, che, mischiato di lagrime, a’ lor piedi da fastidiosi vermi era ricolto","""Il loro volto sanguinante cadeva a terra, accompagnato da lacrime che venivano poi raccolte da vermi ripugnanti."""
128,"  E poi ch’a riguardar oltre mi diedi, vidi genti a la riva d’un gran fiume","""Quando sondai il suo sguardo, scorsi delle anime nelle vicinanze di un ampio fiume."""
129," per ch’io dissi: ""Maestro, or mi concedi  ch’i’ sappia quali sono, e qual costume le fa di trapassar parer sì pronte, com’i’ discerno per lo fioco lume""","""Ricordo che allora ho chiesto al Maestro: «Chi sono quelle persone, e qual è la forza li spinge ad attraversare l'oscurità come appaiono così desiderose di farlo"""
130,"  Ed elli a me: ""Le cose ti fier conte quando noi fermerem li nostri passi su la trista riviera d’Acheronte""",Egli mi disse che le circostanze sarebbero state più chiare una volta raggiunta la triste sponda del fiume Acheronte.
131,"  Allor con li occhi vergognosi e bassi, temendo no ’l mio dir li fosse grave, infino al fiume del parlar mi trassi","""Senza alzare gli occhi, timoroso di poterlo infastidire se avessi detto qualcosa, rimasi in silenzio fino a quando raggiungemmo il fiume."""
132,"  Ed ecco verso noi venir per nave un vecchio, bianco per antico pelo, gridando: ""Guai a voi, anime prave","""!Un anziano con una bianca barba folta, che si avvicinava a noi su un'imbarcazione, ci ha gridato: «State attenti, o gente corrotta!»."""
133,"  Non isperate mai veder lo cielo: i’ vegno per menarvi a l’altra riva ne le tenebre etterne, in caldo e ’n gelo","""Non sperare mai di ammirare le stelle: io sono qui per condurvi dall'altra parte, nell'oscurità eterna, tra il fuoco e la gelida luce."""
134,"  E tu che se’ costì, anima viva, pàrtiti da cotesti che son morti""","""Allontana te stesso da coloro che sono già spirati, o essenza in carne ed ossa."""
135," Ma poi che vide ch’io non mi partiva,  disse: ""Per altra via, per altri porti verrai a piaggia, non qui, per passare: ","""Vedendo che non mi stavo allontanando, affermò: """"Raggiungerai la destinazione con un altro percorso, in porti diversi da questo qui; non passerai certamente di qui."""""""
136," più lieve legno convien che ti porti""",Una nave più leggera della mia sarà prelevata da te.
