Original,Translate_IT
" Quando vidi costui nel gran diserto, “ di me”, gridai a lui, “qual che tu sii, od ombra od omo certo"," La comparsa di Virgilio Mentre ero sospinto rovinosamente verso il basso, davanti agli occhi mi si offrì qualcuno, che in quel vasto silenzio appariva poco più d’un’ombra"
”," Quan-do lo vidi in quella grande solitudine, «Abbi pietà di me» io gli gridai, «chiunque tu sia, l’ombra d’un morto o un uomo ancora in vita"
" Rispuosemi: “Non omo, omo già fui, e li parenti miei furon lombardi, mantoani per patrïa ambedui","» L’ombra mi rispose: «Non sono vivo, ma lo fui un tempo"
" Nacqui , ancor che fosse tardi, e vissi a Roma sotto 'l buono Augusto nel tempo de li dèi falsi e bugiardi"," I miei genitori furono lombardi, ambedue nativi di Mantova"
" Poeta fui, e cantai di quel giusto figliuol d'Anchise che venne di Troia, poi che 'l superbo Ilïón fu combusto"," Nac-qui sotto Giulio Cesare, ma troppo tardi per cantar-lo, e vissi a Roma sotto il buon Augusto al tempo degli dei falsi e bugiardi"
 Ma tu perché ritorni a tanta noia? perché non sali il dilettoso monte ch'è principio e cagion di tutta gioia?”," Fui poeta e cantai le im-prese di Enea, quel giusto figlio di Anchise, che da Troia venne in Italia, dopo che la superba città fu distrutta"
" “Or se' tu quel Virgilio e quella fonte che spandi di parlar sì largo fiume?”, rispuos'io lui con vergognosa fronte"," Ma tu perché ritorni a tanta angoscia? Per-ché non sali il dilettoso monte, che è inizio e causa di ogni gioia?» «Sei tu quel Virgilio e quella fonte che spande un fiume così abbondante di parole?» gli risposi a fron-te bassa per la vergogna"
" “O de li altri poeti onore e lume, vagliami 'l lungo studio e 'l grande amore che m'ha fatto cercar lo tuo volume"," «O luce e onore degli altri poeti, concèdimi il tuo aiuto in nome del lungo stu-dio e del grande amore, che mi hanno fatto cercare le tue opere"
" Tu se' lo mio maestro e 'l mio autore, tu se' solo colui da cu' io tolsi lo bello stilo che m'ha fatto onore", Tu sei il mio maestro e il mio autore
 Vedi la bestia per cu' io mi volsi," Tu sei il solo da cui appresi lo stile tragico, che mi ha dato tanto onore"
" aiutami da lei, famoso saggio, ch'ella mi fa tremar le vene e i polsi”", Vedi la bestia che mi ha fatto volgere indietro
" “A te convien tenere altro vïaggio”, rispuose, poi che lagrimar mi vide, “se vuo' campar d'esto loco selvaggio"," Aiùtami, o grande saggio, perché essa mi fa tremare le vene ed i polsi"
" ché questa bestia, per la qual tu gride, non lascia altrui passar per la sua via, ma tanto lo 'mpedisce che l'uccide","» «A te conviene prendere un’altra strada» rispose dopo che mi vide in lacrime, «se vuoi uscire da que-sto luogo selvaggio"
" e ha natura sì malvagia e ria, che mai non empie la bramosa voglia, e dopo 'l pasto ha più fame che pria"," Questa bestia, che ti costringe a chiedere aiuto, non lascia passare alcuno per la sua strada, ma lo ostacola con tale determinazione che alla fine lo uccide"
" Molti son li animali a cui s'ammoglia, e più saranno ancora, infin che 'l veltro verrà, che la farà morir con doglia"," Ed ha una natura così malvagia e perversa, che non soddisfa mai la sua sconfinata in-gordigia e che, dopo mangiato, ha più fame di pri-ma"
" Questi non ciberà terra né peltro, ma sapïenza, amore e virtute, e sua nazion sarà tra feltro e feltro"," La profezia del Veltro Molti sono gli animali con cui si accoppia e ancora di più saranno in futuro, ma verrà il Veltro, che la farà morire con atroci sofferenze"
" Di quella umile Italia fia salute per cui morì la vergine Cammilla, Eurialo e Turno e Niso di ferute"," Questi cercherà non terre né denaro, ma sapienza, amore e virtù, e la sua origine sarà tra feltro e feltro"
" Questi la caccerà per ogne villa, fin che l'avrà rimessa ne lo 'nferno, là onde 'nvidia prima dipartilla"," Sarà la salvezza di quell’Italia della gente comune, per la quale moriro-no di morte violenta la vergine Camilla, Eurialo e Niso, e Turno"
" Ond'io per lo tuo me' penso e discerno che tu mi segui, e io sarò tua guida, e trarrotti di qui per loco etterno"," Questi la scaccerà da ogni città e la ricaccerà nell’inferno, da dove la fece uscire l’invi-dia del serpente verso Adamo ed Eva"
" ove udirai le disperate strida, vedrai li antichi spiriti dolenti, ch'a la seconda morte ciascun grida", Il viaggio nei tre regni dell’oltretomba Perciò per il tuo bene penso e giudico che tu mi debba seguire: io sarò la tua guida
" e vederai color che son contenti nel foco, perché speran di venire quando che sia a le beate genti"," Ti trarrò di qui attraverso l’inferno, dove udrai le grida senza spe-ranza dei dannati e vedrai gli antichi spiriti sofferen-ti, che invocano la seconda morte (=quella dell’ani-ma)"
" A le quai poi se tu vorrai salire, anima fia a ciò più di me degna: con lei ti lascerò nel mio partire"," Vedrai coloro che sono contenti di stare nel fuoco del purgatorio, perché sono sicuri di andare, prima o poi, fra le genti beate"
" ché quello imperador che là sù regna, perch'i' fu' ribellante a la sua legge, non vuol che 'n sua città per me si vegna"," E, se vorrai salire fra quelle genti in paradiso, sarai accompagnato da un’anima più degna di me (=Beatrice)"
 In tutte parti impera e quivi regge," Ti affiderò a lei, prima di lasciarti, perché l’imperatore (=Dio), che regna lassù, non vuole che io entri nella sua tà, poiché non mi sottomisi alla sua legge"
 quivi è la sua città e l'alto seggio: oh felice colui cu' ivi elegge," Egli im-pera su tutto l’universo, ma governa da qui: questa è la sua città e qui sta il suo trono"
”," Oh, felice colui che ammette lassù"
" E io a lui: “Poeta, io ti richeggio per quello Dio che tu non conoscesti, acciò ch'io fugga questo male e peggio, che tu mi meni là dov'or dicesti, sì ch'io veggia la porta di san Pietro e color cui tu fai cotanto mesti”","» Il poeta accetta Io gli dissi: «O poeta, in nome di quel Dio che non conoscesti, ti prego di condurmi dove ora dicesti, affinché possa fuggire questo male (=la lupa), e peggio (=la danna-zione eterna)"
" Allor si mosse, e io li tenni dietro"," Così potrò vedere la porta di san Pie-tro in purgatorio e i dannati dell’inferno, che tu dici tanto mesti»"
, Allora egli si mosse ed io gli tenni dietro
"Lo giorno se n'andava, e l'aere bruno toglieva li animai che sono in terra da le fatiche loro",Il giorno se n’andava e l’aria bruna toglieva dalle loro fatiche gli esseri che vivono sulla Terra
" e io sol uno m'apparecchiava a sostener la guerra sì del cammino e sì de la pietate, che ritrarrà la mente che non erra"," Soltan-to io mi preparavo a sostenere sia le fatiche del cammino, sia lo strazio delle visioni angosciose, che la mia mente riferirà senza errori"
" O muse, o alto ingegno, or m'aiutate"," O muse, o mio al-to ingegno, ora aiutàtemi"
" o mente che scrivesti ciò ch'io vidi, qui si parrà la tua nobilitate"," O memoria che scrivesti ciò che vidi, qui apparirà il tuo valore"
" Io cominciai: “Poeta che mi guidi, guarda la mia virtù s'ell' è possente, prima ch'a l'alto passo tu mi fidi"," I dubbi di Dante sul viaggio Io cominciai: «O poeta che mi guidi, guarda se le mie capacità sono sufficienti, prima che tu mi faccia iniziare que-st’arduo viaggio"
" Tu dici che di Silvïo il parente, corruttibile ancora, ad immortale secolo andò, e fu sensibilmente"," Tu dici che il padre di Silvio (=E-nea), mentre era ancora in vita andò nei regni eterni e vi andò con il corpo e l’anima"
" Però, se l'avversario d'ogne male cortese i fu, pensando l'alto effetto ch'uscir dovea di lui, e 'l chi e 'l quale non pare indegno ad omo d'intelletto", Perciò per un uomo capace di ragionare appare accettabile l’idea che l’avversario di ogni male (=Dio) sia stato cortese con lui
" ch'e' fu de l'alma Roma e di suo impero ne l'empireo ciel per padre eletto: la quale e 'l quale, a voler dir lo vero, fu stabilita per lo loco santo u' siede il successor del maggior Piero"," Basta che si pensi alle straordinarie conse-guenze che dovevano procedere da lui, chi egli era e le qualità che aveva"
" Per quest'andata onde li dai tu vanto, intese cose che furon cagione di sua vittoria e del papale ammanto", Egli fu scelto nell’empìreo come padre di Roma e dell’Impero
" Andovvi poi lo Vas d'elezïone, per recarne conforto a quella fede ch'è principio a la via di salvazione"," A loro volta Roma e l’Impero furono costituiti per diventare il luogo santo in cui siede il successore di Pietro, il primo degli apostoli"
" Ma io, perché venirvi? o chi 'l concede? Io non Enëa, io non Paulo sono"," In questa discesa, per la quale tu lo celebri, ascoltò cose che gli permisero di vin-cere contro Turno e i rùtuli e che diedero luogo alla sede papale"
 me degno a ciò né io né altri 'l crede," Vi andò poi Paolo di Tarso, il Vaso della volontà divina, per portare dall’oltretomba una prova per quella fede, con cui inizia la via della sal-vezza"
" Per che, se del venire io m'abbandono, temo che la venuta non sia folle"," Ma io perché debbo venirvi? E chi lo permet-te? Io non sono Enea, non sono Paolo: né io né altri mi ritiene capace di quest’impresa"
 Se' savio," Perciò, se deci-do di venire, temo di commettere una follia"
 intendi me' ch'i' non ragiono”, Tu sei saggio e capisci il mio dilemma meglio di quanto io dico
" E qual è quei che disvuol ciò che volle e per novi pensier cangia proposta, sì che dal cominciar tutto si tolle, tal mi fec'ïo 'n quella oscura costa, perché, pensando, consumai la 'mpresa che fu nel cominciar cotanto tosta","» E, come colui che non vuole più ciò che prima vole-va e per nuovi pensieri cambia proposito, tanto che non incomincia più; così mi feci io su quella pendi-ce ormai oscura, perché, riflettendo sulle difficoltà, già ponevo termine a quel viaggio, che ero stato così precipitoso a iniziare"
" “S'i' ho ben la parola tua intesa”, rispuose del magnanimo quell'ombra, “l'anima tua è da viltade offesa"," Le tre donne in cielo e Virgilio «Se io ho ben capito le tue parole» rispose l’ombra di quel grande, «la tua anima è offesa dalla viltà, la quale molte volte ostacola l’uomo e lo distoglie da un’impresa che dà onore, come una cosa falsamente vista fa volgere indietro una bestia, che piglia spa-vento"
" la qual molte fïate l'omo ingombra sì che d'onrata impresa lo rivolve, come falso veder bestia quand'ombra"," Per liberarti da questo timore, ti dirò perché venni e che cosa ascoltai la prima volta che provai dolore per te"
" Da questa tema acciò che tu ti solve, dirotti perch'io venni e quel ch'io 'ntesi nel primo punto che di te mi dolve"," Io ero nel limbo, fra coloro che sono sospesi tra la salvezza e la dannazione, e mi chiamò una donna tanto beata e tanto bella, che io la pregai di comandarmi"
" Io era tra color che son sospesi, e donna mi chiamò beata e bella, tal che di comandare io la richiesi"," I suoi occhi brillavano più delle stelle e cominciò a parlare soave e piana, con voce angelica, nella sua lingua: “O nobile anima mantovana, la cui fama dura anco-ra nel mondo e durerà a lungo quanto durerà il mon-do, l’amico mio sincero, e non di un momento occa-sionale, sul pendìo deserto è così impedito nel cam-mino, che per la paura si è voltato indietro"
 Lucevan li occhi suoi più che la stella," E temo che si sia già così perso d’animo e che io mi sia mossa troppo tardi a soccorrerlo, per quel che io ho udito di lui in cielo"
" e cominciommi a dir soave e piana, con angelica voce, in sua favella: ""O anima cortese mantoana, di cui la fama ancor nel mondo dura, e durerà quanto 'l mondo lontana, l'amico mio, e non de la ventura, ne la diserta piaggia è impedito sì nel cammin, che vòlt'è per paura"," Ora va’ e aiùtalo con le tue pa-role suadenti e con ciò che serve alla sua salvezza, e ne sarò consolata"
" e temo che non sia già sì smarrito, ch'io mi sia tardi al soccorso levata, per quel ch'i' ho di lui nel cielo udito"," Io, che ti faccio andare, sono Bea-trice e vengo dal luogo in cui desidero tornare"
" Or movi, e con la tua parola ornata e con ciò c'ha mestieri al suo campare, l'aiuta sì ch'i' ne sia consolata"," L’amore, che ora mi fa parlare, mi mosse fino a te"
 I' son Beatrice che ti faccio andare," Quando sarò davanti al mio Signore, ti loderò spesso per l’aiuto che mi hai dato"
 vegno del loco ove tornar disio,» Poi tacque
" amor mi mosse, che mi fa parlare"," Io le risposi così: “O donna piena di quella virtù (=la fede e la teolo-gia), che permette all’uomo di superare ogni essere contenuto in quel cielo della Luna che compie i giri più piccoli (=ogni essere terrestre), il tuo comando mi è tanto gradito, che l’ubbidirti, se già fosse attua-to, sarebbe lento"
" Quando sarò dinanzi al segnor mio, di te mi loderò sovente a lui""", Non devi far altro che esprimermi i tuoi desideri
" Tacette allora, e poi comincia' io: ""O donna di virtù sola per cui l'umana spezie eccede ogne contento di quel ciel c'ha minor li cerchi sui, tanto m'aggrada il tuo comandamento, che l'ubidir, se già fosse, m'è tardi"," Ma dimmi perché non temi di scen-dere qua giù nel limbo, in questo centro dell’ampio luogo (=l’empìreo), in cui tu desideri così intensa-mente tornare?” “Poiché tu vuoi sapere le cose tanto a fondo” mi ri-spose, “ti dirò brevemente perché non temo di veni-re qui dentro"
 più non t'è uo' ch'aprirmi il tuo talento," Si devono temere solamente quelle cose che sono capaci di farci del male, non le altre, che perciò non fanno paura"
" Ma dimmi la cagion che non ti guardi de lo scender qua giuso in questo centro de l'ampio loco ove tornar tu ardi"""," Dio per la sua grazia mi ha fatto tale, che la vostra infelicità non mi com-muove, né il fuoco di questo incendio mi reca dan-no"
" ""Da che tu vuo' saver cotanto a dentro, dirotti brievemente"", mi rispuose, ""perch'i' non temo di venir qua entro"," In cielo una donna gentile (=la Vergine Maria) ha compassione di questo impedimento che io ti mando a togliere, così lassù ella spezza il severo giudizio divino"
 Temer si dee di sole quelle cose c'hanno potenza di fare altrui male, Questa si rivolse a Lucia e disse: - Il tuo devoto ha ora bisogno di te
" de l'altre no, ché non son paurose", Io te lo racco-mando
" I' son fatta da Dio, sua mercé, tale, che la vostra miseria non mi tange, né fiamma d'esto 'ncendio non m'assale", -
" Donna è gentil nel ciel che si compiange di questo 'mpedimento ov' io ti mando, sì che duro giudicio là sù frange"," Lucia, nemica di ogni crudeltà, si mosse e venne al luogo in cui sedevo con l’antica Rachele e mi disse: - O Beatrice, vera lode di Dio, perché non soccorri colui che ti amò tanto e che, per aver amato te, uscì fuori della schiera del volgo? Non odi l’angoscia delle sue lacrime? Non vedi la lotta mor-tale che combatte nella selva oscura, più pericolosa del mare? -"
" Questa chiese Lucia in suo dimando e disse: - Or ha bisogno il tuo fedele di te, e io a te lo raccomando -"," Virgilio accorre in aiuto a Dante Al mondo non ci furono mai persone così veloci a cercare il proprio utile o a schivare il proprio danno, come fui io, dopo che mi furono dette tali parole"
" Lucia, nimica di ciascun crudele, si mosse, e venne al loco dov'i' era, che mi sedea con l'antica Rachele"," Venni nel limbo dal mio beato seggio, confidando nella tua parola sapiente, che onora te e chi la ascol-ta”"
" Disse: - Beatrice, loda di Dio vera, ché non soccorri quei che t'amò tanto, ch'uscì per te de la volgare schiera? Non odi tu la pieta del suo pianto, non vedi tu la morte che 'l combatte su la fiumana ove 'l mar non ha vanto? -"," Dopo che mi disse queste parole, la donna volse gli occhi lucenti pieni di lacrime, perciò mi feci più ra-pido nel venire"
" Al mondo non fur mai persone ratte a far lor pro o a fuggir lor danno, com'io, dopo cotai parole fatte, venni qua giù del mio beato scanno, fidandomi del tuo parlare onesto, ch'onora te e quei ch'udito l'hanno"""," Venni da te, come ella volle, e ti sottrassi al pericolo di quella fiera, che t’impedì il cammino più breve verso il bel monte"
" Poscia che m'ebbe ragionato questo, li occhi lucenti lagrimando volse, per che mi fece del venir più presto"," Dunque, che c’è che non va? Perché, perché ti fai prendere dal-l’incertezza? Perché accogli nel tuo cuore tanta vil-tà? Perché non hai coraggio né sicurezza d’animo dopo che tre donne benedette si curano di te nella corte celeste e dopo che le mie parole ti promettono un bene così grande?» Dante ritorna nel primo proposito Come i fiorellini di campo si piegano e richiudono i petali per il gelo notturno, ma, quando il Sole li il-lumina, rialzano il capo e si aprono sul loro stelo; così io abbandonai la sfiducia che mi aveva preso e il nuovo coraggio mi riempì il cuore"
 E venni a te così com'ella volse: d'inanzi a quella fiera ti levai che del bel monte il corto andar ti tolse," E, ormai rassi-curato, risposi: «O pietosa Beatrice che mi soccorse e cortese tu, che ubbidisti sùbito alle parole veritiere che ti disse"
" Dunque: che è? perché, perché restai, perché tanta viltà nel core allette, perché ardire e franchezza non hai, poscia che tai tre donne benedette curan di te ne la corte del cielo, e 'l mio parlar tanto ben ti promette?”"," Tu con le tue parole mi hai fatto provare un tale de-siderio di venire, che son tornato nel primo proposi-to"
" Quali fioretti dal notturno gelo chinati e chiusi, poi che 'l sol li 'mbianca, si drizzan tutti aperti in loro stelo, tal mi fec'io di mia virtude stanca, e tanto buono ardire al cor mi corse, ch'i' cominciai come persona franca: “Oh pietosa colei che mi soccorse"," Ora va’, perché una volontà sola è in entrambi: tu sei la mia guida, tu il signore, tu il maestro"
 e te cortese ch'ubidisti tosto a le vere parole che ti porse,» Così gli dissi
" Tu m'hai con disiderio il cor disposto sì al venir con le parole tue, ch'i' son tornato nel primo proposto"," E, dopo che si mosse, m’inoltrai per il cammino aspro e selvaggio"
" Or va, ch'un sol volere è d'ambedue: tu duca, tu segnore e tu maestro”",
"'Per me si va ne la città dolente, per me si va ne l'etterno dolore, per me si va tra la perduta gente","«Per me si va nella città della sofferenza, per me si va nell’eterno dolore, per me si va tra la gente dannata"
 Giustizia mosse il mio alto fattore," La giustizia mosse il mio sommo creatore: mi fece la divina potenza, la somma sapienza e il primo amore"
" fecemi la divina podestate, la somma sapïenza e 'l primo amore", Prima di me furono create soltanto cose eterne e io durerò eternamente
" Dinanzi a me non fuor cose create se non etterne, e io etterno duro"," Lasciate ogni speranza, o voi ch’entrate"
" Lasciate ogne speranza, voi ch'intrate'","» Queste parole di colore scuro io vidi scritte sopra una porta, perciò dissi: «O maestro, il loro significato mi è duro"
 Queste parole di colore oscuro vid'ïo scritte al sommo d'una porta,"» Da persona esperta, egli mi rispose: «Qui convien lasciare ogni dubbio, conviene che ogni viltà sia morta"
" per ch'io: “Maestro, il senso lor m'è duro”"," Siamo giunti in quel luogo in cui ti ho detto che vedrai le anime dei dannati, che hanno perduto il bene dell’intelletto (=Dio)"
" Ed elli a me, come persona accorta: “Qui si convien lasciare ogne sospetto","» L’entrata nell’inferno Poi mi prese per mano con volto sereno, perciò io ripresi coraggio, e m’introdusse nei segreti impene-trabili dell’oltretomba"
 ogne viltà convien che qui sia morta," Qui sospiri, pianti e alti ge-miti risuonavano per l’aria senza stelle"
 Noi siam venuti al loco ov'i' t'ho detto che tu vedrai le genti dolorose c'hanno perduto il ben de l'intelletto”," Al sentirli, io mi misi a piangere"
" E poi che la sua mano a la mia puose con lieto volto, ond'io mi confortai, mi mise dentro a le segrete cose"," Lingue strane, espressioni or-ribili, parole di dolore, accenti di rabbia, voci alte e basse e suoni di mani che colpiscono facevano un tumulto, che si aggira sempre in quell’aria eterna-mente oscura, come la sabbia è fatta girare vortico-samente dalla bufera"
" Quivi sospiri, pianti e alti guai risonavan per l'aere sanza stelle, per ch'io al cominciar ne lagrimai"," Gli ignavi e gli angeli neutrali Io avevo la testa piena di dubbi, così dissi: «O maestro, che cos’è questo tumulto che io odo? Chi è questa gente, che appare così sopraffatta dal dolore?» Ed egli a me: «A questa miserabile condizione sono condannate le anime spregevoli di coloro che vissero senza infamia e senza lode"
" Diverse lingue, orribili favelle, parole di dolore, accenti d'ira, voci alte e fioche, e suon di man con elle facevano un tumulto, il qual s'aggira sempre in quell'aura sanza tempo tinta, come la rena quando turbo spira"," Sono mescolate a quella cattiva schie-ra degli angeli che non furono ribelli e neppure fe-deli a Dio, ma che rimasero neutrali"
" E io ch'avea d'error la testa cinta, dissi: “Maestro, che è quel ch'i' odo? e che gent' è che par nel duol sì vinta?”"," Li cacciano i cieli, per non esser meno belli, ma non li accoglie l’inferno profondo, perché i dannati si potrebbero gloriare di averli come loro compagni»"
 Ed elli a me: “Questo misero modo tegnon l'anime triste di coloro che visser sanza 'nfamia e sanza lodo," Ed io: «O maestro, che cos’è per loro tanto insopportabile, che li fa lamentare così fortemente?» Mi rispose: «Te lo dirò molto brevemente"
" Mischiate sono a quel cattivo coro de li angeli che non furon ribelli né fur fedeli a Dio, ma per sé fuoro"," Costoro non possono sperare di morire e la loro vita oscura è tanto spre-gevole, che sono invidiosi di ogni altra condizione"
" Caccianli i ciel per non esser men belli, né lo profondo inferno li riceve, ch'alcuna gloria i rei avrebber d'elli”"," Il mondo non permette che si conservi alcun ricordo di loro; la misericordia e la giustizia divina, il para-diso come l’inferno, li disprezzano e li respingono: non ragioniamo di loro, ma guarda e passa"
" E io: “Maestro, che è tanto greve a lor che lamentar li fa sì forte?”","» Guardando più attentamente, vidi un’insegna che, girando, correva tanto veloce, che sembrava incapa-ce di restar ferma"
 Rispuose: “Dicerolti molto breve," Dietro le veniva una processione così lunga di gente, che non avrei creduto che la morte avesse fatto tante vittime"
" Questi non hanno speranza di morte, e la lor cieca vita è tanto bassa, che 'nvidïosi son d'ogne altra sorte"," Riconobbi qualcu-no, poi vidi e conobbi l’ombra di colui che fece per viltà il gran rifiuto (=papa Celestino V?)"
 Fama di loro il mondo esser non lassa," Immedia-tamente compresi e fui certo che questa era la schie-ra dei cattivi, che dispiacevano a Dio e anche ai suoi nemici"
" misericordia e giustizia li sdegna: non ragioniam di lor, ma guarda e passa”"," Questi sciagurati, che non furono mai vivi, erano ignudi e continuamente punti da mosconi e da vespe, che erano in quel luogo"
" E io, che riguardai, vidi una 'nsegna che girando correva tanto ratta, che d'ogne posa mi parea indegna"," Esse rigavano il loro volto di sangue, che, mescolato a lacrime, ai loro piedi era raccolto da vermi ripugnanti"
" e dietro le venìa sì lunga tratta di gente, ch'i' non averei creduto che morte tanta n'avesse disfatta"," Verso il fiume Acherónte Guardai oltre costoro e vidi una moltitudine di gente sulla riva di un fiume molto largo, perciò dissi: «O maestro, concèdimi ora di sapere chi sono e qua-le istinto le fa apparire così ansiose di oltrepassare il fiume (=l’Acherónte), come riesco a distinguere in quella luce fioca"
" Poscia ch'io v'ebbi alcun riconosciuto, vidi e conobbi l'ombra di colui che fece per viltade il gran rifiuto",» Ed egli a me: «Le cose ti saranno chiare quando ci fermeremo sul-la riva desolata di questo fiume»
" Incontanente intesi e certo fui che questa era la setta d'i cattivi, a Dio spiacenti e a' nemici sui"," Allora, con gli occhi vergognosi e abbassati, temen-do che la mia domanda gli riuscisse molesta, mi a-stenni dal parlare sino al fiume"
" Questi sciaurati, che mai non fur vivi, erano ignudi e stimolati molto da mosconi e da vespe ch'eran ivi"," Il demonio Carόnte Ed ecco verso di noi venire su una nave un vecchio con la testa incanutita per l’età avanzata, gridando: «Guai a voi, o anime perverse"
" Elle rigavan lor di sangue il volto, che, mischiato di lagrime, a' lor piedi da fastidiosi vermi era ricolto", Non sperate mai di vedere il cielo
" E poi ch'a riguardar oltre mi diedi, vidi genti a la riva d'un gran fiume"," Io vengo per portarvi sull’altra riva nelle tenebre eterne, al caldo e al gelo"
" per ch'io dissi: “Maestro, or mi concedi ch'i' sappia quali sono, e qual costume le fa di trapassar parer sì pronte, com'i' discerno per lo fioco lume”"," E tu, che sei lì, o anima viva, allontànati da costoro, che son mor-ti"
 Ed elli a me: “Le cose ti fier conte quando noi fermerem li nostri passi su la trista riviera d'Acheronte”,"» Ma, poiché vide che io non mi allontanavo, disse: «Per un’altra via, per altri porti verrai alla spiaggia (=del purgatorio), non qui, per passare"
" Allor con li occhi vergognosi e bassi, temendo no 'l mio dir li fosse grave, infino al fiume del parlar mi trassi", Una barca più leggera ti dovrà portare
" Ed ecco verso noi venir per nave un vecchio, bianco per antico pelo, gridando: “Guai a voi, anime prave","» La mia guida a lui: «O Carónte, non ti crucciare, si vuole così là (=in cielo) dove si può ciò che si vuole, e più non do-mandare"
" Non isperate mai veder lo cielo: i' vegno per menarvi a l'altra riva ne le tenebre etterne, in caldo e 'n gelo","» Allora si quietarono le ispide gote al nocchiero della livida palude, che intorno agli occhi aveva ruote di fuoco"
" E tu che se' costì, anima viva, pàrtiti da cotesti che son morti”"," Ma quelle anime, che erano affrante e nude, cambiarono colore e batterono i denti, non appena intesero quelle parole crudeli"
